calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,11.0,2.1,0.0,5.1,,,,1.9,,,,,
2016-01-02,10.2,15.3,6.1,0.5,1.3,,,,2.2,,,,,
2016-01-03,11.2,15.5,7.1,0.0,0.5,,,,0.9,,,,,
2016-01-04,9.4,16.1,5.9,0.0,4.2,,,,1.8,,,,,
2016-01-05,8.8,12.3,7.1,1.5,0.0,,,,0.8,,,,,
2016-01-06,8.1,12.0,5.4,0.0,0.0,,,,0.9,,,,,
2016-01-07,8.1,10.2,6.4,0.0,1.2,,,,1.9,,,,,
2016-01-08,6.4,7.7,5.2,0.0,0.0,,,,2.3,,,,,
2016-01-09,5.7,8.1,3.2,0.0,0.1,,,,1.0,,,,,
2016-01-10,5.8,10.5,3.3,0.0,4.6,,,,1.1,,,,,
2016-01-11,7.2,11.0,3.4,0.0,1.5,,,,1.2,,,,,
2016-01-12,5.4,8.1,0.8,1.0,0.3,,,,0.8,,,,,
2016-01-13,3.8,6.4,0.2,0.5,0.3,,,,1.4,,,,,
2016-01-14,5.1,7.8,0.9,0.0,0.2,,,,1.8,,,,,
2016-01-15,3.8,10.3,-0.3,0.0,9.0,,,,1.0,,,,,
2016-01-16,5.3,13.1,-1.1,0.0,7.9,,,,1.1,,,,,
2016-01-17,6.4,8.7,2.6,27.5,0.0,,,,1.2,,,,,
2016-01-18,6.0,9.6,0.5,10.5,1.9,,,,3.9,,,,,
2016-01-19,1.3,2.9,-0.4,4.0,0.3,,,,5.2,,,,,
2016-01-20,1.8,5.0,-1.2,0.0,2.7,,,,2.5,,,,,
2016-01-21,1.4,5.2,-1.8,0.0,0.1,,,,2.4,,,,,
2016-01-22,4.1,8.0,-0.4,1.0,1.3,,,,1.0,,,,,
2016-01-23,2.2,5.3,-2.1,9.0,0.0,,,,2.3,,,,,
2016-01-24,-4.0,-1.7,-5.1,6.0,0.0,,,,4.3,,,,,
2016-01-25,-2.1,0.7,-5.6,6.0,0.0,,,,1.6,,,,,
2016-01-26,1.5,4.0,0.0,0.0,0.3,,,,,,,,,
2016-01-27,4.0,7.5,0.8,0.0,0.4,,,,1.3,,,,,
2016-01-28,7.2,13.9,4.0,3.5,0.0,,,,1.8,,,,,
