calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,12.4,-1.0,,8.5,,,,1.4,7.0,1026.3,83,1031.1,
2016-01-02,10.2,14.2,3.7,0.0,0.7,,,,2.0,9.4,1020.3,75,1024.9,
2016-01-03,10.8,15.4,6.1,1.0,1.7,,,,0.9,11.9,1015.1,92,1019.7,
2016-01-04,9.8,16.1,4.6,,5.9,,,,1.8,10.1,1016.1,85,1020.8,
2016-01-05,7.9,11.3,6.8,1.0,0.1,,,,1.0,9.7,1018.4,91,1023.1,
2016-01-06,7.5,11.0,5.1,,0.0,,,,0.9,9.3,1016.6,91,1021.2,
2016-01-07,7.8,9.7,5.6,0.0,1.1,,,,2.1,7.0,1016.4,67,1021.1,
2016-01-08,6.6,8.0,5.5,0.0,0.0,,,,3.1,6.0,1016.0,61,1020.7,
2016-01-09,5.9,7.8,2.7,0.0,0.3,,,,1.5,6.1,1019.1,66,1023.8,
2016-01-10,6.6,11.2,2.1,0.0,5.2,,,,1.6,6.6,1020.0,69,1024.7,
2016-01-11,6.2,10.8,1.9,,1.5,,,,1.3,7.0,1017.2,76,1021.9,
2016-01-12,5.9,9.0,2.7,0.5,0.7,,,,1.5,7.3,1014.2,79,1018.9,
2016-01-13,4.4,6.8,2.3,0.0,0.4,,,,2.4,5.9,1014.3,71,1019.1,
2016-01-14,5.5,8.6,1.8,0.0,1.6,,,,2.4,5.4,1016.1,60,1020.8,
2016-01-15,4.0,10.4,-0.3,,8.4,,,,1.4,5.1,1016.6,66,1021.4,
2016-01-16,4.4,12.5,-2.2,,7.4,,,,1.3,6.0,1017.0,74,1021.8,
2016-01-17,5.0,7.0,2.0,30.5,0.0,,,,1.6,8.3,1009.8,94,1014.5,
2016-01-18,6.1,8.9,1.8,11.5,1.3,,,,4.6,7.2,1004.1,75,1008.7,
2016-01-19,1.9,3.0,0.5,1.5,1.7,,,,7.3,4.2,1012.6,60,1017.4,
2016-01-20,1.7,4.6,-2.1,0.0,3.5,,,,2.9,4.2,1020.8,62,1025.6,
2016-01-21,1.6,6.6,-2.9,0.0,0.1,,,,1.4,5.5,1019.2,81,1024.0,
2016-01-22,4.4,7.6,0.6,1.5,1.7,,,,1.6,7.3,1019.6,86,1024.3,
2016-01-23,2.0,3.9,-1.2,3.5,0.0,,,,2.0,6.5,1018.8,92,1023.6,
2016-01-24,-3.7,-1.0,-5.1,6.5,0.0,,,,4.2,3.6,1016.2,79,1021.1,
2016-01-25,-1.1,1.1,-4.9,4.5,0.1,,,,2.7,5.2,1021.9,91,1026.7,
2016-01-26,2.7,4.9,1.0,0.0,0.0,,,,2.6,6.6,1022.5,89,1027.3,
2016-01-27,5.5,9.2,2.3,0.0,1.6,,,,1.8,7.5,1025.2,83,1030.0,
2016-01-28,6.1,7.7,5.0,9.0,0.0,,,,1.0,9.2,1022.0,98,1026.8,
2016-01-29,10.0,13.7,7.5,34.5,0.0,,,,1.5,12.3,1013.0,100,1017.7,
2016-01-30,9.9,14.1,5.9,0.5,5.8,,,,2.0,9.6,1015.5,79,1020.2,
2016-01-31,7.9,12.6,4.4,0.5,5.4,,,,2.0,7.9,1020.1,77,1024.8,
2016-02-01,6.1,8.8,4.7,0.5,0.0,,,,1.5,7.6,1018.7,81,1023.4,
2016-02-02,4.4,8.7,1.6,4.0,3.1,,,,1.9,6.7,1018.6,81,1023.3,
2016-02-03,5.3,8.5,1.8,2.0,1.0,,,,1.5,7.8,1020.2,87,1024.9,
2016-02-04,5.3,10.4,-0.1,,7.8,,,,2.3,6.1,1019.6,71,1024.3,
2016-02-05,4.6,10.2,0.6,,2.9,,,,1.5,6.1,1016.2,74,1021.0,
2016-02-06,3.6,6.5,0.6,0.0,0.8,,,,1.9,5.7,1015.0,73,1019.7,
2016-02-07,3.6,8.2,0.3,0.5,3.6,,,,1.8,6.3,1015.7,81,1020.5,
2016-02-08,5.0,9.4,-0.7,0.0,4.8,,,,2.9,5.9,1014.7,70,1019.4,
2016-02-09,8.1,11.5,2.4,0.0,9.6,,,,4.0,5.1,1015.8,49,1020.5,
2016-02-10,5.5,13.3,-0.9,0.0,10.3,,,,1.3,5.9,1021.2,68,1026.0,
2016-02-11,7.0,16.0,0.0,,7.6,,,,1.5,7.2,1023.0,75,1027.7,
2016-02-12,11.0,17.0,5.4,0.0,0.1,,,,1.5,11.1,1018.2,84,1022.8,
2016-02-13,15.2,19.0,11.3,32.5,0.1,,,,1.9,17.1,1007.4,98,1011.9,
2016-02-14,10.3,18.5,5.2,2.5,0.0,,,,5.0,10.1,1006.1,76,1010.7,
2016-02-15,3.0,5.3,0.8,0.0,0.5,,,,4.1,4.6,1012.8,61,1017.6,
2016-02-16,3.0,5.1,-0.1,4.5,0.4,,,,2.7,6.2,1015.2,82,1019.9,
2016-02-17,4.6,7.6,-0.7,0.0,3.4,,,,2.3,5.5,1019.0,66,1023.7,
2016-02-18,5.1,11.6,-2.0,,6.2,,,,2.0,6.0,1020.8,71,1025.5,
2016-02-19,9.4,14.1,2.9,0.0,3.1,,,,1.6,8.1,1022.4,70,1027.1,
2016-02-20,7.9,9.9,6.3,35.5,0.0,,,,1.5,10.2,1014.5,95,1019.1,
2016-02-21,5.2,8.4,0.9,2.0,10.0,,,,2.9,5.3,1023.3,61,1028.0,
2016-02-22,4.6,9.2,0.1,2.0,0.0,,,,1.1,6.3,1025.6,75,1030.4,
2016-02-23,6.5,11.3,4.0,2.0,2.4,,,,1.1,8.6,1021.6,89,1026.3,
2016-02-24,5.5,9.2,3.2,5.0,2.1,,,,2.4,7.6,1022.5,85,1027.3,
2016-02-25,3.1,6.8,-0.9,8.5,4.0,,,,2.0,6.1,1027.3,81,1032.1,
2016-02-26,4.2,10.3,-2.4,,8.0,,,,1.9,5.3,1026.3,69,1031.1,
2016-02-27,8.2,12.2,4.9,3.0,2.4,,,,2.7,7.6,1021.5,70,1026.1,
2016-02-28,11.5,17.6,3.4,1.5,9.2,,,,2.8,9.1,1017.6,71,1022.2,
2016-02-29,5.0,13.3,0.0,5.0,1.3,,,,4.4,6.2,1017.1,69,1021.8,
2016-03-01,2.6,6.7,-1.2,,7.7,,,,2.5,4.6,1021.9,64,1026.6,
2016-03-02,6.7,13.8,-0.2,,9.4,,,,1.9,5.9,1022.1,63,1026.8,
2016-03-03,9.8,17.8,1.8,0.0,10.3,,,,1.8,8.1,1021.5,69,1026.2,
2016-03-04,13.0,19.4,9.2,0.5,3.8,,,,1.3,11.9,1022.1,81,1026.7,
2016-03-05,15.3,22.7,7.4,,10.4,,,,2.1,11.6,1019.5,71,1024.0,
2016-03-06,15.9,20.4,13.2,1.0,0.9,,,,1.7,14.0,1014.2,78,1018.7,
2016-03-07,14.3,19.9,10.9,,3.8,,,,1.9,14.9,1012.4,92,1017.0,
2016-03-08,13.0,17.6,10.6,,2.1,,,,2.1,12.0,1013.5,80,1018.1,
2016-03-09,9.3,11.2,8.1,38.0,0.0,,,,2.4,10.5,1011.0,90,1015.6,
2016-03-10,8.5,11.0,6.2,0.0,0.3,,,,1.7,9.3,1014.9,84,1019.5,
2016-03-11,5.8,8.9,3.8,4.5,2.0,,,,2.0,7.5,1016.9,82,1021.6,
2016-03-12,4.5,9.8,0.2,0.0,3.3,,,,1.5,7.0,1019.3,84,1024.0,
2016-03-13,5.9,10.6,1.8,8.5,0.0,,,,1.1,8.3,1017.8,89,1022.5,
2016-03-14,8.0,12.5,5.1,4.5,3.1,,,,2.8,8.0,1013.2,77,1017.8,
2016-03-15,7.8,13.6,3.8,0.0,9.1,,,,1.9,7.2,1017.9,71,1022.5,
2016-03-16,9.9,17.6,3.9,0.0,6.9,,,,1.7,8.4,1017.7,72,1022.3,
2016-03-17,12.4,22.2,3.6,,10.3,,,,1.5,9.3,1016.5,69,1021.1,
2016-03-18,13.3,15.9,10.9,11.5,0.1,,,,1.0,14.6,1008.2,95,1012.7,
2016-03-19,13.6,16.4,8.0,1.5,3.3,,,,2.4,13.9,1007.5,89,1012.0,
2016-03-20,9.1,15.2,4.5,,10.2,,,,2.2,8.4,1015.1,75,1019.7,
2016-03-21,7.8,14.6,2.6,,10.5,,,,2.0,7.2,1017.9,71,1022.5,
2016-03-22,10.0,19.8,0.5,,11.3,,,,1.9,7.5,1014.3,68,1019.0,
2016-03-23,11.3,18.4,6.4,,5.6,,,,2.0,10.2,1011.8,77,1016.4,
2016-03-24,8.7,12.9,5.1,0.0,5.1,,,,3.1,7.2,1015.6,65,1020.2,
2016-03-25,7.0,12.5,1.5,,9.9,,,,2.0,5.9,1018.7,61,1023.4,
2016-03-26,8.2,16.5,0.9,1.0,8.9,,,,1.5,6.1,1016.2,61,1020.8,
2016-03-27,8.3,13.7,4.7,0.0,6.8,,,,2.6,7.6,1015.2,72,1019.8,
2016-03-28,9.7,16.9,2.4,,11.3,,,,2.3,6.6,1017.8,61,1022.4,
2016-03-29,12.6,17.9,4.6,,3.8,,,,3.0,8.5,1019.2,60,1023.8,
2016-03-30,15.4,18.5,12.4,0.0,1.4,,,,3.0,12.6,1016.2,71,1020.7,
2016-03-31,14.1,18.5,9.9,16.0,1.3,,,,1.4,13.5,1012.5,85,1017.1,
2016-04-01,14.1,16.4,12.4,2.5,0.0,,,,1.9,15.2,1008.9,95,1013.4,
2016-04-02,17.1,22.6,13.0,0.0,5.0,,,,1.3,15.9,1014.7,83,1019.2,
2016-04-03,16.9,21.5,14.1,7.0,0.9,,,,1.2,17.2,1012.3,90,1016.8,
2016-04-04,14.4,15.8,12.3,18.0,0.2,,,,2.2,15.2,1006.3,92,1010.8,
2016-04-05,13.6,18.8,9.3,,5.4,,,,1.7,12.1,1011.6,79,1016.1,
2016-04-06,14.3,21.5,8.3,3.0,5.5,,,,1.6,10.7,1012.6,70,1017.1,
2016-04-07,17.9,23.5,12.5,46.5,0.0,,,,4.0,19.8,1003.3,95,1007.7,
2016-04-08,15.1,20.9,11.5,0.0,5.1,,,,1.2,14.9,1010.5,88,1015.0,
2016-04-09,16.9,25.2,10.8,,8.7,,,,1.2,12.9,1010.1,72,1014.6,
2016-04-10,15.6,22.3,11.7,0.0,4.9,,,,1.9,14.0,1007.9,82,1012.4,
2016-04-11,13.1,17.4,7.9,0.0,8.1,,,,2.8,10.1,1013.6,67,1018.2,
2016-04-12,12.7,18.8,5.7,,8.4,,,,1.7,10.1,1013.2,69,1017.8,
2016-04-13,15.2,20.2,11.4,23.5,2.4,,,,1.4,14.5,1004.4,85,1008.9,
2016-04-14,17.3,22.7,13.1,0.0,7.9,,,,1.9,16.5,1005.1,85,1009.5,
2016-04-15,15.8,22.7,10.7,,11.3,,,,1.7,11.6,1014.1,69,1018.7,
2016-04-16,17.2,23.9,9.6,1.0,5.9,,,,2.0,11.5,1009.4,63,1013.9,
2016-04-17,17.0,20.6,12.0,6.5,10.6,,,,4.6,13.0,1004.3,68,1008.7,
2016-04-18,13.9,17.3,9.5,0.0,0.2,,,,1.7,9.8,1012.0,63,1016.5,
2016-04-19,14.7,21.2,9.3,,11.4,,,,2.7,9.8,1018.3,62,1022.9,
2016-04-20,15.9,25.5,6.3,,9.7,,,,1.9,10.4,1016.6,62,1021.1,
2016-04-21,16.9,20.1,13.5,73.0,0.0,,,,2.3,18.1,1003.2,93,1007.6,
2016-04-22,18.7,25.3,14.3,0.0,7.8,,,,2.2,16.7,1005.5,79,1010.0,
2016-04-23,16.5,21.3,14.1,2.0,1.1,,,,1.6,16.8,1007.8,90,1012.3,
2016-04-24,16.0,21.8,13.0,0.0,2.8,,,,1.2,14.9,1009.1,84,1013.5,
2016-04-25,15.8,20.3,10.5,0.0,0.9,,,,1.6,14.5,1011.8,82,1016.3,
2016-04-26,19.4,25.5,13.3,0.0,8.4,,,,2.0,16.9,1010.0,77,1014.5,
2016-04-27,17.2,18.4,16.7,35.5,0.0,,,,1.8,19.5,1000.2,99,1004.7,
2016-04-28,14.5,17.4,11.4,5.5,0.0,,,,3.4,15.8,999.5,95,1004.0,
2016-04-29,13.3,18.5,8.4,,11.6,,,,2.1,11.4,1008.6,78,1013.1,
2016-04-30,16.8,24.6,7.5,,12.4,,,,3.0,11.5,1010.8,65,1015.3,
2016-05-01,20.4,27.5,13.6,,12.3,,,,2.8,14.5,1012.2,63,1016.6,
2016-05-02,20.6,26.9,13.0,,8.1,,,,1.7,15.6,1012.0,67,1016.4,
2016-05-03,17.7,20.4,13.9,29.0,1.0,,,,3.0,14.9,1001.3,74,1005.7,
2016-05-04,19.6,26.0,13.4,,12.6,,,,5.5,10.3,1005.5,49,1009.9,
2016-05-05,21.4,26.8,16.9,,8.5,,,,2.0,10.6,1011.8,43,1016.2,
2016-05-06,18.1,20.2,14.5,12.0,0.0,,,,1.6,19.1,1005.9,92,1010.4,
2016-05-07,19.6,23.7,13.4,0.0,7.0,,,,2.4,18.2,1007.7,80,1012.2,
2016-05-08,18.4,23.6,12.6,1.0,5.5,,,,1.6,13.0,1011.8,65,1016.3,
2016-05-09,17.6,20.2,16.0,21.0,0.0,,,,1.8,19.5,1005.8,97,1010.2,
2016-05-10,19.7,22.3,15.6,18.0,0.0,,,,2.7,22.3,999.0,97,1003.4,
2016-05-11,14.5,17.4,10.3,4.0,2.6,,,,2.2,14.7,1004.7,90,1009.2,
2016-05-12,17.6,27.8,7.9,,13.0,,,,1.7,11.5,1010.4,64,1014.8,
2016-05-13,19.4,25.5,15.1,,9.7,,,,2.0,15.7,1014.7,71,1019.1,
2016-05-14,20.4,27.6,14.2,,12.2,,,,1.6,16.8,1016.6,72,1021.1,
2016-05-15,23.7,30.9,18.2,0.0,7.5,,,,2.6,20.9,1010.0,73,1014.4,
2016-05-16,16.3,24.4,10.3,56.5,0.1,,,,2.4,17.0,1005.9,90,1010.4,
2016-05-17,16.3,25.1,7.7,,11.8,,,,1.8,10.8,1011.1,65,1015.6,
2016-05-18,18.4,26.8,8.9,,12.9,,,,1.6,10.5,1012.8,56,1017.3,
2016-05-19,20.2,27.2,12.2,,10.6,,,,1.6,13.6,1013.1,60,1017.5,
2016-05-20,21.8,27.9,15.2,,12.9,,,,2.3,14.9,1012.2,59,1016.6,
2016-05-21,21.3,28.3,15.4,,10.9,,,,1.7,16.2,1012.2,67,1016.7,
