calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.1,10.7,-1.1,0.0,9.1,,,,0.7,,,,,
2016-01-02,9.1,14.2,4.4,0.0,0.8,,,,0.8,,,,,
2016-01-03,10.7,15.8,6.3,0.0,0.6,,,,0.6,,,,,
2016-01-04,8.8,15.0,4.7,0.0,8.0,,,,0.6,,,,,
2016-01-05,7.9,11.4,5.9,4.0,0.0,,,,0.8,,,,,
2016-01-06,7.9,10.8,3.8,0.0,0.0,,,,1.0,,,,,
2016-01-07,6.2,10.1,4.0,0.0,1.5,,,,0.8,,,,,
2016-01-08,4.7,6.3,1.1,0.0,0.0,,,,0.9,,,,,
2016-01-09,3.3,7.9,-0.4,0.0,1.0,,,,0.7,,,,,
2016-01-10,4.2,10.9,-0.5,0.0,8.1,,,,0.6,,,,,
2016-01-11,6.3,12.3,2.1,0.0,1.7,,,,0.8,,,,,
2016-01-12,4.3,8.1,-0.8,0.0,0.5,,,,0.6,,,,,
2016-01-13,2.6,6.2,-1.9,0.0,0.6,,,,0.8,,,,,
2016-01-14,3.2,9.4,-0.3,0.0,5.8,,,,0.8,,,,,
2016-01-15,2.6,9.6,-2.0,0.0,7.8,,,,0.6,,,,,
2016-01-16,3.8,11.5,-2.8,0.0,9.4,,,,0.6,,,,,
2016-01-17,5.5,7.9,1.3,18.5,0.0,,,,0.9,,,,,
2016-01-18,4.9,8.3,-0.9,6.5,0.5,,,,1.7,,,,,
2016-01-19,-0.2,1.6,-1.7,0.5,0.6,,,,1.8,,,,,
2016-01-20,0.4,4.9,-2.8,0.0,4.3,,,,0.9,,,,,
2016-01-21,0.2,4.8,-4.1,0.0,0.2,,,,0.5,,,,,
2016-01-22,2.9,7.5,-2.4,0.0,3.0,,,,0.6,,,,,
2016-01-23,1.3,4.3,-1.6,0.5,0.1,,,,0.9,,,,,
2016-01-24,-4.8,-1.5,-6.6,3.0,0.0,,,,1.3,,,,,
2016-01-25,-2.5,0.6,-7.9,0.5,0.5,,,,,,,,,
2016-01-26,0.4,3.7,-1.3,0.0,0.0,,,,,,,,,
2016-01-27,3.6,8.9,-1.2,0.0,1.6,,,,0.5,,,,,
2016-01-28,7.0,13.7,3.2,4.0,0.0,,,,0.6,,,,,
2016-01-29,12.2,14.4,9.5,29.5,0.0,,,,1.0,,,,,
2016-01-30,9.3,13.7,4.0,0.0,5.2,,,,0.9,,,,,
2016-01-31,6.5,12.8,2.0,0.0,5.5,,,,0.9,,,,,
2016-02-01,4.3,7.3,1.6,0.5,0.0,,,,0.4,,,,,
2016-02-02,3.3,9.0,-0.7,0.0,1.3,,,,0.7,,,,,
2016-02-03,4.5,9.2,0.0,1.0,1.9,,,,0.7,,,,,
2016-02-04,3.2,9.5,-2.1,0.0,6.7,,,,0.8,,,,,
2016-02-05,3.1,9.1,-1.4,0.0,3.4,,,,0.7,,,,,
2016-02-06,2.4,7.9,-1.5,0.0,3.2,,,,0.8,,,,,
2016-02-07,1.7,7.8,-2.8,0.0,3.8,,,,0.7,,,,,
2016-02-08,3.7,8.5,-3.0,0.0,5.2,,,,1.6,,,,,
2016-02-09,6.3,11.7,-0.9,0.0,9.6,,,,1.4,,,,,
2016-02-10,4.8,13.9,-2.2,0.0,10.3,,,,0.8,,,,,
2016-02-11,7.7,16.3,0.6,0.0,7.5,,,,0.7,,,,,
2016-02-12,11.7,19.2,5.8,1.5,0.1,,,,1.2,,,,,
2016-02-13,15.7,19.4,11.1,52.5,0.1,,,,1.9,,,,,
2016-02-14,9.4,17.9,3.5,1.0,0.0,,,,3.0,,,,,
2016-02-15,1.9,4.5,-0.9,0.0,3.8,,,,1.9,,,,,
2016-02-16,2.1,6.1,-1.2,0.5,2.1,,,,1.3,,,,,
2016-02-17,2.6,7.3,-2.0,0.0,1.4,,,,0.8,,,,,
2016-02-18,3.8,11.2,-2.8,0.0,8.1,,,,1.1,,,,,
2016-02-19,7.2,13.3,0.9,0.0,4.2,,,,0.8,,,,,
2016-02-20,7.6,10.4,5.1,31.5,0.0,,,,1.1,,,,,
2016-02-21,4.1,9.1,-0.4,3.0,7.8,,,,1.1,,,,,
2016-02-22,4.9,11.4,-1.4,3.5,2.4,,,,0.7,,,,,
2016-02-23,6.7,11.0,3.7,5.0,2.0,,,,0.7,,,,,
2016-02-24,5.3,10.1,1.6,0.0,4.8,,,,1.3,,,,,
2016-02-25,2.0,5.9,-2.5,0.5,1.7,,,,0.8,,,,,
2016-02-26,2.4,9.6,-3.5,0.0,9.2,,,,0.8,,,,,
2016-02-27,6.0,13.1,-0.3,1.0,1.1,,,,1.1,,,,,
2016-02-28,9.9,17.7,3.0,0.0,8.6,,,,1.3,,,,,
2016-02-29,4.2,12.2,-1.5,0.0,1.5,,,,1.9,,,,,
2016-03-01,0.6,6.1,-3.9,0.0,8.2,,,,1.2,,,,,
2016-03-02,4.4,12.2,-3.1,0.0,9.3,,,,0.8,,,,,
2016-03-03,8.1,16.5,-0.7,0.0,10.0,,,,1.0,,,,,
2016-03-04,12.9,19.6,7.8,0.0,2.5,,,,0.7,,,,,
2016-03-05,14.7,23.0,7.1,0.0,10.2,,,,1.6,,,,,
2016-03-06,15.7,22.7,9.5,0.0,2.1,,,,0.8,,,,,
2016-03-07,15.7,23.7,10.1,0.0,8.4,,,,1.0,,,,,
2016-03-08,13.7,21.8,9.5,0.0,5.7,,,,1.2,,,,,
2016-03-09,8.7,11.6,6.1,33.0,0.0,,,,2.3,,,,,
2016-03-10,7.6,12.1,4.3,0.0,0.6,,,,0.9,,,,,
2016-03-11,4.9,10.1,0.2,0.0,3.3,,,,1.0,,,,,
2016-03-12,4.0,10.1,-1.9,0.0,6.0,,,,0.8,,,,,
2016-03-13,5.3,9.7,1.0,7.5,0.1,,,,0.6,,,,,
2016-03-14,7.5,12.4,4.7,2.5,4.9,,,,1.7,,,,,
2016-03-15,7.9,15.7,2.0,0.0,11.1,,,,1.2,,,,,
2016-03-16,9.5,17.6,3.4,0.0,8.9,,,,1.0,,,,,
2016-03-17,12.1,21.1,3.8,0.0,10.8,,,,0.9,,,,,
2016-03-18,12.8,14.5,10.2,18.0,0.0,,,,0.6,,,,,
2016-03-19,13.2,16.2,7.3,1.5,0.8,,,,0.8,,,,,
2016-03-20,10.1,17.4,4.6,0.0,11.1,,,,1.5,,,,,
2016-03-21,9.0,17.1,2.5,0.0,11.4,,,,1.5,,,,,
2016-03-22,8.9,18.2,-0.2,0.0,11.5,,,,1.1,,,,,
2016-03-23,10.6,17.3,3.7,0.0,4.3,,,,1.0,,,,,
2016-03-24,8.3,12.8,4.2,0.0,3.8,,,,1.6,,,,,
2016-03-25,7.2,13.9,2.4,0.0,8.2,,,,1.7,,,,,
2016-03-26,8.2,15.6,0.7,0.0,9.8,,,,1.4,,,,,
2016-03-27,6.7,13.4,2.0,0.0,3.9,,,,1.4,,,,,
2016-03-28,7.7,16.1,0.4,0.0,9.9,,,,1.1,,,,,
2016-03-29,10.8,17.1,2.9,0.0,3.5,,,,1.8,,,,,
2016-03-30,14.1,16.6,11.0,0.5,0.2,,,,1.7,,,,,
2016-03-31,13.0,16.6,8.8,7.5,0.5,,,,0.9,,,,,
2016-04-01,14.1,18.3,11.8,0.0,0.3,,,,1.1,,,,,
2016-04-02,16.1,23.0,9.3,0.0,6.8,,,,0.8,,,,,
2016-04-03,16.3,21.9,12.3,6.5,0.0,,,,0.6,,,,,
2016-04-04,15.0,18.9,9.6,11.0,0.6,,,,1.0,,,,,
2016-04-05,13.1,20.1,7.1,0.0,8.0,,,,0.8,,,,,
2016-04-06,14.9,22.0,8.1,6.5,4.0,,,,0.8,,,,,
2016-04-07,18.3,21.6,13.5,79.0,0.0,,,,4.1,,,,,
2016-04-08,15.4,20.8,11.4,0.0,4.4,,,,0.6,,,,,
2016-04-09,15.9,23.4,9.7,0.0,7.2,,,,0.9,,,,,
2016-04-10,16.1,23.2,11.3,0.0,3.1,,,,0.7,,,,,
2016-04-11,13.9,19.4,8.1,0.0,7.6,,,,1.3,,,,,
2016-04-12,14.6,22.9,5.7,0.0,7.6,,,,1.3,,,,,
2016-04-13,15.6,21.1,10.5,9.5,2.0,,,,1.0,,,,,
2016-04-14,17.6,24.6,11.4,0.0,10.3,,,,0.9,,,,,
2016-04-15,16.8,25.8,10.0,0.0,11.5,,,,1.4,,,,,
2016-04-16,16.6,24.3,9.5,7.0,5.9,,,,1.4,,,,,
2016-04-17,15.6,19.4,8.3,15.0,7.8,,,,3.1,,,,,
2016-04-18,11.1,16.1,6.1,0.0,0.0,,,,0.5,,,,,
2016-04-19,12.4,21.8,5.0,0.0,10.1,,,,1.0,,,,,
