calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.3,12.5,-0.8,0.0,7.9,,,,1.4,,,,,
2016-01-02,11.0,14.7,6.9,0.0,0.3,,,,1.3,,,,,
2016-01-03,10.7,15.6,4.7,0.0,1.2,,,,0.8,,,,,
2016-01-04,9.0,15.6,4.0,0.0,6.2,,,,1.3,,,,,
2016-01-05,8.4,12.1,6.1,0.5,0.0,,,,1.1,,,,,
2016-01-06,7.6,11.9,4.1,0.0,0.0,,,,0.8,,,,,
2016-01-07,8.6,9.8,5.2,0.0,2.6,,,,3.1,,,,,
2016-01-08,7.0,8.9,5.9,0.0,0.0,,,,4.2,,,,,
2016-01-09,7.6,9.0,6.0,0.0,0.6,,,,2.8,,,,,
2016-01-10,6.8,10.6,1.4,0.0,4.6,,,,2.2,,,,,
2016-01-11,6.3,11.6,1.4,0.0,2.3,,,,1.1,,,,,
2016-01-12,7.2,10.1,1.8,0.0,0.4,,,,1.9,,,,,
2016-01-13,5.9,7.2,1.3,0.0,0.4,,,,4.4,,,,,
2016-01-14,6.4,8.7,3.2,0.0,2.2,,,,3.4,,,,,
2016-01-15,4.7,9.7,0.0,0.0,8.8,,,,1.2,,,,,
2016-01-16,5.2,12.9,-2.1,0.0,7.1,,,,1.3,,,,,
2016-01-17,6.9,9.0,3.8,19.0,0.0,,,,3.0,,,,,
2016-01-18,7.0,10.4,1.9,6.5,1.2,,,,5.6,,,,,
2016-01-19,2.1,3.0,0.3,0.5,0.0,,,,7.4,,,,,
2016-01-20,1.6,4.8,-2.4,0.0,1.2,,,,2.7,,,,,
2016-01-21,2.6,7.2,-2.4,0.0,0.1,,,,1.0,,,,,
2016-01-22,5.9,8.6,2.4,8.0,0.5,,,,1.9,,,,,
2016-01-23,3.0,5.0,-1.2,2.5,0.0,,,,3.0,,,,,
2016-01-24,-2.2,0.0,-4.3,0.0,0.1,,,,6.4,,,,,
2016-01-25,2.6,5.0,-0.2,0.0,0.5,,,,4.4,,,,,
