calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.4,11.7,0.4,0.0,4.8,,,,0.7,,,,,
2016-01-02,5.3,14.2,0.9,0.0,3.8,,,,0.8,,,,,
2016-01-03,7.3,17.2,3.0,0.0,5.2,,,,0.8,,,,,
2016-01-04,6.6,15.8,2.6,0.0,3.6,,,,1.1,,,,,
2016-01-05,4.0,6.7,1.4,0.0,0.0,,,,0.4,,,,,
2016-01-06,4.9,10.4,1.7,0.0,0.8,,,,0.7,,,,,
2016-01-07,4.3,9.0,1.3,0.0,1.7,,,,0.9,,,,,
2016-01-08,3.3,6.2,0.5,0.0,0.0,,,,0.6,,,,,
2016-01-09,2.6,8.6,-0.8,0.0,1.3,,,,0.7,,,,,
2016-01-10,3.1,10.0,0.1,0.0,4.3,,,,0.7,,,,,
2016-01-11,3.6,10.7,-0.9,0.0,5.2,,,,0.6,,,,,
2016-01-12,4.1,9.1,0.7,0.0,1.9,,,,0.6,,,,,
2016-01-13,1.2,4.9,-2.4,0.5,0.9,,,,0.6,,,,,
2016-01-14,0.5,3.9,-2.1,3.5,0.1,,,,0.4,,,,,
2016-01-15,1.7,7.3,-0.6,0.0,3.0,,,,0.5,,,,,
2016-01-16,2.8,11.0,-1.5,0.0,6.5,,,,0.8,,,,,
2016-01-17,1.1,4.6,-1.1,20.0,0.0,,,,0.4,,,,,
2016-01-18,1.0,4.7,-1.6,23.0,0.4,,,,,,,,,
2016-01-19,-2.2,-1.1,-3.2,10.5,0.0,,,,1.9,,,,,
2016-01-20,-0.6,2.5,-4.2,6.5,0.7,,,,,,,,,
2016-01-21,0.7,3.2,-1.1,0.5,0.2,,,,,,,,,
2016-01-22,1.8,7.6,-0.1,0.5,3.3,,,,0.6,,,,,
2016-01-23,0.2,4.1,-2.7,5.5,0.2,,,,0.5,,,,,
2016-01-24,-6.0,-2.6,-7.2,37.5,0.0,,,,0.5,,,,,
2016-01-25,-1.9,1.7,-4.9,6.5,2.1,,,,,,,,,
2016-01-26,-0.6,0.9,-2.1,0.0,0.0,,,,0.4,,,,,
2016-01-27,1.2,5.6,-0.8,0.0,2.2,,,,0.5,,,,,
2016-01-28,1.3,4.0,-0.4,7.0,0.0,,,,0.3,,,,,
2016-01-29,1.6,2.6,0.8,24.0,0.0,,,,0.3,,,,,
2016-01-30,2.5,7.3,0.7,1.5,0.3,,,,0.3,,,,,
2016-01-31,2.5,8.0,-0.1,0.0,1.8,,,,0.4,,,,,
2016-02-01,2.1,6.0,-0.1,0.0,0.0,,,,0.5,,,,,
2016-02-02,2.2,9.9,-1.5,0.0,3.6,,,,0.5,,,,,
2016-02-03,2.3,9.0,-1.2,0.0,1.7,,,,0.5,,,,,
2016-02-04,2.9,10.6,-1.1,0.0,6.2,,,,1.0,,,,,
2016-02-05,2.2,10.7,-1.9,0.0,7.2,,,,0.7,,,,,
2016-02-06,1.0,7.5,-2.3,1.0,3.4,,,,0.7,,,,,
2016-02-07,1.6,9.2,-2.2,0.0,5.3,,,,,,,,,
2016-02-08,2.5,10.4,-2.5,0.0,5.7,,,,1.2,,,,,
2016-02-09,3.9,9.5,-1.7,0.5,6.1,,,,1.9,,,,,
2016-02-10,3.0,13.4,-3.6,0.0,8.6,,,,0.6,,,,,
2016-02-11,4.1,16.4,-3.3,0.0,8.7,,,,0.8,,,,,
2016-02-12,5.5,13.3,-0.2,3.0,0.0,,,,0.6,,,,,
2016-02-13,8.3,11.1,6.7,40.5,0.0,,,,0.4,,,,,
2016-02-14,8.7,12.2,5.5,2.5,0.2,,,,1.3,,,,,
2016-02-15,1.1,5.8,-1.9,2.5,1.4,,,,1.3,,,,,
2016-02-16,0.3,4.2,-1.9,7.5,2.2,,,,0.6,,,,,
2016-02-17,0.8,5.7,-2.3,4.5,2.2,,,,0.6,,,,,
2016-02-18,1.0,10.1,-5.6,0.0,8.9,,,,1.2,,,,,
2016-02-19,5.1,13.8,-0.7,0.0,4.7,,,,1.2,,,,,
2016-02-20,4.7,6.8,3.6,32.0,0.0,,,,0.4,,,,,
2016-02-21,2.6,8.3,-1.6,3.5,5.5,,,,1.2,,,,,
2016-02-22,2.7,8.4,-2.3,0.0,0.9,,,,0.6,,,,,
2016-02-23,3.2,8.9,0.5,0.0,1.4,,,,0.5,,,,,
2016-02-24,2.0,5.2,0.0,0.5,0.0,,,,0.6,,,,,
2016-02-25,1.0,5.5,-2.7,0.0,1.7,,,,,,,,,
2016-02-26,1.6,9.8,-4.0,0.0,4.1,,,,0.7,,,,,
2016-02-27,3.1,7.7,-0.8,2.5,0.5,,,,0.7,,,,,
2016-02-28,6.6,15.3,1.9,0.0,3.6,,,,1.2,,,,,
2016-02-29,2.1,7.8,-2.3,12.5,0.0,,,,0.9,,,,,
2016-03-01,-0.3,2.8,-2.3,3.5,0.9,,,,,,,,,
2016-03-02,2.5,11.8,-1.9,0.0,6.9,,,,0.6,,,,,
2016-03-03,6.0,18.6,-1.1,0.0,7.8,,,,0.9,,,,,
2016-03-04,6.5,13.3,1.7,2.0,0.5,,,,0.4,,,,,
2016-03-05,12.2,20.0,5.0,0.0,2.9,,,,1.5,,,,,
2016-03-06,14.4,17.7,11.4,16.0,0.0,,,,1.4,,,,,
2016-03-07,14.3,23.5,9.6,0.0,5.7,,,,0.7,,,,,
2016-03-08,9.8,13.4,6.7,0.0,0.1,,,,0.9,,,,,
2016-03-09,6.7,8.2,4.8,32.5,0.0,,,,0.5,,,,,
2016-03-10,6.1,10.5,2.7,0.0,1.1,,,,0.7,,,,,
2016-03-11,4.6,9.8,0.9,0.0,2.0,,,,1.0,,,,,
2016-03-12,4.1,11.3,0.0,0.0,3.5,,,,0.8,,,,,
2016-03-13,5.0,11.4,-0.2,4.0,1.3,,,,0.6,,,,,
2016-03-14,5.2,11.7,2.5,4.5,2.1,,,,0.8,,,,,
2016-03-15,5.9,15.6,-0.5,0.5,10.2,,,,0.9,,,,,
2016-03-16,7.4,17.7,1.3,0.0,6.1,,,,1.2,,,,,
2016-03-17,9.3,20.8,-0.5,0.0,10.3,,,,1.1,,,,,
2016-03-18,9.6,11.6,6.6,21.5,0.0,,,,0.4,,,,,
2016-03-19,12.1,19.2,6.7,6.0,4.0,,,,1.1,,,,,
2016-03-20,8.0,16.0,3.2,0.0,10.4,,,,1.5,,,,,
2016-03-21,6.7,15.7,-0.4,0.0,10.5,,,,0.9,,,,,
2016-03-22,7.8,20.5,-1.5,0.0,10.5,,,,1.1,,,,,
2016-03-23,9.6,20.6,2.4,0.0,7.5,,,,1.2,,,,,
2016-03-24,5.9,13.0,0.7,0.0,5.0,,,,1.1,,,,,
2016-03-25,4.1,12.7,-1.8,0.0,9.9,,,,1.0,,,,,
2016-03-26,5.5,15.9,-2.6,0.0,7.5,,,,0.8,,,,,
2016-03-27,5.3,14.7,1.9,4.0,3.5,,,,1.1,,,,,
2016-03-28,7.3,16.3,2.1,2.5,7.9,,,,0.9,,,,,
2016-03-29,7.9,18.5,-0.5,0.0,5.8,,,,1.0,,,,,
2016-03-30,10.3,19.5,4.0,0.5,3.7,,,,0.8,,,,,
2016-03-31,12.2,19.6,7.0,1.5,1.7,,,,0.8,,,,,
2016-04-01,12.4,15.2,10.7,19.5,0.0,,,,0.4,,,,,
2016-04-02,14.3,20.6,10.3,0.0,0.6,,,,1.0,,,,,
2016-04-03,14.5,19.2,11.1,4.5,0.2,,,,0.5,,,,,
2016-04-04,14.3,19.9,8.9,4.5,2.0,,,,1.0,,,,,
2016-04-05,12.2,20.7,6.5,0.0,8.3,,,,1.2,,,,,
2016-04-06,12.4,23.2,3.9,4.0,7.4,,,,1.1,,,,,
2016-04-07,12.6,17.5,9.8,34.0,0.0,,,,0.6,,,,,
2016-04-08,13.9,23.5,8.5,0.0,6.2,,,,0.7,,,,,
2016-04-09,14.0,24.6,6.4,0.0,10.0,,,,1.3,,,,,
2016-04-10,12.9,22.5,6.5,0.0,1.6,,,,0.7,,,,,
2016-04-11,10.8,16.7,3.2,0.0,8.3,,,,1.4,,,,,
2016-04-12,9.4,19.0,0.2,0.0,8.1,,,,1.2,,,,,
2016-04-13,12.4,21.7,6.1,18.5,2.8,,,,0.9,,,,,
2016-04-14,16.4,24.8,10.2,0.5,9.5,,,,0.9,,,,,
2016-04-15,14.6,24.6,7.7,0.0,11.3,,,,1.2,,,,,
2016-04-16,14.9,25.0,5.2,0.0,8.1,,,,2.2,,,,,
2016-04-17,17.4,26.0,9.4,23.0,10.7,,,,2.3,,,,,
2016-04-18,11.0,16.8,5.2,0.0,0.1,,,,0.9,,,,,
2016-04-19,10.8,19.7,2.8,0.0,8.1,,,,1.3,,,,,
2016-04-20,14.0,24.3,2.2,0.0,10.4,,,,1.6,,,,,
2016-04-21,13.5,16.8,11.4,39.5,0.0,,,,1.0,,,,,
2016-04-22,17.4,26.5,11.6,0.0,8.8,,,,1.2,,,,,
2016-04-23,14.0,20.2,8.9,0.5,2.5,,,,0.6,,,,,
2016-04-24,15.2,22.3,9.3,0.0,4.0,,,,0.8,,,,,
2016-04-25,13.8,24.0,6.1,0.0,5.0,,,,0.6,,,,,
2016-04-26,16.9,28.5,6.5,0.0,10.1,,,,1.0,,,,,
2016-04-27,15.2,16.8,13.6,35.0,0.0,,,,0.4,,,,,
2016-04-28,14.2,20.3,8.5,5.0,1.5,,,,1.2,,,,,
2016-04-29,11.8,18.6,5.7,0.0,10.6,,,,1.3,,,,,
2016-04-30,13.4,24.6,3.3,0.0,11.7,,,,1.2,,,,,
2016-05-01,16.7,28.6,6.9,0.0,11.3,,,,1.3,,,,,
2016-05-02,18.2,29.3,8.7,0.0,11.3,,,,1.4,,,,,
2016-05-03,16.0,19.3,11.4,36.0,0.0,,,,2.5,,,,,
2016-05-04,17.8,24.8,8.5,0.0,11.3,,,,3.2,,,,,
2016-05-05,17.9,26.0,11.0,0.0,9.1,,,,1.4,,,,,
2016-05-06,13.5,15.1,11.6,7.0,0.0,,,,0.5,,,,,
2016-05-07,17.5,25.7,10.4,0.0,7.6,,,,1.1,,,,,
2016-05-08,16.0,25.5,7.2,0.0,8.3,,,,1.0,,,,,
2016-05-09,14.5,16.4,12.8,18.0,0.0,,,,0.2,,,,,
2016-05-10,16.3,18.0,14.9,23.5,0.0,,,,0.2,,,,,
2016-05-11,13.7,18.0,8.8,2.0,0.6,,,,1.3,,,,,
2016-05-12,15.7,27.3,6.8,0.0,11.1,,,,1.2,,,,,
2016-05-13,17.3,27.5,9.8,0.0,7.6,,,,1.1,,,,,
2016-05-14,18.8,29.1,10.1,0.0,12.0,,,,1.0,,,,,
2016-05-15,19.2,25.3,12.9,0.0,2.8,,,,1.4,,,,,
2016-05-16,14.9,21.7,8.3,60.5,0.0,,,,1.1,,,,,
2016-05-17,15.1,26.7,6.6,0.0,10.5,,,,0.9,,,,,
2016-05-18,17.4,29.9,6.9,0.0,12.0,,,,0.8,,,,,
