calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.2,10.3,-3.8,0.0,6.8,,,,,,,,,
2016-01-02,5.2,12.6,-1.7,0.0,4.1,,,,1.2,,,,,
2016-01-03,6.9,14.9,0.9,0.0,5.5,,,,0.8,,,,,
2016-01-04,6.9,15.0,0.1,0.0,6.9,,,,1.2,,,,,
2016-01-05,4.5,10.1,0.5,1.0,0.1,,,,0.7,,,,,
2016-01-06,4.5,9.8,0.2,0.0,0.9,,,,0.5,,,,,
2016-01-07,4.1,9.5,0.0,0.0,5.2,,,,1.7,,,,,
2016-01-08,3.1,7.1,-1.2,0.0,0.4,,,,2.2,,,,,
2016-01-09,2.2,8.4,-2.5,0.0,6.5,,,,1.4,,,,,
2016-01-10,2.4,9.6,-2.3,0.0,4.8,,,,1.2,,,,,
2016-01-11,3.8,10.8,-2.5,0.0,5.4,,,,,,,,,
2016-01-12,5.0,8.8,2.4,0.0,4.1,,,,2.2,,,,,
2016-01-13,1.7,7.1,-2.8,0.0,3.7,,,,2.1,,,,,
2016-01-14,0.7,6.8,-4.4,0.0,3.8,,,,1.5,,,,,
2016-01-15,0.7,7.8,-4.2,0.0,7.4,,,,1.4,,,,,
2016-01-16,0.8,9.5,-5.5,0.0,8.7,,,,0.8,,,,,
2016-01-17,1.6,5.9,-2.8,14.5,0.0,,,,1.2,,,,,
2016-01-18,4.3,9.4,-0.5,12.0,4.4,,,,4.7,,,,,
2016-01-19,-1.2,1.4,-3.5,0.0,5.9,,,,5.9,,,,,
2016-01-20,0.7,5.2,-3.0,0.0,7.9,,,,3.1,,,,,
2016-01-21,1.3,6.5,-3.3,0.0,3.5,,,,0.8,,,,,
2016-01-22,2.7,7.6,-1.3,0.0,6.5,,,,1.6,,,,,
2016-01-23,1.2,6.2,-1.5,0.0,2.4,,,,2.5,,,,,
2016-01-24,-4.4,-1.1,-6.3,0.5,3.5,,,,4.0,,,,,
2016-01-25,-2.4,2.2,-9.6,0.5,5.2,,,,1.6,,,,,
