calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.6,11.6,1.4,0.0,8.3,,,,1.5,,,,,
2016-01-02,11.3,14.6,6.6,0.0,3.5,,,,2.6,,,,,
2016-01-03,10.7,15.1,6.7,0.0,5.5,,,,0.8,,,,,
2016-01-04,12.9,16.1,8.6,0.0,7.1,,,,3.3,,,,,
2016-01-05,8.8,13.1,5.2,0.0,0.2,,,,1.5,,,,,
2016-01-06,8.5,11.5,5.2,0.0,0.3,,,,0.8,,,,,
2016-01-07,9.1,12.1,5.0,0.0,6.1,,,,2.7,,,,,
2016-01-08,8.0,10.6,4.2,0.0,1.5,,,,4.2,,,,,
2016-01-09,6.7,10.5,1.7,0.0,6.9,,,,2.4,,,,,
2016-01-10,8.5,11.5,4.8,0.0,6.8,,,,3.4,,,,,
2016-01-11,8.0,11.3,3.4,0.0,3.1,,,,1.9,,,,,
2016-01-12,7.5,11.2,5.0,0.0,3.2,,,,1.8,,,,,
2016-01-13,6.1,9.0,2.6,0.0,4.9,,,,3.6,,,,,
2016-01-14,5.9,9.4,1.7,0.0,7.0,,,,3.4,,,,,
2016-01-15,4.6,9.0,1.0,0.0,3.1,,,,1.4,,,,,
2016-01-16,4.2,9.9,-0.7,0.0,9.5,,,,1.0,,,,,
2016-01-17,5.3,8.3,1.5,4.0,0.0,,,,2.7,,,,,
2016-01-18,7.5,12.9,2.9,7.5,4.2,,,,5.6,,,,,
2016-01-19,2.2,4.0,0.6,0.0,1.4,,,,5.9,,,,,
2016-01-20,3.5,7.0,0.5,0.0,3.2,,,,3.1,,,,,
2016-01-21,5.3,8.9,0.2,0.0,3.7,,,,1.5,,,,,
2016-01-22,6.6,9.7,3.2,0.0,5.0,,,,2.4,,,,,
2016-01-23,4.0,9.1,0.7,0.5,3.5,,,,1.9,,,,,
2016-01-24,-1.4,1.1,-3.1,0.0,3.9,,,,3.7,,,,,
2016-01-25,2.1,5.6,-2.9,0.0,7.1,,,,3.9,,,,,
2016-01-26,5.7,7.8,1.4,0.0,0.4,,,,4.1,,,,,
2016-01-27,8.4,10.8,6.2,0.0,4.9,,,,4.7,,,,,
2016-01-28,7.4,10.7,3.6,3.0,0.8,,,,1.0,,,,,
2016-01-29,8.1,9.1,7.1,24.5,0.0,,,,1.1,,,,,
2016-01-30,8.3,10.1,7.1,4.5,0.0,,,,2.5,,,,,
2016-01-31,7.5,11.3,2.4,0.0,5.9,,,,2.4,,,,,
2016-02-01,7.5,9.7,4.9,0.0,0.0,,,,2.8,,,,,
2016-02-02,6.4,10.2,2.8,0.0,4.1,,,,2.3,,,,,
2016-02-03,5.5,9.0,2.2,0.0,6.3,,,,2.2,,,,,
2016-02-04,6.5,10.0,1.3,0.0,7.5,,,,3.0,,,,,
2016-02-05,6.3,10.9,1.1,0.0,6.0,,,,1.6,,,,,
2016-02-06,5.3,9.0,1.5,0.0,1.9,,,,1.9,,,,,
2016-02-07,3.8,8.1,0.4,0.0,8.2,,,,1.7,,,,,
2016-02-08,5.3,9.3,-0.4,0.0,5.3,,,,2.9,,,,,
2016-02-09,8.1,11.6,1.2,0.0,5.5,,,,4.3,,,,,
2016-02-10,5.3,10.8,0.1,0.0,9.7,,,,1.2,,,,,
2016-02-11,6.3,11.8,1.7,0.0,10.0,,,,1.5,,,,,
2016-02-12,8.9,14.0,2.4,0.0,1.7,,,,1.1,,,,,
2016-02-13,11.5,13.5,10.1,36.5,0.0,,,,0.9,,,,,
2016-02-14,12.8,17.3,8.7,4.0,3.7,,,,5.3,,,,,
2016-02-15,5.5,8.9,0.7,0.0,4.0,,,,3.9,,,,,
2016-02-16,4.4,7.5,-0.6,0.0,7.0,,,,4.4,,,,,
2016-02-17,5.5,8.2,0.3,0.0,4.5,,,,3.5,,,,,
2016-02-18,4.9,11.4,-1.6,0.0,9.8,,,,1.5,,,,,
2016-02-19,8.4,13.8,2.0,0.0,5.0,,,,1.8,,,,,
2016-02-20,8.4,10.7,7.4,18.0,0.0,,,,2.0,,,,,
2016-02-21,6.7,10.5,2.0,0.5,8.2,,,,2.9,,,,,
2016-02-22,5.7,9.2,0.2,0.0,3.2,,,,1.6,,,,,
2016-02-23,6.5,10.5,3.3,0.0,0.9,,,,1.3,,,,,
2016-02-24,5.5,8.2,1.6,0.0,1.4,,,,2.5,,,,,
2016-02-25,4.0,9.0,0.1,0.0,5.4,,,,2.0,,,,,
2016-02-26,4.4,9.1,-1.8,0.0,9.0,,,,3.1,,,,,
2016-02-27,7.2,14.8,1.8,0.0,4.6,,,,1.8,,,,,
2016-02-28,7.8,12.5,3.5,0.0,9.0,,,,1.1,,,,,
2016-02-29,6.4,14.8,1.0,1.0,1.7,,,,4.1,,,,,
2016-03-01,2.9,5.9,-1.2,0.0,3.3,,,,2.1,,,,,
2016-03-02,6.2,11.2,-0.2,0.0,9.0,,,,2.8,,,,,
2016-03-03,9.5,14.7,5.0,0.0,10.6,,,,3.4,,,,,
2016-03-04,8.9,12.9,4.6,0.0,2.4,,,,0.7,,,,,
2016-03-05,11.3,18.7,5.4,0.0,9.9,,,,1.2,,,,,
2016-03-06,12.9,18.0,8.5,0.0,0.1,,,,0.9,,,,,
2016-03-07,13.7,19.0,9.8,0.0,6.2,,,,1.1,,,,,
2016-03-08,13.6,18.2,10.2,0.0,2.8,,,,2.3,,,,,
2016-03-09,8.7,13.1,6.4,46.0,0.0,,,,2.6,,,,,
2016-03-10,7.8,10.2,5.2,0.0,1.8,,,,2.0,,,,,
2016-03-11,7.2,10.6,4.5,0.0,3.4,,,,2.8,,,,,
2016-03-12,6.7,10.5,3.3,0.0,10.8,,,,2.6,,,,,
2016-03-13,7.0,10.4,3.7,4.5,1.0,,,,1.2,,,,,
2016-03-14,6.5,9.3,3.0,8.5,0.5,,,,1.8,,,,,
2016-03-15,6.7,11.8,1.5,0.0,10.8,,,,1.8,,,,,
2016-03-16,8.1,12.5,3.8,0.0,7.1,,,,1.3,,,,,
2016-03-17,9.9,15.4,3.4,0.0,10.9,,,,1.2,,,,,
2016-03-18,11.1,13.9,7.7,7.5,0.0,,,,0.7,,,,,
2016-03-19,13.3,18.0,7.6,3.5,1.6,,,,1.5,,,,,
2016-03-20,10.3,14.4,5.6,0.0,10.9,,,,2.3,,,,,
2016-03-21,8.5,12.9,4.5,0.0,11.2,,,,2.3,,,,,
2016-03-22,10.4,17.2,2.5,0.0,11.0,,,,2.4,,,,,
2016-03-23,12.4,17.8,6.5,0.0,9.3,,,,2.5,,,,,
2016-03-24,9.4,14.5,4.0,0.0,7.0,,,,3.6,,,,,
2016-03-25,7.4,11.3,2.3,0.0,10.6,,,,2.6,,,,,
2016-03-26,6.9,12.1,1.3,0.0,11.2,,,,1.6,,,,,
2016-03-27,8.7,13.8,3.4,0.0,10.3,,,,2.3,,,,,
2016-03-28,10.0,15.0,4.6,0.0,9.1,,,,2.7,,,,,
2016-03-29,11.6,16.6,3.9,0.0,6.5,,,,2.7,,,,,
2016-03-30,14.6,18.8,8.2,0.0,4.1,,,,3.0,,,,,
2016-03-31,13.1,17.5,8.7,0.5,4.3,,,,1.1,,,,,
2016-04-01,14.6,16.6,12.1,5.0,0.2,,,,3.3,,,,,
2016-04-02,14.0,17.7,10.3,0.0,4.6,,,,1.2,,,,,
2016-04-03,14.8,20.6,11.2,6.0,0.7,,,,1.1,,,,,
2016-04-04,14.7,17.7,12.9,20.0,0.2,,,,0.8,,,,,
2016-04-05,12.5,15.4,8.9,0.0,3.8,,,,1.4,,,,,
2016-04-06,13.0,17.3,7.6,0.0,7.2,,,,1.1,,,,,
2016-04-07,15.6,21.8,11.7,35.5,0.0,,,,2.2,,,,,
2016-04-08,13.9,17.6,10.8,0.0,4.7,,,,1.8,,,,,
2016-04-09,14.8,20.2,9.9,0.0,9.6,,,,1.3,,,,,
2016-04-10,14.4,18.2,10.6,0.0,1.4,,,,1.1,,,,,
2016-04-11,12.5,16.3,7.1,0.0,8.6,,,,3.2,,,,,
2016-04-12,10.4,15.7,6.3,0.0,9.9,,,,2.3,,,,,
2016-04-13,13.0,18.6,7.5,13.0,4.9,,,,1.4,,,,,
2016-04-14,16.6,22.1,13.3,0.0,10.2,,,,2.1,,,,,
2016-04-15,14.7,19.2,9.2,0.0,11.5,,,,2.2,,,,,
2016-04-16,13.9,18.7,7.3,0.0,8.9,,,,1.5,,,,,
2016-04-17,17.9,23.4,13.5,12.5,9.8,,,,5.7,,,,,
2016-04-18,14.5,17.2,9.2,0.0,0.5,,,,2.8,,,,,
2016-04-19,14.5,19.7,8.0,0.0,11.6,,,,3.6,,,,,
2016-04-20,13.7,17.6,8.1,0.0,10.9,,,,1.8,,,,,
2016-04-21,14.4,16.4,12.7,35.0,0.0,,,,1.8,,,,,
2016-04-22,17.5,22.2,13.9,0.0,11.1,,,,2.5,,,,,
2016-04-23,16.0,20.3,13.0,2.5,2.8,,,,1.0,,,,,
2016-04-24,14.7,20.4,11.0,0.0,3.2,,,,0.8,,,,,
2016-04-25,14.3,18.4,9.4,0.0,4.1,,,,1.0,,,,,
2016-04-26,16.1,21.7,10.3,0.0,10.0,,,,1.2,,,,,
2016-04-27,17.1,19.4,14.9,3.0,0.0,,,,3.2,,,,,
2016-04-28,15.7,20.6,11.3,10.0,0.7,,,,2.0,,,,,
2016-04-29,12.7,18.2,7.5,0.0,9.3,,,,1.7,,,,,
2016-04-30,15.9,22.5,7.4,0.0,12.1,,,,2.9,,,,,
2016-05-01,19.5,25.9,14.4,0.0,11.9,,,,3.3,,,,,
2016-05-02,17.6,24.5,11.8,0.0,11.6,,,,1.2,,,,,
2016-05-03,17.4,21.7,13.6,10.0,0.0,,,,2.4,,,,,
2016-05-04,19.9,23.5,14.8,0.0,12.2,,,,7.6,,,,,
2016-05-05,18.9,22.6,14.3,0.0,10.6,,,,3.9,,,,,
2016-05-06,15.8,17.4,14.2,2.0,0.0,,,,0.9,,,,,
2016-05-07,18.7,24.2,14.4,0.0,5.0,,,,2.2,,,,,
2016-05-08,18.0,24.8,10.8,0.0,8.6,,,,1.8,,,,,
2016-05-09,15.4,17.0,13.1,15.5,0.0,,,,1.3,,,,,
2016-05-10,16.9,18.5,15.8,8.0,0.0,,,,0.8,,,,,
2016-05-11,17.7,21.2,11.5,1.5,4.3,,,,3.1,,,,,
2016-05-12,15.3,21.5,9.6,0.0,12.6,,,,1.5,,,,,
2016-05-13,17.8,23.8,11.4,0.0,10.7,,,,1.3,,,,,
2016-05-14,19.1,25.1,13.6,0.0,12.1,,,,1.4,,,,,
2016-05-15,20.0,25.0,15.4,0.0,5.4,,,,1.0,,,,,
2016-05-16,18.0,24.2,12.6,20.0,0.6,,,,1.7,,,,,
2016-05-17,15.8,23.1,9.0,0.0,12.2,,,,1.1,,,,,
2016-05-18,18.0,27.0,10.4,0.0,12.7,,,,1.7,,,,,
2016-05-19,18.3,24.6,12.2,0.0,11.6,,,,1.3,,,,,
2016-05-20,19.1,25.3,14.2,0.0,11.8,,,,1.5,,,,,
2016-05-21,19.0,24.8,14.0,0.0,12.4,,,,1.2,,,,,
2016-05-22,19.9,26.9,13.8,0.0,12.3,,,,1.4,,,,,
2016-05-23,19.6,25.8,13.9,0.0,12.5,,,,1.3,,,,,
2016-05-24,19.7,23.9,13.7,0.0,5.7,,,,1.0,,,,,
2016-05-25,19.6,22.2,17.7,1.5,0.0,,,,1.2,,,,,
2016-05-26,21.1,24.3,18.3,0.0,1.0,,,,1.1,,,,,
2016-05-27,22.3,26.3,19.2,0.0,7.4,,,,1.4,,,,,
2016-05-28,19.8,22.3,18.3,0.0,0.2,,,,0.7,,,,,
2016-05-29,19.5,21.5,18.6,9.0,0.0,,,,0.8,,,,,
2016-05-30,21.4,25.6,18.2,0.5,6.4,,,,1.3,,,,,
2016-05-31,22.2,29.1,16.2,0.0,11.8,,,,1.9,,,,,
2016-06-01,20.5,25.4,14.5,0.0,7.9,,,,2.3,,,,,
2016-06-02,18.4,24.0,12.0,0.0,13.1,,,,1.5,,,,,
2016-06-03,18.9,23.9,12.7,0.0,12.7,,,,1.5,,,,,
2016-06-04,18.3,21.9,15.2,11.5,0.0,,,,2.4,,,,,
2016-06-05,18.6,22.4,16.4,19.0,0.0,,,,3.4,,,,,
2016-06-06,20.6,25.7,17.9,0.0,1.7,,,,1.2,,,,,
2016-06-07,20.4,24.5,18.9,14.5,2.3,,,,1.7,,,,,
2016-06-08,21.8,26.6,19.5,0.0,4.9,,,,1.5,,,,,
2016-06-09,21.3,24.9,19.4,10.5,3.1,,,,0.8,,,,,
2016-06-10,22.6,27.7,18.2,0.0,12.6,,,,1.3,,,,,
2016-06-11,23.0,27.7,18.8,0.0,6.2,,,,1.2,,,,,
2016-06-12,22.3,26.2,20.3,61.0,0.0,,,,2.3,,,,,
2016-06-13,21.9,24.8,20.2,9.5,1.4,,,,1.1,,,,,
2016-06-14,22.7,28.2,18.3,0.0,11.7,,,,1.1,,,,,
2016-06-15,23.4,29.1,19.6,0.0,6.2,,,,1.0,,,,,
2016-06-16,22.8,25.7,21.2,4.0,0.0,,,,1.4,,,,,
2016-06-17,23.3,26.5,19.2,0.0,7.2,,,,3.7,,,,,
2016-06-18,22.8,27.7,17.6,0.0,12.3,,,,1.2,,,,,
2016-06-19,21.8,24.8,20.3,35.0,0.9,,,,1.3,,,,,
2016-06-20,22.9,27.4,21.2,12.5,1.5,,,,1.9,,,,,
2016-06-21,22.9,27.4,20.6,68.0,1.8,,,,1.4,,,,,
2016-06-22,21.8,23.5,21.1,63.5,0.0,,,,0.8,,,,,
2016-06-23,24.1,28.1,21.1,34.5,8.9,,,,2.3,,,,,
2016-06-24,22.2,26.3,20.8,24.5,0.0,,,,1.6,,,,,
2016-06-25,23.0,26.4,21.0,0.5,0.0,,,,5.2,,,,,
2016-06-26,23.0,26.7,19.1,0.0,12.9,,,,4.0,,,,,
2016-06-27,20.8,25.3,17.3,31.5,4.5,,,,1.2,,,,,
2016-06-28,20.5,23.5,18.8,16.5,0.3,,,,1.1,,,,,
2016-06-29,21.4,23.5,20.5,64.0,0.0,,,,1.0,,,,,
2016-06-30,22.8,26.7,20.9,0.0,1.0,,,,1.1,,,,,
2016-07-01,23.9,28.4,20.1,0.0,8.2,,,,1.0,,,,,
2016-07-02,25.5,33.1,21.2,0.0,9.5,,,,1.1,,,,,
2016-07-03,27.5,32.4,23.5,0.0,9.7,,,,3.0,,,,,
2016-07-04,27.2,34.5,22.7,0.0,10.8,,,,1.4,,,,,
2016-07-05,27.1,32.1,22.7,0.0,12.3,,,,1.5,,,,,
2016-07-06,27.2,32.4,23.0,0.0,9.7,,,,2.0,,,,,
2016-07-07,26.3,30.5,22.7,0.0,11.8,,,,2.1,,,,,
2016-07-08,23.1,24.4,21.7,55.5,0.0,,,,1.3,,,,,
2016-07-09,23.8,28.2,21.7,39.0,3.2,,,,1.2,,,,,
2016-07-10,25.5,29.5,22.9,0.0,5.6,,,,1.1,,,,,
2016-07-11,25.1,30.5,22.9,6.5,0.3,,,,1.5,,,,,
2016-07-12,26.3,30.6,23.2,0.0,4.9,,,,1.2,,,,,
2016-07-13,26.1,29.3,23.7,30.0,0.1,,,,3.3,,,,,
2016-07-14,27.7,30.6,25.5,0.0,8.5,,,,3.8,,,,,
2016-07-15,24.7,28.8,20.4,0.0,5.3,,,,2.0,,,,,
2016-07-16,23.9,28.8,19.1,0.0,6.9,,,,1.0,,,,,
2016-07-17,25.5,30.5,22.7,6.0,5.0,,,,1.4,,,,,
2016-07-18,25.3,30.3,21.5,0.0,12.5,,,,1.9,,,,,
2016-07-19,25.8,30.4,22.1,0.0,8.6,,,,1.0,,,,,
2016-07-20,26.6,31.5,22.5,0.0,11.3,,,,1.5,,,,,
2016-07-21,26.3,29.9,23.5,0.0,9.5,,,,1.3,,,,,
2016-07-22,25.9,29.7,22.5,0.0,7.3,,,,1.3,,,,,
2016-07-23,26.0,30.5,21.9,0.0,10.7,,,,1.3,,,,,
2016-07-24,26.4,30.7,22.6,0.0,8.8,,,,1.1,,,,,
2016-07-25,26.3,30.0,24.1,0.0,1.6,,,,0.9,,,,,
2016-07-26,27.1,32.2,23.3,0.0,5.5,,,,2.1,,,,,
2016-07-27,27.1,31.5,23.6,0.0,8.7,,,,1.4,,,,,
2016-07-28,27.1,30.9,23.1,0.0,11.1,,,,1.1,,,,,
2016-07-29,27.4,31.8,23.9,0.0,12.2,,,,1.3,,,,,
2016-07-30,27.5,32.0,24.0,0.0,10.1,,,,1.2,,,,,
2016-07-31,27.5,32.4,24.0,0.0,9.8,,,,1.2,,,,,
2016-08-01,28.0,33.1,23.9,0.0,11.6,,,,1.3,,,,,
2016-08-02,27.5,32.2,23.7,0.0,9.7,,,,1.4,,,,,
2016-08-03,27.6,32.5,23.5,0.0,9.5,,,,1.3,,,,,
2016-08-04,28.0,32.6,23.9,0.0,10.2,,,,1.3,,,,,
2016-08-05,28.0,34.5,24.0,0.0,10.9,,,,1.1,,,,,
2016-08-06,28.3,33.0,24.3,0.0,10.8,,,,1.3,,,,,
2016-08-07,28.5,33.1,24.5,0.0,10.0,,,,1.4,,,,,
2016-08-08,28.8,34.3,24.5,0.0,9.2,,,,1.4,,,,,
2016-08-09,29.1,34.0,24.2,0.0,11.7,,,,1.4,,,,,
2016-08-10,28.3,32.6,24.3,0.0,11.9,,,,1.4,,,,,
2016-08-11,27.2,33.2,22.4,0.0,12.1,,,,1.2,,,,,
2016-08-12,27.7,33.0,22.9,0.0,12.0,,,,1.4,,,,,
2016-08-13,28.5,33.8,23.8,0.0,11.9,,,,1.4,,,,,
2016-08-14,29.6,34.4,25.5,0.0,11.9,,,,1.9,,,,,
2016-08-15,29.6,34.6,26.1,0.0,7.1,,,,2.0,,,,,
2016-08-16,28.6,32.8,25.6,0.0,4.4,,,,1.6,,,,,
2016-08-17,29.4,32.8,25.1,0.0,8.8,,,,2.1,,,,,
2016-08-18,29.0,35.0,25.1,0.0,10.4,,,,1.9,,,,,
2016-08-19,29.5,36.2,25.0,0.0,11.1,,,,1.5,,,,,
2016-08-20,29.6,35.3,25.2,0.0,9.5,,,,1.7,,,,,
2016-08-21,30.4,36.3,26.4,0.0,11.8,,,,1.9,,,,,
2016-08-22,29.0,35.2,25.6,4.0,7.8,,,,1.6,,,,,
2016-08-23,29.4,34.7,24.0,0.0,10.7,,,,2.2,,,,,
2016-08-24,29.1,34.7,26.1,0.0,8.1,,,,2.4,,,,,
2016-08-25,28.6,33.6,24.9,0.0,7.7,,,,1.3,,,,,
2016-08-26,28.6,33.4,24.9,0.0,9.2,,,,2.2,,,,,
2016-08-27,27.3,32.1,24.8,0.0,2.4,,,,3.3,,,,,
2016-08-28,27.0,30.4,23.7,0.0,1.7,,,,2.7,,,,,
2016-08-29,24.8,28.6,21.3,21.0,3.0,,,,3.4,,,,,
2016-08-30,24.1,26.6,21.1,1.5,8.4,,,,5.7,,,,,
2016-08-31,26.2,29.7,21.7,0.0,11.5,,,,6.1,,,,,
2016-09-01,24.9,30.6,20.4,0.0,6.6,,,,1.0,,,,,
2016-09-02,26.3,32.2,21.3,0.0,7.6,,,,2.0,,,,,
2016-09-03,28.2,32.5,22.6,0.0,6.2,,,,3.5,,,,,
2016-09-04,26.9,30.9,25.0,8.0,1.9,,,,2.1,,,,,
2016-09-05,26.0,29.6,23.9,13.5,3.7,,,,2.1,,,,,
2016-09-06,27.3,32.3,24.1,0.0,6.0,,,,1.2,,,,,
2016-09-07,27.5,32.4,24.4,0.5,2.9,,,,1.5,,,,,
2016-09-08,25.3,29.0,22.9,35.5,4.0,,,,2.9,,,,,
