calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.0,11.8,2.0,,8.2,,,,2.4,7.3,1029.8,73,1030.4,
2016-01-02,10.2,13.9,5.8,0.0,1.2,,,,2.4,8.9,1024.7,72,1025.3,
2016-01-03,11.1,15.6,8.0,,3.7,,,,1.4,10.9,1018.9,83,1019.5,
2016-01-04,11.2,15.9,6.9,,6.8,,,,1.9,10.0,1018.9,76,1019.5,
2016-01-05,8.8,12.1,6.9,0.5,0.0,,,,1.7,8.1,1022.0,72,1022.6,
2016-01-06,8.4,11.1,6.0,,0.3,,,,1.5,8.2,1019.9,75,1020.5,
2016-01-07,8.4,11.8,4.5,,7.0,,,,3.1,6.4,1018.7,59,1019.3,
2016-01-08,8.0,9.4,6.3,0.0,1.0,,,,6.2,6.2,1018.3,57,1018.9,
2016-01-09,6.3,9.5,2.5,,5.6,,,,3.3,5.5,1022.3,58,1022.9,
2016-01-10,7.6,11.9,3.8,,7.0,,,,2.4,6.2,1022.9,61,1023.5,
2016-01-11,7.5,11.4,3.5,,5.4,,,,2.1,6.1,1020.6,60,1021.2,
2016-01-12,8.0,11.8,6.0,0.0,4.5,,,,2.3,6.2,1016.5,58,1017.1,
2016-01-13,6.1,8.0,3.3,0.0,2.3,,,,4.0,5.8,1016.7,62,1017.3,
2016-01-14,6.1,9.0,2.4,0.0,3.7,,,,4.0,5.6,1018.7,59,1019.3,
2016-01-15,5.8,9.8,2.4,,7.8,,,,2.5,5.3,1020.4,59,1021.0,
2016-01-16,5.4,10.5,1.2,,8.7,,,,1.9,5.5,1021.7,62,1022.3,
2016-01-17,5.9,8.8,3.5,16.5,0.0,,,,2.0,6.5,1016.1,71,1016.7,
2016-01-18,6.9,11.0,1.7,12.0,4.6,,,,6.0,7.1,1004.0,71,1004.6,
2016-01-19,2.0,3.7,-0.4,0.0,3.9,,,,8.3,4.3,1012.7,62,1013.3,
2016-01-20,3.4,7.2,-0.5,,5.8,,,,3.4,5.0,1022.2,65,1022.8,
2016-01-21,4.6,7.7,0.6,0.0,3.0,,,,2.1,6.2,1022.1,74,1022.7,
2016-01-22,6.4,9.9,3.4,,3.6,,,,2.3,6.3,1022.4,67,1023.0,
2016-01-23,4.6,8.4,0.9,0.0,3.1,,,,3.0,5.4,1020.5,63,1021.1,
2016-01-24,-1.5,1.4,-3.0,0.0,5.1,,,,6.1,3.1,1017.3,57,1017.9,
2016-01-25,1.9,4.6,-2.4,0.0,3.8,,,,4.5,4.4,1024.4,64,1025.0,
2016-01-26,5.7,7.5,3.2,0.0,0.0,,,,4.7,6.2,1025.7,67,1026.3,
2016-01-27,8.2,10.2,5.9,,3.9,,,,5.0,6.6,1028.7,61,1029.3,
2016-01-28,7.4,9.3,4.8,3.5,0.1,,,,1.1,9.0,1027.4,87,1028.0,
2016-01-29,8.7,9.6,8.0,28.0,0.0,,,,1.1,10.8,1017.8,95,1018.4,
2016-01-30,9.1,10.7,6.9,2.5,0.0,,,,2.4,8.4,1019.6,73,1020.2,
2016-01-31,7.4,10.8,4.0,0.0,4.5,,,,2.0,7.7,1023.6,75,1024.2,
2016-02-01,7.3,9.3,5.7,0.0,0.4,,,,1.8,6.6,1021.4,65,1022.0,
2016-02-02,6.4,9.7,2.2,0.0,6.8,,,,2.1,6.1,1020.7,64,1021.3,
2016-02-03,6.2,9.5,3.9,0.0,3.1,,,,2.2,6.3,1023.4,66,1024.0,
2016-02-04,6.0,9.7,1.5,,6.6,,,,2.9,6.4,1022.5,69,1023.1,
2016-02-05,5.8,9.8,2.4,,5.4,,,,2.1,6.2,1019.3,67,1019.9,
2016-02-06,5.1,9.2,1.9,,7.4,,,,2.9,4.9,1017.3,58,1017.9,
2016-02-07,4.4,7.7,1.8,0.0,4.3,,,,2.1,5.1,1019.2,61,1019.8,
2016-02-08,5.7,9.1,1.1,0.0,5.8,,,,4.1,5.8,1018.2,64,1018.8,
2016-02-09,7.9,10.6,3.0,0.0,7.1,,,,5.4,5.2,1017.6,49,1018.2,
2016-02-10,6.1,11.4,1.0,,9.8,,,,2.3,5.4,1025.2,58,1025.8,
2016-02-11,7.3,12.5,2.5,,9.7,,,,2.0,6.3,1028.8,63,1029.4,
2016-02-12,9.4,13.0,5.2,0.0,0.6,,,,1.6,7.8,1025.7,65,1026.3,
2016-02-13,11.7,13.6,10.4,49.5,0.0,,,,1.4,13.2,1014.2,96,1014.8,
2016-02-14,12.5,16.1,8.7,2.5,4.2,,,,8.0,11.4,1006.7,77,1007.3,
2016-02-15,5.2,8.9,2.5,0.0,5.4,,,,6.3,4.8,1013.3,54,1013.9,
2016-02-16,4.6,7.2,1.2,0.0,5.6,,,,5.9,5.3,1017.4,62,1018.0,
2016-02-17,5.7,7.7,1.5,0.0,6.2,,,,4.1,5.0,1021.6,55,1022.2,
2016-02-18,4.9,10.3,-0.7,,9.8,,,,1.9,5.6,1025.2,65,1025.8,
2016-02-19,8.9,12.8,3.5,,4.6,,,,2.3,7.7,1026.7,68,1027.3,
2016-02-20,8.2,10.1,7.3,29.0,0.0,,,,2.1,9.3,1017.9,86,1018.5,
2016-02-21,6.5,9.3,3.9,0.0,10.0,,,,3.8,5.0,1025.5,52,1026.1,
2016-02-22,6.2,8.9,2.4,0.0,1.1,,,,1.9,5.1,1030.0,54,1030.6,
2016-02-23,7.0,10.8,5.1,0.0,1.4,,,,1.8,7.1,1025.3,71,1025.9,
2016-02-24,5.3,7.7,3.2,0.5,0.0,,,,2.4,6.1,1025.9,69,1026.5,
2016-02-25,4.1,7.6,1.2,0.0,6.5,,,,2.8,5.1,1030.3,63,1030.9,
2016-02-26,4.9,9.3,-0.4,,8.8,,,,2.5,5.5,1029.9,64,1030.5,
2016-02-27,7.1,12.1,3.4,1.0,2.4,,,,2.5,7.8,1025.9,77,1026.5,
2016-02-28,9.2,14.4,4.3,,6.6,,,,1.8,9.3,1022.5,81,1023.1,
2016-02-29,6.9,14.0,0.7,0.0,2.2,,,,5.3,6.7,1017.7,65,1018.3,
2016-03-01,2.7,5.6,0.4,0.0,3.0,,,,2.0,5.1,1024.8,69,1025.4,
2016-03-02,6.0,11.4,0.8,,10.6,,,,2.3,6.1,1025.6,67,1026.2,
2016-03-03,9.0,14.7,3.2,,10.7,,,,1.8,7.5,1026.0,67,1026.6,
2016-03-04,10.7,13.9,7.0,0.0,2.1,,,,1.6,9.3,1028.0,72,1028.6,
2016-03-05,14.0,19.5,8.5,,6.5,,,,2.0,10.6,1026.1,67,1026.7,
2016-03-06,15.7,18.7,13.2,0.5,0.4,,,,1.7,13.7,1019.8,77,1020.4,
2016-03-07,15.4,21.3,11.7,,10.0,,,,2.1,14.2,1015.7,82,1016.3,
2016-03-08,14.0,17.7,11.8,0.0,0.8,,,,2.4,11.8,1016.6,74,1017.2,
2016-03-09,9.7,13.5,7.8,42.5,0.0,,,,2.9,9.4,1014.5,78,1015.1,
2016-03-10,8.7,10.6,7.0,,0.7,,,,2.1,7.3,1018.1,65,1018.7,
2016-03-11,7.7,10.8,5.4,0.5,4.4,,,,3.0,6.5,1019.3,62,1019.9,
2016-03-12,7.0,10.9,3.5,,9.5,,,,2.3,5.9,1022.7,59,1023.3,
2016-03-13,7.9,10.9,5.8,5.0,1.3,,,,1.7,7.7,1022.1,72,1022.7,
2016-03-14,8.1,12.0,5.9,2.5,1.2,,,,3.0,7.3,1016.2,69,1016.8,
2016-03-15,8.5,12.6,3.9,0.0,11.1,,,,2.6,6.0,1021.2,55,1021.8,
2016-03-16,10.2,15.3,6.1,,7.8,,,,2.3,7.1,1022.0,58,1022.6,
2016-03-17,12.1,17.8,5.9,,10.7,,,,2.0,9.2,1021.6,65,1022.2,
2016-03-18,11.9,13.7,11.2,17.0,0.0,,,,1.5,12.3,1014.9,88,1015.5,
2016-03-19,13.7,19.8,10.2,1.5,2.3,,,,2.0,12.1,1010.0,78,1010.6,
2016-03-20,11.0,17.0,6.6,,11.1,,,,3.0,6.6,1017.7,52,1018.3,
2016-03-21,9.6,13.6,5.3,,11.4,,,,2.4,6.3,1020.9,54,1021.5,
2016-03-22,10.6,17.2,4.2,,11.6,,,,2.3,6.9,1017.9,56,1018.5,
2016-03-23,12.4,18.0,7.8,,8.7,,,,2.3,8.8,1014.7,62,1015.3,
2016-03-24,9.7,13.7,5.8,,7.4,,,,4.3,5.6,1019.0,48,1019.6,
2016-03-25,8.2,13.9,3.0,,9.9,,,,2.6,4.7,1022.5,44,1023.1,
2016-03-26,8.5,13.2,3.4,,11.5,,,,2.3,5.2,1020.5,47,1021.1,
2016-03-27,9.6,13.6,6.3,0.0,6.2,,,,2.9,6.8,1018.4,57,1019.0,
2016-03-28,10.1,15.4,4.6,0.0,9.6,,,,2.6,7.9,1020.9,64,1021.5,
2016-03-29,11.5,16.7,5.4,,5.6,,,,2.7,8.2,1023.2,61,1023.8,
2016-03-30,14.0,17.8,10.2,,3.8,,,,2.7,10.6,1020.3,67,1020.9,
2016-03-31,14.0,18.7,10.0,2.5,3.8,,,,1.5,12.4,1017.2,78,1017.8,
