calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.2,7.8,-5.0,0.0,4.6,,,,1.3,,,,,
2016-01-02,4.5,10.8,-2.7,0.0,5.2,,,,2.0,,,,,
2016-01-03,4.5,12.5,-2.0,0.0,5.0,,,,1.1,,,,,
2016-01-04,3.8,11.6,-1.4,0.0,4.3,,,,1.3,,,,,
2016-01-05,1.5,6.7,-3.0,0.5,0.1,,,,0.9,,,,,
2016-01-06,2.1,6.3,-1.0,0.0,2.3,,,,1.0,,,,,
2016-01-07,1.4,5.2,-1.7,0.0,2.0,,,,1.1,,,,,
2016-01-08,-0.1,2.2,-2.4,0.5,0.0,,,,1.4,,,,,
2016-01-09,-0.1,4.9,-3.4,0.0,3.0,,,,1.1,,,,,
2016-01-10,0.2,6.8,-4.4,0.0,4.9,,,,1.5,,,,,
2016-01-11,1.8,7.4,-2.8,0.0,5.7,,,,1.1,,,,,
2016-01-12,1.0,4.8,-2.9,0.0,2.0,,,,1.4,,,,,
2016-01-13,-0.1,4.6,-3.6,0.0,5.1,,,,1.8,,,,,
2016-01-14,-1.2,1.7,-4.9,0.0,0.5,,,,1.9,,,,,
2016-01-15,-1.7,3.4,-5.5,0.0,5.4,,,,0.7,,,,,
2016-01-16,-1.4,6.9,-7.9,0.0,7.9,,,,0.8,,,,,
2016-01-17,-0.3,4.2,-4.4,11.0,0.0,,,,2.1,,,,,
2016-01-18,0.7,4.1,-3.6,15.0,0.8,,,,3.0,,,,,
2016-01-19,-4.9,-3.5,-6.0,0.5,0.6,,,,5.0,,,,,
2016-01-20,-2.2,0.5,-5.9,0.5,1.8,,,,2.0,,,,,
2016-01-21,-0.6,2.1,-2.9,0.0,1.6,,,,0.6,,,,,
2016-01-22,-0.2,2.7,-2.8,0.0,4.4,,,,1.4,,,,,
2016-01-23,-1.9,1.1,-5.5,0.0,0.1,,,,1.2,,,,,
2016-01-24,-8.4,-5.4,-10.1,4.5,0.1,,,,2.5,,,,,
2016-01-25,-5.6,-1.4,-8.9,2.5,1.9,,,,1.7,,,,,
2016-01-26,-1.8,1.5,-6.6,0.0,0.0,,,,1.9,,,,,
2016-01-27,-0.8,4.9,-4.5,0.0,2.7,,,,1.5,,,,,
2016-01-28,0.2,5.9,-5.1,7.0,0.5,,,,0.5,,,,,
2016-01-29,2.0,3.9,0.6,33.0,0.0,,,,0.5,,,,,
2016-01-30,2.7,5.8,-0.3,2.5,0.1,,,,2.6,,,,,
