calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.0,11.3,1.9,0.0,7.4,,,,3.1,,,,,
2016-01-02,10.3,13.8,5.3,0.0,4.5,,,,3.7,,,,,
2016-01-03,10.9,14.6,7.5,0.0,6.5,,,,2.1,,,,,
2016-01-04,11.2,15.3,7.2,0.0,7.3,,,,3.6,,,,,
2016-01-05,8.1,12.1,5.9,0.0,0.1,,,,2.4,,,,,
2016-01-06,8.0,11.0,5.5,0.0,0.3,,,,3.0,,,,,
2016-01-07,8.3,11.6,4.2,0.0,6.0,,,,3.6,,,,,
2016-01-08,8.0,10.5,3.9,0.0,1.4,,,,5.5,,,,,
2016-01-09,6.5,10.0,2.3,0.0,7.8,,,,4.0,,,,,
2016-01-10,7.7,11.2,4.5,0.0,6.2,,,,4.0,,,,,
2016-01-11,7.0,10.6,3.3,0.0,3.2,,,,3.5,,,,,
2016-01-12,7.0,10.2,2.6,0.0,3.2,,,,2.3,,,,,
2016-01-13,5.8,9.0,2.7,0.0,4.5,,,,5.1,,,,,
2016-01-14,5.5,8.8,1.5,0.0,6.2,,,,4.4,,,,,
2016-01-15,3.8,8.2,1.2,0.0,3.6,,,,3.0,,,,,
2016-01-16,4.5,9.4,0.4,0.0,9.4,,,,3.8,,,,,
2016-01-17,5.3,7.9,2.9,5.0,0.0,,,,3.1,,,,,
2016-01-18,7.3,11.5,2.9,7.0,2.5,,,,6.5,,,,,
2016-01-19,2.3,4.6,-0.1,0.0,3.9,,,,9.3,,,,,
2016-01-20,3.5,7.6,-0.1,0.0,5.1,,,,4.5,,,,,
2016-01-21,4.5,7.9,0.9,0.0,4.3,,,,3.1,,,,,
2016-01-22,5.5,8.6,2.4,0.0,3.4,,,,3.2,,,,,
2016-01-23,3.7,8.3,0.6,0.0,2.5,,,,3.7,,,,,
2016-01-24,-1.5,1.1,-3.4,0.0,4.4,,,,5.9,,,,,
2016-01-25,1.7,5.1,-3.3,0.0,4.7,,,,4.8,,,,,
2016-01-26,5.8,7.9,1.6,0.0,0.3,,,,5.7,,,,,
2016-01-27,8.1,10.0,5.3,0.0,4.8,,,,5.6,,,,,
2016-01-28,7.2,10.5,3.8,4.0,0.2,,,,1.9,,,,,
2016-01-29,7.8,8.8,6.9,23.5,0.0,,,,1.3,,,,,
2016-01-30,7.9,10.1,5.3,4.0,0.0,,,,2.2,,,,,
2016-01-31,6.7,10.2,3.1,0.0,5.4,,,,3.4,,,,,
2016-02-01,6.8,9.3,4.3,0.0,0.1,,,,3.5,,,,,
2016-02-02,5.8,9.3,1.4,0.0,4.4,,,,2.5,,,,,
2016-02-03,5.3,9.1,1.6,0.0,8.0,,,,2.6,,,,,
2016-02-04,5.9,9.4,1.0,0.0,6.3,,,,4.2,,,,,
2016-02-05,6.0,10.0,1.7,0.0,5.5,,,,2.9,,,,,
2016-02-06,4.8,9.2,1.9,0.0,4.3,,,,3.4,,,,,
2016-02-07,3.4,7.2,0.0,0.0,7.5,,,,2.6,,,,,
2016-02-08,5.2,8.9,0.6,0.0,6.8,,,,4.6,,,,,
2016-02-09,7.6,10.4,2.3,1.0,6.6,,,,6.1,,,,,
2016-02-10,5.5,11.0,1.1,0.0,10.0,,,,3.4,,,,,
2016-02-11,6.2,10.8,2.2,0.0,10.1,,,,3.0,,,,,
2016-02-12,8.9,12.5,3.6,0.0,1.3,,,,1.9,,,,,
2016-02-13,11.6,12.7,10.4,24.0,0.0,,,,1.2,,,,,
2016-02-14,12.1,15.6,9.1,3.5,4.3,,,,8.1,,,,,
2016-02-15,5.3,9.4,1.7,0.0,4.7,,,,5.9,,,,,
2016-02-16,4.5,7.1,-0.6,0.0,4.5,,,,6.2,,,,,
2016-02-17,5.2,7.6,0.9,0.0,6.6,,,,5.5,,,,,
2016-02-18,4.6,9.7,-1.1,0.0,10.2,,,,3.6,,,,,
2016-02-19,8.5,12.7,3.1,0.0,4.9,,,,2.9,,,,,
2016-02-20,7.8,9.4,6.5,21.5,0.0,,,,2.6,,,,,
2016-02-21,5.9,9.4,1.5,0.0,9.2,,,,4.0,,,,,
2016-02-22,5.3,8.8,1.2,0.0,3.2,,,,2.7,,,,,
2016-02-23,6.0,9.8,4.0,0.0,0.9,,,,2.5,,,,,
2016-02-24,4.6,7.3,1.0,0.0,1.5,,,,2.9,,,,,
2016-02-25,3.2,7.3,-0.2,0.0,5.4,,,,3.2,,,,,
2016-02-26,4.5,8.7,-1.2,0.0,8.4,,,,4.3,,,,,
2016-02-27,6.6,12.2,2.8,0.0,3.3,,,,3.6,,,,,
2016-02-28,8.1,12.5,3.5,0.0,7.8,,,,2.3,,,,,
2016-02-29,6.5,13.5,0.7,1.5,3.7,,,,5.6,,,,,
2016-03-01,1.9,5.2,-1.8,0.0,3.7,,,,2.6,,,,,
2016-03-02,5.1,10.4,-0.4,0.0,10.7,,,,2.9,,,,,
2016-03-03,8.4,12.7,3.2,0.0,11.0,,,,3.1,,,,,
2016-03-04,9.3,12.5,6.3,1.5,2.6,,,,1.9,,,,,
2016-03-05,11.5,17.7,7.0,0.0,8.3,,,,2.0,,,,,
2016-03-06,12.9,17.0,9.7,0.0,0.1,,,,1.1,,,,,
2016-03-07,13.7,17.9,10.9,0.0,8.3,,,,1.6,,,,,
2016-03-08,12.8,16.0,10.6,0.0,0.8,,,,2.7,,,,,
2016-03-09,8.4,12.4,6.2,46.0,0.0,,,,2.1,,,,,
2016-03-10,7.5,9.5,4.9,0.0,2.1,,,,2.5,,,,,
2016-03-11,6.7,10.1,3.3,0.0,3.0,,,,2.9,,,,,
2016-03-12,5.9,10.6,1.3,0.0,11.0,,,,3.5,,,,,
2016-03-13,6.6,9.7,3.8,5.0,1.0,,,,2.6,,,,,
2016-03-14,6.4,9.5,2.9,5.5,1.2,,,,2.2,,,,,
2016-03-15,6.7,11.9,1.5,0.0,11.1,,,,2.9,,,,,
2016-03-16,8.6,14.1,4.9,0.0,7.1,,,,2.3,,,,,
2016-03-17,10.7,16.5,5.8,0.0,10.9,,,,2.1,,,,,
2016-03-18,11.1,13.0,9.2,7.5,0.0,,,,1.2,,,,,
2016-03-19,12.5,16.9,10.2,1.0,2.2,,,,2.7,,,,,
2016-03-20,9.3,14.1,4.4,0.0,10.8,,,,3.4,,,,,
2016-03-21,8.0,12.7,3.0,0.0,11.6,,,,3.5,,,,,
2016-03-22,9.4,14.7,3.5,0.0,11.6,,,,2.9,,,,,
2016-03-23,11.1,15.0,6.9,0.0,9.4,,,,2.5,,,,,
2016-03-24,8.4,13.0,2.8,0.0,7.9,,,,4.1,,,,,
2016-03-25,6.5,11.4,1.2,0.0,9.4,,,,3.6,,,,,
2016-03-26,6.8,11.5,1.5,0.0,11.6,,,,4.2,,,,,
2016-03-27,8.7,12.5,4.9,0.0,10.4,,,,4.0,,,,,
2016-03-28,9.3,13.2,4.7,0.0,8.7,,,,3.3,,,,,
2016-03-29,10.7,14.7,5.1,0.0,6.6,,,,3.3,,,,,
2016-03-30,13.0,16.6,9.3,0.0,4.6,,,,2.8,,,,,
2016-03-31,13.0,17.5,9.7,0.5,3.9,,,,1.2,,,,,
2016-04-01,14.7,16.4,12.1,7.5,0.0,,,,2.5,,,,,
2016-04-02,13.9,17.1,11.0,0.0,5.2,,,,1.4,,,,,
2016-04-03,14.1,18.0,12.1,4.5,0.3,,,,1.6,,,,,
2016-04-04,14.0,16.3,12.3,16.5,0.5,,,,1.8,,,,,
2016-04-05,12.5,15.8,9.9,0.0,6.2,,,,2.4,,,,,
2016-04-06,13.1,17.9,9.1,0.0,7.0,,,,1.4,,,,,
