calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.1,0.8,-9.1,0.0,6.2,,,,2.6,,,,,
2016-01-02,1.9,6.3,-3.8,3.0,0.0,,,,2.7,,,,,
2016-01-03,0.0,3.2,-7.6,0.0,1.1,,,,2.4,,,,,
2016-01-04,-3.4,1.4,-8.9,0.0,1.6,,,,1.5,,,,,
2016-01-05,-2.9,-0.3,-7.2,0.0,2.1,,,,3.6,,,,,
2016-01-06,-1.3,1.3,-5.8,0.5,2.1,,,,3.6,,,,,
2016-01-07,-2.0,-0.9,-3.7,0.0,0.3,,,,3.0,,,,,
2016-01-08,-0.8,0.8,-2.3,0.0,1.9,,,,2.8,,,,,
2016-01-09,-2.6,-1.0,-8.3,0.0,2.0,,,,2.8,,,,,
2016-01-10,-3.1,0.7,-7.9,0.0,3.1,,,,3.1,,,,,
2016-01-11,-6.1,-4.0,-9.8,0.0,2.9,,,,3.4,,,,,
2016-01-12,-5.3,-3.7,-7.2,0.0,1.8,,,,3.0,,,,,
2016-01-13,-4.6,-0.2,-11.1,0.0,5.9,,,,1.6,,,,,
2016-01-14,-2.4,2.8,-5.7,2.5,4.7,,,,3.0,,,,,
2016-01-15,-4.3,0.4,-8.3,2.0,5.9,,,,1.1,,,,,
2016-01-16,-7.6,-1.4,-15.8,0.0,2.6,,,,1.3,,,,,
2016-01-17,-10.4,-0.5,-18.6,0.0,7.5,,,,1.1,,,,,
2016-01-18,-4.6,-0.2,-15.6,0.0,0.0,,,,1.9,,,,,
2016-01-19,-0.4,2.6,-7.1,2.0,0.0,,,,2.9,,,,,
2016-01-20,-1.4,2.8,-8.4,0.0,4.1,,,,3.3,,,,,
2016-01-21,-2.4,1.0,-5.0,0.0,6.8,,,,4.1,,,,,
2016-01-22,-2.9,0.4,-11.5,0.0,6.8,,,,3.3,,,,,
2016-01-23,-4.6,0.0,-11.5,0.0,4.7,,,,2.1,,,,,
2016-01-24,-4.5,0.4,-10.0,4.5,1.0,,,,0.9,,,,,
2016-01-25,-7.9,-2.0,-17.4,0.5,6.0,,,,1.6,,,,,
2016-01-26,-1.8,1.2,-5.1,0.0,0.0,,,,1.1,,,,,
2016-01-27,-0.9,1.8,-3.9,0.5,6.7,,,,2.9,,,,,
2016-01-28,-2.9,0.9,-7.1,0.0,6.7,,,,3.8,,,,,
2016-01-29,-6.3,-2.6,-15.5,0.0,7.6,,,,3.0,,,,,
