calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.8,0.3,-11.9,0.0,3.7,,,,0.8,,,,,
2016-01-02,-1.8,4.6,-8.1,7.0,0.3,,,,0.5,,,,,
2016-01-03,-4.4,1.7,-10.3,0.0,3.0,,,,0.7,,,,,
2016-01-04,-7.6,-0.2,-14.0,0.0,0.8,,,,0.5,,,,,
2016-01-05,-7.9,-1.0,-14.5,0.0,5.1,,,,1.0,,,,,
2016-01-06,-4.9,1.6,-14.0,0.0,2.6,,,,0.8,,,,,
2016-01-07,-6.1,-0.5,-10.3,0.0,4.0,,,,0.9,,,,,
2016-01-08,-5.0,1.1,-9.6,0.0,1.7,,,,0.7,,,,,
2016-01-09,-8.4,-1.2,-15.3,0.0,3.7,,,,0.6,,,,,
2016-01-10,-6.5,1.0,-13.8,0.0,3.8,,,,0.8,,,,,
2016-01-11,-12.0,-3.4,-18.0,0.0,5.8,,,,0.9,,,,,
2016-01-12,-11.6,-4.3,-19.8,0.0,0.4,,,,0.4,,,,,
2016-01-13,-9.3,-1.4,-17.9,0.0,2.4,,,,0.4,,,,,
2016-01-14,-5.8,-1.0,-13.1,1.5,6.5,,,,1.2,,,,,
2016-01-15,-9.8,-1.0,-17.5,1.5,5.9,,,,0.2,,,,,
2016-01-16,-10.7,-1.0,-17.9,0.0,5.1,,,,0.5,,,,,
2016-01-17,-12.0,-0.2,-20.4,0.0,7.6,,,,0.5,,,,,
2016-01-18,-8.6,-2.1,-18.2,0.0,0.0,,,,0.5,,,,,
2016-01-19,-1.1,1.2,-3.3,0.0,0.0,,,,1.6,,,,,
2016-01-20,-1.1,1.5,-3.9,0.0,5.0,,,,3.2,,,,,
2016-01-21,-4.2,0.8,-11.8,0.0,7.0,,,,1.9,,,,,
2016-01-22,-6.9,0.4,-15.4,0.0,4.3,,,,1.2,,,,,
2016-01-23,-7.1,-0.9,-14.0,0.0,3.7,,,,0.6,,,,,
2016-01-24,-7.6,0.3,-13.4,0.0,2.4,,,,0.6,,,,,
2016-01-25,-7.7,-1.6,-14.0,0.0,7.5,,,,1.7,,,,,
2016-01-26,-4.5,-0.1,-11.3,0.0,0.1,,,,0.4,,,,,
2016-01-27,-3.6,0.7,-11.2,0.5,3.2,,,,1.0,,,,,
2016-01-28,-8.3,0.4,-15.4,0.0,3.2,,,,0.9,,,,,
2016-01-29,-10.1,-2.2,-18.3,0.0,6.8,,,,1.1,,,,,
2016-01-30,-8.9,-1.4,-14.7,0.0,7.4,,,,0.7,,,,,
2016-01-31,-10.0,-2.8,-17.4,0.0,7.0,,,,0.9,,,,,
2016-02-01,-13.2,-2.3,-21.7,0.0,7.1,,,,0.8,,,,,
2016-02-02,-11.0,-1.4,-20.9,0.0,4.2,,,,1.0,,,,,
2016-02-03,-9.6,-0.5,-18.5,0.0,5.2,,,,0.7,,,,,
2016-02-04,-4.9,1.8,-13.7,1.5,3.4,,,,0.5,,,,,
2016-02-05,-5.4,0.6,-14.7,3.0,5.5,,,,,,,,,
2016-02-06,-9.4,-1.0,-16.8,0.0,2.6,,,,0.8,,,,,
2016-02-07,-10.9,-2.1,-22.0,0.0,7.0,,,,1.0,,,,,
2016-02-08,-6.4,1.1,-14.7,0.0,8.9,,,,0.8,,,,,
2016-02-09,0.0,4.0,-6.5,5.0,1.0,,,,1.5,,,,,
2016-02-10,-1.8,1.4,-6.3,1.0,6.0,,,,2.2,,,,,
2016-02-11,-4.9,1.5,-13.1,0.0,5.3,,,,1.6,,,,,
2016-02-12,-4.8,4.8,-15.6,0.0,5.8,,,,0.5,,,,,
2016-02-13,0.5,2.1,-1.8,1.0,0.0,,,,0.1,,,,,
2016-02-14,3.7,9.0,-1.5,25.0,0.0,,,,1.9,,,,,
2016-02-15,-6.1,-1.4,-13.1,0.0,4.5,,,,2.1,,,,,
2016-02-16,-7.4,-1.6,-15.3,2.0,5.9,,,,1.1,,,,,
2016-02-17,-6.5,-0.7,-14.1,0.5,4.2,,,,1.4,,,,,
2016-02-18,-3.3,2.9,-14.3,0.0,2.8,,,,0.6,,,,,
2016-02-19,1.4,6.1,-3.9,0.0,0.5,,,,1.2,,,,,
2016-02-20,1.4,4.3,-1.8,8.5,0.9,,,,0.8,,,,,
2016-02-21,0.0,2.9,-4.1,4.5,1.6,,,,1.1,,,,,
2016-02-22,-5.2,-0.7,-12.1,0.0,5.7,,,,1.0,,,,,
2016-02-23,-5.1,2.0,-13.1,2.0,0.4,,,,0.5,,,,,
2016-02-24,-7.6,-3.5,-16.3,0.0,6.6,,,,2.1,,,,,
2016-02-25,-9.5,-2.2,-16.8,0.0,4.3,,,,1.2,,,,,
2016-02-26,-9.5,-0.9,-17.8,0.0,5.7,,,,0.9,,,,,
2016-02-27,-7.9,-0.6,-15.4,0.0,5.4,,,,0.8,,,,,
2016-02-28,-8.5,1.2,-17.8,0.0,9.7,,,,0.9,,,,,
2016-02-29,-0.6,4.3,-12.9,6.5,0.0,,,,2.4,,,,,
2016-03-01,-2.9,0.3,-11.9,3.0,3.9,,,,2.6,,,,,
2016-03-02,-7.1,0.7,-13.4,0.0,5.9,,,,1.0,,,,,
2016-03-03,-6.0,2.9,-15.1,2.0,1.8,,,,0.7,,,,,
2016-03-04,-6.0,2.0,-17.2,0.0,7.3,,,,1.4,,,,,
2016-03-05,-5.4,4.1,-14.4,0.0,10.2,,,,1.1,,,,,
2016-03-06,2.4,6.4,-9.0,40.5,0.0,,,,2.3,,,,,
2016-03-07,4.0,8.8,-0.2,2.0,5.4,,,,1.1,,,,,
2016-03-08,2.4,7.5,-2.3,0.0,0.3,,,,1.7,,,,,
2016-03-09,-2.4,1.7,-8.6,0.0,5.2,,,,1.2,,,,,
2016-03-10,-4.4,2.1,-11.2,0.0,6.6,,,,0.7,,,,,
2016-03-11,-4.4,2.3,-9.6,0.0,3.8,,,,1.0,,,,,
2016-03-12,-4.6,2.8,-11.7,0.0,5.8,,,,0.8,,,,,
2016-03-13,-1.6,5.0,-9.7,1.0,3.7,,,,1.2,,,,,
2016-03-14,1.6,8.1,-3.7,0.5,7.0,,,,0.6,,,,,
2016-03-15,0.2,4.2,-4.9,0.0,8.8,,,,2.3,,,,,
2016-03-16,1.5,8.7,-8.2,0.0,5.0,,,,1.4,,,,,
2016-03-17,3.1,14.4,-4.7,0.0,10.0,,,,0.9,,,,,
2016-03-18,4.8,15.6,-3.9,0.0,5.4,,,,0.9,,,,,
2016-03-19,4.1,8.4,-1.2,13.0,0.0,,,,0.8,,,,,
2016-03-20,1.5,5.0,-3.1,0.0,9.1,,,,2.7,,,,,
2016-03-21,-2.1,4.2,-7.7,0.0,4.2,,,,1.1,,,,,
2016-03-22,-1.4,6.4,-9.0,0.0,8.4,,,,1.1,,,,,
2016-03-23,0.0,5.9,-6.0,0.0,4.4,,,,1.1,,,,,
2016-03-24,-0.9,7.1,-7.2,0.0,7.5,,,,1.3,,,,,
2016-03-25,-1.2,6.6,-8.1,0.5,7.8,,,,1.5,,,,,
2016-03-26,-0.1,7.8,-7.7,0.0,8.1,,,,1.3,,,,,
2016-03-27,2.0,9.8,-7.0,0.0,7.4,,,,1.6,,,,,
2016-03-28,3.0,11.4,-5.1,0.0,4.8,,,,1.2,,,,,
2016-03-29,1.8,12.3,-7.3,0.0,9.4,,,,1.3,,,,,
2016-03-30,4.3,11.3,-3.1,8.0,3.1,,,,1.9,,,,,
2016-03-31,3.8,10.9,-2.4,0.0,5.6,,,,1.1,,,,,
2016-04-01,2.9,11.3,-5.2,0.0,9.9,,,,1.5,,,,,
2016-04-02,3.3,7.0,0.5,0.0,3.4,,,,2.8,,,,,
2016-04-03,5.9,8.6,2.2,18.5,0.0,,,,1.9,,,,,
2016-04-04,3.9,12.3,-4.4,0.0,3.7,,,,1.1,,,,,
