calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.0,5.1,0.0,0.5,0.1,,5,,8.7,4.1,1021.1,57,1022.6,
2016-01-02,5.9,6.7,4.5,1.5,0.0,,2,,9.7,5.9,1012.7,64,1014.2,
2016-01-03,2.5,4.9,1.3,,2.6,,,,8.5,4.1,1013.8,56,1015.3,
2016-01-04,0.7,2.0,-1.5,1.0,0.0,,2,2,7.1,3.9,1012.3,61,1013.8,
2016-01-05,-1.1,0.8,-2.9,6.5,0.0,,5,4,11.4,3.8,1014.7,67,1016.2,
2016-01-06,0.5,2.4,-1.6,3.5,0.1,,6,4,9.9,4.3,1013.9,67,1015.4,
2016-01-07,-1.1,0.9,-2.4,1.0,0.0,,6,2,9.9,3.6,1010.1,64,1011.6,
2016-01-08,0.2,1.3,-1.0,6.5,0.3,,10,6,9.7,4.2,1009.7,68,1011.2,
2016-01-09,-0.8,1.1,-3.1,0.5,0.4,,7,2,9.3,3.6,1014.5,63,1016.0,
2016-01-10,-1.4,1.2,-5.3,5.0,0.8,,10,8,10.5,3.9,1012.8,69,1014.3,
2016-01-11,-5.1,-3.8,-6.0,0.5,0.0,,7,1,10.8,2.7,1016.3,66,1017.9,
2016-01-12,-3.5,-1.1,-5.2,3.0,0.7,,6,6,9.9,3.1,1012.6,67,1014.1,
2016-01-13,-1.6,0.8,-3.8,0.5,2.6,,7,4,5.2,3.6,1008.8,66,1010.3,
2016-01-14,-2.0,0.9,-3.5,8.0,0.5,,9,4,9.6,3.5,1010.1,66,1011.6,
2016-01-15,-1.6,-0.4,-3.0,0.0,0.3,,8,3,8.5,3.3,1014.9,62,1016.4,
2016-01-16,-2.4,-1.4,-3.7,1.0,0.0,,8,2,8.8,3.1,1017.1,61,1018.7,
2016-01-17,-3.0,-0.7,-6.4,7.0,0.2,,13,6,4.0,3.4,1020.9,70,1022.5,
2016-01-18,-0.4,2.1,-6.1,9.0,0.0,,21,9,4.3,4.5,1007.1,74,1008.6,
2016-01-19,0.2,1.4,-0.7,0.5,0.0,,22,2,2.9,4.7,995.2,76,996.7,
2016-01-20,0.7,3.0,-1.7,1.0,6.4,,21,,5.3,4.0,1005.5,63,1007.0,
2016-01-21,-0.1,1.7,-1.8,1.5,2.3,,18,,5.8,4.0,1013.4,67,1014.9,
2016-01-22,-1.1,1.1,-2.8,7.0,1.6,,21,5,7.1,3.8,1015.6,67,1017.1,
2016-01-23,-1.9,-0.5,-3.6,3.0,1.3,,24,3,6.8,3.5,1014.1,66,1015.6,
2016-01-24,-1.2,2.8,-6.2,3.5,1.8,,24,2,4.8,3.7,1000.5,66,1002.0,
2016-01-25,-2.4,0.1,-6.3,3.0,1.9,,24,3,5.5,3.5,1010.7,69,1012.2,
2016-01-26,2.5,4.1,-0.5,1.5,0.1,,23,,8.7,4.8,1016.3,66,1017.8,
2016-01-27,1.5,4.3,0.3,1.5,1.9,,19,,9.9,3.9,1018.6,57,1020.1,
2016-01-28,-0.4,2.5,-2.5,5.0,1.8,,25,9,11.1,3.8,1023.7,63,1025.2,
2016-01-29,-2.2,-0.8,-4.9,0.0,0.8,,21,,8.9,2.8,1026.1,55,1027.7,
2016-01-30,-2.9,-0.3,-5.2,0.5,4.3,,20,2,4.2,2.9,1021.1,57,1022.7,
2016-01-31,-3.5,-1.3,-4.8,2.0,0.0,,20,1,9.6,3.1,1019.0,64,1020.6,
2016-02-01,-3.6,-2.7,-4.5,0.0,0.0,,21,5,8.3,3.0,1019.1,64,1020.7,
2016-02-02,-2.9,-1.9,-3.9,4.5,0.0,,21,4,9.5,3.4,1015.7,69,1017.3,
2016-02-03,-0.5,1.0,-3.1,0.0,0.0,,21,1,7.5,3.4,1019.4,58,1020.9,
2016-02-04,1.6,3.6,0.3,5.0,1.8,,21,2,6.8,4.5,1014.4,65,1015.9,
2016-02-05,-0.3,1.6,-2.3,1.5,0.0,,19,2,9.3,3.6,1012.9,59,1014.4,
2016-02-06,-2.6,-0.8,-4.8,1.0,0.9,,19,2,9.3,3.2,1013.2,64,1014.8,
2016-02-07,-1.6,1.5,-4.6,3.0,1.1,,19,,10.6,3.4,1013.7,61,1015.2,
2016-02-08,1.0,2.5,-1.1,0.0,6.1,,19,,4.1,3.8,1014.5,58,1016.0,
2016-02-09,2.4,4.4,0.1,5.5,1.8,,21,5,7.7,5.0,1004.4,69,1005.9,
2016-02-10,-0.3,2.0,-2.7,6.5,0.4,,21,6,9.9,4.4,1015.3,73,1016.9,
2016-02-11,0.2,2.7,-2.9,0.0,3.9,,21,,3.7,3.7,1029.1,61,1030.6,
2016-02-12,2.4,6.4,-2.5,,4.7,,18,,1.3,5.1,1025.9,71,1027.4,
2016-02-13,6.3,9.6,2.5,1.5,0.0,,16,,3.6,8.6,1012.3,89,1013.8,
2016-02-14,6.0,12.6,0.0,24.5,0.0,,5,,7.8,8.7,992.0,90,993.4,
2016-02-15,-4.2,0.9,-6.7,1.0,0.3,,2,2,12.1,3.3,1003.2,72,1004.7,
2016-02-16,-2.8,-0.9,-6.0,3.5,0.1,,5,4,9.0,3.5,1006.7,70,1008.2,
2016-02-17,-1.9,0.4,-4.6,4.5,0.5,,6,5,11.0,3.7,1010.4,69,1011.9,
2016-02-18,3.6,5.9,-1.8,2.5,2.7,,8,3,8.8,4.9,1017.0,63,1018.5,
2016-02-19,4.8,7.6,3.1,2.0,1.4,,2,,7.2,5.6,1018.1,65,1019.6,
2016-02-20,3.3,5.1,1.0,0.5,0.0,,,,3.2,4.7,1021.3,61,1022.8,
2016-02-21,1.3,5.1,-2.1,8.0,1.6,,1,1,8.4,5.0,1010.7,74,1012.2,
2016-02-22,-0.3,1.1,-2.0,0.5,1.1,,,,8.5,3.0,1026.8,50,1028.4,
2016-02-23,1.3,4.3,-1.5,2.0,3.5,,6,7,3.8,4.8,1017.7,71,1019.2,
2016-02-24,-3.5,-0.1,-5.4,6.0,1.1,,5,5,7.5,3.3,1022.6,70,1024.2,
2016-02-25,-3.1,-1.2,-5.2,1.0,0.7,,4,2,7.9,2.9,1023.2,60,1024.8,
2016-02-26,-1.9,-0.4,-2.9,1.5,1.3,,3,,7.7,3.0,1021.5,56,1023.1,
2016-02-27,-1.6,-0.1,-4.8,0.0,2.1,,2,,6.5,2.8,1023.9,51,1025.5,
2016-02-28,-0.5,2.1,-5.9,0.0,9.2,,1,,1.9,3.1,1025.3,53,1026.8,
2016-02-29,3.5,8.3,-1.3,5.5,2.3,,,,10.4,5.6,1003.3,71,1004.8,
2016-03-01,-0.7,0.9,-2.8,3.5,1.3,,1,3,14.3,4.2,1009.1,72,1010.6,
