calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.2,3.3,-2.1,0.0,0.2,,11,0,2.6,,,,,
2016-01-02,3.2,5.0,0.5,4.0,0.0,,10,1,3.0,,,,,
2016-01-03,0.1,1.5,-1.5,0.0,0.6,,4,0,2.9,,,,,
2016-01-04,-1.4,-0.3,-2.7,0.0,0.1,,5,2,2.0,,,,,
2016-01-05,-3.3,-1.8,-4.7,0.0,0.0,,5,0,3.5,,,,,
2016-01-06,-1.2,0.8,-3.2,1.5,0.2,,8,3,4.1,,,,,
2016-01-07,-2.9,-1.6,-4.1,0.5,0.0,,9,2,3.2,,,,,
2016-01-08,-2.0,-1.1,-2.7,1.0,0.0,,9,2,2.3,,,,,
2016-01-09,-2.6,-0.4,-4.8,0.5,0.3,,10,2,3.3,,,,,
2016-01-10,-3.9,-0.5,-7.7,3.5,0.3,,16,10,2.7,,,,,
2016-01-11,-7.5,-6.1,-8.7,3.5,0.1,,19,10,2.7,,,,,
2016-01-12,-6.1,-4.8,-7.1,2.0,0.0,,20,7,2.7,,,,,
2016-01-13,-4.0,-1.8,-6.1,6.0,0.6,,27,12,1.5,,,,,
2016-01-14,-3.9,-2.8,-5.2,2.5,0.5,,32,9,3.0,,,,,
2016-01-15,-3.8,-2.7,-5.6,13.0,0.0,,51,20,2.8,,,,,
2016-01-16,-4.5,-2.5,-5.4,12.0,1.2,,62,21,2.5,,,,,
2016-01-17,-7.0,-3.0,-12.1,2.5,0.0,,61,4,0.7,,,,,
2016-01-18,-3.0,0.7,-13.0,3.5,0.0,,57,6,4.2,,,,,
2016-01-19,-1.8,0.0,-5.5,0.0,0.0,,56,2,2.2,,,,,
2016-01-20,-2.0,0.5,-6.7,5.0,0.3,,57,7,1.1,,,,,
2016-01-21,-4.5,-0.1,-9.7,1.0,3.5,,57,5,0.7,,,,,
2016-01-22,-4.0,0.4,-9.0,7.0,3.6,,70,23,,,,,,
