calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.0,5.5,0.3,0.0,0.0,,,,8.9,,,,,
2016-01-02,5.8,7.1,3.2,2.0,0.0,,,,10.5,,,,,
2016-01-03,2.0,3.6,0.8,0.0,2.5,,,,9.3,,,,,
2016-01-04,0.6,1.7,-1.2,0.0,0.1,,,,8.5,,,,,
2016-01-05,-1.2,1.0,-2.7,0.0,0.2,,,,11.8,,,,,
2016-01-06,0.9,2.8,-1.4,0.0,0.1,,,,11.7,,,,,
2016-01-07,-1.0,0.7,-2.0,0.0,0.0,,,,10.3,,,,,
2016-01-08,0.1,1.6,-0.9,0.0,0.1,,,,10.3,,,,,
2016-01-09,-0.6,1.8,-2.7,0.0,0.1,,,,10.3,,,,,
2016-01-10,-1.7,1.5,-5.1,0.0,0.2,,,,11.5,,,,,
2016-01-11,-5.0,-3.7,-6.0,0.0,0.0,,,,11.4,,,,,
2016-01-12,-3.6,-2.5,-5.0,0.0,0.0,,,,10.7,,,,,
2016-01-13,-1.9,-0.7,-3.5,9.5,0.8,,,,5.3,,,,,
2016-01-14,-1.9,0.0,-3.3,0.5,0.1,,,,10.0,,,,,
2016-01-15,-1.6,-0.7,-3.0,0.0,0.1,,,,10.1,,,,,
2016-01-16,-2.5,-1.5,-3.4,0.0,0.4,,,,9.3,,,,,
2016-01-17,-2.1,-0.7,-4.2,0.0,0.7,,,,5.7,,,,,
2016-01-18,1.7,3.8,-2.4,0.0,0.0,,,,8.6,,,,,
2016-01-19,1.2,2.3,0.0,0.5,0.0,,,,6.1,,,,,
2016-01-20,2.0,3.2,0.5,1.5,1.1,,,,11.6,,,,,
2016-01-21,0.3,2.3,-1.2,1.0,2.0,,,,9.1,,,,,
2016-01-22,-0.8,1.0,-2.9,0.0,0.4,,,,8.6,,,,,
2016-01-23,-2.4,-1.3,-4.0,1.0,1.8,,,,5.8,,,,,
2016-01-24,-1.5,0.6,-3.6,3.5,0.5,,,,4.2,,,,,
2016-01-25,-1.4,0.7,-2.6,1.0,0.6,,,,8.4,,,,,
2016-01-26,2.4,3.9,-0.6,0.5,0.5,,,,8.1,,,,,
2016-01-27,1.3,3.6,-0.2,0.0,2.8,,,,11.0,,,,,
2016-01-28,-0.4,1.9,-2.3,0.0,2.0,,,,11.8,,,,,
2016-01-29,-2.6,-1.1,-4.1,0.0,0.7,,,,9.4,,,,,
2016-01-30,-2.5,-1.0,-3.9,0.0,0.7,,,,5.8,,,,,
2016-01-31,-4.1,-2.5,-4.9,0.0,0.1,,,,9.9,,,,,
2016-02-01,-3.9,-2.9,-4.9,0.0,0.2,,,,8.7,,,,,
2016-02-02,-2.8,-1.1,-4.0,0.0,0.3,,,,10.0,,,,,
2016-02-03,-0.5,1.8,-1.8,0.0,0.3,,,,7.9,,,,,
2016-02-04,2.3,3.5,-0.1,1.0,3.3,,,,7.7,,,,,
2016-02-05,-0.5,1.9,-3.0,0.0,0.2,,,,9.7,,,,,
2016-02-06,-2.9,-0.8,-4.5,0.0,1.0,,,,9.7,,,,,
2016-02-07,-1.2,1.6,-4.5,0.0,1.5,,,,11.4,,,,,
2016-02-08,0.7,3.5,-1.6,1.0,3.2,,,,5.9,,,,,
2016-02-09,2.3,4.8,-0.1,5.0,1.9,,,,9.1,,,,,
2016-02-10,-0.1,1.4,-1.1,0.0,0.6,,,,10.8,,,,,
2016-02-11,1.2,2.7,-0.5,0.0,7.3,,,,5.4,,,,,
2016-02-12,5.3,7.8,1.2,0.0,3.2,,,,4.7,,,,,
2016-02-13,7.0,8.9,5.5,5.5,0.0,,,,5.0,,,,,
2016-02-14,5.3,10.4,-0.2,24.0,0.0,,,,8.3,,,,,
2016-02-15,-4.3,0.3,-6.5,0.0,0.3,,,,13.0,,,,,
2016-02-16,-2.8,-1.0,-4.7,0.0,0.8,,,,9.6,,,,,
2016-02-17,-1.5,1.4,-3.1,0.0,0.7,,,,11.9,,,,,
2016-02-18,3.0,5.5,-0.4,0.0,3.6,,,,7.2,,,,,
2016-02-19,4.6,7.9,2.7,0.0,2.1,,,,6.8,,,,,
2016-02-20,3.6,5.6,1.6,3.0,0.6,,,,4.2,,,,,
2016-02-21,1.7,3.7,-1.6,3.5,0.1,,,,11.3,,,,,
2016-02-22,-1.0,0.5,-2.2,0.0,1.5,,,,8.1,,,,,
2016-02-23,0.8,3.7,-2.5,1.0,1.6,,,,5.8,,,,,
2016-02-24,-3.9,-2.3,-5.4,0.0,1.4,,,,8.8,,,,,
2016-02-25,-3.2,-0.8,-5.0,0.0,0.3,,,,8.3,,,,,
2016-02-26,-2.3,-0.1,-4.4,0.0,1.0,,,,7.9,,,,,
2016-02-27,-1.7,0.0,-2.7,0.0,3.6,,,,7.4,,,,,
2016-02-28,0.2,3.0,-2.3,0.0,4.9,,,,4.6,,,,,
2016-02-29,3.2,7.6,-0.8,8.5,4.9,,,,12.6,,,,,
2016-03-01,-0.9,0.5,-2.8,0.0,1.8,,,,13.6,,,,,
2016-03-02,-0.6,0.6,-2.6,0.0,1.6,,,,7.0,,,,,
2016-03-03,1.3,3.1,0.1,8.0,2.3,,,,5.6,,,,,
2016-03-04,1.5,3.2,-0.3,0.0,7.2,,,,3.8,,,,,
2016-03-05,3.2,5.9,0.3,0.0,10.1,,,,5.3,,,,,
2016-03-06,7.5,10.1,4.1,47.5,0.0,,,,10.0,,,,,
2016-03-07,4.4,5.8,2.8,0.0,3.4,,,,4.6,,,,,
2016-03-08,4.7,9.2,2.1,0.0,3.1,,,,7.8,,,,,
2016-03-09,0.8,2.4,-0.9,0.0,3.9,,,,8.9,,,,,
2016-03-10,0.2,2.1,-2.0,0.0,7.0,,,,6.2,,,,,
2016-03-11,-0.3,0.8,-2.3,0.0,4.1,,,,8.2,,,,,
2016-03-12,0.4,2.2,-1.3,0.0,8.5,,,,5.1,,,,,
2016-03-13,1.8,5.5,-1.1,0.0,3.0,,,,3.2,,,,,
2016-03-14,4.0,7.0,1.7,0.0,3.3,,,,4.2,,,,,
2016-03-15,3.6,4.9,1.7,0.0,6.2,,,,8.2,,,,,
2016-03-16,6.6,10.3,2.1,0.0,10.1,,,,6.2,,,,,
2016-03-17,7.7,10.4,4.4,0.0,10.6,,,,5.1,,,,,
2016-03-18,9.9,14.1,7.6,0.0,5.0,,,,4.6,,,,,
2016-03-19,6.1,9.7,4.8,1.5,0.0,,,,5.5,,,,,
2016-03-20,3.2,5.2,1.0,0.0,3.9,,,,8.2,,,,,
2016-03-21,3.0,4.6,0.3,0.0,5.6,,,,6.1,,,,,
2016-03-22,3.9,5.4,0.4,0.0,6.9,,,,6.5,,,,,
2016-03-23,3.8,5.4,0.9,0.0,3.5,,,,7.4,,,,,
2016-03-24,2.7,4.8,0.5,2.5,5.4,,,,8.3,,,,,
2016-03-25,3.7,5.5,0.6,1.0,5.4,,,,7.3,,,,,
2016-03-26,5.3,7.9,3.4,0.0,10.9,,,,4.6,,,,,
2016-03-27,6.9,10.0,3.3,0.0,11.5,,,,4.7,,,,,
2016-03-28,5.9,7.7,3.0,0.0,9.5,,,,4.3,,,,,
2016-03-29,8.3,12.4,4.4,0.0,3.3,,,,4.7,,,,,
2016-03-30,7.4,10.6,4.7,5.5,3.7,,,,5.4,,,,,
2016-03-31,6.5,7.8,5.5,0.0,11.2,,,,6.4,,,,,
2016-04-01,7.2,10.4,4.8,0.0,12.1,,,,5.5,,,,,
2016-04-02,7.3,9.6,5.5,0.0,9.8,,,,12.6,,,,,
2016-04-03,7.6,10.0,6.2,3.0,1.2,,,,5.5,,,,,
2016-04-04,6.1,8.4,3.4,0.0,7.2,,,,3.8,,,,,
2016-04-05,8.0,12.9,3.4,0.0,9.4,,,,6.7,,,,,
2016-04-06,7.9,9.1,6.6,0.0,12.3,,,,8.3,,,,,
2016-04-07,9.4,11.9,7.3,0.0,0.0,,,,6.4,,,,,
2016-04-08,7.3,9.3,4.0,1.0,4.6,,,,4.3,,,,,
2016-04-09,7.2,11.0,5.2,0.0,10.7,,,,9.4,,,,,
2016-04-10,4.7,6.1,3.2,0.0,10.5,,,,6.0,,,,,
2016-04-11,3.8,6.3,-0.1,2.0,5.6,,,,7.7,,,,,
