calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.5,-0.4,-9.8,0.0,1.6,,15,5,0.8,,,,,
2016-01-02,-2.5,3.8,-8.1,2.0,1.3,,20,8,1.0,,,,,
2016-01-03,-4.6,1.9,-11.6,0.0,3.0,,18,3,0.9,,,,,
2016-01-04,-8.3,-0.5,-14.6,0.0,0.9,,17,2,0.7,,,,,
2016-01-05,-10.1,-2.1,-17.5,0.0,0.9,,19,6,0.2,,,,,
2016-01-06,-6.1,1.7,-13.6,0.0,4.0,,17,3,0.8,,,,,
2016-01-07,-6.1,-1.3,-10.0,0.0,2.8,,16,4,1.0,,,,,
2016-01-08,-5.8,0.6,-10.3,0.0,1.4,,16,1,1.0,,,,,
2016-01-09,-9.6,-1.6,-14.9,0.0,3.5,,17,6,0.9,,,,,
2016-01-10,-7.4,-0.3,-14.7,0.0,3.2,,17,3,1.2,,,,,
2016-01-11,-11.1,-4.0,-18.1,0.0,7.2,,17,3,1.0,,,,,
2016-01-12,-12.4,-2.9,-20.3,0.0,2.3,,17,2,0.8,,,,,
2016-01-13,-9.8,-1.4,-18.6,0.0,1.3,,18,7,1.0,,,,,
2016-01-14,-6.0,-1.2,-14.6,2.5,6.7,,22,7,1.4,,,,,
2016-01-15,-11.2,-0.2,-19.3,0.0,7.2,,21,0,0.7,,,,,
2016-01-16,-11.2,-0.9,-17.9,0.0,5.2,,21,2,0.8,,,,,
2016-01-17,-11.7,-1.2,-19.0,0.0,6.1,,21,1,0.7,,,,,
2016-01-18,-7.8,-0.2,-16.6,0.0,0.0,,21,4,2.9,,,,,
2016-01-19,-0.9,1.2,-7.0,0.0,0.0,,19,3,3.7,,,,,
2016-01-20,-3.1,1.4,-8.7,0.0,5.1,,19,1,2.8,,,,,
2016-01-21,-5.5,0.5,-13.7,0.0,5.4,,18,2,1.4,,,,,
2016-01-22,-6.6,-0.2,-14.2,0.0,1.3,,18,1,0.9,,,,,
2016-01-23,-6.2,-0.8,-14.2,0.0,1.2,,19,1,0.7,,,,,
2016-01-24,-7.5,-1.5,-13.6,0.0,2.6,,20,3,1.1,,,,,
2016-01-25,-10.3,-2.6,-18.7,0.0,6.3,,19,4,1.3,,,,,
2016-01-26,-3.3,2.0,-10.6,0.0,0.6,,20,4,1.1,,,,,
2016-01-27,-3.3,0.0,-10.1,0.5,5.7,,22,6,1.4,,,,,
2016-01-28,-8.1,-0.8,-16.2,0.5,3.6,,24,7,1.6,,,,,
2016-01-29,-9.6,-3.2,-16.7,0.0,5.2,,25,3,1.4,,,,,
2016-01-30,-10.4,-2.4,-18.2,0.0,6.4,,23,2,0.8,,,,,
2016-01-31,-10.9,-3.1,-19.1,0.0,5.6,,22,5,1.1,,,,,
2016-02-01,-13.3,-3.0,-21.6,0.0,6.6,,22,4,1.0,,,,,
2016-02-02,-10.8,-1.4,-21.4,0.0,4.1,,23,4,1.1,,,,,
2016-02-03,-9.1,-1.4,-17.3,0.0,4.0,,24,6,0.7,,,,,
2016-02-04,-5.6,1.5,-13.3,1.5,3.3,,27,7,1.0,,,,,
2016-02-05,-5.5,-0.4,-15.4,0.5,2.1,,29,4,1.1,,,,,
2016-02-06,-10.9,-0.9,-18.5,0.0,3.1,,27,3,1.0,,,,,
2016-02-07,-11.8,-2.1,-22.3,0.0,5.6,,27,3,1.1,,,,,
2016-02-08,-8.0,0.1,-17.8,0.0,9.0,,26,4,0.8,,,,,
2016-02-09,-0.7,3.9,-6.7,4.5,1.0,,32,14,2.1,,,,,
2016-02-10,-1.9,0.7,-10.5,2.0,4.3,,34,6,2.6,,,,,
2016-02-11,-8.2,0.7,-15.1,0.0,4.6,,29,3,1.3,,,,,
2016-02-12,-5.3,3.8,-16.0,0.0,3.2,,29,5,0.7,,,,,
2016-02-13,1.0,2.4,-1.4,0.5,0.0,,29,2,1.1,,,,,
2016-02-14,2.3,8.4,-1.4,25.5,0.0,,25,2,2.1,,,,,
2016-02-15,-6.4,-1.4,-13.9,0.0,3.0,,19,2,2.0,,,,,
2016-02-16,-8.1,-2.4,-16.1,0.0,4.7,,18,1,1.6,,,,,
2016-02-17,-6.2,-0.6,-12.6,0.0,3.1,,20,7,1.5,,,,,
2016-02-18,-4.3,2.8,-13.1,0.0,3.5,,20,5,0.9,,,,,
2016-02-19,0.6,5.6,-4.8,3.5,0.3,,19,0,1.5,,,,,
2016-02-20,0.6,4.0,-2.6,3.0,1.4,,24,8,1.4,,,,,
2016-02-21,-0.1,2.5,-3.0,3.0,2.9,,28,7,2.9,,,,,
2016-02-22,-4.7,-1.4,-12.7,0.0,4.1,,29,6,1.9,,,,,
2016-02-23,-4.5,2.2,-12.5,1.0,0.3,,28,5,1.2,,,,,
2016-02-24,-9.0,-3.6,-14.9,0.0,8.1,,26,4,1.8,,,,,
2016-02-25,-9.1,-1.6,-16.4,0.0,3.3,,26,2,1.3,,,,,
2016-02-26,-10.6,-1.7,-18.8,0.0,5.1,,26,2,1.2,,,,,
2016-02-27,-8.4,-1.5,-16.8,0.0,6.1,,27,4,1.4,,,,,
2016-02-28,-9.0,0.2,-18.1,0.0,9.7,,26,2,1.4,,,,,
2016-02-29,-1.2,4.5,-11.6,8.5,0.0,,30,5,3.0,,,,,
2016-03-01,-3.5,-0.3,-13.6,2.5,3.9,,36,10,3.2,,,,,
2016-03-02,-6.8,-0.5,-14.0,0.0,3.6,,31,1,1.0,,,,,
2016-03-03,-6.1,1.7,-14.3,1.0,1.5,,33,8,0.9,,,,,
2016-03-04,-7.1,1.8,-17.7,0.0,5.4,,31,0,1.3,,,,,
2016-03-05,-5.4,4.2,-14.0,0.0,9.5,,29,1,1.0,,,,,
2016-03-06,1.4,7.2,-8.3,21.5,0.0,,29,2,2.0,,,,,
2016-03-07,3.4,7.9,-1.6,1.5,4.2,,22,0,1.6,,,,,
2016-03-08,1.7,6.8,-3.0,0.5,0.1,,18,0,2.0,,,,,
2016-03-09,-1.8,1.5,-7.6,0.0,4.5,,16,3,1.8,,,,,
2016-03-10,-4.2,1.8,-10.0,0.0,7.5,,16,2,1.1,,,,,
2016-03-11,-4.5,1.3,-8.9,0.0,4.8,,15,1,1.3,,,,,
2016-03-12,-4.7,1.8,-11.3,0.0,6.3,,15,0,1.5,,,,,
2016-03-13,-2.1,3.9,-10.3,2.5,4.7,,19,7,1.9,,,,,
2016-03-14,1.6,7.1,-2.0,0.5,6.7,,19,0,,,,,,
2016-03-15,0.1,3.5,-4.5,0.0,7.2,,11,1,2.6,,,,,
2016-03-16,1.4,8.3,-7.6,0.0,6.6,,7,1,2.3,,,,,
2016-03-17,3.7,13.5,-2.8,0.0,9.7,,1,0,1.4,,,,,
2016-03-18,4.5,14.4,-2.8,0.0,5.5,,1,1,1.7,,,,,
2016-03-19,3.5,7.3,0.0,9.0,0.0,,1,0,1.1,,,,,
2016-03-20,0.9,4.3,-4.3,0.0,7.2,,1,0,3.7,,,,,
2016-03-21,-1.7,4.0,-6.0,0.0,4.3,,2,3,1.4,,,,,
2016-03-22,-1.1,6.4,-7.3,0.5,5.2,,3,3,1.2,,,,,
2016-03-23,0.3,6.3,-4.6,0.0,5.4,,2,3,1.6,,,,,
2016-03-24,-0.6,6.7,-6.2,0.0,8.0,,1,2,1.3,,,,,
2016-03-25,-1.2,5.8,-7.3,0.0,6.0,,2,2,1.5,,,,,
2016-03-26,0.1,7.0,-6.3,0.0,7.1,,1,0,1.6,,,,,
2016-03-27,2.5,10.6,-5.0,0.0,4.6,,0,0,2.4,,,,,
2016-03-28,3.3,11.2,-3.8,0.0,5.8,,0,0,1.6,,,,,
2016-03-29,2.4,11.8,-6.3,0.0,9.7,,0,0,1.8,,,,,
2016-03-30,4.6,11.4,-2.4,10.5,3.3,,0,0,2.3,,,,,
2016-03-31,4.2,10.6,-0.4,0.0,5.0,,0,0,1.7,,,,,
2016-04-01,4.2,11.7,-3.2,0.0,8.1,,1,1,2.0,,,,,
2016-04-02,3.8,7.3,1.9,0.0,1.9,,0,0,3.1,,,,,
2016-04-03,6.1,8.4,2.2,7.5,0.0,,0,0,2.3,,,,,
2016-04-04,4.1,11.6,-3.6,0.5,3.4,,0,0,1.9,,,,,
2016-04-05,5.0,12.7,-5.6,0.0,9.5,,0,0,2.9,,,,,
2016-04-06,4.6,12.8,-3.2,0.0,6.6,,0,0,2.0,,,,,
2016-04-07,5.7,13.7,-4.8,9.0,0.5,,0,0,2.3,,,,,
2016-04-08,5.7,9.1,-1.5,4.5,0.1,,0,0,1.5,,,,,
2016-04-09,3.6,12.7,-2.1,0.0,7.2,,0,0,2.5,,,,,
2016-04-10,2.4,8.7,-2.4,0.0,9.0,,0,0,1.8,,,,,
2016-04-11,1.0,7.7,-4.6,1.0,6.8,,2,2,2.0,,,,,
2016-04-12,3.1,11.2,-4.6,0.0,6.8,,0,0,1.8,,,,,
2016-04-13,6.2,12.7,0.5,6.5,0.0,,0,0,1.8,,,,,
2016-04-14,10.6,15.7,6.5,6.0,1.6,,0,0,2.0,,,,,
2016-04-15,4.8,8.1,2.8,4.5,0.4,,0,0,3.5,,,,,
2016-04-16,6.4,14.1,-2.6,0.0,8.8,,0,0,2.4,,,,,
2016-04-17,7.6,12.7,2.1,20.5,0.0,,0,0,3.4,,,,,
2016-04-18,6.3,9.9,3.1,0.5,0.4,,0,0,3.7,,,,,
2016-04-19,4.7,7.6,1.4,0.0,0.1,,0,0,1.7,,,,,
2016-04-20,6.7,12.3,0.1,0.0,7.4,,0,0,2.2,,,,,
2016-04-21,10.6,18.6,0.8,0.0,11.3,,0,0,2.5,,,,,
2016-04-22,10.5,19.8,2.4,0.0,11.5,,0,0,2.1,,,,,
2016-04-23,7.0,12.6,0.4,6.0,0.0,,0,0,1.8,,,,,
2016-04-24,8.2,15.1,0.0,0.0,6.4,,0,0,2.0,,,,,
2016-04-25,8.2,17.0,-0.7,0.0,9.6,,0,0,1.8,,,,,
2016-04-26,7.6,14.1,1.7,0.0,3.3,,0,0,1.9,,,,,
2016-04-27,5.2,13.8,-1.3,0.0,11.7,,0,0,2.6,,,,,
2016-04-28,5.7,14.2,-2.6,9.0,5.7,,0,0,2.9,,,,,
2016-04-29,3.9,7.3,2.0,10.0,0.0,,0,0,3.8,,,,,
2016-04-30,3.2,7.8,-2.3,0.5,5.6,,0,0,2.9,,,,,
2016-05-01,5.1,14.5,-3.4,0.0,10.9,,0,0,1.5,,,,,
2016-05-02,7.5,15.2,-2.9,0.0,11.7,,0,0,2.3,,,,,
2016-05-03,16.1,24.3,6.1,0.0,10.5,,0,0,2.8,,,,,
2016-05-04,13.8,17.1,10.8,13.5,0.7,,0,0,3.6,,,,,
2016-05-05,11.2,13.8,9.1,1.5,0.0,,0,0,3.1,,,,,
2016-05-06,11.7,16.6,8.4,0.5,1.9,,0,0,1.7,,,,,
2016-05-07,11.2,14.3,8.1,9.5,1.2,,0,0,2.9,,,,,
2016-05-08,11.4,18.8,2.4,0.0,9.3,,0,0,2.5,,,,,
2016-05-09,10.1,19.7,0.6,0.0,7.6,,0,0,2.0,,,,,
2016-05-10,12.7,19.3,5.2,0.0,0.0,,0,0,1.7,,,,,
2016-05-11,10.2,13.1,7.6,5.0,0.0,,0,0,1.5,,,,,
2016-05-12,9.2,12.8,4.5,3.5,0.4,,0,0,1.8,,,,,
2016-05-13,14.0,24.5,2.6,0.0,12.4,,0,0,2.8,,,,,
2016-05-14,14.2,24.3,4.6,0.0,12.2,,0,0,2.8,,,,,
2016-05-15,11.2,19.1,1.9,0.0,10.4,,0,0,2.6,,,,,
2016-05-16,13.4,21.6,1.7,3.0,6.1,,0,0,4.0,,,,,
2016-05-17,13.7,20.1,6.6,20.0,6.5,,0,0,2.7,,,,,
2016-05-18,15.5,25.0,5.7,0.0,12.3,,0,0,1.6,,,,,
2016-05-19,14.0,22.3,5.9,0.0,12.3,,0,0,1.8,,,,,
2016-05-20,14.9,25.9,5.5,0.0,12.5,,0,0,1.7,,,,,
2016-05-21,16.0,28.2,5.1,0.0,12.8,,0,0,1.7,,,,,
2016-05-22,18.2,29.1,6.7,0.0,13.2,,0,0,1.9,,,,,
2016-05-23,19.0,30.7,8.2,0.0,9.1,,0,0,1.1,,,,,
2016-05-24,15.9,22.8,9.8,0.0,5.4,,0,0,2.0,,,,,
2016-05-25,15.4,18.2,11.6,3.5,0.0,,0,0,2.1,,,,,
2016-05-26,16.7,20.6,13.4,0.0,0.1,,0,0,2.3,,,,,
2016-05-27,15.4,21.5,6.7,3.5,6.7,,0,0,1.5,,,,,
2016-05-28,14.2,22.1,4.4,3.0,10.0,,0,0,2.3,,,,,
2016-05-29,13.9,22.3,5.5,0.0,13.0,,0,0,1.6,,,,,
2016-05-30,14.3,20.4,8.1,0.0,10.4,,0,0,2.1,,,,,
2016-05-31,15.4,21.5,10.6,24.5,1.2,,0,0,2.4,,,,,
2016-06-01,10.4,14.1,6.5,17.0,0.2,,0,0,1.6,,,,,
2016-06-02,9.5,14.5,3.7,0.0,5.9,,0,0,2.9,,,,,
2016-06-03,9.8,13.7,2.8,0.0,1.5,,0,0,1.1,,,,,
2016-06-04,11.5,13.3,9.4,20.0,0.0,,0,0,0.9,,,,,
2016-06-05,12.9,19.8,6.2,0.0,10.2,,0,0,1.9,,,,,
2016-06-06,14.3,23.3,5.8,0.0,8.8,,0,0,1.6,,,,,
2016-06-07,15.7,23.7,8.7,0.0,11.1,,0,0,1.6,,,,,
2016-06-08,16.1,23.2,8.7,2.5,2.0,,0,0,1.5,,,,,
2016-06-09,16.3,17.7,15.3,34.5,0.0,,0,0,0.6,,,,,
2016-06-10,15.5,20.4,10.3,0.0,8.1,,0,0,1.7,,,,,
2016-06-11,17.5,24.8,10.6,0.0,12.8,,0,0,1.6,,,,,
2016-06-12,15.0,21.7,10.0,0.0,3.0,,0,0,1.9,,,,,
2016-06-13,16.8,20.7,14.0,2.5,0.0,,0,0,2.5,,,,,
2016-06-14,14.3,17.6,12.7,5.5,0.0,,0,0,1.2,,,,,
2016-06-15,15.0,19.4,10.6,0.0,0.2,,0,0,1.8,,,,,
2016-06-16,13.6,18.2,10.3,24.0,0.6,,0,0,1.4,,,,,
2016-06-17,14.6,16.4,13.2,113.5,0.0,,0,0,1.6,,,,,
2016-06-18,15.6,21.6,9.6,3.0,4.4,,0,0,1.2,,,,,
2016-06-19,14.4,19.4,9.6,0.0,3.8,,0,0,1.8,,,,,
2016-06-20,17.2,20.5,13.7,51.0,0.0,,0,0,1.9,,,,,
2016-06-21,18.0,23.3,15.2,0.5,1.1,,0,0,1.6,,,,,
2016-06-22,17.9,25.2,14.0,0.5,8.5,,0,0,1.9,,,,,
2016-06-23,16.6,22.8,13.1,0.0,4.8,,0,0,1.7,,,,,
2016-06-24,15.1,20.6,11.8,0.0,6.0,,0,0,1.9,,,,,
2016-06-25,14.3,17.7,12.4,16.5,0.0,,0,0,1.7,,,,,
2016-06-26,14.5,16.6,13.1,16.0,0.9,,0,0,1.7,,,,,
2016-06-27,17.0,24.6,11.7,0.0,8.7,,0,0,1.4,,,,,
2016-06-28,17.6,25.7,11.3,0.0,10.9,,0,0,1.6,,,,,
2016-06-29,18.5,26.9,10.8,0.0,12.8,,0,0,1.9,,,,,
2016-06-30,19.1,26.2,12.5,0.0,11.6,,0,0,2.1,,,,,
2016-07-01,20.3,27.4,14.2,0.0,11.1,,0,0,1.8,,,,,
2016-07-02,20.0,24.0,15.4,36.0,0.0,,0,0,2.0,,,,,
2016-07-03,19.0,24.4,16.6,2.0,1.3,,0,0,2.2,,,,,
2016-07-04,17.1,22.1,12.7,0.0,3.2,,0,0,2.8,,,,,
2016-07-05,14.1,20.9,10.3,0.0,5.1,,0,0,2.3,,,,,
2016-07-06,14.1,18.5,10.1,0.0,0.2,,0,0,1.1,,,,,
2016-07-07,15.7,22.6,9.6,0.0,5.6,,0,0,1.7,,,,,
2016-07-08,16.9,23.4,12.6,0.0,4.6,,0,0,1.6,,,,,
2016-07-09,18.4,24.9,11.6,0.0,3.1,,0,0,1.7,,,,,
2016-07-10,20.0,25.9,17.1,2.5,1.4,,0,0,1.3,,,,,
2016-07-11,19.5,25.3,15.0,0.0,6.0,,0,0,1.6,,,,,
2016-07-12,20.4,28.5,12.5,0.0,12.5,,0,0,1.2,,,,,
2016-07-13,20.0,26.9,14.0,0.0,9.5,,0,0,2.2,,,,,
2016-07-14,19.3,26.5,14.2,0.0,5.1,,0,0,1.4,,,,,
2016-07-15,19.5,25.8,12.6,0.0,8.6,,0,0,1.7,,,,,
2016-07-16,20.7,28.2,16.8,0.0,10.4,,0,0,1.8,,,,,
2016-07-17,18.5,21.6,17.2,2.5,0.0,,0,0,1.0,,,,,
2016-07-18,18.7,21.8,17.1,5.5,0.0,,0,0,1.2,,,,,
2016-07-19,18.0,21.0,16.7,19.5,0.1,,0,0,1.3,,,,,
2016-07-20,17.2,19.3,16.2,1.0,0.0,,0,0,1.8,,,,,
2016-07-21,18.8,25.7,15.9,0.0,4.3,,0,0,1.5,,,,,
2016-07-22,17.5,22.1,15.2,0.0,0.3,,0,0,2.0,,,,,
2016-07-23,17.6,22.4,15.0,0.0,0.0,,0,0,1.7,,,,,
2016-07-24,18.1,23.3,15.4,0.0,5.5,,0,0,2.1,,,,,
2016-07-25,18.3,22.1,15.6,0.0,0.0,,0,0,1.5,,,,,
2016-07-26,20.5,26.0,15.8,0.0,3.9,,0,0,2.1,,,,,
2016-07-27,20.4,24.2,18.1,26.5,0.0,,0,0,1.9,,,,,
2016-07-28,21.5,22.7,20.4,51.0,0.0,,0,0,1.4,,,,,
2016-07-29,22.9,27.8,20.1,33.0,1.1,,0,0,1.0,,,,,
2016-07-30,23.4,28.9,19.3,2.0,2.6,,0,0,1.3,,,,,
2016-07-31,23.8,28.6,20.6,0.5,2.8,,0,0,1.3,,,,,
2016-08-01,23.8,28.1,21.4,1.0,0.7,,0,0,1.7,,,,,
2016-08-02,24.6,31.5,19.1,0.0,10.5,,0,0,1.6,,,,,
2016-08-03,23.8,29.2,19.9,0.0,9.4,,0,0,1.9,,,,,
2016-08-04,23.3,29.1,18.8,0.0,5.8,,0,0,1.7,,,,,
2016-08-05,21.3,28.3,13.8,0.0,5.1,,0,0,1.0,,,,,
2016-08-06,20.6,29.6,12.2,0.0,12.3,,0,0,1.0,,,,,
2016-08-07,22.0,30.0,14.2,0.0,13.0,,0,0,1.8,,,,,
2016-08-08,24.3,31.0,17.1,0.0,8.9,,0,0,2.2,,,,,
