calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.6,-0.2,-9.1,0.0,5.3,,,,2.4,,,,,
2016-01-02,0.5,4.9,-4.9,5.0,1.9,,,,3.1,,,,,
2016-01-03,-1.6,2.2,-7.9,0.0,5.5,,,,2.7,,,,,
2016-01-04,-5.0,0.1,-9.6,0.0,1.2,,,,1.9,,,,,
2016-01-05,-6.0,-0.8,-12.2,0.0,5.2,,,,3.0,,,,,
2016-01-06,-3.4,2.3,-8.7,0.0,4.0,,,,3.1,,,,,
2016-01-07,-3.6,-0.8,-5.7,0.0,1.5,,,,2.1,,,,,
2016-01-08,-3.2,1.4,-9.6,0.0,2.1,,,,2.4,,,,,
2016-01-09,-5.9,-0.3,-10.5,0.0,3.6,,,,2.4,,,,,
2016-01-10,-5.6,0.4,-10.0,0.0,5.3,,,,3.4,,,,,
2016-01-11,-9.0,-3.7,-14.8,0.0,6.0,,,,3.2,,,,,
2016-01-12,-8.9,-3.4,-15.5,0.0,0.6,,,,2.1,,,,,
2016-01-13,-5.8,-1.1,-12.1,0.0,1.3,,,,1.7,,,,,
2016-01-14,-6.3,-1.7,-14.7,4.5,7.8,,,,3.8,,,,,
2016-01-15,-11.4,-3.2,-18.0,0.0,7.4,,,,1.7,,,,,
2016-01-16,-10.3,-1.5,-17.7,0.0,6.5,,,,1.4,,,,,
2016-01-17,-10.6,-1.9,-18.8,0.0,7.8,,,,1.1,,,,,
2016-01-18,-6.5,-1.6,-17.5,2.0,0.0,,,,1.9,,,,,
2016-01-19,-1.7,-0.4,-4.0,0.0,0.0,,,,5.6,,,,,
2016-01-20,-2.2,-0.2,-5.5,0.0,5.4,,,,8.3,,,,,
2016-01-21,-7.7,-1.7,-15.1,0.0,5.9,,,,3.3,,,,,
2016-01-22,-8.8,-1.1,-16.9,0.0,1.8,,,,2.0,,,,,
2016-01-23,-6.7,-1.0,-12.7,0.0,6.6,,,,1.3,,,,,
2016-01-24,-6.1,-1.4,-10.1,0.0,5.9,,,,2.6,,,,,
2016-01-25,-9.4,-3.7,-16.0,0.0,7.8,,,,2.6,,,,,
2016-01-26,-1.7,2.5,-8.7,0.0,1.0,,,,2.7,,,,,
2016-01-27,-1.6,1.7,-7.3,0.0,4.9,,,,3.3,,,,,
2016-01-28,-5.9,0.5,-11.6,0.0,5.5,,,,2.9,,,,,
2016-01-29,-8.5,-2.8,-14.2,0.0,6.1,,,,2.0,,,,,
2016-01-30,-7.8,-2.7,-14.0,0.0,8.3,,,,1.1,,,,,
2016-01-31,-8.0,-2.1,-15.0,0.0,7.6,,,,2.7,,,,,
2016-02-01,-10.4,-2.8,-15.9,0.0,6.8,,,,1.8,,,,,
