calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.3,0.0,-4.5,0.0,4.9,,7,3,2.0,,,,,
2016-01-02,0.8,3.1,-1.5,4.5,0.6,,10,4,2.6,,,,,
2016-01-03,-1.7,0.5,-5.3,0.0,4.3,,7,1,2.9,,,,,
2016-01-04,-3.5,-1.2,-6.3,0.0,1.2,,7,4,2.2,,,,,
2016-01-05,-5.4,-3.0,-6.6,0.0,4.5,,7,0,3.5,,,,,
2016-01-06,-3.5,-0.8,-5.9,0.5,0.6,,10,7,3.0,,,,,
2016-01-07,-4.4,-2.7,-5.5,0.0,3.6,,10,1,3.1,,,,,
2016-01-08,-3.6,-1.2,-5.5,0.0,2.7,,8,0,2.7,,,,,
2016-01-09,-4.8,-3.5,-5.9,0.0,1.6,,9,2,2.4,,,,,
2016-01-10,-5.2,-1.5,-9.2,0.0,2.9,,10,5,2.6,,,,,
2016-01-11,-9.3,-6.5,-12.2,0.0,3.0,,11,2,2.2,,,,,
2016-01-12,-7.5,-4.1,-12.0,0.0,4.0,,10,5,2.8,,,,,
2016-01-13,-5.5,-2.6,-10.1,2.0,2.3,,14,9,1.3,,,,,
2016-01-14,-4.9,-3.3,-6.3,4.0,4.6,,21,8,2.7,,,,,
2016-01-15,-5.5,-2.1,-8.9,0.5,4.1,,20,4,2.1,,,,,
2016-01-16,-6.2,-3.3,-8.2,0.0,4.6,,20,1,2.6,,,,,
2016-01-17,-5.7,-1.9,-10.0,0.0,7.4,,19,1,1.6,,,,,
2016-01-18,-4.4,-1.1,-8.5,6.0,0.0,,24,8,1.5,,,,,
2016-01-19,-2.5,-0.5,-4.8,5.0,0.0,,30,7,1.4,,,,,
2016-01-20,-1.9,0.4,-5.4,0.0,3.3,,28,2,2.7,,,,,
2016-01-21,-3.8,-0.5,-7.2,0.0,8.4,,26,1,2.2,,,,,
2016-01-22,-3.7,0.0,-7.1,0.0,9.1,,26,6,2.3,,,,,
2016-01-23,-5.0,-2.5,-7.3,0.5,7.8,,30,4,2.3,,,,,
2016-01-24,-5.0,-1.7,-8.7,1.0,1.9,,31,11,1.0,,,,,
