calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.6,-0.1,-4.6,0.0,1.3,,18,0,1.6,,,,,
2016-01-02,0.6,4.9,-4.4,3.0,0.7,,21,6,1.9,,,,,
2016-01-03,-1.1,2.1,-8.9,0.0,3.9,,16,0,1.9,,,,,
2016-01-04,-5.2,-0.4,-9.3,0.0,0.3,,16,1,1.6,,,,,
2016-01-05,-4.9,-2.5,-9.0,1.5,3.0,,22,10,2.0,,,,,
2016-01-06,-2.6,1.0,-5.7,0.5,2.2,,24,4,1.7,,,,,
2016-01-07,-3.5,-2.1,-4.8,0.5,1.2,,25,13,1.9,,,,,
2016-01-08,-2.8,-0.5,-5.8,0.0,1.9,,24,2,1.9,,,,,
2016-01-09,-5.2,-1.6,-9.5,0.0,2.8,,22,5,1.5,,,,,
2016-01-10,-5.3,-0.6,-8.4,3.5,4.0,,31,12,2.3,,,,,
2016-01-11,-7.9,-6.0,-9.7,2.0,0.0,,32,4,1.3,,,,,
2016-01-12,-6.7,-4.0,-9.8,1.5,3.9,,34,5,1.8,,,,,
2016-01-13,-5.1,-1.1,-8.7,1.0,5.5,,32,4,1.6,,,,,
2016-01-14,-4.0,-2.5,-5.9,15.5,4.1,,57,33,2.3,,,,,
2016-01-15,-6.1,-2.1,-10.5,2.5,2.6,,58,5,1.8,,,,,
2016-01-16,-5.8,-2.2,-11.6,6.5,6.1,,59,13,1.6,,,,,
2016-01-17,-7.5,-0.6,-12.4,0.5,4.7,,58,1,1.9,,,,,
2016-01-18,-3.6,0.9,-12.4,0.0,0.0,,49,1,2.4,,,,,
2016-01-19,-1.6,0.6,-4.6,1.5,0.0,,48,2,1.8,,,,,
2016-01-20,-1.4,1.2,-9.0,0.0,3.6,,45,0,3.5,,,,,
2016-01-21,-4.1,0.3,-9.5,4.0,3.6,,53,10,2.2,,,,,
2016-01-22,-4.7,1.2,-11.5,0.0,5.3,,48,1,1.8,,,,,
2016-01-23,-7.1,-0.9,-13.8,0.5,6.7,,46,2,1.8,,,,,
2016-01-24,-4.1,0.2,-9.4,0.5,4.4,,48,5,1.8,,,,,
2016-01-25,-6.3,-2.8,-15.2,0.0,1.4,,47,6,1.7,,,,,
2016-01-26,-1.2,2.7,-5.6,0.0,1.7,,46,2,1.8,,,,,
2016-01-27,-1.5,0.8,-4.2,0.5,4.6,,46,5,2.0,,,,,
2016-01-28,-3.3,-0.6,-5.8,0.0,3.4,,44,3,2.3,,,,,
2016-01-29,-5.6,-3.4,-11.0,0.0,0.7,,43,3,1.9,,,,,
2016-01-30,-6.9,-2.0,-13.4,0.0,4.7,,42,0,1.8,,,,,
2016-01-31,-6.6,-3.6,-9.7,2.5,3.1,,49,11,1.8,,,,,
2016-02-01,-7.1,-4.2,-10.1,0.5,5.6,,50,4,1.8,,,,,
2016-02-02,-6.1,-2.9,-10.7,2.5,5.0,,55,12,1.7,,,,,
2016-02-03,-4.2,-0.8,-7.2,1.0,4.4,,55,3,1.1,,,,,
2016-02-04,-1.4,2.8,-5.0,0.5,2.8,,46,3,1.6,,,,,
2016-02-05,-2.6,-0.5,-6.9,0.0,5.0,,44,6,2.2,,,,,
2016-02-06,-6.3,-2.4,-12.1,0.0,6.6,,44,5,1.8,,,,,
2016-02-07,-5.3,-2.2,-10.8,2.0,3.0,,50,10,1.2,,,,,
2016-02-08,-4.6,0.6,-13.0,0.0,8.3,,49,1,1.6,,,,,
2016-02-09,1.7,3.7,-4.1,5.0,2.5,,49,6,2.6,,,,,
2016-02-10,-2.4,-0.2,-6.5,5.5,1.8,,56,12,2.5,,,,,
2016-02-11,-4.1,1.3,-8.9,0.0,7.6,,55,1,2.0,,,,,
2016-02-12,-1.9,4.5,-9.2,0.0,1.4,,48,3,1.7,,,,,
2016-02-13,2.2,5.2,0.6,4.5,0.0,,48,1,1.8,,,,,
2016-02-14,2.0,5.7,-1.8,15.0,0.0,,42,4,2.6,,,,,
2016-02-15,-6.6,-1.4,-9.3,3.0,3.3,,43,10,2.4,,,,,
2016-02-16,-6.4,-1.9,-12.1,1.5,5.6,,44,2,1.3,,,,,
2016-02-17,-4.8,-2.3,-8.4,3.5,2.8,,47,7,2.1,,,,,
2016-02-18,-1.2,3.7,-8.4,4.5,3.4,,55,10,1.5,,,,,
2016-02-19,1.2,5.9,-3.2,1.5,0.9,,43,0,1.6,,,,,
2016-02-20,0.5,3.6,-4.0,4.0,3.0,,44,6,1.4,,,,,
2016-02-21,-0.2,3.3,-4.1,7.5,1.9,,49,11,2.3,,,,,
2016-02-22,-4.0,-1.4,-8.5,0.5,1.8,,49,3,2.0,,,,,
2016-02-23,-2.3,2.0,-7.8,5.5,1.5,,53,10,1.8,,,,,
2016-02-24,-6.5,-3.9,-9.0,0.5,4.6,,50,7,2.2,,,,,
2016-02-25,-7.0,-2.2,-11.9,0.5,3.4,,52,4,1.8,,,,,
2016-02-26,-7.0,-2.1,-11.5,1.0,5.8,,53,2,1.8,,,,,
2016-02-27,-5.2,-1.2,-10.6,3.0,4.5,,59,8,2.0,,,,,
2016-02-28,-6.3,0.7,-14.9,0.0,9.2,,53,0,1.7,,,,,
2016-02-29,1.5,6.4,-4.9,1.5,1.7,,53,4,3.4,,,,,
2016-03-01,-2.3,0.7,-4.7,13.5,3.5,,64,22,4.3,,,,,
2016-03-02,-4.4,-0.4,-9.4,2.5,2.8,,68,8,1.1,,,,,
2016-03-03,-2.3,3.2,-7.1,0.5,2.2,,61,7,1.9,,,,,
2016-03-04,-4.5,2.1,-10.8,0.0,6.1,,55,1,2.0,,,,,
2016-03-05,-3.3,3.0,-11.3,0.0,9.0,,55,2,1.9,,,,,
