calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.7,1.5,-6.2,0.0,5.2,,0,0,2.3,,,,,
2016-01-02,2.1,5.7,-2.7,2.5,1.8,,2,2,3.3,,,,,
2016-01-03,0.5,2.7,-1.7,0.0,5.5,,0,0,3.8,,,,,
2016-01-04,-1.6,0.7,-6.0,0.0,1.5,,0,0,2.4,,,,,
2016-01-05,-3.8,-0.9,-8.8,0.0,7.0,,0,0,3.8,,,,,
2016-01-06,-1.0,2.2,-4.4,0.0,4.0,,0,0,3.4,,,,,
2016-01-07,-2.4,-0.4,-5.6,0.0,2.5,,0,0,2.9,,,,,
2016-01-08,-1.9,1.3,-7.6,0.0,4.0,,0,0,3.0,,,,,
2016-01-09,-4.0,-1.1,-8.5,0.0,3.2,,0,0,2.8,,,,,
2016-01-10,-4.2,1.3,-8.1,0.0,4.3,,1,2,3.2,,,,,
2016-01-11,-7.0,-3.9,-10.4,0.0,2.7,,1,5,2.4,,,,,
2016-01-12,-5.7,-1.9,-10.4,0.0,4.1,,1,3,3.0,,,,,
2016-01-13,-4.3,0.0,-8.1,1.5,2.2,,6,8,2.0,,,,,
2016-01-14,-3.9,-1.4,-9.3,5.5,7.4,,17,11,3.4,,,,,
2016-01-15,-7.0,-1.7,-13.7,0.0,4.5,,12,3,2.2,,,,,
2016-01-16,-5.8,-0.7,-11.5,0.0,7.0,,10,1,2.7,,,,,
2016-01-17,-6.5,1.3,-12.9,0.0,7.6,,8,0,2.2,,,,,
2016-01-18,-4.4,-1.0,-9.8,1.5,0.0,,9,4,3.4,,,,,
2016-01-19,-0.5,1.6,-3.2,2.0,0.0,,12,4,3.6,,,,,
2016-01-20,-0.4,1.5,-5.8,0.0,2.8,,11,1,5.2,,,,,
2016-01-21,-3.4,0.8,-7.8,0.0,7.9,,10,2,3.0,,,,,
2016-01-22,-3.7,1.8,-10.8,0.0,8.0,,9,1,2.9,,,,,
2016-01-23,-5.6,0.6,-12.5,0.0,8.0,,9,3,2.1,,,,,
2016-01-24,-3.9,0.0,-8.4,0.0,4.3,,9,1,2.2,,,,,
2016-01-25,-4.9,-1.8,-12.4,0.0,5.6,,9,4,2.4,,,,,
2016-01-26,0.9,3.3,-3.5,0.0,1.2,,9,0,2.8,,,,,
2016-01-27,-0.1,2.5,-2.3,0.0,5.3,,8,1,3.8,,,,,
2016-01-28,-3.3,0.5,-6.9,0.0,4.6,,8,2,3.3,,,,,
2016-01-29,-5.7,-2.2,-10.2,0.0,4.8,,8,2,2.0,,,,,
2016-01-30,-6.5,-1.4,-11.4,0.0,6.6,,8,1,1.8,,,,,
2016-01-31,-6.0,-2.2,-10.6,0.0,5.7,,8,1,2.5,,,,,
2016-02-01,-7.1,-2.5,-10.6,0.0,6.9,,8,1,2.5,,,,,
2016-02-02,-5.9,-1.1,-10.4,0.0,4.7,,8,1,2.9,,,,,
2016-02-03,-5.1,0.5,-11.6,0.0,6.2,,7,0,2.1,,,,,
