calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.8,0.0,-7.5,0.0,,,5,1,2.9,,,,,
2016-01-02,0.2,6.0,-4.3,3.0,,,9,5,3.3,,,,,
2016-01-03,-1.9,1.9,-7.5,0.0,,,4,0,2.8,,,,,
2016-01-04,-3.1,0.2,-10.2,0.0,,,4,0,2.7,,,,,
2016-01-05,-6.4,-2.2,-13.0,0.0,,,5,1,2.0,,,,,
2016-01-06,-2.9,1.3,-7.4,0.0,,,5,2,2.7,,,,,
2016-01-07,-4.0,-1.4,-7.6,0.0,,,5,1,1.7,,,,,
2016-01-08,-2.9,1.0,-7.2,0.0,,,5,2,2.5,,,,,
2016-01-09,-4.8,-1.3,-9.8,0.0,,,5,2,2.0,,,,,
2016-01-10,-6.2,-0.7,-11.8,0.0,,,6,3,2.7,,,,,
2016-01-11,-8.2,-4.0,-15.7,0.0,,,6,0,2.9,,,,,
2016-01-12,-8.5,-3.0,-15.7,0.0,,,5,0,2.2,,,,,
2016-01-13,-5.8,-1.4,-11.7,0.0,,,6,1,2.3,,,,,
2016-01-14,-6.2,-1.2,-15.1,3.5,,,22,7,3.5,,,,,
2016-01-15,-10.6,-4.7,-18.2,0.0,,,16,0,2.7,,,,,
2016-01-16,-9.3,-0.7,-19.1,0.0,,,14,1,2.0,,,,,
2016-01-17,-9.7,-1.0,-18.3,0.0,,,13,0,1.3,,,,,
2016-01-18,-9.0,-1.0,-15.7,1.0,,,14,1,3.0,,,,,
2016-01-19,-1.6,-0.3,-3.0,0.5,,,14,1,7.6,,,,,
2016-01-20,-1.9,0.3,-5.2,0.0,,,13,0,9.0,,,,,
2016-01-21,-6.4,-2.7,-13.1,1.0,,,19,7,3.2,,,,,
2016-01-22,-8.3,-0.9,-16.9,0.0,,,19,2,2.3,,,,,
2016-01-23,-7.3,-0.4,-14.0,0.0,,,19,0,1.3,,,,,
2016-01-24,-7.7,-3.8,-13.0,0.0,,,19,1,4.2,,,,,
2016-01-25,-9.1,-4.6,-15.9,0.0,,,18,0,3.2,,,,,
2016-01-26,-1.6,3.6,-11.1,0.0,,,18,1,3.7,,,,,
2016-01-27,-2.0,1.1,-6.6,0.0,,,17,1,3.6,,,,,
2016-01-28,-5.7,-1.2,-13.4,0.0,,,17,1,2.7,,,,,
2016-01-29,-8.0,-2.5,-14.8,0.0,,,17,0,2.9,,,,,
2016-01-30,-8.4,-2.7,-13.9,0.0,,,17,1,1.5,,,,,
2016-01-31,-9.2,-3.2,-16.0,0.0,,,17,0,1.9,,,,,
