calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.0,-3.9,-6.4,0.5,0.8,,,,1.5,,,,,
2016-01-02,-1.5,0.0,-4.9,4.5,0.0,,,,1.8,,,,,
2016-01-03,-3.4,-1.9,-4.0,2.5,0.0,,,,3.5,,,,,
2016-01-04,-5.2,-3.2,-7.4,0.0,1.0,,,,3.1,,,,,
2016-01-05,-7.0,-6.1,-8.0,6.0,0.0,,,,3.1,,,,,
2016-01-06,-5.5,-4.3,-6.9,2.5,0.0,,,,3.7,,,,,
2016-01-07,-6.2,-4.7,-8.1,0.5,0.1,,,,2.7,,,,,
2016-01-08,-5.2,-3.5,-7.7,1.5,0.0,,,,3.0,,,,,
2016-01-09,-6.5,-5.4,-8.2,2.0,1.4,,,,3.2,,,,,
2016-01-10,-7.3,-5.3,-14.1,4.0,0.4,,,,2.1,,,,,
2016-01-11,-9.9,-7.6,-11.9,2.0,0.3,,,,1.8,,,,,
2016-01-12,-9.0,-7.7,-11.2,0.5,0.0,,,,2.3,,,,,
2016-01-13,-7.6,-5.2,-10.0,1.0,2.0,,,,1.1,,,,,
2016-01-14,-7.7,-5.0,-10.1,1.5,0.6,,,,,,,,,
2016-01-15,-12.5,-7.6,-17.7,0.0,7.3,,,,1.3,,,,,
2016-01-16,-13.4,-6.8,-19.9,0.0,4.4,,,,0.8,,,,,
2016-01-17,-10.6,-5.0,-14.7,0.0,4.3,,,,0.7,,,,,
2016-01-18,-10.9,-3.2,-19.0,0.0,0.0,,,,2.9,,,,,
2016-01-19,-2.6,-1.8,-3.7,10.0,0.0,,,,4.1,,,,,
2016-01-20,-4.0,-2.7,-5.7,5.0,0.0,,,,1.9,,,,,
2016-01-21,-7.4,-3.9,-11.8,0.5,4.0,,,,1.1,,,,,
2016-01-22,-5.7,-3.3,-10.4,12.0,0.0,,,,,,,,,
2016-01-23,-5.2,-2.6,-9.2,3.0,0.2,,,,,,,,,
2016-01-24,-12.4,-5.4,-18.7,0.0,6.2,,,,0.9,,,,,
2016-01-25,-13.3,-6.1,-23.3,0.0,6.3,,,,1.1,,,,,
2016-01-26,-3.0,-0.9,-6.9,1.5,0.0,,,,2.6,,,,,
2016-01-27,-4.4,-1.2,-5.6,2.5,2.1,,,,4.3,,,,,
2016-01-28,-7.8,-5.3,-10.2,1.5,0.0,,,,3.8,,,,,
2016-01-29,-9.2,-6.6,-11.6,1.0,2.7,,,,2.5,,,,,
2016-01-30,-12.9,-7.4,-19.0,0.0,8.5,,,,0.8,,,,,
2016-01-31,-9.2,-7.3,-12.2,3.5,1.4,,,,1.7,,,,,
2016-02-01,-12.0,-8.6,-17.7,0.0,1.8,,,,1.3,,,,,
2016-02-02,-10.4,-6.1,-13.9,0.5,0.1,,,,1.1,,,,,
2016-02-03,-10.6,-5.0,-20.4,0.0,3.5,,,,0.7,,,,,
2016-02-04,-3.8,-0.2,-7.9,0.0,1.1,,,,0.9,,,,,
2016-02-05,-5.1,-1.8,-8.4,0.0,3.3,,,,4.1,,,,,
2016-02-06,-8.1,-4.8,-11.0,4.0,2.6,,,,2.3,,,,,
2016-02-07,-9.0,-6.2,-14.1,3.0,2.2,,,,2.3,,,,,
2016-02-08,-9.7,-5.0,-16.4,0.0,3.8,,,,1.4,,,,,
2016-02-09,-8.9,-2.9,-15.9,0.0,2.3,,,,0.8,,,,,
2016-02-10,-4.3,-2.0,-6.5,2.5,0.8,,,,3.2,,,,,
2016-02-11,-6.0,-2.6,-10.4,0.0,6.7,,,,1.4,,,,,
2016-02-12,-1.2,2.9,-7.8,0.0,0.0,,,,0.9,,,,,
2016-02-13,2.8,4.9,0.4,1.0,0.0,,,,1.1,,,,,
2016-02-14,-2.6,1.7,-7.5,13.0,0.0,,,,,,,,,
2016-02-15,-9.0,-5.6,-11.2,2.5,1.5,,,,,,,,,
2016-02-16,-7.9,-6.0,-10.3,1.5,1.4,,,,,,,,,
2016-02-17,-7.2,-5.2,-9.0,5.0,0.6,,,,,,,,,
2016-02-18,-4.6,-1.2,-9.3,3.0,0.0,,,,2.1,,,,,
2016-02-19,-1.1,2.6,-6.5,5.5,1.1,,,,1.5,,,,,
2016-02-20,-1.7,0.4,-3.8,2.0,4.8,,,,3.0,,,,,
2016-02-21,-3.4,-1.2,-6.3,3.5,0.5,,,,1.8,,,,,
2016-02-22,-6.3,-4.4,-8.7,2.5,1.2,,,,2.9,,,,,
2016-02-23,-5.5,-1.9,-10.4,3.5,0.0,,,,1.7,,,,,
2016-02-24,-12.0,-7.7,-16.9,0.0,7.2,,,,1.6,,,,,
2016-02-25,-10.9,-6.9,-16.5,0.0,0.9,,,,1.4,,,,,
2016-02-26,-8.4,-6.2,-11.3,5.0,0.6,,,,,,,,,
2016-02-27,-8.5,-5.3,-11.1,1.5,1.1,,,,1.4,,,,,
2016-02-28,-9.7,-3.8,-16.0,0.0,6.7,,,,0.8,,,,,
2016-02-29,-5.4,1.7,-16.8,0.5,0.2,,,,2.5,,,,,
2016-03-01,-6.9,-1.7,-12.7,0.0,1.5,,,,1.7,,,,,
2016-03-02,-9.5,-4.1,-15.4,0.0,2.2,,,,1.0,,,,,
2016-03-03,-11.6,-3.9,-18.1,0.0,3.6,,,,1.2,,,,,
2016-03-04,-11.4,-2.1,-20.8,0.0,7.0,,,,1.4,,,,,
2016-03-05,-7.9,0.6,-17.0,0.0,7.3,,,,1.3,,,,,
2016-03-06,-0.1,7.8,-10.5,7.0,0.0,,,,1.8,,,,,
2016-03-07,2.1,7.0,-4.3,2.0,2.8,,,,2.7,,,,,
2016-03-08,0.3,6.9,-4.7,0.5,1.7,,,,2.5,,,,,
2016-03-09,-4.7,-1.4,-10.5,0.5,2.6,,,,3.7,,,,,
2016-03-10,-5.6,-0.2,-9.9,1.0,5.9,,,,,,,,,
2016-03-11,-6.0,-2.1,-10.0,3.0,2.1,,,,1.6,,,,,
2016-03-12,-6.4,-1.3,-10.5,1.0,2.3,,,,,,,,,
2016-03-13,-3.7,2.2,-13.5,0.0,10.4,,,,1.4,,,,,
2016-03-14,-0.3,5.0,-7.2,0.5,7.0,,,,1.6,,,,,
2016-03-15,-3.1,0.2,-8.2,0.0,7.6,,,,2.3,,,,,
2016-03-16,0.9,7.4,-10.0,0.0,8.1,,,,3.2,,,,,
2016-03-17,4.1,8.6,-2.2,0.0,6.2,,,,2.7,,,,,
2016-03-18,4.2,13.0,-3.1,0.0,7.8,,,,1.0,,,,,
2016-03-19,4.1,8.0,0.5,0.0,0.0,,,,1.5,,,,,
2016-03-20,-2.5,0.5,-7.8,0.0,2.8,,,,1.9,,,,,
2016-03-21,-3.9,0.1,-9.5,0.0,4.5,,,,1.7,,,,,
2016-03-22,-0.9,3.2,-5.7,0.0,5.4,,,,2.5,,,,,
2016-03-23,-1.7,2.0,-7.1,2.5,3.9,,,,1.4,,,,,
2016-03-24,-2.8,2.9,-8.2,0.0,3.1,,,,1.4,,,,,
2016-03-25,-3.2,2.5,-9.1,0.0,3.8,,,,1.1,,,,,
2016-03-26,-0.1,4.0,-4.3,0.0,8.7,,,,1.5,,,,,
2016-03-27,4.3,8.8,-2.3,0.0,9.4,,,,2.5,,,,,
2016-03-28,2.2,5.8,-4.5,3.0,7.2,,,,2.3,,,,,
2016-03-29,1.3,9.3,-6.6,0.0,9.6,,,,1.3,,,,,
2016-03-30,4.6,12.2,-0.1,2.5,5.0,,,,1.3,,,,,
2016-03-31,1.6,6.3,-1.8,0.5,2.4,,,,1.0,,,,,
2016-04-01,2.5,7.8,-2.5,0.0,11.0,,,,1.7,,,,,
2016-04-02,2.4,8.5,-3.1,0.0,5.4,,,,1.3,,,,,
2016-04-03,5.2,8.7,1.5,1.0,1.7,,,,2.6,,,,,
2016-04-04,3.3,8.7,-3.0,0.0,11.5,,,,1.9,,,,,
2016-04-05,3.5,10.0,-4.4,3.5,4.8,,,,2.8,,,,,
2016-04-06,4.3,8.4,0.3,0.0,,,,,3.5,,,,,
2016-04-07,5.2,11.9,-1.7,0.0,6.7,,,,0.9,,,,,
2016-04-08,4.4,9.7,-1.3,5.0,0.5,,,,1.7,,,,,
2016-04-09,2.3,8.4,-2.4,0.0,1.8,,,,3.8,,,,,
2016-04-10,1.0,4.3,-2.2,0.0,4.2,,,,2.8,,,,,
2016-04-11,-0.5,3.3,-3.4,0.0,3.6,,,,1.9,,,,,
2016-04-12,2.1,6.9,-2.7,0.0,7.4,,,,1.9,,,,,
2016-04-13,4.5,8.5,1.3,1.5,0.0,,,,1.2,,,,,
2016-04-14,6.7,12.8,3.6,2.0,0.9,,,,1.6,,,,,
2016-04-15,1.4,4.3,-0.2,0.0,0.0,,,,2.3,,,,,
2016-04-16,3.8,9.4,-2.1,0.0,6.9,,,,1.4,,,,,
2016-04-17,4.6,8.7,2.5,7.0,0.0,,,,2.0,,,,,
2016-04-18,0.7,3.3,-2.4,6.0,0.0,,,,1.7,,,,,
2016-04-19,0.8,4.8,-2.7,1.5,3.2,,,,0.7,,,,,
2016-04-20,6.3,12.2,0.1,0.5,4.5,,,,1.9,,,,,
2016-04-21,10.3,17.0,2.8,0.0,9.0,,,,2.9,,,,,
2016-04-22,8.7,16.8,2.1,0.0,11.4,,,,2.3,,,,,
2016-04-23,6.1,12.4,1.6,6.0,1.1,,,,1.2,,,,,
2016-04-24,5.3,11.2,0.0,0.0,4.2,,,,2.1,,,,,
2016-04-25,7.0,14.0,-1.1,0.0,11.6,,,,1.7,,,,,
2016-04-26,4.4,9.2,-0.1,0.5,0.6,,,,1.0,,,,,
2016-04-27,3.7,11.0,-1.2,0.0,8.2,,,,1.4,,,,,
2016-04-28,6.5,14.9,-2.6,0.0,10.2,,,,1.4,,,,,
2016-04-29,2.2,5.3,-0.4,0.5,0.0,,,,2.0,,,,,
2016-04-30,1.3,3.7,-1.0,0.5,0.4,,,,4.0,,,,,
2016-05-01,3.1,7.5,-2.3,0.0,0.5,,,,1.7,,,,,
2016-05-02,6.8,16.0,-3.7,1.5,10.5,,,,1.3,,,,,
2016-05-03,16.0,26.3,6.4,0.0,10.6,,,,1.9,,,,,
2016-05-04,13.2,18.5,9.4,1.5,0.2,,,,1.6,,,,,
2016-05-05,9.2,12.2,6.0,1.5,0.1,,,,3.4,,,,,
2016-05-06,9.4,14.8,3.9,0.5,6.0,,,,1.9,,,,,
2016-05-07,9.4,16.1,7.2,2.0,0.6,,,,3.3,,,,,
2016-05-08,9.3,15.1,2.1,1.0,7.2,,,,5.1,,,,,
2016-05-09,10.1,19.3,0.0,0.0,11.0,,,,1.9,,,,,
2016-05-10,12.5,21.2,3.7,0.0,8.1,,,,1.9,,,,,
2016-05-11,10.4,14.7,7.2,2.5,0.0,,,,3.3,,,,,
2016-05-12,7.9,10.3,5.6,0.5,0.0,,,,3.0,,,,,
2016-05-13,14.1,26.2,4.2,0.0,11.3,,,,2.8,,,,,
2016-05-14,13.0,22.2,3.9,0.0,12.9,,,,1.3,,,,,
2016-05-15,13.4,21.4,4.3,0.0,6.8,,,,1.3,,,,,
2016-05-16,14.5,21.3,6.4,0.0,2.6,,,,1.9,,,,,
2016-05-17,15.1,19.9,9.5,3.5,5.4,,,,3.5,,,,,
2016-05-18,14.4,21.2,8.0,0.0,10.3,,,,1.4,,,,,
2016-05-19,16.3,27.0,5.8,0.0,12.7,,,,1.4,,,,,
2016-05-20,17.7,28.5,7.4,0.0,12.9,,,,1.3,,,,,
2016-05-21,18.6,30.2,7.6,0.0,13.0,,,,1.6,,,,,
2016-05-22,19.1,29.5,9.5,0.0,13.3,,,,1.8,,,,,
2016-05-23,16.8,25.7,8.9,0.0,10.4,,,,1.7,,,,,
2016-05-24,16.0,24.0,7.6,0.0,9.4,,,,1.9,,,,,
2016-05-25,16.8,23.5,10.7,2.0,3.2,,,,2.2,,,,,
2016-05-26,18.3,23.5,12.7,0.0,5.9,,,,2.9,,,,,
2016-05-27,14.8,19.1,6.4,3.5,8.8,,,,3.0,,,,,
2016-05-28,12.2,17.6,5.4,0.0,2.2,,,,1.9,,,,,
2016-05-29,10.8,18.5,4.0,0.0,4.1,,,,1.2,,,,,
2016-05-30,13.7,23.3,4.0,0.0,9.7,,,,1.4,,,,,
2016-05-31,15.0,21.9,10.4,11.5,1.2,,,,1.1,,,,,
2016-06-01,8.5,11.1,4.9,4.0,0.0,,,,1.3,,,,,
2016-06-02,6.0,8.9,4.1,1.0,0.0,,,,1.1,,,,,
2016-06-03,8.3,13.9,3.2,0.0,0.4,,,,1.1,,,,,
2016-06-04,7.4,10.0,3.7,27.0,0.0,,,,1.1,,,,,
2016-06-05,11.1,18.8,4.0,0.0,11.4,,,,1.6,,,,,
2016-06-06,14.0,21.8,5.2,0.0,11.4,,,,1.5,,,,,
2016-06-07,16.5,24.0,9.8,0.0,10.3,,,,1.3,,,,,
2016-06-08,14.1,19.3,8.7,3.0,0.4,,,,1.2,,,,,
2016-06-09,15.9,20.3,12.7,11.0,1.3,,,,0.8,,,,,
2016-06-10,13.5,16.0,11.6,0.0,0.8,,,,2.6,,,,,
