calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.7,-3.3,-11.0,0.5,0.1,,47,10,1.1,,,,,
2016-01-02,-1.8,1.4,-5.4,6.0,0.0,,54,20,2.1,,,,,
2016-01-03,-3.1,-1.0,-4.3,0.0,0.8,,52,2,2.5,,,,,
2016-01-04,-6.5,-3.4,-15.0,0.0,0.5,,47,2,1.8,,,,,
2016-01-05,-8.1,-5.6,-15.5,1.5,0.4,,47,8,2.0,,,,,
2016-01-06,-5.7,-3.4,-9.3,2.5,0.0,,55,11,2.1,,,,,
2016-01-07,-6.4,-4.4,-8.5,0.0,1.7,,54,0,2.0,,,,,
2016-01-08,-5.8,-4.1,-10.8,5.0,0.1,,60,12,2.0,,,,,
2016-01-09,-7.6,-5.2,-12.4,1.0,1.5,,59,7,1.8,,,,,
2016-01-10,-6.9,-3.5,-14.2,2.0,0.6,,59,7,2.0,,,,,
2016-01-11,-10.8,-7.4,-15.9,0.5,2.7,,58,3,1.8,,,,,
2016-01-12,-9.6,-7.3,-14.9,0.5,0.0,,55,4,2.2,,,,,
2016-01-13,-9.4,-4.8,-16.4,0.0,0.2,,55,1,1.5,,,,,
2016-01-14,-7.7,-4.0,-13.4,6.0,2.5,,59,9,1.2,,,,,
2016-01-15,-13.1,-8.1,-19.8,0.5,6.7,,60,4,,,,,,
2016-01-16,-14.5,-9.0,-19.6,0.0,1.8,,60,5,0.4,,,,,
2016-01-17,-14.2,-6.1,-20.1,0.0,4.8,,59,3,0.5,,,,,
2016-01-18,-14.1,-4.6,-22.4,0.0,0.0,,55,1,0.7,,,,,
2016-01-19,-3.2,-1.3,-6.7,0.5,0.0,,55,3,2.9,,,,,
2016-01-20,-4.4,-2.8,-6.1,0.0,0.5,,56,1,3.4,,,,,
2016-01-21,-7.3,-3.1,-13.6,0.0,5.4,,53,2,1.0,,,,,
2016-01-22,-6.8,-2.3,-14.8,1.0,1.0,,54,4,1.0,,,,,
2016-01-23,-6.7,-2.8,-16.9,1.0,0.4,,58,6,1.4,,,,,
2016-01-24,-13.9,-6.9,-19.9,0.5,5.6,,59,6,0.8,,,,,
2016-01-25,-14.3,-5.8,-25.9,0.0,6.1,,55,3,0.9,,,,,
2016-01-26,-2.7,-0.1,-6.9,0.0,0.5,,56,6,2.5,,,,,
2016-01-27,-4.1,-0.7,-6.4,3.5,3.1,,63,14,1.9,,,,,
2016-01-28,-7.4,-4.5,-11.7,2.0,0.8,,67,7,1.8,,,,,
2016-01-29,-13.3,-6.6,-20.5,0.0,4.2,,64,2,1.2,,,,,
2016-01-30,-14.8,-7.2,-23.9,0.0,7.4,,60,1,0.6,,,,,
2016-01-31,-10.7,-6.0,-20.0,0.5,3.8,,59,5,1.3,,,,,
2016-02-01,-12.8,-7.5,-19.0,0.0,1.4,,60,3,0.7,,,,,
2016-02-02,-9.8,-5.0,-13.7,3.0,2.6,,64,7,1.3,,,,,
2016-02-03,-9.8,-4.9,-16.6,0.0,2.1,,65,2,1.1,,,,,
2016-02-04,-4.1,0.3,-9.3,0.0,3.1,,62,4,1.6,,,,,
2016-02-05,-5.1,-2.5,-9.7,1.5,1.8,,63,9,2.2,,,,,
2016-02-06,-9.1,-4.4,-17.5,0.5,1.0,,63,3,1.9,,,,,
2016-02-07,-9.7,-5.7,-17.3,3.0,0.6,,71,11,1.7,,,,,
2016-02-08,-8.6,-3.2,-15.3,0.0,8.0,,71,1,1.6,,,,,
2016-02-09,-2.9,1.9,-10.2,0.0,2.3,,65,0,2.3,,,,,
2016-02-10,-4.0,-0.8,-8.2,3.5,0.9,,71,13,2.0,,,,,
2016-02-11,-6.9,-1.8,-15.7,0.5,5.6,,70,8,0.8,,,,,
2016-02-12,-2.8,2.1,-15.4,0.0,0.5,,66,3,2.1,,,,,
2016-02-13,3.7,5.9,1.6,0.0,0.0,,63,2,2.1,,,,,
2016-02-14,-1.5,2.8,-5.0,19.5,0.0,,56,6,,,,,,
2016-02-15,-9.0,-5.0,-11.5,3.0,1.1,,58,9,,,,,,
2016-02-16,-9.9,-5.9,-15.5,0.0,0.9,,57,1,,,,,,
2016-02-17,-7.1,-5.5,-8.4,4.5,0.2,,65,10,,,,,,
2016-02-18,-3.7,0.0,-8.7,5.0,0.5,,72,12,1.6,,,,,
2016-02-19,0.9,4.2,-3.5,0.5,2.4,,72,2,2.4,,,,,
2016-02-20,-1.3,1.9,-3.9,3.5,4.1,,64,7,1.6,,,,,
2016-02-21,-3.3,-0.1,-5.6,8.0,0.8,,74,15,2.7,,,,,
2016-02-22,-6.5,-4.7,-10.5,3.0,0.2,,79,8,2.1,,,,,
2016-02-23,-5.0,1.0,-10.1,3.5,1.0,,81,9,1.9,,,,,
2016-02-24,-12.4,-6.3,-20.5,0.0,6.1,,80,1,1.1,,,,,
2016-02-25,-11.0,-6.0,-18.1,1.0,3.5,,80,7,1.5,,,,,
2016-02-26,-8.6,-4.0,-15.0,0.0,5.3,,79,0,1.8,,,,,
2016-02-27,-9.3,-4.2,-17.4,0.0,5.7,,76,5,1.9,,,,,
2016-02-28,-10.0,-2.7,-16.2,0.0,7.0,,74,3,1.1,,,,,
2016-02-29,-5.3,0.3,-14.1,0.0,0.6,,74,2,2.6,,,,,
2016-03-01,-5.5,-1.4,-9.7,0.0,1.6,,71,1,2.7,,,,,
2016-03-02,-7.9,-2.5,-14.6,0.0,4.1,,72,4,1.0,,,,,
2016-03-03,-11.2,-5.5,-18.7,2.0,0.2,,74,7,1.1,,,,,
2016-03-04,-12.3,-1.4,-22.6,0.0,7.9,,72,1,0.5,,,,,
2016-03-05,-9.5,0.4,-19.9,0.0,10.1,,71,2,0.9,,,,,
2016-03-06,0.2,4.1,-8.0,6.0,0.0,,71,2,3.0,,,,,
2016-03-07,2.1,6.1,-5.3,4.5,1.1,,67,0,1.6,,,,,
2016-03-08,0.4,5.4,-5.9,2.0,4.4,,61,1,3.1,,,,,
2016-03-09,-3.8,0.0,-9.9,0.0,4.6,,58,1,3.5,,,,,
2016-03-10,-5.5,0.2,-11.0,0.0,7.8,,58,2,1.4,,,,,
2016-03-11,-6.0,-0.3,-12.3,0.0,4.7,,58,2,1.7,,,,,
2016-03-12,-6.7,-0.9,-13.0,0.0,1.8,,60,5,1.2,,,,,
2016-03-13,-4.0,2.3,-16.3,0.0,7.6,,59,2,2.0,,,,,
2016-03-14,-0.3,6.2,-8.5,2.0,7.6,,59,6,1.4,,,,,
2016-03-15,-2.9,1.1,-8.7,0.0,7.6,,58,2,1.6,,,,,
2016-03-16,0.7,7.4,-9.0,0.0,7.7,,55,0,2.8,,,,,
2016-03-17,4.2,8.9,-1.6,0.0,7.9,,50,0,2.0,,,,,
2016-03-18,6.8,12.5,-1.2,0.0,6.1,,45,0,2.0,,,,,
2016-03-19,3.8,8.4,0.7,2.5,0.0,,41,0,1.4,,,,,
2016-03-20,-2.2,1.5,-8.9,0.5,4.3,,39,0,2.1,,,,,
2016-03-21,-4.1,1.2,-9.6,0.0,6.0,,37,2,1.5,,,,,
2016-03-22,-2.5,2.4,-9.7,0.0,4.5,,35,3,2.1,,,,,
2016-03-23,-2.0,2.2,-7.7,1.5,2.3,,35,5,1.5,,,,,
2016-03-24,-3.4,3.8,-10.9,0.0,10.2,,33,1,1.2,,,,,
2016-03-25,-3.9,1.6,-11.9,0.0,2.6,,31,3,0.9,,,,,
2016-03-26,-0.7,3.7,-4.8,0.5,6.5,,33,4,1.2,,,,,
2016-03-27,2.7,8.3,-6.3,0.0,8.5,,29,2,2.2,,,,,
2016-03-28,2.4,7.2,-5.3,1.0,8.7,,23,2,1.8,,,,,
2016-03-29,2.5,11.4,-7.7,0.0,11.4,,19,1,1.1,,,,,
2016-03-30,4.0,8.8,-0.1,1.0,5.2,,15,0,2.5,,,,,
2016-03-31,2.5,6.9,-2.6,0.0,3.8,,9,0,1.8,,,,,
2016-04-01,3.8,9.9,-0.7,0.0,9.7,,5,0,1.2,,,,,
2016-04-02,2.3,6.0,0.3,0.0,5.1,,2,1,3.0,,,,,
2016-04-03,4.4,7.8,1.4,4.5,0.0,,2,2,2.8,,,,,
2016-04-04,4.1,9.9,-2.1,0.0,10.2,,1,0,1.7,,,,,
2016-04-05,4.7,11.9,-3.3,1.0,3.8,,1,1,2.8,,,,,
2016-04-06,4.7,9.6,-0.1,0.0,7.6,,1,1,3.0,,,,,
2016-04-07,6.2,12.1,-1.9,3.0,6.2,,1,2,2.0,,,,,
2016-04-08,5.2,10.9,-0.8,6.5,2.6,,1,1,2.0,,,,,
2016-04-09,3.2,9.2,-0.9,0.0,3.5,,0,0,4.3,,,,,
2016-04-10,0.6,5.2,-3.5,0.0,5.0,,1,2,2.3,,,,,
2016-04-11,-0.9,5.2,-5.4,1.5,5.4,,1,0,1.9,,,,,
2016-04-12,2.4,8.2,-3.6,0.0,7.7,,0,0,1.7,,,,,
2016-04-13,6.3,10.1,2.0,3.0,0.2,,0,0,2.4,,,,,
2016-04-14,9.4,15.7,4.6,6.0,1.3,,0,0,1.8,,,,,
2016-04-15,2.2,6.2,-0.8,0.0,0.0,,0,0,3.2,,,,,
2016-04-16,4.1,10.6,-2.4,0.0,6.5,,0,0,1.5,,,,,
2016-04-17,5.0,6.2,3.5,7.5,0.0,,0,0,1.7,,,,,
2016-04-18,3.8,7.2,-0.7,2.0,0.3,,0,0,2.3,,,,,
2016-04-19,1.6,6.0,-1.1,1.5,0.4,,0,0,1.1,,,,,
2016-04-20,6.8,12.7,0.2,0.0,5.3,,0,0,2.3,,,,,
2016-04-21,11.5,17.3,4.5,0.0,6.9,,0,0,2.6,,,,,
2016-04-22,10.8,19.0,2.4,0.0,10.9,,0,0,1.6,,,,,
2016-04-23,6.3,13.9,1.8,5.0,2.4,,0,0,2.9,,,,,
2016-04-24,5.6,13.1,-0.6,0.0,8.0,,0,0,1.7,,,,,
2016-04-25,7.6,15.7,-1.4,0.0,9.1,,0,0,1.6,,,,,
2016-04-26,5.8,10.7,1.9,0.0,0.7,,0,0,1.5,,,,,
2016-04-27,5.0,12.7,-0.7,0.0,9.1,,0,0,1.4,,,,,
2016-04-28,5.8,13.1,-2.0,0.0,9.9,,0,0,2.1,,,,,
2016-04-29,1.1,3.8,-0.7,5.5,0.0,,0,0,2.2,,,,,
2016-04-30,1.3,4.7,-1.3,1.0,1.9,,0,0,3.8,,,,,
2016-05-01,3.6,10.1,-2.2,0.0,4.2,,0,0,1.5,,,,,
2016-05-02,8.0,16.7,-3.6,0.0,10.6,,0,0,1.5,,,,,
2016-05-03,18.0,26.8,9.7,0.0,9.9,,0,0,2.4,,,,,
2016-05-04,13.9,16.8,11.5,3.5,0.4,,0,0,2.8,,,,,
2016-05-05,10.1,12.1,7.1,2.0,0.7,,0,0,3.5,,,,,
2016-05-06,10.2,14.6,5.2,1.0,5.3,,0,0,1.5,,,,,
2016-05-07,10.6,16.6,7.7,2.5,1.6,,0,0,3.2,,,,,
2016-05-08,9.4,16.0,1.5,2.5,9.3,,0,0,3.9,,,,,
2016-05-09,11.8,20.6,0.5,0.0,12.2,,0,0,2.0,,,,,
2016-05-10,11.7,17.8,5.1,0.0,4.2,,0,0,2.0,,,,,
2016-05-11,9.6,13.3,6.8,2.5,0.0,,0,0,2.5,,,,,
2016-05-12,7.6,10.4,4.4,1.0,0.0,,0,0,1.9,,,,,
2016-05-13,14.1,25.0,3.7,0.0,12.4,,0,0,2.6,,,,,
2016-05-14,13.2,21.8,4.4,0.0,13.1,,0,0,1.5,,,,,
2016-05-15,13.4,20.1,4.7,0.0,7.1,,0,0,2.6,,,,,
2016-05-16,12.2,15.8,7.6,0.0,3.5,,0,0,3.7,,,,,
2016-05-17,14.0,19.8,7.1,5.5,5.2,,0,0,2.2,,,,,
2016-05-18,14.2,21.0,7.2,0.0,11.3,,0,0,1.5,,,,,
2016-05-19,16.3,26.9,6.3,0.0,12.7,,0,0,1.2,,,,,
2016-05-20,17.2,28.2,6.7,0.0,13.1,,0,0,1.0,,,,,
2016-05-21,18.4,29.8,6.9,0.0,13.3,,0,0,1.1,,,,,
2016-05-22,19.8,29.5,9.6,0.0,13.6,,0,0,1.5,,,,,
2016-05-23,16.7,26.2,8.3,0.0,11.7,,0,0,1.2,,,,,
2016-05-24,15.1,22.6,6.6,0.0,8.4,,0,0,2.0,,,,,
2016-05-25,15.1,20.9,10.1,0.0,2.5,,0,0,3.3,,,,,
2016-05-26,18.4,22.7,14.4,0.0,1.8,,0,0,2.4,,,,,
2016-05-27,15.0,20.8,6.8,0.0,8.1,,0,0,2.2,,,,,
2016-05-28,13.6,20.5,5.7,6.5,4.2,,0,0,2.2,,,,,
2016-05-29,11.6,20.5,3.5,0.0,12.4,,0,0,1.4,,,,,
2016-05-30,14.2,23.5,6.3,0.0,8.2,,0,0,1.6,,,,,
2016-05-31,13.8,23.1,8.8,15.0,3.3,,0,0,2.2,,,,,
2016-06-01,8.4,12.4,4.9,7.5,0.0,,0,0,1.6,,,,,
2016-06-02,6.3,8.8,3.7,1.5,0.1,,0,0,1.6,,,,,
2016-06-03,8.0,12.6,2.9,1.5,0.4,,0,0,1.0,,,,,
