calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.0,-2.6,-7.6,0.0,0.8,,41,10,1.1,,,,,
2016-01-02,-1.6,1.8,-6.2,9.0,0.1,,52,19,1.0,,,,,
2016-01-03,-2.1,0.9,-6.4,0.0,0.7,,50,2,2.3,,,,,
2016-01-04,-5.3,-2.3,-11.4,1.5,0.5,,46,6,1.3,,,,,
2016-01-05,-6.6,-4.6,-11.1,3.5,0.0,,51,12,1.6,,,,,
2016-01-06,-4.6,-1.5,-7.7,1.0,1.3,,50,4,1.4,,,,,
2016-01-07,-5.2,-3.6,-7.1,0.5,0.8,,51,1,2.0,,,,,
2016-01-08,-4.4,-1.4,-8.5,0.5,2.2,,49,5,1.7,,,,,
2016-01-09,-6.7,-4.6,-9.2,2.5,0.0,,52,7,1.2,,,,,
2016-01-10,-6.8,-3.2,-11.9,2.0,0.3,,53,6,1.5,,,,,
2016-01-11,-10.0,-7.3,-15.0,0.5,0.8,,52,5,1.1,,,,,
2016-01-12,-9.1,-5.4,-12.6,0.0,1.6,,50,0,1.0,,,,,
2016-01-13,-9.4,-3.5,-12.7,0.0,2.7,,47,1,0.8,,,,,
2016-01-14,-6.7,-2.9,-9.6,4.5,4.7,,61,15,1.4,,,,,
2016-01-15,-13.7,-8.8,-21.0,0.0,6.1,,56,2,0.5,,,,,
2016-01-16,-13.3,-9.0,-19.7,1.0,0.0,,56,5,0.3,,,,,
2016-01-17,-16.5,-8.9,-23.3,0.0,1.6,,55,3,0.4,,,,,
2016-01-18,-10.5,-3.4,-24.6,1.0,0.0,,53,2,3.7,,,,,
2016-01-19,-2.2,-0.9,-3.8,0.5,0.0,,48,1,2.5,,,,,
2016-01-20,-2.6,-1.2,-4.7,0.0,0.2,,47,1,5.0,,,,,
2016-01-21,-5.0,-3.2,-7.8,0.0,4.2,,45,1,1.9,,,,,
2016-01-22,-6.5,-1.8,-14.3,0.5,2.3,,49,5,1.1,,,,,
2016-01-23,-7.0,-1.6,-17.6,0.0,0.8,,48,2,0.8,,,,,
2016-01-24,-13.5,-7.6,-21.4,0.0,2.8,,48,2,0.6,,,,,
2016-01-25,-15.6,-8.9,-26.5,0.0,6.3,,46,2,0.6,,,,,
2016-01-26,-4.0,0.3,-10.0,0.0,0.1,,46,1,0.9,,,,,
2016-01-27,-3.5,-1.4,-5.4,0.5,0.5,,48,4,1.9,,,,,
2016-01-28,-6.3,-3.5,-12.6,2.0,0.0,,56,10,2.2,,,,,
2016-01-29,-10.7,-5.3,-20.1,0.0,2.3,,52,1,1.0,,,,,
2016-01-30,-17.4,-11.4,-25.5,0.0,5.2,,50,2,0.4,,,,,
2016-01-31,-8.4,-4.9,-16.1,0.5,3.0,,51,3,1.4,,,,,
2016-02-01,-12.2,-7.8,-18.0,0.0,0.0,,51,2,0.7,,,,,
2016-02-02,-10.2,-5.8,-16.2,1.5,0.6,,57,9,0.8,,,,,
2016-02-03,-10.4,-6.3,-16.8,1.0,0.0,,61,7,0.4,,,,,
2016-02-04,-5.0,-0.6,-9.4,0.0,4.1,,61,2,,,,,,
2016-02-05,-4.3,-1.5,-6.7,4.0,0.1,,64,11,1.4,,,,,
2016-02-06,-8.0,-2.7,-11.9,1.0,2.2,,66,4,,,,,,
2016-02-07,-9.4,-4.0,-18.3,4.0,2.4,,68,10,1.2,,,,,
2016-02-08,-7.7,-5.0,-11.9,0.0,8.2,,66,0,1.5,,,,,
2016-02-09,-1.9,2.9,-7.3,1.0,1.3,,63,4,3.1,,,,,
2016-02-10,-2.8,0.5,-5.3,1.5,0.3,,64,6,3.2,,,,,
2016-02-11,-5.5,-2.8,-11.7,0.0,2.1,,62,2,1.0,,,,,
2016-02-12,-5.3,0.2,-12.4,0.0,2.8,,58,0,0.5,,,,,
2016-02-13,2.2,5.6,-1.6,1.0,0.1,,58,0,0.9,,,,,
2016-02-14,0.7,4.0,-3.7,12.5,0.0,,52,1,2.5,,,,,
2016-02-15,-7.1,-3.7,-9.9,3.0,2.3,,56,10,,,,,,
2016-02-16,-8.6,-3.7,-12.6,0.0,3.3,,51,2,,,,,,
2016-02-17,-6.1,-2.2,-11.3,3.0,2.9,,56,8,,,,,,
2016-02-18,-3.4,1.3,-7.5,3.0,3.2,,62,11,0.8,,,,,
2016-02-19,0.6,4.7,-4.0,2.0,0.6,,57,0,1.7,,,,,
2016-02-20,-0.2,2.5,-2.0,5.0,4.7,,59,8,2.0,,,,,
2016-02-21,-2.2,0.4,-4.0,9.5,1.2,,70,14,2.3,,,,,
2016-02-22,-5.4,-3.2,-12.4,1.0,0.5,,69,4,1.6,,,,,
2016-02-23,-5.2,-0.1,-13.9,2.0,2.4,,71,8,1.2,,,,,
2016-02-24,-11.3,-7.0,-17.3,0.0,5.1,,66,0,1.4,,,,,
2016-02-25,-10.7,-5.9,-16.8,1.5,1.6,,68,6,1.1,,,,,
2016-02-26,-8.8,-4.5,-15.1,0.0,0.3,,69,4,0.9,,,,,
2016-02-27,-10.6,-3.8,-18.8,0.5,1.7,,68,2,1.0,,,,,
2016-02-28,-10.0,-2.8,-18.0,0.0,7.7,,67,2,0.8,,,,,
2016-02-29,-4.3,-1.1,-11.4,9.0,0.0,,73,9,4.4,,,,,
2016-03-01,-4.2,-0.8,-7.5,0.5,1.5,,74,8,4.1,,,,,
2016-03-02,-7.2,-2.9,-11.2,0.0,3.1,,73,1,1.1,,,,,
2016-03-03,-10.1,-5.3,-18.3,3.5,0.6,,75,10,0.7,,,,,
2016-03-04,-13.2,-2.8,-25.7,0.5,6.5,,77,4,0.6,,,,,
2016-03-05,-9.9,0.3,-21.4,0.0,9.4,,76,1,1.1,,,,,
2016-03-06,-0.3,3.2,-4.4,11.5,0.0,,71,0,4.5,,,,,
2016-03-07,3.4,6.9,-2.7,3.0,4.2,,68,0,1.9,,,,,
2016-03-08,1.5,6.3,-4.7,2.5,3.3,,62,3,3.2,,,,,
2016-03-09,-2.3,0.0,-7.0,0.0,5.2,,59,1,3.3,,,,,
2016-03-10,-5.2,0.0,-9.4,0.0,8.9,,57,0,0.9,,,,,
2016-03-11,-5.9,-1.3,-13.1,0.5,4.6,,60,5,1.3,,,,,
2016-03-12,-6.4,-1.6,-12.3,1.5,3.1,,63,3,,,,,,
2016-03-13,-6.4,3.6,-19.0,0.5,7.8,,59,4,1.5,,,,,
2016-03-14,-0.7,6.9,-7.7,0.5,7.1,,59,2,1.0,,,,,
2016-03-15,-1.9,1.5,-7.6,0.0,6.7,,57,4,2.5,,,,,
2016-03-16,0.2,8.8,-11.2,0.0,8.9,,55,0,2.4,,,,,
2016-03-17,4.6,11.0,-2.0,0.0,9.7,,49,0,1.9,,,,,
2016-03-18,6.9,13.4,-3.1,0.0,3.3,,43,0,2.2,,,,,
2016-03-19,4.1,8.7,1.9,3.5,0.0,,37,0,1.4,,,,,
2016-03-20,-1.1,1.9,-6.9,0.0,3.3,,36,1,3.9,,,,,
2016-03-21,-3.7,1.0,-9.3,0.0,2.9,,34,1,1.3,,,,,
2016-03-22,-2.1,3.7,-9.6,0.0,2.8,,33,2,1.4,,,,,
2016-03-23,-1.4,3.2,-5.1,0.0,4.5,,32,3,1.3,,,,,
2016-03-24,-2.8,3.1,-9.3,0.0,7.7,,29,0,1.0,,,,,
