calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.5,-2.8,-6.8,0.0,1.1,,,,1.4,,,,,
2016-01-02,-1.2,1.8,-3.5,5.5,0.0,,,,,,,,,
2016-01-03,-2.9,-1.6,-4.1,0.5,0.3,,,,,,,,,
2016-01-04,-5.7,-2.9,-12.1,0.0,2.1,,,,1.8,,,,,
2016-01-05,-6.8,-4.4,-10.1,1.0,1.4,,,,2.0,,,,,
2016-01-06,-5.2,-3.3,-7.6,2.5,0.0,,,,2.5,,,,,
2016-01-07,-5.9,-3.6,-7.3,1.0,1.1,,,,1.6,,,,,
2016-01-08,-5.0,-2.8,-6.8,4.0,0.3,,,,2.1,,,,,
2016-01-09,-6.4,-4.5,-9.7,0.0,3.5,,,,2.1,,,,,
2016-01-10,-6.6,-3.4,-13.1,1.5,0.7,,,,2.3,,,,,
2016-01-11,-9.7,-7.6,-14.0,1.5,2.6,,,,1.6,,,,,
2016-01-12,-8.9,-6.6,-12.0,0.0,0.0,,,,2.3,,,,,
2016-01-13,-7.6,-4.3,-13.1,0.0,0.5,,,,2.2,,,,,
2016-01-14,-7.2,-3.1,-11.5,4.0,0.4,,,,1.5,,,,,
2016-01-15,-12.2,-8.8,-16.7,0.0,5.9,,,,0.7,,,,,
2016-01-16,-13.5,-8.6,-16.3,0.0,2.0,,,,0.8,,,,,
2016-01-17,-12.9,-5.9,-18.3,0.0,5.1,,,,1.2,,,,,
2016-01-18,-13.4,-5.3,-20.3,0.0,0.0,,,,1.1,,,,,
2016-01-19,-2.7,-1.6,-5.8,0.0,0.0,,,,4.6,,,,,
2016-01-20,-4.1,-2.5,-6.3,0.0,2.3,,,,4.9,,,,,
2016-01-21,-6.9,-3.6,-13.2,0.0,5.6,,,,1.2,,,,,
2016-01-22,-5.8,-2.1,-11.0,1.5,0.3,,,,1.1,,,,,
2016-01-23,-5.5,-2.0,-13.5,1.5,0.0,,,,1.6,,,,,
2016-01-24,-13.3,-7.6,-19.2,0.5,4.1,,,,1.0,,,,,
2016-01-25,-13.5,-6.1,-21.1,0.0,5.8,,,,1.5,,,,,
2016-01-26,-2.1,0.1,-6.2,0.0,0.8,,,,3.3,,,,,
2016-01-27,-3.7,0.0,-5.5,1.5,2.8,,,,2.4,,,,,
2016-01-28,-7.2,-4.9,-12.7,1.5,3.1,,,,3.0,,,,,
2016-01-29,-10.4,-6.5,-15.1,0.0,3.8,,,,2.1,,,,,
2016-01-30,-13.7,-8.7,-20.1,0.0,8.8,,,,0.9,,,,,
2016-01-31,-9.4,-5.8,-17.3,0.0,1.8,,,,1.8,,,,,
2016-02-01,-10.7,-7.2,-17.1,0.0,0.6,,,,1.2,,,,,
2016-02-02,-8.6,-4.0,-12.0,0.0,1.7,,,,2.2,,,,,
2016-02-03,-8.5,-4.0,-14.4,0.0,2.5,,,,1.5,,,,,
2016-02-04,-2.7,1.3,-6.6,0.0,2.1,,,,2.6,,,,,
2016-02-05,-5.0,-1.6,-9.1,0.5,1.1,,,,1.8,,,,,
