calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.8,-2.6,-6.3,0.5,0.7,,,,1.3,,,,,
2016-01-02,-1.8,0.1,-5.2,6.5,0.0,,,,,,,,,
2016-01-03,-2.9,-1.2,-4.3,2.0,0.3,,,,,,,,,
2016-01-04,-4.8,-2.9,-7.9,5.0,1.2,,,,2.4,,,,,
2016-01-05,-6.5,-4.7,-7.4,7.0,1.9,,,,3.2,,,,,
2016-01-06,-5.1,-3.7,-7.4,3.0,0.0,,,,3.3,,,,,
2016-01-07,-5.6,-4.4,-6.8,4.0,0.1,,,,2.5,,,,,
2016-01-08,-4.8,-3.1,-6.4,4.5,0.2,,,,2.9,,,,,
2016-01-09,-6.4,-4.6,-11.8,0.5,3.2,,,,2.7,,,,,
2016-01-10,-6.4,-3.9,-9.5,3.0,1.7,,,,2.6,,,,,
2016-01-11,-9.3,-7.2,-13.8,3.0,3.7,,,,1.9,,,,,
2016-01-12,-8.8,-6.7,-12.1,0.5,0.1,,,,2.3,,,,,
2016-01-13,-7.4,-4.9,-10.7,0.0,0.3,,,,1.5,,,,,
2016-01-14,-7.2,-4.6,-10.5,1.0,1.4,,,,2.7,,,,,
2016-01-15,-12.5,-7.3,-19.3,0.0,8.2,,,,2.1,,,,,
2016-01-16,-14.0,-8.0,-18.5,0.0,1.2,,,,0.7,,,,,
2016-01-17,-12.2,-6.5,-16.4,0.0,4.7,,,,0.8,,,,,
2016-01-18,-11.8,-2.4,-22.0,0.0,0.0,,,,2.2,,,,,
2016-01-19,-2.2,-1.1,-3.2,0.0,0.0,,,,5.4,,,,,
2016-01-20,-3.7,-2.3,-5.4,0.0,2.9,,,,5.7,,,,,
2016-01-21,-7.3,-3.2,-14.5,0.0,4.9,,,,1.4,,,,,
2016-01-22,-6.0,-3.2,-10.8,4.0,0.0,,,,1.0,,,,,
2016-01-23,-5.0,-2.2,-13.2,2.5,0.0,,,,,,,,,
2016-01-24,-11.4,-5.6,-17.1,0.0,5.1,,,,2.7,,,,,
2016-01-25,-14.3,-8.4,-24.4,0.0,4.8,,,,1.0,,,,,
2016-01-26,-2.6,0.1,-8.6,0.0,0.0,,,,2.7,,,,,
2016-01-27,-3.7,-1.2,-5.3,1.5,3.5,,,,3.7,,,,,
2016-01-28,-6.7,-4.6,-8.8,6.5,0.8,,,,3.4,,,,,
2016-01-29,-9.4,-5.8,-15.8,1.5,3.3,,,,2.6,,,,,
2016-01-30,-14.5,-9.6,-21.5,0.0,8.7,,,,0.7,,,,,
2016-01-31,-10.3,-5.9,-19.3,1.0,0.7,,,,1.7,,,,,
2016-02-01,-11.3,-7.5,-18.4,1.5,2.2,,,,,,,,,
2016-02-02,-10.2,-5.1,-14.9,0.0,0.6,,,,1.0,,,,,
2016-02-03,-9.8,-5.3,-18.1,0.0,3.9,,,,0.7,,,,,
2016-02-04,-4.0,0.2,-7.9,0.0,0.7,,,,1.5,,,,,
2016-02-05,-4.9,-1.4,-10.7,1.0,1.7,,,,3.0,,,,,
2016-02-06,-9.1,-3.5,-16.7,0.0,3.0,,,,2.1,,,,,
2016-02-07,-9.0,-5.3,-16.6,6.0,0.0,,,,2.2,,,,,
2016-02-08,-8.6,-3.5,-15.0,0.5,5.1,,,,1.6,,,,,
2016-02-09,-5.9,1.5,-12.4,0.0,1.9,,,,2.3,,,,,
2016-02-10,-3.5,-0.5,-6.5,0.0,1.1,,,,2.5,,,,,
2016-02-11,-6.3,-1.9,-13.3,0.5,4.7,,,,1.1,,,,,
2016-02-12,-2.8,2.1,-9.1,0.0,0.0,,,,1.0,,,,,
2016-02-13,2.7,4.8,0.2,0.5,0.0,,,,1.0,,,,,
2016-02-14,-1.7,2.3,-6.7,17.5,0.0,,,,,,,,,
2016-02-15,-8.0,-5.2,-10.5,5.5,1.7,,,,,,,,,
2016-02-16,-8.1,-5.8,-11.7,2.0,2.5,,,,2.2,,,,,
