calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.7,-3.2,-6.3,4.0,0.0,,98,10,1.2,,,,,
2016-01-02,-2.0,-0.1,-4.1,19.0,0.0,,110,20,2.2,,,,,
2016-01-03,-3.2,-2.1,-4.7,9.5,0.0,,117,20,1.5,,,,,
2016-01-04,-5.2,-3.0,-7.5,17.0,0.0,,138,23,,,,,,
2016-01-05,-6.5,-4.8,-7.7,18.0,0.0,,147,24,,,,,,
2016-01-06,-5.3,-3.4,-6.8,17.0,0.0,,150,16,2.0,,,,,
2016-01-07,-6.2,-5.1,-7.5,,0.0,,154,11,1.1,,,,,
2016-01-08,-5.4,-3.2,-7.6,,0.0,,155,17,1.2,,,,,
2016-01-09,-6.4,-5.0,-7.9,15.5,0.0,,166,20,,,,,,
2016-01-10,-7.0,-4.8,-12.8,17.0,0.0,,175,14,,,,,,
2016-01-11,-11.8,-8.9,-18.2,3.5,0.0,,169,1,,,,,,
2016-01-12,-9.5,-6.9,-13.8,15.5,0.0,,174,18,,,,,,
2016-01-13,-8.1,-5.4,-10.9,5.0,0.0,,174,4,,,,,,
2016-01-14,-8.6,-6.1,-15.3,1.0,0.0,,171,9,,,,,,
2016-01-15,-17.3,-7.7,-25.3,0.0,2.6,,164,0,0.3,,,,,
2016-01-16,-14.4,-7.9,-18.2,0.0,3.5,,153,0,1.2,,,,,
2016-01-17,-14.5,-7.0,-25.2,0.0,4.6,,145,1,0.4,,,,,
2016-01-18,-9.8,-2.0,-22.4,0.0,1.8,,140,7,2.2,,,,,
2016-01-19,-2.0,-1.4,-3.1,11.0,0.0,,165,43,5.7,,,,,
2016-01-20,-3.6,-2.8,-4.7,6.0,0.0,,174,15,4.2,,,,,
2016-01-21,-7.3,-2.0,-11.9,0.0,3.6,,172,0,1.0,,,,,
2016-01-22,-5.2,-2.0,-12.7,9.5,0.0,,178,15,1.9,,,,,
2016-01-23,-6.1,-4.0,-11.5,0.0,0.4,,176,1,1.9,,,,,
2016-01-24,-11.7,-6.5,-20.6,0.0,1.4,,169,2,1.6,,,,,
2016-01-25,-15.2,-7.6,-27.1,0.0,2.1,,168,6,1.3,,,,,
2016-01-26,-2.6,0.4,-7.6,1.0,0.0,,171,6,2.9,,,,,
2016-01-27,-4.1,-0.7,-5.4,6.0,0.0,,175,16,1.8,,,,,
2016-01-28,-7.4,-3.6,-9.8,3.5,0.2,,174,9,2.9,,,,,
2016-01-29,-9.4,-6.9,-11.8,2.5,0.7,,176,7,1.0,,,,,
2016-01-30,-15.7,-7.6,-26.0,0.5,0.4,,172,2,0.5,,,,,
2016-01-31,-10.8,-7.6,-16.3,4.0,0.0,,172,6,,,,,,
2016-02-01,-11.7,-9.2,-14.9,1.5,0.0,,172,3,,,,,,
2016-02-02,-10.6,-6.8,-14.8,2.5,0.0,,175,11,1.0,,,,,
2016-02-03,-10.7,-6.4,-22.5,1.0,0.7,,178,10,,,,,,
2016-02-04,-4.2,-1.2,-10.2,2.0,0.6,,179,10,2.6,,,,,
2016-02-05,-4.8,-2.2,-8.1,2.5,0.0,,181,5,2.1,,,,,
2016-02-06,-8.1,-5.6,-13.2,3.0,0.0,,178,6,0.9,,,,,
2016-02-07,-8.3,-4.9,-12.3,11.0,0.0,,192,20,,,,,,
2016-02-08,-10.9,-6.0,-18.9,0.5,1.2,,191,2,0.5,,,,,
2016-02-09,-11.1,-4.6,-19.0,3.0,0.2,,184,7,,,,,,
2016-02-10,-4.3,-1.9,-14.1,1.5,0.4,,184,10,,,,,,
2016-02-11,-7.0,-2.4,-16.0,0.0,5.0,,183,1,1.1,,,,,
2016-02-12,-1.3,2.0,-6.9,0.0,0.0,,172,3,4.8,,,,,
2016-02-13,2.4,4.0,0.4,5.0,0.0,,167,2,3.5,,,,,
2016-02-14,-4.5,0.7,-7.7,14.0,0.0,,165,29,5.3,,,,,
2016-02-15,-9.5,-5.6,-13.6,5.0,0.2,,173,12,2.2,,,,,
2016-02-16,-7.9,-5.8,-10.5,18.5,0.0,,203,31,0.8,,,,,
