calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.9,-3.3,-6.9,0.0,0.9,,48,4,1.1,,,,,
2016-01-02,-1.8,0.3,-4.2,11.5,0.0,,65,22,1.9,,,,,
2016-01-03,-3.1,-1.7,-5.1,1.0,0.0,,65,5,2.1,,,,,
2016-01-04,-6.0,-2.8,-12.4,0.5,0.0,,60,2,2.2,,,,,
2016-01-05,-7.2,-5.4,-14.2,2.5,0.0,,63,10,2.6,,,,,
2016-01-06,-5.2,-3.5,-7.3,3.0,0.0,,71,12,2.8,,,,,
2016-01-07,-5.9,-4.6,-8.6,1.5,0.1,,71,7,2.3,,,,,
2016-01-08,-6.0,-3.3,-12.9,2.0,0.0,,72,6,1.9,,,,,
2016-01-09,-6.7,-4.6,-12.5,2.5,1.8,,74,11,2.0,,,,,
2016-01-10,-6.5,-4.6,-8.9,6.5,0.0,,86,15,2.0,,,,,
2016-01-11,-10.2,-7.2,-12.3,1.0,0.6,,85,3,,,,,,
2016-01-12,-9.8,-7.3,-14.1,0.5,0.0,,79,4,,,,,,
2016-01-13,-7.6,-5.7,-13.7,1.5,0.1,,76,2,2.0,,,,,
2016-01-14,-8.1,-5.5,-12.6,2.0,0.6,,78,4,1.4,,,,,
2016-01-15,-17.1,-9.7,-23.3,0.0,8.5,,75,0,0.6,,,,,
2016-01-16,-16.8,-10.3,-24.6,0.0,3.3,,71,0,0.4,,,,,
2016-01-17,-12.7,-7.6,-19.7,0.0,3.4,,70,3,0.5,,,,,
2016-01-18,-11.7,-2.3,-21.0,0.0,0.0,,68,0,1.9,,,,,
2016-01-19,-2.2,-1.4,-3.3,9.0,0.0,,96,33,4.4,,,,,
2016-01-20,-3.8,-3.0,-5.0,2.0,0.0,,102,13,5.4,,,,,
2016-01-21,-7.8,-3.0,-13.9,0.0,4.7,,92,1,1.0,,,,,
2016-01-22,-4.9,-2.7,-10.8,5.5,0.0,,100,18,1.3,,,,,
2016-01-23,-5.5,-3.6,-8.5,4.0,0.1,,107,11,,,,,,
2016-01-24,-10.6,-5.9,-18.7,0.0,6.1,,102,1,1.5,,,,,
2016-01-25,-14.7,-6.7,-25.8,0.0,3.4,,95,3,1.1,,,,,
2016-01-26,-3.0,-1.0,-6.7,2.5,0.0,,108,19,3.4,,,,,
2016-01-27,-3.9,-1.4,-5.3,1.5,1.5,,109,4,2.9,,,,,
2016-01-28,-7.5,-4.7,-11.1,2.5,0.1,,111,7,2.8,,,,,
2016-01-29,-11.9,-6.4,-16.6,0.5,0.0,,109,0,0.9,,,,,
2016-01-30,-14.7,-8.2,-22.1,0.0,8.3,,102,2,0.4,,,,,
2016-01-31,-9.9,-6.8,-13.0,1.5,2.5,,100,4,1.3,,,,,
2016-02-01,-12.9,-8.2,-20.5,1.0,1.3,,99,2,0.9,,,,,
2016-02-02,-11.4,-5.7,-19.5,0.5,1.4,,98,4,0.8,,,,,
2016-02-03,-11.2,-5.3,-20.3,0.5,2.2,,99,5,1.1,,,,,
2016-02-04,-3.7,-0.8,-8.0,2.5,2.0,,104,9,1.9,,,,,
2016-02-05,-4.8,-2.0,-7.2,1.5,1.8,,106,8,3.2,,,,,
2016-02-06,-8.2,-5.2,-13.8,1.0,0.0,,105,5,1.1,,,,,
2016-02-07,-8.4,-5.0,-14.4,5.0,0.0,,114,12,1.5,,,,,
2016-02-08,-9.7,-4.2,-18.3,0.0,4.8,,113,2,1.2,,,,,
2016-02-09,-10.7,-6.6,-18.0,1.5,0.3,,107,3,0.4,,,,,
2016-02-10,-3.8,-1.7,-7.9,0.0,2.5,,106,5,3.3,,,,,
2016-02-11,-7.3,-1.6,-13.6,0.5,5.1,,104,1,1.0,,,,,
2016-02-12,-1.5,2.6,-10.3,0.0,0.1,,100,2,2.4,,,,,
2016-02-13,2.9,4.5,1.0,2.0,0.0,,97,4,2.2,,,,,
2016-02-14,-2.8,1.1,-7.6,9.0,0.0,,89,5,2.9,,,,,
2016-02-15,-9.5,-4.2,-13.1,3.0,2.1,,104,17,2.9,,,,,
2016-02-16,-8.0,-5.3,-13.0,5.5,0.5,,116,17,2.4,,,,,
2016-02-17,-6.7,-5.6,-8.6,5.0,0.3,,123,12,3.0,,,,,
2016-02-18,-4.9,-1.0,-10.8,2.0,0.0,,124,5,2.5,,,,,
2016-02-19,-2.1,3.1,-12.3,9.0,0.4,,124,9,1.3,,,,,
2016-02-20,-1.1,0.9,-4.2,0.0,3.9,,115,3,3.4,,,,,
2016-02-21,-3.2,-0.7,-6.3,1.5,0.4,,118,14,2.5,,,,,
2016-02-22,-5.9,-4.1,-8.8,3.0,0.5,,121,17,2.5,,,,,
2016-02-23,-5.8,-1.7,-10.6,8.0,0.0,,136,17,3.5,,,,,
2016-02-24,-12.7,-7.6,-19.6,0.0,6.9,,131,0,1.5,,,,,
2016-02-25,-12.2,-6.8,-18.4,2.5,2.0,,128,7,1.4,,,,,
2016-02-26,-9.1,-4.8,-12.3,2.5,0.8,,132,7,0.6,,,,,
2016-02-27,-9.8,-4.1,-16.5,2.5,3.5,,132,6,,,,,,
2016-02-28,-11.3,-3.1,-19.2,0.0,7.9,,131,2,0.8,,,,,
2016-02-29,-7.4,0.4,-21.1,1.0,0.0,,126,1,2.4,,,,,
2016-03-01,-7.1,-2.7,-17.3,0.0,3.3,,125,3,4.0,,,,,
2016-03-02,-10.9,-3.7,-17.7,0.0,4.2,,121,2,0.6,,,,,
2016-03-03,-11.6,-2.6,-20.1,0.0,6.8,,120,0,0.9,,,,,
2016-03-04,-14.0,-3.3,-24.6,0.0,6.6,,118,1,0.6,,,,,
2016-03-05,-10.8,0.7,-19.4,0.0,6.3,,118,1,0.5,,,,,
2016-03-06,-2.2,4.3,-12.8,14.0,0.0,,116,3,1.0,,,,,
2016-03-07,2.7,5.6,-3.1,2.0,3.0,,112,1,2.7,,,,,
2016-03-08,-0.3,6.2,-5.0,3.0,3.6,,103,4,2.6,,,,,
2016-03-09,-3.2,-0.2,-9.7,0.0,2.8,,103,3,3.8,,,,,
2016-03-10,-6.0,-0.1,-12.2,1.0,5.2,,104,7,1.4,,,,,
2016-03-11,-5.5,-1.0,-13.1,2.0,3.4,,106,5,1.8,,,,,
2016-03-12,-5.3,-0.9,-9.3,1.0,5.8,,107,4,1.4,,,,,
2016-03-13,-3.1,3.0,-12.6,0.0,8.0,,102,0,2.0,,,,,
2016-03-14,-1.5,5.2,-10.1,0.0,7.5,,100,1,1.6,,,,,
2016-03-15,-3.0,0.6,-9.1,0.0,8.0,,99,0,2.4,,,,,
2016-03-16,0.7,7.1,-11.4,0.0,6.8,,98,0,3.1,,,,,
2016-03-17,4.1,9.0,-3.3,0.0,7.3,,94,1,2.3,,,,,
2016-03-18,2.8,12.3,-4.7,0.0,7.9,,88,0,1.1,,,,,
2016-03-19,4.1,6.7,0.6,0.0,0.0,,83,2,2.2,,,,,
2016-03-20,-2.4,0.6,-7.9,0.0,6.1,,80,0,3.9,,,,,
2016-03-21,-3.4,0.5,-7.9,0.0,3.6,,80,2,2.1,,,,,
2016-03-22,-0.9,3.9,-7.2,0.0,8.7,,80,3,3.5,,,,,
2016-03-23,-1.4,3.3,-6.1,2.5,3.0,,82,10,1.3,,,,,
2016-03-24,-3.4,2.6,-9.5,0.0,1.5,,78,3,1.3,,,,,
2016-03-25,-3.2,2.2,-9.1,0.5,4.7,,78,4,0.9,,,,,
2016-03-26,-0.2,5.6,-6.1,0.0,10.3,,78,1,1.1,,,,,
2016-03-27,4.1,8.4,-2.9,0.0,8.9,,73,0,2.9,,,,,
2016-03-28,2.0,5.5,-4.6,3.0,10.6,,69,1,2.0,,,,,
2016-03-29,0.3,9.4,-7.7,0.0,9.4,,65,0,0.8,,,,,
2016-03-30,3.8,10.4,-1.0,0.5,5.5,,63,0,1.5,,,,,
2016-03-31,2.3,7.0,-2.2,0.0,2.5,,60,1,1.4,,,,,
2016-04-01,2.2,7.1,-3.5,0.0,9.2,,57,0,1.6,,,,,
2016-04-02,2.1,7.1,-4.7,0.0,6.1,,51,1,1.5,,,,,
2016-04-03,4.3,8.3,0.4,1.5,3.1,,49,1,2.7,,,,,
2016-04-04,3.4,8.9,-3.8,0.0,12.0,,44,1,2.6,,,,,
2016-04-05,3.2,9.5,-5.4,2.0,6.0,,39,1,3.4,,,,,
2016-04-06,4.5,8.9,-0.7,0.5,10.5,,33,0,3.1,,,,,
2016-04-07,4.7,11.1,-1.7,0.0,6.2,,27,0,1.6,,,,,
2016-04-08,3.8,8.0,-1.2,2.0,1.2,,24,2,1.8,,,,,
2016-04-09,1.5,7.0,-2.5,6.5,1.6,,20,1,3.4,,,,,
2016-04-10,0.9,3.8,-2.3,0.5,1.7,,18,4,2.4,,,,,
2016-04-11,-0.7,2.3,-4.7,0.0,7.2,,16,3,2.5,,,,,
2016-04-12,2.2,7.5,-4.5,0.0,8.0,,14,0,1.8,,,,,
2016-04-13,3.7,6.0,1.2,6.5,0.0,,9,0,1.6,,,,,
2016-04-14,3.8,6.5,2.3,5.0,0.3,,6,0,1.6,,,,,
2016-04-15,1.0,2.9,-0.5,0.5,0.4,,0,0,4.4,,,,,
2016-04-16,3.9,9.9,-3.0,0.5,8.1,,0,0,1.5,,,,,
2016-04-17,3.8,7.7,1.3,12.0,0.3,,0,0,1.4,,,,,
2016-04-18,0.5,1.8,-1.0,6.0,0.0,,0,0,2.1,,,,,
2016-04-19,1.1,4.8,-1.8,1.0,3.3,,0,0,1.1,,,,,
2016-04-20,6.3,12.1,1.0,0.0,4.4,,0,0,2.5,,,,,
2016-04-21,9.8,15.2,1.9,0.0,10.9,,0,0,3.8,,,,,
2016-04-22,6.3,15.1,0.5,0.0,12.1,,0,0,2.1,,,,,
2016-04-23,5.0,9.1,-0.9,9.5,0.7,,0,0,1.6,,,,,
2016-04-24,6.8,11.8,0.9,0.0,5.0,,0,0,2.5,,,,,
2016-04-25,6.3,13.5,-0.8,0.0,12.1,,0,0,1.9,,,,,
2016-04-26,3.3,9.5,-0.5,0.0,0.9,,0,0,2.3,,,,,
2016-04-27,3.4,10.6,-1.5,0.0,7.6,,0,0,1.6,,,,,
