calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.0,-2.1,-7.5,0.0,1.4,,29,3,1.9,,,,,
2016-01-02,-2.7,1.7,-8.0,3.5,0.0,,42,15,2.0,,,,,
2016-01-03,-4.1,-0.6,-12.9,0.0,2.9,,41,0,2.7,,,,,
2016-01-04,-7.8,-2.8,-16.1,0.0,1.4,,37,4,1.8,,,,,
2016-01-05,-8.4,-4.9,-17.4,0.0,2.2,,36,1,2.9,,,,,
2016-01-06,-5.4,-2.7,-8.8,0.0,1.0,,35,2,2.6,,,,,
2016-01-07,-6.1,-5.0,-7.2,1.0,0.4,,42,11,3.0,,,,,
2016-01-08,-5.0,-2.4,-7.5,0.0,1.3,,40,0,2.5,,,,,
2016-01-09,-8.5,-4.5,-14.4,0.0,2.6,,35,1,2.3,,,,,
2016-01-10,-8.2,-3.1,-14.4,0.0,1.5,,35,3,2.0,,,,,
2016-01-11,-10.4,-7.1,-14.1,0.0,1.2,,35,0,2.3,,,,,
2016-01-12,-12.1,-6.3,-18.1,0.0,2.1,,34,0,1.1,,,,,
2016-01-13,-10.3,-4.3,-18.1,0.0,1.3,,33,1,1.0,,,,,
2016-01-14,-8.3,-4.1,-14.8,2.0,3.5,,43,10,1.4,,,,,
2016-01-15,-11.9,-3.0,-21.5,0.0,7.1,,40,0,0.7,,,,,
2016-01-16,-10.7,-4.7,-19.4,0.0,1.3,,37,0,1.1,,,,,
2016-01-17,-16.3,-3.4,-24.9,0.0,5.9,,37,1,0.4,,,,,
2016-01-18,-12.2,-4.6,-23.8,0.0,0.0,,37,3,3.6,,,,,
2016-01-19,-3.5,-2.4,-5.2,0.0,0.0,,34,0,3.4,,,,,
2016-01-20,-3.8,-2.5,-5.3,0.0,0.2,,34,0,3.3,,,,,
2016-01-21,-7.2,-3.0,-14.2,0.0,3.0,,33,0,1.4,,,,,
