calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.4,-3.4,-10.9,,,,29,5,2.7,,,,,
2016-01-02,-1.9,2.0,-5.1,,,,35,10,4.7,,,,,
2016-01-03,-3.0,-1.4,-4.3,,,,34,1,4.0,,,,,
2016-01-04,-6.3,-3.2,-13.5,,,,30,0,3.1,,,,,
2016-01-05,-7.2,-4.7,-12.0,,,,28,0,3.7,,,,,
2016-01-06,-5.5,-3.4,-8.2,,,,35,9,4.1,,,,,
2016-01-07,-6.3,-4.6,-9.2,,,,34,0,2.7,,,,,
2016-01-08,-5.9,-4.0,-12.6,,,,36,8,3.8,,,,,
2016-01-09,-6.9,-5.2,-11.5,,,,35,0,3.7,,,,,
2016-01-10,-6.9,-3.7,-10.0,,,,38,10,4.0,,,,,
2016-01-11,-10.1,-6.9,-15.4,,,,38,1,2.9,,,,,
2016-01-12,-9.5,-7.2,-13.3,,,,35,0,4.2,,,,,
2016-01-13,-8.3,-5.0,-13.6,,,,32,0,4.6,,,,,
2016-01-14,-7.6,-3.8,-11.8,,,,37,6,3.3,,,,,
2016-01-15,-12.6,-7.7,-18.6,,,,38,2,1.4,,,,,
2016-01-16,-13.9,-9.3,-17.8,,,,37,1,1.5,,,,,
2016-01-17,-13.4,-8.5,-18.4,,,,36,0,2.3,,,,,
2016-01-18,-13.7,-6.2,-23.0,,,,35,0,1.4,,,,,
2016-01-19,-3.1,-2.0,-6.5,,,,34,6,6.8,,,,,
2016-01-20,-4.3,-2.6,-6.0,,,,30,0,8.0,,,,,
2016-01-21,-6.7,-2.6,-13.2,,,,30,0,2.2,,,,,
2016-01-22,-6.0,-2.0,-11.7,,,,30,1,2.1,,,,,
2016-01-23,-6.0,-2.7,-14.7,,,,31,1,3.1,,,,,
2016-01-24,-13.3,-7.4,-19.0,,,,32,2,1.4,,,,,
2016-01-25,-13.9,-6.7,-24.2,,,,32,0,2.1,,,,,
2016-01-26,-2.8,-0.2,-7.5,,,,32,2,5.8,,,,,
2016-01-27,-4.2,-0.2,-6.2,,,,38,8,3.8,,,,,
2016-01-28,-7.4,-5.1,-13.6,,,,41,8,4.4,,,,,
2016-01-29,-11.5,-7.0,-17.8,,,,40,2,3.1,,,,,
2016-01-30,-13.7,-8.2,-22.6,,,,38,0,2.3,,,,,
2016-01-31,-9.6,-5.7,-16.3,,,,37,1,3.5,,,,,
2016-02-01,-11.1,-7.7,-16.4,,,,38,1,2.6,,,,,
2016-02-02,-9.4,-4.9,-12.7,,,,40,4,4.3,,,,,
2016-02-03,-9.0,-5.1,-15.3,,,,39,0,3.4,,,,,
2016-02-04,-3.7,0.5,-8.3,,,,39,0,5.2,,,,,
2016-02-05,-4.8,-1.8,-8.5,,,,39,3,3.3,,,,,
2016-02-06,-9.0,-4.3,-14.9,,,,38,1,3.7,,,,,
2016-02-07,-8.6,-5.1,-13.8,,,,41,5,3.7,,,,,
2016-02-08,-8.9,-3.9,-14.8,,,,42,1,2.8,,,,,
2016-02-09,-5.7,2.0,-16.0,,,,40,1,3.6,,,,,
2016-02-10,-4.2,-1.0,-9.3,,,,45,7,3.8,,,,,
2016-02-11,-6.6,-0.8,-13.4,,,,45,1,1.4,,,,,
2016-02-12,-2.4,1.9,-10.9,,,,41,0,5.8,,,,,
2016-02-13,3.6,6.7,1.5,,,,40,0,5.2,,,,,
2016-02-14,-1.6,2.6,-5.9,,,,35,8,4.0,,,,,
2016-02-15,-8.4,-5.1,-10.9,,,,36,7,4.8,,,,,
2016-02-16,-9.5,-5.9,-14.6,,,,36,1,4.8,,,,,
2016-02-17,-6.9,-5.1,-8.2,,,,41,10,3.5,,,,,
