calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-10.7,-4.2,-15.2,0.0,3.2,,23,0,1.0,,,,,
2016-01-02,-5.5,1.5,-14.3,0.0,3.2,,23,0,1.5,,,,,
2016-01-03,-4.8,-1.1,-11.5,0.0,7.1,,23,1,1.6,,,,,
2016-01-04,-10.0,-2.7,-15.2,0.0,4.2,,23,0,0.9,,,,,
2016-01-05,-11.4,-5.1,-18.2,0.0,5.4,,23,0,1.2,,,,,
2016-01-06,-9.7,-3.5,-18.8,0.0,6.9,,24,2,2.3,,,,,
2016-01-07,-10.7,-3.9,-16.7,0.0,5.9,,24,0,1.0,,,,,
2016-01-08,-8.3,-2.9,-18.3,0.0,6.5,,24,1,2.1,,,,,
2016-01-09,-10.3,-3.8,-17.0,0.0,7.1,,23,1,1.2,,,,,
2016-01-10,-7.5,-2.9,-11.9,0.0,4.9,,23,1,2.0,,,,,
2016-01-11,-12.8,-7.8,-18.6,0.0,3.9,,23,0,0.9,,,,,
2016-01-12,-14.1,-6.9,-21.2,0.0,5.9,,23,0,1.3,,,,,
2016-01-13,-13.4,-4.8,-21.2,0.0,7.2,,23,0,1.2,,,,,
2016-01-14,-8.3,-4.7,-13.6,3.5,2.3,,40,23,1.6,,,,,
2016-01-15,-11.3,-7.9,-17.4,0.0,1.3,,37,2,0.6,,,,,
2016-01-16,-13.7,-5.6,-19.8,0.0,4.6,,34,0,0.4,,,,,
2016-01-17,-14.1,-5.3,-20.3,0.0,4.6,,32,3,0.4,,,,,
2016-01-18,-12.6,-4.8,-22.2,0.0,0.1,,39,18,1.6,,,,,
2016-01-19,-4.3,-3.4,-6.1,21.0,0.0,,65,35,3.2,,,,,
2016-01-20,-4.5,-3.1,-6.4,13.0,0.0,,109,50,3.4,,,,,
2016-01-21,-7.0,-6.2,-8.3,0.0,0.1,,111,2,2.7,,,,,
2016-01-22,-4.9,-2.1,-8.3,1.0,4.8,,101,2,1.8,,,,,
2016-01-23,-6.3,-4.2,-10.5,5.5,2.2,,114,24,1.2,,,,,
2016-01-24,-10.8,-7.6,-14.4,0.0,2.2,,110,1,0.8,,,,,
2016-01-25,-14.5,-9.2,-22.3,0.0,6.8,,102,0,1.2,,,,,
2016-01-26,-12.1,-0.8,-25.9,0.0,8.2,,95,0,1.3,,,,,
2016-01-27,-6.4,-1.0,-17.1,0.0,3.6,,89,0,1.9,,,,,
2016-01-28,-12.7,-5.4,-20.8,0.0,2.7,,85,3,1.1,,,,,
2016-01-29,-14.3,-6.4,-21.1,0.0,7.1,,85,0,0.6,,,,,
2016-01-30,-15.6,-7.5,-24.9,0.0,5.0,,81,0,0.7,,,,,
2016-01-31,-13.2,-6.9,-20.9,0.0,4.9,,79,0,0.6,,,,,
2016-02-01,-17.4,-8.9,-24.0,0.0,3.5,,78,0,0.6,,,,,
2016-02-02,-15.9,-5.5,-27.5,0.0,7.5,,76,2,1.0,,,,,
2016-02-03,-13.5,-4.6,-20.1,0.0,7.9,,76,0,0.8,,,,,
2016-02-04,-13.8,-1.2,-24.9,0.0,6.6,,74,0,0.8,,,,,
2016-02-05,-8.8,-2.2,-17.1,0.0,6.0,,73,1,1.5,,,,,
2016-02-06,-13.0,-3.8,-19.8,0.0,7.1,,72,0,1.3,,,,,
2016-02-07,-13.5,-6.3,-24.8,0.0,7.3,,71,0,1.6,,,,,
2016-02-08,-9.7,-5.6,-14.4,0.0,7.9,,72,1,1.5,,,,,
2016-02-09,-3.3,-0.5,-8.0,3.5,0.3,,81,10,1.8,,,,,
2016-02-10,-5.7,-2.6,-10.9,1.5,2.7,,88,9,1.7,,,,,
2016-02-11,-8.4,-3.2,-17.6,0.0,4.3,,85,0,1.8,,,,,
2016-02-12,-9.6,-1.7,-21.4,0.0,4.2,,82,0,0.7,,,,,
2016-02-13,4.4,10.3,-3.9,0.0,1.5,,79,0,2.3,,,,,
2016-02-14,-2.1,2.7,-5.1,7.5,0.0,,68,4,,,,,,
2016-02-15,-9.1,-3.8,-13.5,0.0,7.7,,67,0,,,,,,
2016-02-16,-12.7,-6.3,-20.3,0.0,7.8,,66,0,1.5,,,,,
2016-02-17,-8.5,-3.9,-16.1,0.0,5.7,,66,1,2.4,,,,,
2016-02-18,-4.9,0.4,-13.7,0.0,8.1,,66,0,2.6,,,,,
2016-02-19,-2.0,3.9,-10.5,0.0,9.1,,67,2,2.1,,,,,
2016-02-20,-1.0,2.1,-3.7,2.5,7.3,,71,6,2.8,,,,,
2016-02-21,-5.1,-3.4,-7.7,9.0,0.0,,84,13,1.9,,,,,
2016-02-22,-7.3,-2.3,-14.4,0.0,8.1,,84,1,1.6,,,,,
2016-02-23,-8.2,0.0,-19.4,0.0,6.2,,82,1,1.6,,,,,
2016-02-24,-14.2,-10.0,-22.4,0.0,6.0,,82,1,1.6,,,,,
2016-02-25,-16.0,-5.9,-27.2,0.0,8.0,,81,0,1.3,,,,,
2016-02-26,-14.3,-5.7,-23.0,0.0,4.3,,81,2,0.7,,,,,
2016-02-27,-14.4,-4.0,-25.7,0.0,6.8,,81,0,1.0,,,,,
2016-02-28,-14.4,-5.0,-24.2,0.0,7.1,,79,0,0.8,,,,,
2016-02-29,-7.8,-4.2,-18.1,0.0,0.0,,104,25,2.7,,,,,
2016-03-01,-7.4,-3.6,-10.4,,0.0,,103,0,3.1,,,,,
2016-03-02,-10.2,-5.5,-17.9,,4.6,,90,0,1.5,,,,,
2016-03-03,-12.8,-4.7,-22.4,0.0,4.3,,89,0,0.9,,,,,
2016-03-04,-9.6,-3.0,-18.9,0.0,7.3,,89,0,1.3,,,,,
2016-03-05,-8.4,-2.9,-16.5,0.0,2.6,,88,0,1.2,,,,,
2016-03-06,-3.4,3.4,-16.8,0.5,0.0,,87,0,2.5,,,,,
2016-03-07,3.8,9.1,-2.2,0.5,9.8,,85,0,2.4,,,,,
2016-03-08,0.7,3.7,-2.4,0.0,6.4,,76,0,2.4,,,,,
2016-03-09,-4.2,-0.4,-11.4,0.0,8.1,,72,0,2.5,,,,,
2016-03-10,-8.7,-1.4,-15.7,0.0,4.4,,73,2,0.9,,,,,
2016-03-11,-8.6,-0.4,-17.8,0.0,7.6,,74,4,1.3,,,,,
2016-03-12,-9.1,-1.6,-18.9,0.5,5.6,,76,2,1.0,,,,,
2016-03-13,-7.1,1.9,-18.1,0.0,9.9,,76,0,1.2,,,,,
2016-03-14,-0.7,5.6,-6.4,0.0,9.4,,74,1,1.7,,,,,
2016-03-15,-4.1,-1.8,-7.4,0.0,4.1,,72,2,2.1,,,,,
2016-03-16,-1.1,6.5,-13.8,0.0,10.2,,72,0,3.0,,,,,
2016-03-17,1.9,9.2,-4.3,0.0,6.8,,69,0,1.6,,,,,
2016-03-18,2.6,12.9,-5.0,0.0,1.9,,66,1,1.1,,,,,
2016-03-19,1.8,8.2,-1.1,3.5,0.0,,64,0,1.0,,,,,
2016-03-20,-4.1,-1.1,-7.3,0.0,2.1,,64,0,2.9,,,,,
2016-03-21,-4.5,0.9,-9.5,0.0,7.4,,64,1,1.6,,,,,
2016-03-22,-3.7,3.5,-12.8,0.0,10.4,,63,0,1.7,,,,,
2016-03-23,-3.9,2.1,-10.9,8.0,4.2,,78,17,0.7,,,,,
2016-03-24,-3.4,-1.2,-5.5,1.5,1.9,,80,2,,,,,,
2016-03-25,-5.2,-0.2,-11.0,0.0,3.7,,71,0,1.4,,,,,
2016-03-26,-4.9,1.3,-12.5,0.0,2.4,,69,0,1.1,,,,,
2016-03-27,-1.0,7.4,-12.6,0.0,11.4,,68,0,1.8,,,,,
2016-03-28,1.7,7.9,-5.0,0.0,10.2,,63,0,1.9,,,,,
2016-03-29,-0.3,7.5,-7.8,0.0,10.9,,60,0,1.1,,,,,
2016-03-30,2.2,4.3,-2.5,8.5,0.6,,56,0,2.2,,,,,
2016-03-31,2.1,6.4,-1.6,1.0,6.4,,52,2,1.1,,,,,
2016-04-01,-0.2,2.6,-1.5,0.0,1.5,,52,0,1.2,,,,,
2016-04-02,-0.6,3.6,-2.3,0.0,8.5,,48,0,2.7,,,,,
2016-04-03,3.8,9.0,-1.0,5.0,0.1,,46,0,3.3,,,,,
2016-04-04,2.2,6.0,-2.7,0.0,1.0,,39,0,1.0,,,,,
2016-04-05,4.0,11.1,-5.7,0.0,11.4,,38,0,2.5,,,,,
2016-04-06,2.8,8.2,-3.1,0.0,8.8,,33,0,2.0,,,,,
2016-04-07,3.6,10.8,-4.3,6.0,8.1,,30,1,1.8,,,,,
2016-04-08,2.8,6.5,-0.5,6.5,0.9,,24,0,1.2,,,,,
2016-04-09,1.8,7.9,-3.5,0.0,5.8,,21,0,2.9,,,,,
2016-04-10,0.8,6.5,-2.8,0.0,8.5,,17,2,1.7,,,,,
2016-04-11,-2.1,1.3,-3.7,0.5,1.8,,12,3,1.8,,,,,
2016-04-12,0.0,5.9,-4.1,0.0,6.7,,13,1,2.2,,,,,
2016-04-13,4.3,9.3,-1.4,0.0,1.9,,4,0,1.8,,,,,
2016-04-14,7.0,12.3,1.2,0.0,4.8,,0,0,1.4,,,,,
2016-04-15,0.3,4.9,-2.6,0.5,0.0,,2,2,3.4,,,,,
2016-04-16,2.4,8.9,-2.0,0.0,9.2,,1,0,2.5,,,,,
2016-04-17,2.8,6.1,-0.1,28.5,0.0,,0,0,1.4,,,,,
2016-04-18,1.1,6.6,-3.0,0.0,0.8,,0,0,2.3,,,,,
2016-04-19,-1.0,1.5,-3.3,0.0,0.0,,0,0,1.1,,,,,
2016-04-20,3.4,10.1,-2.1,0.0,7.2,,0,0,1.3,,,,,
2016-04-21,9.1,17.9,0.1,0.0,11.2,,0,0,2.8,,,,,
2016-04-22,5.0,13.2,-1.1,0.0,7.9,,0,0,1.0,,,,,
2016-04-23,1.8,6.1,-1.9,3.0,7.6,,0,0,1.9,,,,,
2016-04-24,3.9,11.3,-2.1,0.0,5.7,,0,0,1.0,,,,,
2016-04-25,4.3,10.5,-2.8,0.0,5.1,,0,0,1.3,,,,,
2016-04-26,2.9,5.9,-0.1,0.0,1.4,,0,0,1.3,,,,,
2016-04-27,2.1,7.7,-2.0,0.0,6.1,,0,0,1.4,,,,,
2016-04-28,2.3,8.0,-2.6,1.0,4.3,,0,0,2.0,,,,,
2016-04-29,-1.3,0.0,-2.7,13.0,0.0,,14,15,2.1,,,,,
2016-04-30,-0.8,1.9,-2.9,2.0,0.5,,10,1,3.6,,,,,
2016-05-01,1.5,5.2,-0.9,0.0,3.5,,1,0,1.8,,,,,
2016-05-02,4.8,13.1,-3.5,0.0,10.7,,0,0,1.3,,,,,
2016-05-03,12.9,23.7,2.8,0.0,8.4,,,,2.3,,,,,
2016-05-04,11.2,14.0,5.4,6.0,0.0,,0,0,4.2,,,,,
2016-05-05,10.7,14.0,6.9,0.0,5.9,,0,0,2.9,,,,,
