calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-7.7,-2.8,-13.3,0.0,2.5,,14,1,1.4,,,,,
2016-01-02,-4.1,2.1,-12.1,0.0,2.4,,14,0,1.2,,,,,
2016-01-03,-5.2,-0.8,-13.1,0.0,3.9,,14,0,0.9,,,,,
2016-01-04,-9.9,-1.9,-15.9,0.0,4.1,,15,1,0.8,,,,,
2016-01-05,-10.7,-2.9,-17.9,0.0,4.2,,15,1,1.1,,,,,
2016-01-06,-8.2,-0.4,-17.6,0.0,6.8,,15,1,1.3,,,,,
2016-01-07,-9.1,-2.9,-15.8,0.0,4.2,,15,0,0.9,,,,,
2016-01-08,-9.4,-1.8,-16.6,0.0,2.8,,15,0,0.8,,,,,
2016-01-09,-11.8,-2.2,-17.8,0.0,6.1,,15,0,0.9,,,,,
2016-01-10,-9.7,-0.7,-17.8,0.0,3.7,,16,1,1.1,,,,,
2016-01-11,-10.4,-6.5,-16.0,0.0,3.4,,16,3,1.5,,,,,
2016-01-12,-13.4,-4.9,-20.8,0.0,5.9,,15,0,1.0,,,,,
2016-01-13,-11.6,-2.8,-20.4,0.0,6.1,,16,1,1.1,,,,,
2016-01-14,-6.4,-3.0,-11.3,7.0,1.6,,37,25,2.0,,,,,
2016-01-15,-11.5,-7.0,-20.7,0.0,4.8,,36,3,1.4,,,,,
2016-01-16,-14.8,-5.4,-21.6,0.0,7.4,,30,0,0.7,,,,,
2016-01-17,-13.4,-3.9,-22.0,0.0,4.2,,27,0,0.7,,,,,
2016-01-18,-10.5,-3.1,-21.4,2.5,0.4,,30,5,1.2,,,,,
2016-01-19,-2.7,-1.9,-4.5,22.0,0.0,,82,60,5.6,,,,,
2016-01-20,-2.4,-1.6,-3.8,1.0,0.0,,70,8,6.8,,,,,
2016-01-21,-4.9,-3.8,-6.5,0.0,0.3,,71,7,4.7,,,,,
2016-01-22,-3.9,-1.3,-6.9,1.0,2.2,,64,8,1.9,,,,,
2016-01-23,-5.0,-2.1,-12.1,4.5,1.4,,73,15,1.9,,,,,
2016-01-24,-8.6,-5.8,-14.3,0.0,2.2,,71,2,1.4,,,,,
2016-01-25,-13.6,-8.0,-23.0,0.0,5.7,,68,1,1.9,,,,,
2016-01-26,-15.2,-3.4,-24.8,0.0,7.2,,62,0,0.7,,,,,
2016-01-27,-11.2,-1.3,-19.2,0.0,4.9,,61,1,1.3,,,,,
2016-01-28,-10.8,-3.2,-20.1,0.0,2.2,,58,3,1.6,,,,,
2016-01-29,-14.1,-5.8,-21.5,0.0,6.8,,58,0,1.1,,,,,
2016-01-30,-15.7,-6.8,-22.8,0.0,7.5,,55,0,0.7,,,,,
2016-01-31,-15.1,-6.1,-22.8,0.0,5.9,,54,1,0.8,,,,,
2016-02-01,-16.7,-7.0,-23.9,0.0,5.7,,54,2,1.0,,,,,
2016-02-02,-14.6,-4.7,-26.0,0.0,5.4,,53,0,0.9,,,,,
2016-02-03,-11.7,-4.9,-19.2,0.0,7.1,,52,0,1.0,,,,,
2016-02-04,-9.8,-1.8,-22.0,0.0,5.7,,51,0,1.3,,,,,
2016-02-05,-8.3,-0.8,-16.5,0.0,4.6,,51,2,1.1,,,,,
2016-02-06,-11.1,-1.8,-19.3,0.0,5.6,,50,0,0.9,,,,,
2016-02-07,-12.4,-5.4,-23.0,0.0,7.8,,49,0,1.1,,,,,
2016-02-08,-8.6,-5.4,-11.4,0.0,7.1,,52,3,1.8,,,,,
2016-02-09,-2.3,0.8,-8.7,4.0,0.0,,57,8,1.7,,,,,
2016-02-10,-4.2,-0.9,-7.7,0.5,0.4,,61,11,,,,,,
2016-02-11,-5.8,-3.0,-12.8,0.5,2.1,,65,4,,,,,,
2016-02-12,-7.4,-1.0,-18.6,0.0,4.3,,58,2,1.4,,,,,
2016-02-13,1.6,5.9,-2.4,0.0,0.8,,57,0,1.4,,,,,
2016-02-14,-1.8,2.2,-4.5,6.5,0.0,,52,2,,,,,,
2016-02-15,-7.7,-1.8,-16.3,1.0,4.5,,55,5,,,,,,
2016-02-16,-12.6,-3.3,-22.2,0.0,7.0,,50,0,1.1,,,,,
2016-02-17,-9.3,-0.8,-18.1,0.0,4.6,,52,3,1.2,,,,,
2016-02-18,-5.7,3.0,-14.8,0.0,5.6,,50,0,1.3,,,,,
2016-02-19,-3.5,5.6,-13.6,0.0,8.0,,51,2,1.1,,,,,
2016-02-20,-0.4,4.6,-6.3,2.0,6.6,,56,5,1.3,,,,,
2016-02-21,-3.5,-2.3,-5.4,10.5,0.0,,75,23,3.7,,,,,
2016-02-22,-7.1,-1.5,-17.3,0.5,3.4,,77,5,1.0,,,,,
2016-02-23,-8.5,0.7,-21.0,0.0,6.3,,73,0,2.0,,,,,
2016-02-24,-13.6,-8.6,-24.4,0.0,9.3,,75,3,2.6,,,,,
2016-02-25,-15.6,-5.4,-27.6,0.0,5.4,,70,0,1.2,,,,,
2016-02-26,-13.6,-4.9,-23.2,0.0,6.0,,70,1,0.8,,,,,
2016-02-27,-13.5,-2.9,-24.0,0.0,6.7,,70,0,0.7,,,,,
2016-02-28,-13.1,-4.3,-22.6,0.0,8.9,,69,0,0.9,,,,,
2016-02-29,-7.2,-0.7,-19.8,3.0,0.0,,69,2,3.8,,,,,
2016-03-01,-5.8,-0.8,-8.1,2.0,0.0,,73,14,4.2,,,,,
2016-03-02,-9.4,-4.9,-17.4,0.0,2.5,,66,0,2.2,,,,,
2016-03-03,-11.4,-4.4,-20.5,0.0,7.6,,63,0,1.3,,,,,
2016-03-04,-9.6,-2.9,-20.5,0.0,8.5,,62,2,1.5,,,,,
2016-03-05,-8.8,-1.7,-16.7,,9.7,,61,0,1.9,,,,,
2016-03-06,-3.4,2.9,-17.5,,0.0,,63,4,2.3,,,,,
2016-03-07,2.5,11.7,-2.4,,8.2,,61,0,1.5,,,,,
2016-03-08,0.9,4.3,-2.3,,2.4,,55,0,1.7,,,,,
2016-03-09,-2.3,1.5,-9.9,0.0,9.1,,53,0,2.4,,,,,
2016-03-10,-6.0,1.2,-14.3,0.0,10.0,,52,0,1.2,,,,,
2016-03-11,-6.9,0.9,-14.9,0.5,4.9,,55,3,1.2,,,,,
2016-03-12,-7.5,-0.1,-18.1,0.0,7.6,,52,0,1.0,,,,,
2016-03-13,-4.8,2.4,-15.5,0.0,9.8,,52,0,1.6,,,,,
2016-03-14,0.2,6.0,-3.7,0.0,6.8,,52,3,1.6,,,,,
2016-03-15,-2.8,-1.0,-6.3,0.0,5.8,,53,5,3.3,,,,,
2016-03-16,-0.3,8.3,-12.4,0.0,9.7,,49,0,2.0,,,,,
2016-03-17,1.6,9.7,-4.6,0.0,9.1,,47,1,1.4,,,,,
2016-03-18,0.7,7.8,-5.1,0.0,0.9,,45,0,0.8,,,,,
2016-03-19,1.0,4.8,-1.8,3.5,0.0,,43,0,1.8,,,,,
2016-03-20,-2.9,-1.1,-4.9,0.0,1.0,,43,0,5.0,,,,,
2016-03-21,-3.0,1.2,-7.6,0.0,7.8,,43,0,2.5,,,,,
2016-03-22,-2.9,5.2,-10.9,0.0,6.4,,40,1,1.4,,,,,
2016-03-23,-2.6,4.7,-10.8,0.0,7.3,,40,2,1.1,,,,,
2016-03-24,-2.0,0.1,-4.6,4.0,0.7,,45,10,1.6,,,,,
2016-03-25,-4.1,-0.1,-9.5,0.0,1.4,,43,0,1.9,,,,,
2016-03-26,-4.7,-0.1,-11.1,0.0,3.1,,41,0,1.4,,,,,
2016-03-27,-1.5,7.9,-12.2,0.0,11.2,,41,0,1.5,,,,,
2016-03-28,0.6,7.5,-5.3,0.0,8.7,,37,0,1.5,,,,,
2016-03-29,0.5,8.1,-8.2,0.0,9.8,,33,0,1.4,,,,,
2016-03-30,3.4,6.5,0.6,2.0,1.0,,31,0,2.4,,,,,
2016-03-31,2.6,6.8,-1.2,1.5,7.1,,26,0,1.8,,,,,
2016-04-01,0.3,2.4,-1.3,0.5,1.3,,23,1,1.6,,,,,
2016-04-02,0.8,4.6,-1.8,0.0,10.7,,22,0,2.6,,,,,
2016-04-03,2.9,5.9,0.4,0.0,0.0,,17,1,2.5,,,,,
2016-04-04,3.0,7.7,-2.0,0.0,1.9,,15,0,1.1,,,,,
2016-04-05,3.7,10.8,-5.5,0.0,11.6,,11,0,2.0,,,,,
2016-04-06,2.8,9.2,-3.3,0.0,8.1,,5,0,1.9,,,,,
2016-04-07,4.1,11.3,-5.4,3.0,8.0,,0,0,1.8,,,,,
2016-04-08,4.5,6.4,1.6,8.5,0.1,,0,0,1.5,,,,,
2016-04-09,3.5,10.0,-3.6,0.0,6.1,,0,0,2.3,,,,,
2016-04-10,2.7,7.1,-0.7,0.0,10.3,,0,0,1.9,,,,,
2016-04-11,-0.5,3.5,-2.5,1.0,3.2,,2,2,2.8,,,,,
2016-04-12,0.8,5.9,-2.5,0.0,7.4,,2,0,3.1,,,,,
2016-04-13,4.3,8.3,-0.4,0.0,0.1,,0,0,1.7,,,,,
2016-04-14,7.4,13.2,1.7,0.0,5.5,,0,0,1.4,,,,,
2016-04-15,0.9,4.8,-1.6,3.0,0.0,,0,0,5.1,,,,,
2016-04-16,2.8,8.9,-1.3,0.0,8.0,,0,0,3.8,,,,,
2016-04-17,3.7,8.5,-0.9,23.5,0.0,,0,0,1.4,,,,,
2016-04-18,1.5,8.6,-1.4,0.0,0.0,,0,0,2.9,,,,,
2016-04-19,0.0,3.2,-1.8,0.0,0.0,,0,0,1.9,,,,,
2016-04-20,4.5,12.4,-1.9,0.0,6.8,,0,0,1.6,,,,,
2016-04-21,9.4,19.9,-0.1,0.0,9.8,,0,0,2.1,,,,,
2016-04-22,4.9,12.7,-1.4,0.0,11.2,,0,0,1.5,,,,,
2016-04-23,2.3,7.3,-0.9,1.0,3.3,,0,0,2.7,,,,,
2016-04-24,4.9,14.4,-2.3,0.0,8.0,,0,0,1.5,,,,,
2016-04-25,4.7,11.8,-2.6,0.0,5.8,,0,0,1.5,,,,,
2016-04-26,3.4,7.3,0.4,0.5,0.7,,0,0,1.9,,,,,
2016-04-27,3.1,9.5,-2.8,0.0,5.2,,0,0,1.9,,,,,
