calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.0,1.1,-9.4,,8.5,,0,,2.8,2.9,1014.3,65,1019.4,1.0
2016-01-02,-3.0,2.9,-9.0,0.0,2.2,,1,1,4.4,4.2,1006.9,82,1012.0,8.8
2016-01-03,1.4,2.3,0.0,,8.2,,0,,9.8,3.4,1005.7,50,1010.7,3.3
2016-01-04,-0.6,1.9,-4.0,,5.9,,,,6.4,2.8,1005.4,49,1010.4,4.3
2016-01-05,-3.4,-0.3,-9.6,,8.4,,,,8.3,2.4,1006.4,51,1011.4,2.0
2016-01-06,-3.9,1.2,-12.8,,8.7,,,,5.8,2.5,1006.3,55,1011.4,2.8
2016-01-07,-2.4,1.0,-8.5,,8.1,,,,7.2,2.6,1001.8,52,1006.8,3.0
2016-01-08,-3.8,1.8,-12.1,,8.6,,,,5.2,2.4,1003.2,55,1008.3,0.3
2016-01-09,-3.4,0.1,-8.8,,9.0,,,,7.0,2.4,1007.5,52,1012.5,0.3
2016-01-10,-3.7,2.0,-10.2,,4.6,,,,5.8,2.3,1005.1,50,1010.1,4.5
2016-01-11,-6.3,-2.2,-10.7,,7.6,,,,5.4,1.9,1007.9,52,1013.0,1.0
2016-01-12,-7.4,-2.4,-14.8,,8.8,,,,4.9,1.8,1006.1,54,1011.3,1.3
2016-01-13,-6.6,-0.8,-14.3,,8.9,,,,3.3,2.1,1005.9,57,1011.1,4.8
2016-01-14,-4.0,0.3,-8.2,4.5,6.2,,6,7,5.8,3.1,1002.6,70,1007.7,5.0
2016-01-15,-7.0,-4.0,-11.7,0.0,1.3,,4,,4.2,2.7,1010.8,75,1015.9,7.0
2016-01-16,-7.4,-1.1,-13.0,0.0,8.5,,3,,3.8,2.6,1011.1,73,1016.2,1.8
2016-01-17,-7.8,-1.0,-15.3,,9.2,,3,,3.5,2.2,1016.9,67,1022.1,1.3
2016-01-18,-6.8,-1.9,-13.8,3.5,1.2,,11,9,6.6,3.0,1014.8,79,1020.0,9.0
2016-01-19,-0.8,0.9,-2.8,24.0,0.0,,30,12,12.5,4.9,988.8,86,993.7,10.0
2016-01-20,0.1,1.8,-1.5,0.0,2.0,,27,,9.2,4.4,994.1,72,999.1,9.5
2016-01-21,-2.1,-0.8,-3.6,,2.6,,24,,7.8,3.0,1004.9,57,1009.9,9.8
2016-01-22,-1.8,1.1,-7.6,0.0,3.3,,22,,4.0,3.4,1006.4,64,1011.5,8.5
2016-01-23,-1.6,-0.1,-5.7,0.5,3.9,,21,,4.3,3.9,1008.0,72,1013.1,9.5
2016-01-24,-6.7,-2.3,-10.5,0.0,4.9,,20,,6.0,2.9,998.9,77,1004.0,5.0
2016-01-25,-8.2,-4.0,-14.0,,9.2,,19,,4.7,1.8,1005.2,56,1010.4,2.5
2016-01-26,-6.4,1.6,-17.4,,9.4,,19,,5.2,3.1,1010.9,74,1016.0,0.8
2016-01-27,-2.6,3.4,-9.3,,9.3,,18,,6.5,2.9,1010.4,60,1015.5,4.0
2016-01-28,-2.5,1.1,-9.1,0.5,8.7,,18,,8.7,2.6,1014.5,51,1019.6,0.5
2016-01-29,-8.6,-2.0,-15.4,,8.6,,18,,3.8,1.9,1019.5,63,1024.8,4.5
2016-01-30,-8.7,-3.3,-14.6,,6.9,,18,,3.6,2.0,1018.0,64,1023.2,8.0
2016-01-31,-6.3,-1.8,-12.1,0.0,9.5,,18,,5.0,2.1,1011.8,57,1016.9,1.8
2016-02-01,-9.9,-2.3,-16.8,,7.6,,17,,3.7,1.9,1012.9,66,1018.1,2.5
2016-02-02,-9.2,-2.4,-18.6,,9.5,,17,,4.9,2.2,1009.5,69,1014.7,2.5
2016-02-03,-7.6,-2.7,-12.4,,9.5,,17,,3.7,2.3,1014.1,66,1019.3,1.0
2016-02-04,-5.7,1.0,-15.6,,8.4,,17,,4.5,3.4,1011.3,78,1016.4,5.5
