calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.8,0.6,-9.9,0.0,7.5,,,,3.2,,,,,
2016-01-02,-2.0,5.4,-10.6,1.5,2.2,,,,2.4,,,,,
2016-01-03,-1.0,3.0,-6.3,0.0,8.4,,,,3.2,,,,,
2016-01-04,-3.3,2.4,-9.3,0.0,6.3,,,,2.9,,,,,
2016-01-05,-5.7,0.3,-12.8,0.0,7.8,,,,3.1,,,,,
2016-01-06,-4.9,1.3,-13.0,0.0,8.9,,,,3.0,,,,,
2016-01-07,-5.6,0.4,-11.7,0.0,7.3,,,,2.5,,,,,
2016-01-08,-5.7,1.8,-12.4,0.0,8.6,,,,2.8,,,,,
2016-01-09,-5.7,0.0,-12.9,0.0,8.1,,,,3.0,,,,,
2016-01-10,-4.6,2.6,-12.6,0.0,4.9,,,,2.9,,,,,
2016-01-11,-7.8,-3.7,-13.6,0.0,6.5,,,,3.5,,,,,
2016-01-12,-9.3,-2.0,-15.2,0.0,6.1,,,,2.3,,,,,
2016-01-13,-7.1,-0.7,-15.9,0.0,9.1,,,,2.4,,,,,
2016-01-14,-3.1,1.9,-6.9,0.5,6.7,,,,4.8,,,,,
2016-01-15,-7.6,-4.5,-12.3,0.0,1.2,,,,2.2,,,,,
2016-01-16,-7.9,-1.8,-12.1,0.0,7.0,,,,2.7,,,,,
2016-01-17,-8.4,-1.5,-16.2,0.0,9.0,,,,2.3,,,,,
2016-01-18,-4.9,-0.2,-14.6,1.0,1.7,,,,5.9,,,,,
2016-01-19,-0.9,0.2,-2.5,18.5,0.0,,,,9.7,,,,,
2016-01-20,0.0,1.4,-1.6,0.0,0.2,,,,5.9,,,,,
2016-01-21,-2.9,-1.0,-5.0,0.0,5.2,,,,6.2,,,,,
2016-01-22,-2.1,1.2,-5.3,0.0,6.9,,,,3.8,,,,,
2016-01-23,-2.6,-0.1,-8.3,0.0,4.2,,,,2.2,,,,,
2016-01-24,-6.6,-2.1,-10.3,0.0,6.1,,,,2.9,,,,,
2016-01-25,-10.7,-5.8,-18.6,0.0,9.2,,,,3.6,,,,,
2016-01-26,-7.5,1.9,-20.2,0.0,9.3,,,,2.3,,,,,
2016-01-27,-4.7,2.2,-13.3,0.0,5.5,,,,2.3,,,,,
2016-01-28,-6.7,0.9,-15.1,0.0,5.5,,,,3.2,,,,,
2016-01-29,-10.2,-4.6,-17.9,0.0,8.7,,,,2.4,,,,,
2016-01-30,-9.0,-4.7,-13.6,0.0,5.1,,,,2.1,,,,,
2016-01-31,-9.1,-3.5,-17.2,0.0,7.8,,,,3.0,,,,,
2016-02-01,-11.2,-4.8,-17.5,0.0,8.7,,,,2.6,,,,,
2016-02-02,-10.2,-2.3,-21.2,0.0,8.6,,,,2.8,,,,,
2016-02-03,-9.3,-3.7,-17.6,0.0,9.7,,,,2.6,,,,,
2016-02-04,-7.4,0.3,-19.5,0.0,9.1,,,,1.9,,,,,
2016-02-05,-2.8,2.3,-10.9,0.0,8.8,,,,3.4,,,,,
2016-02-06,-7.1,-0.1,-13.6,0.0,9.7,,,,2.7,,,,,
