calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-6.3,-2.2,-10.9,0.0,4.7,,,,3.3,,,,,
2016-01-02,-4.1,0.7,-11.0,0.0,2.1,,,,2.2,,,,,
2016-01-03,-3.4,0.4,-9.9,0.0,4.9,,,,2.4,,,,,
2016-01-04,-7.3,-0.9,-12.8,0.0,4.7,,,,2.0,,,,,
2016-01-05,-8.6,-2.9,-15.0,0.0,4.8,,,,2.1,,,,,
2016-01-06,-6.8,-0.3,-14.9,0.0,8.1,,,,2.2,,,,,
2016-01-07,-7.7,-2.6,-13.8,0.0,4.6,,,,2.2,,,,,
2016-01-08,-7.0,-0.5,-14.2,0.0,5.0,,,,2.1,,,,,
2016-01-09,-8.5,-1.9,-14.8,0.0,5.4,,,,1.8,,,,,
2016-01-10,-6.3,0.2,-13.6,0.0,4.8,,,,3.4,,,,,
2016-01-11,-10.1,-6.6,-15.2,0.0,3.8,,,,2.6,,,,,
2016-01-12,-11.6,-5.4,-17.9,0.0,5.9,,,,1.8,,,,,
2016-01-13,-9.9,-3.4,-17.1,0.0,7.2,,,,2.3,,,,,
2016-01-14,-6.3,-3.6,-10.9,8.0,2.6,,,,5.7,,,,,
2016-01-15,-10.0,-6.3,-15.8,0.0,7.7,,,,3.6,,,,,
2016-01-16,-11.1,-5.0,-17.3,0.0,5.9,,,,2.6,,,,,
2016-01-17,-9.9,-4.1,-15.6,0.0,6.2,,,,2.4,,,,,
2016-01-18,-8.3,-3.0,-17.0,3.0,0.4,,,,3.3,,,,,
2016-01-19,-2.6,-1.9,-4.4,27.0,0.0,,,,10.0,,,,,
2016-01-20,-2.4,-1.6,-4.0,13.5,0.0,,,,11.7,,,,,
2016-01-21,-5.0,-4.0,-5.8,2.0,0.1,,,,10.8,,,,,
2016-01-22,-3.4,-0.5,-6.1,0.0,5.0,,,,7.9,,,,,
2016-01-23,-4.6,-2.0,-11.7,2.0,3.5,,,,4.8,,,,,
2016-01-24,-8.1,-5.6,-11.8,0.0,5.6,,,,5.1,,,,,
2016-01-25,-11.9,-8.1,-18.6,0.0,8.2,,,,5.4,,,,,
2016-01-26,-9.7,-1.3,-19.1,0.0,9.2,,,,1.7,,,,,
2016-01-27,-6.8,-1.3,-16.3,0.0,6.8,,,,3.7,,,,,
2016-01-28,-9.2,-2.4,-15.9,0.0,3.7,,,,3.2,,,,,
2016-01-29,-11.9,-7.0,-16.9,0.0,6.6,,,,2.4,,,,,
2016-01-30,-11.4,-5.0,-16.9,0.0,7.5,,,,2.1,,,,,
2016-01-31,-11.1,-6.1,-18.4,0.0,7.4,,,,2.8,,,,,
2016-02-01,-12.6,-7.3,-18.0,0.0,6.7,,,,2.9,,,,,
2016-02-02,-11.7,-5.3,-20.8,0.0,7.1,,,,2.8,,,,,
2016-02-03,-10.6,-5.7,-16.8,0.0,7.6,,,,2.9,,,,,
2016-02-04,-8.0,-2.0,-17.6,0.0,6.8,,,,2.6,,,,,
2016-02-05,-5.7,-0.9,-12.9,0.0,3.3,,,,2.8,,,,,
2016-02-06,-8.9,-1.8,-15.5,0.0,5.9,,,,2.3,,,,,
2016-02-07,-10.4,-5.4,-18.3,0.0,7.0,,,,2.7,,,,,
2016-02-08,-8.5,-5.8,-12.1,0.0,9.5,,,,4.3,,,,,
2016-02-09,-2.3,-0.1,-8.6,4.0,0.0,,,,4.6,,,,,
2016-02-10,-3.3,-1.0,-5.7,0.5,3.1,,,,8.1,,,,,
2016-02-11,-5.9,-3.5,-11.3,0.0,1.9,,,,7.4,,,,,
2016-02-12,-6.0,-1.9,-15.3,0.0,4.3,,,,2.8,,,,,
2016-02-13,1.7,5.8,-2.5,0.0,1.5,,,,3.0,,,,,
2016-02-14,-1.3,2.8,-4.7,10.5,0.0,,,,,,,,,
2016-02-15,-7.0,-1.1,-12.8,0.0,7.2,,,,,,,,,
2016-02-16,-10.0,-3.6,-17.4,0.0,8.0,,,,1.9,,,,,
2016-02-17,-7.2,-1.0,-13.9,0.0,6.3,,,,3.2,,,,,
2016-02-18,-5.0,2.7,-13.2,0.0,8.9,,,,2.5,,,,,
2016-02-19,-2.1,4.1,-9.7,0.0,8.7,,,,2.2,,,,,
2016-02-20,0.2,4.2,-5.1,1.0,7.0,,,,3.3,,,,,
2016-02-21,-3.4,-1.3,-6.7,9.0,0.6,,,,7.9,,,,,
2016-02-22,-6.1,-2.0,-14.1,0.0,5.1,,,,2.8,,,,,
2016-02-23,-5.9,-0.5,-14.9,0.0,4.7,,,,4.7,,,,,
2016-02-24,-12.0,-8.1,-18.2,0.0,10.1,,,,6.6,,,,,
2016-02-25,-12.6,-4.8,-21.6,0.0,8.1,,,,3.4,,,,,
2016-02-26,-11.6,-4.9,-19.2,0.0,5.4,,,,2.0,,,,,
2016-02-27,-10.7,-4.1,-19.1,0.0,5.0,,,,2.0,,,,,
2016-02-28,-10.1,-4.2,-17.4,0.0,10.1,,,,2.8,,,,,
2016-02-29,-6.2,-1.7,-14.0,1.5,0.0,,,,7.7,,,,,
2016-03-01,-5.6,-1.0,-8.0,24.0,0.1,,,,10.9,,,,,
2016-03-02,-8.0,-4.3,-11.7,0.0,8.9,,,,6.3,,,,,
2016-03-03,-8.8,-3.5,-16.4,0.0,7.7,,,,4.2,,,,,
2016-03-04,-6.7,-2.4,-13.3,0.0,9.5,,,,4.2,,,,,
2016-03-05,-6.3,-2.2,-12.5,0.0,10.1,,,,4.4,,,,,
2016-03-06,-3.9,2.1,-12.9,1.0,0.0,,,,5.1,,,,,
2016-03-07,2.4,7.6,-0.6,0.0,7.2,,,,2.7,,,,,
2016-03-08,0.3,2.6,-2.2,0.0,2.4,,,,4.0,,,,,
2016-03-09,-1.8,1.5,-5.1,0.0,7.1,,,,5.8,,,,,
2016-03-10,-5.1,-0.3,-11.6,0.0,5.3,,,,2.2,,,,,
2016-03-11,-5.4,1.3,-11.6,0.0,5.1,,,,3.2,,,,,
2016-03-12,-6.7,-0.5,-13.9,0.0,6.4,,,,2.0,,,,,
2016-03-13,-3.9,1.2,-12.7,0.0,11.2,,,,3.2,,,,,
2016-03-14,0.0,4.7,-2.6,0.0,6.3,,,,2.8,,,,,
2016-03-15,-2.5,-0.7,-5.2,0.0,9.1,,,,8.2,,,,,
2016-03-16,-0.4,6.3,-10.6,0.0,10.9,,,,3.9,,,,,
2016-03-17,3.6,9.2,-3.0,0.0,10.3,,,,3.0,,,,,
2016-03-18,2.5,7.4,-2.6,0.0,0.4,,,,2.5,,,,,
2016-03-19,1.7,6.5,-1.4,3.5,0.0,,,,5.1,,,,,
2016-03-20,-2.9,-1.3,-5.2,0.0,2.8,,,,11.4,,,,,
2016-03-21,-2.9,1.4,-7.0,0.0,10.2,,,,4.6,,,,,
2016-03-22,-1.6,4.1,-9.1,0.0,7.7,,,,3.2,,,,,
2016-03-23,-1.3,4.6,-7.9,0.0,7.9,,,,2.1,,,,,
2016-03-24,-2.1,-0.2,-4.5,4.5,0.1,,,,3.2,,,,,
2016-03-25,-3.6,0.0,-8.0,0.0,5.1,,,,4.8,,,,,
2016-03-26,-3.6,0.9,-10.0,0.0,6.6,,,,2.9,,,,,
2016-03-27,0.0,7.5,-8.6,0.0,11.7,,,,2.6,,,,,
2016-03-28,1.8,7.1,-3.0,0.0,9.0,,,,3.5,,,,,
2016-03-29,1.1,7.1,-4.6,0.0,9.2,,,,3.8,,,,,
2016-03-30,2.0,5.5,-1.7,2.0,0.0,,,,5.1,,,,,
2016-03-31,3.3,7.7,-0.1,1.0,9.0,,,,4.3,,,,,
2016-04-01,0.7,3.2,-0.9,0.0,0.8,,,,3.7,,,,,
2016-04-02,0.5,4.4,-1.7,0.0,8.3,,,,5.0,,,,,
2016-04-03,3.1,5.5,0.4,0.5,0.0,,,,4.8,,,,,
2016-04-04,3.2,7.2,-1.5,0.0,1.7,,,,2.9,,,,,
2016-04-05,4.0,10.5,-3.3,0.0,12.2,,,,3.8,,,,,
2016-04-06,3.4,9.1,-2.8,0.0,10.4,,,,4.8,,,,,
2016-04-07,5.0,11.3,-4.0,5.5,8.3,,,,4.1,,,,,
2016-04-08,4.4,5.9,2.2,9.0,0.0,,,,3.1,,,,,
2016-04-09,4.0,9.7,-1.2,0.0,5.4,,,,5.6,,,,,
2016-04-10,3.0,7.5,-0.5,0.0,8.7,,,,3.6,,,,,
2016-04-11,0.0,3.8,-2.6,1.0,4.9,,,,6.1,,,,,
2016-04-12,1.0,6.3,-2.4,0.5,7.8,,,,5.7,,,,,
2016-04-13,4.0,8.8,-0.8,0.0,0.0,,,,3.5,,,,,
2016-04-14,7.5,14.8,2.5,0.0,5.7,,,,3.5,,,,,
2016-04-15,1.4,4.9,-1.6,3.5,0.8,,,,12.6,,,,,
2016-04-16,3.5,9.3,-0.3,0.0,9.7,,,,8.2,,,,,
2016-04-17,3.7,7.8,-0.4,12.5,0.0,,,,4.6,,,,,
2016-04-18,2.0,8.7,-1.4,0.0,0.3,,,,6.7,,,,,
2016-04-19,0.2,3.2,-1.7,0.0,0.7,,,,4.2,,,,,
2016-04-20,4.0,11.4,-1.4,0.0,7.3,,,,2.6,,,,,
2016-04-21,9.9,19.9,2.5,0.0,10.0,,,,4.8,,,,,
2016-04-22,6.7,14.2,-1.0,0.0,10.7,,,,3.6,,,,,
2016-04-23,1.5,5.9,-1.4,2.5,0.2,,,,4.7,,,,,
2016-04-24,5.3,13.7,-0.8,0.0,6.4,,,,3.1,,,,,
2016-04-25,5.0,12.6,-0.7,0.0,5.9,,,,3.6,,,,,
2016-04-26,3.5,8.7,0.5,0.0,1.4,,,,3.6,,,,,
2016-04-27,3.3,10.1,-0.1,0.0,7.1,,,,4.0,,,,,
2016-04-28,4.0,10.5,-1.0,0.0,4.3,,,,4.8,,,,,
2016-04-29,-0.2,1.0,-1.6,14.0,0.0,,,,9.1,,,,,
2016-04-30,0.3,2.2,-1.6,6.0,0.0,,,,13.3,,,,,
2016-05-01,2.2,6.5,-2.4,0.0,4.4,,,,7.1,,,,,
2016-05-02,5.5,14.1,-3.6,0.0,11.6,,,,3.4,,,,,
2016-05-03,10.4,18.3,4.4,0.0,6.8,,,,5.0,,,,,
2016-05-04,11.0,13.9,6.7,12.5,0.0,,,,6.3,,,,,
2016-05-05,11.1,18.1,6.1,0.0,5.1,,,,4.4,,,,,
2016-05-06,8.4,14.4,3.3,0.0,9.6,,,,5.0,,,,,
2016-05-07,7.4,11.3,4.1,8.5,0.0,,,,4.3,,,,,
2016-05-08,10.2,16.9,3.1,0.5,8.0,,,,7.3,,,,,
2016-05-09,12.2,20.9,1.7,0.0,8.2,,,,3.5,,,,,
2016-05-10,8.8,15.0,3.0,0.0,3.3,,,,3.2,,,,,
2016-05-11,5.9,7.4,4.6,12.5,0.0,,,,5.3,,,,,
2016-05-12,6.8,14.2,3.3,0.0,2.1,,,,4.5,,,,,
2016-05-13,12.0,22.2,2.6,0.0,13.1,,,,4.8,,,,,
2016-05-14,12.4,19.7,3.7,0.0,10.9,,,,4.5,,,,,
2016-05-15,10.2,16.7,2.3,0.0,9.3,,,,4.4,,,,,
2016-05-16,5.5,9.8,2.6,0.0,0.0,,,,6.9,,,,,
2016-05-17,11.0,14.8,5.3,4.0,0.9,,,,4.5,,,,,
2016-05-18,12.2,20.0,4.4,0.0,11.3,,,,3.5,,,,,
2016-05-19,12.0,21.4,3.1,0.0,12.8,,,,2.9,,,,,
2016-05-20,15.2,26.6,4.9,0.0,12.9,,,,2.5,,,,,
2016-05-21,17.2,29.4,6.6,0.0,13.0,,,,3.0,,,,,
2016-05-22,18.0,28.6,6.4,0.0,13.7,,,,3.2,,,,,
2016-05-23,16.3,24.6,7.7,0.0,11.1,,,,4.4,,,,,
2016-05-24,11.2,18.9,6.2,0.0,10.9,,,,4.7,,,,,
2016-05-25,10.1,13.5,6.2,2.0,0.0,,,,4.0,,,,,
2016-05-26,14.4,20.6,9.3,0.0,1.9,,,,2.7,,,,,
2016-05-27,15.0,23.7,6.5,3.0,8.2,,,,2.9,,,,,
2016-05-28,13.5,23.7,6.1,2.5,10.5,,,,4.5,,,,,
2016-05-29,9.0,14.7,4.9,0.5,8.7,,,,5.7,,,,,
2016-05-30,8.9,16.6,2.7,0.0,10.2,,,,3.9,,,,,
2016-05-31,8.5,10.4,4.8,30.5,0.0,,,,4.5,,,,,
2016-06-01,9.1,12.5,6.1,51.5,0.5,,,,4.5,,,,,
2016-06-02,4.2,6.1,3.2,5.5,0.4,,,,9.1,,,,,
2016-06-03,5.4,9.9,2.8,0.0,5.5,,,,5.8,,,,,
2016-06-04,4.5,6.8,-0.4,5.0,0.9,,,,3.0,,,,,
2016-06-05,7.0,12.6,1.7,0.0,6.6,,,,4.2,,,,,
2016-06-06,10.4,18.2,0.4,0.0,14.1,,,,4.2,,,,,
2016-06-07,13.4,22.1,3.1,0.0,3.9,,,,2.0,,,,,
2016-06-08,14.8,21.5,7.2,1.0,8.0,,,,3.6,,,,,
2016-06-09,14.6,17.9,10.0,24.5,0.0,,,,3.4,,,,,
2016-06-10,9.3,12.0,8.1,0.5,1.7,,,,7.1,,,,,
2016-06-11,9.5,13.9,6.6,0.0,4.6,,,,7.2,,,,,
2016-06-12,8.5,11.9,5.5,0.0,0.4,,,,4.1,,,,,
2016-06-13,7.5,9.8,5.5,1.0,0.0,,,,4.5,,,,,
2016-06-14,9.7,13.2,7.6,1.5,0.4,,,,3.4,,,,,
2016-06-15,10.8,18.3,6.8,0.0,5.8,,,,3.9,,,,,
2016-06-16,9.5,13.1,6.7,11.0,0.0,,,,4.6,,,,,
2016-06-17,9.3,10.4,8.6,32.0,0.0,,,,6.8,,,,,
2016-06-18,10.2,13.2,8.5,1.0,0.0,,,,3.3,,,,,
2016-06-19,11.3,13.6,8.1,2.5,0.0,,,,3.7,,,,,
2016-06-20,13.7,15.3,12.4,12.5,0.0,,,,4.0,,,,,
2016-06-21,13.5,16.9,11.4,3.0,0.4,,,,3.1,,,,,
2016-06-22,12.7,14.7,10.4,0.0,0.0,,,,3.2,,,,,
2016-06-23,9.4,11.7,5.5,1.0,0.0,,,,4.2,,,,,
2016-06-24,11.0,19.3,5.3,0.0,7.7,,,,2.7,,,,,
2016-06-25,10.1,13.5,7.1,3.0,0.8,,,,2.5,,,,,
2016-06-26,10.5,14.5,7.7,0.0,0.0,,,,3.6,,,,,
2016-06-27,13.7,21.1,7.8,0.5,7.6,,,,3.3,,,,,
2016-06-28,16.0,24.2,7.7,0.0,12.8,,,,2.6,,,,,
2016-06-29,18.0,26.3,12.3,0.0,11.2,,,,2.6,,,,,
2016-06-30,16.2,23.0,11.4,0.0,5.7,,,,3.3,,,,,
2016-07-01,19.1,25.5,15.0,0.0,9.2,,,,2.5,,,,,
2016-07-02,17.9,21.2,15.5,51.5,1.5,,,,3.9,,,,,
2016-07-03,18.9,23.4,15.5,9.0,0.4,,,,3.3,,,,,
2016-07-04,11.0,15.5,8.4,0.0,0.4,,,,7.7,,,,,
2016-07-05,12.6,20.7,8.2,0.0,10.1,,,,4.3,,,,,
2016-07-06,12.4,16.3,8.6,0.0,3.0,,,,3.9,,,,,
2016-07-07,14.7,22.3,9.1,0.0,13.9,,,,3.7,,,,,
2016-07-08,14.7,18.0,11.1,0.0,0.2,,,,3.9,,,,,
2016-07-09,18.2,26.5,12.3,0.0,8.7,,,,2.7,,,,,
2016-07-10,17.2,24.4,13.9,24.0,1.3,,,,2.2,,,,,
2016-07-11,13.8,17.5,11.5,0.0,2.5,,,,5.7,,,,,
2016-07-12,15.9,22.3,11.4,0.0,12.4,,,,4.5,,,,,
2016-07-13,15.1,20.7,10.8,0.0,0.9,,,,2.5,,,,,
2016-07-14,13.9,16.3,11.8,0.0,0.0,,,,3.2,,,,,
2016-07-15,16.6,22.0,12.8,0.0,2.7,,,,2.7,,,,,
2016-07-16,17.1,21.7,13.7,0.0,7.0,,,,4.4,,,,,
2016-07-17,16.5,20.5,14.3,0.0,0.0,,,,2.9,,,,,
2016-07-18,16.4,18.4,15.2,5.0,0.0,,,,3.0,,,,,
2016-07-19,14.6,16.5,12.9,29.0,0.0,,,,2.3,,,,,
2016-07-20,15.5,20.2,12.8,0.0,5.4,,,,3.8,,,,,
2016-07-21,15.5,20.1,12.3,0.0,2.5,,,,3.3,,,,,
2016-07-22,13.7,16.6,11.7,0.0,0.1,,,,3.0,,,,,
2016-07-23,14.3,17.5,12.2,0.0,0.0,,,,3.3,,,,,
2016-07-24,13.7,16.1,12.0,0.0,0.0,,,,3.5,,,,,
2016-07-25,15.4,19.4,12.4,0.0,0.1,,,,3.2,,,,,
2016-07-26,15.7,18.1,13.9,0.0,0.0,,,,3.8,,,,,
2016-07-27,16.6,20.1,14.1,3.5,0.0,,,,5.2,,,,,
2016-07-28,19.1,20.6,16.4,42.0,0.0,,,,5.8,,,,,
2016-07-29,19.4,21.1,18.3,35.0,0.0,,,,4.2,,,,,
2016-07-30,20.5,23.6,19.1,0.0,0.2,,,,4.4,,,,,
2016-07-31,20.7,23.4,19.5,4.0,0.4,,,,3.9,,,,,
2016-08-01,21.6,23.7,20.2,31.5,0.1,,,,3.4,,,,,
2016-08-02,23.0,27.8,19.7,0.0,6.2,,,,2.2,,,,,
2016-08-03,21.8,25.5,19.8,0.0,1.9,,,,3.2,,,,,
2016-08-04,23.0,30.3,18.7,0.0,5.3,,,,1.5,,,,,
2016-08-05,21.1,27.5,15.2,0.0,10.2,,,,3.6,,,,,
2016-08-06,19.4,26.5,12.6,0.0,11.1,,,,2.1,,,,,
2016-08-07,20.0,26.3,13.0,0.0,8.4,,,,3.5,,,,,
2016-08-08,22.3,26.3,20.0,1.0,1.1,,,,4.1,,,,,
2016-08-09,18.8,22.7,16.1,39.5,0.0,,,,6.1,,,,,
