calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-7.7,-2.3,-11.4,0.0,3.6,,,,1.6,,,,,
2016-01-02,-4.0,2.9,-12.0,0.0,3.2,,,,1.6,,,,,
2016-01-03,-5.5,-0.6,-13.2,0.0,4.6,,,,1.3,,,,,
2016-01-04,-9.4,-2.7,-14.2,0.0,2.2,,,,1.4,,,,,
2016-01-05,-9.5,-2.5,-15.1,0.0,4.8,,,,1.8,,,,,
2016-01-06,-7.6,-0.2,-16.3,0.0,5.8,,,,2.4,,,,,
2016-01-07,-7.6,-3.1,-13.2,0.0,3.7,,,,1.6,,,,,
2016-01-08,-8.1,-0.5,-15.6,0.0,4.7,,,,1.4,,,,,
2016-01-09,-10.7,-2.6,-17.8,0.0,6.4,,,,1.4,,,,,
2016-01-10,-8.9,-2.3,-16.0,0.5,3.8,,,,1.4,,,,,
2016-01-11,-11.0,-6.9,-15.7,0.0,3.7,,,,1.9,,,,,
2016-01-12,-12.3,-4.6,-18.7,0.0,4.6,,,,1.5,,,,,
2016-01-13,-11.2,-2.0,-18.3,0.0,5.9,,,,1.3,,,,,
2016-01-14,-6.9,-2.9,-12.5,7.0,1.4,,,,2.5,,,,,
2016-01-15,-10.0,-6.5,-17.2,0.0,6.1,,,,0.8,,,,,
2016-01-16,-15.1,-4.7,-22.5,0.0,7.5,,,,0.8,,,,,
2016-01-17,-11.8,-4.4,-17.7,0.0,5.1,,,,1.2,,,,,
2016-01-18,-11.1,-3.5,-21.5,1.5,0.3,,,,1.1,,,,,
2016-01-19,-1.9,-1.2,-3.6,15.5,0.0,,,,7.0,,,,,
2016-01-20,-1.9,-1.1,-3.5,8.0,0.0,,,,7.8,,,,,
2016-01-21,-4.7,-3.4,-9.8,2.0,0.0,,,,3.7,,,,,
2016-01-22,-3.7,0.4,-9.4,1.5,2.8,,,,2.3,,,,,
2016-01-23,-4.6,-2.0,-10.4,2.0,1.2,,,,2.1,,,,,
2016-01-24,-8.2,-5.9,-11.8,0.0,1.4,,,,1.2,,,,,
2016-01-25,-12.7,-7.0,-19.6,0.0,8.1,,,,1.8,,,,,
2016-01-26,-11.4,-0.7,-22.6,0.0,8.6,,,,1.2,,,,,
2016-01-27,-8.3,-1.2,-14.9,0.0,4.8,,,,2.0,,,,,
2016-01-28,-9.1,-3.1,-15.5,0.0,2.2,,,,2.1,,,,,
2016-01-29,-12.1,-6.6,-18.7,0.0,6.2,,,,1.4,,,,,
2016-01-30,-14.9,-6.7,-22.2,0.0,8.4,,,,1.1,,,,,
2016-01-31,-12.7,-5.5,-20.4,0.0,5.1,,,,1.2,,,,,
2016-02-01,-14.8,-8.1,-20.6,0.0,2.9,,,,1.3,,,,,
2016-02-02,-13.4,-3.0,-24.0,0.0,6.1,,,,1.2,,,,,
2016-02-03,-12.2,-5.4,-17.6,0.0,7.3,,,,1.3,,,,,
2016-02-04,-9.7,-0.7,-20.6,0.0,6.7,,,,1.8,,,,,
2016-02-05,-6.7,-0.8,-14.4,0.0,7.0,,,,2.2,,,,,
2016-02-06,-10.7,-2.4,-17.6,0.0,7.3,,,,1.5,,,,,
2016-02-07,-11.0,-4.5,-20.4,0.0,8.5,,,,1.9,,,,,
2016-02-08,-8.6,-5.9,-12.2,0.0,8.1,,,,2.2,,,,,
2016-02-09,-1.3,1.7,-7.7,0.0,0.8,,,,3.9,,,,,
2016-02-10,-3.6,-0.6,-9.3,0.0,1.4,,,,2.7,,,,,
2016-02-11,-5.2,-2.1,-12.5,0.0,3.1,,,,3.4,,,,,
2016-02-12,-6.1,0.7,-16.2,0.0,4.1,,,,2.2,,,,,
2016-02-13,5.1,9.9,0.5,0.0,0.7,,,,2.3,,,,,
2016-02-14,-2.1,2.4,-5.6,9.0,0.0,,,,1.9,,,,,
2016-02-15,-7.7,-2.7,-13.3,0.0,4.4,,,,,,,,,
2016-02-16,-9.7,-3.1,-17.7,0.0,7.1,,,,2.9,,,,,
2016-02-17,-8.0,-2.1,-15.0,0.0,4.0,,,,1.8,,,,,
2016-02-18,-5.5,1.5,-13.0,0.0,5.2,,,,1.3,,,,,
2016-02-19,-3.4,5.3,-11.9,0.0,6.6,,,,1.8,,,,,
2016-02-20,0.1,4.1,-5.5,3.0,7.3,,,,2.5,,,,,
2016-02-21,-3.1,-2.2,-4.5,13.5,0.0,,,,3.6,,,,,
2016-02-22,-6.0,-0.8,-14.0,0.5,5.6,,,,1.8,,,,,
2016-02-23,-5.5,2.9,-15.3,0.0,7.7,,,,3.2,,,,,
2016-02-24,-13.2,-9.0,-22.1,0.0,9.0,,,,2.3,,,,,
2016-02-25,-13.3,-3.7,-23.9,0.5,6.7,,,,1.8,,,,,
2016-02-26,-11.4,-5.1,-18.8,0.0,7.0,,,,1.7,,,,,
2016-02-27,-11.5,-1.8,-20.9,0.0,8.7,,,,1.5,,,,,
2016-02-28,-10.6,-3.7,-17.3,0.0,9.3,,,,1.3,,,,,
2016-02-29,-5.2,-0.8,-15.6,5.0,0.0,,,,2.9,,,,,
2016-03-01,-5.0,-0.9,-7.3,0.5,0.0,,,,4.9,,,,,
2016-03-02,-8.7,-4.6,-14.7,0.0,6.1,,,,2.0,,,,,
2016-03-03,-11.3,-4.3,-18.2,0.0,7.5,,,,1.5,,,,,
2016-03-04,-10.1,-2.5,-19.7,0.0,9.0,,,,1.3,,,,,
2016-03-05,-9.6,-2.6,-16.3,0.0,7.7,,,,1.4,,,,,
2016-03-06,-1.3,3.4,-13.9,0.0,0.0,,,,5.1,,,,,
2016-03-07,3.3,8.0,-1.6,0.0,9.3,,,,2.4,,,,,
2016-03-08,2.2,4.5,-1.4,0.0,7.5,,,,3.3,,,,,
2016-03-09,-1.9,1.8,-9.2,0.0,7.8,,,,3.8,,,,,
2016-03-10,-5.6,1.5,-12.7,0.0,9.3,,,,1.5,,,,,
2016-03-11,-5.9,1.8,-13.3,0.0,5.9,,,,1.9,,,,,
2016-03-12,-6.3,-0.3,-13.5,0.0,9.0,,,,1.6,,,,,
2016-03-13,-4.0,4.1,-14.5,0.0,10.9,,,,1.6,,,,,
2016-03-14,0.3,8.0,-5.7,0.0,10.1,,,,1.7,,,,,
2016-03-15,-2.1,-0.6,-4.3,0.5,7.1,,,,3.5,,,,,
2016-03-16,1.6,8.6,-10.0,0.0,10.1,,,,3.4,,,,,
2016-03-17,2.8,7.5,-3.3,0.0,8.6,,,,1.8,,,,,
2016-03-18,4.9,11.9,-4.4,0.0,1.6,,,,1.9,,,,,
2016-03-19,2.8,7.5,-1.6,3.5,0.2,,,,1.9,,,,,
2016-03-20,-1.9,0.2,-3.8,0.0,2.7,,,,4.7,,,,,
2016-03-21,-2.8,1.8,-8.0,0.0,4.7,,,,2.6,,,,,
2016-03-22,-1.0,5.5,-8.4,0.0,7.0,,,,2.5,,,,,
2016-03-23,-1.7,3.2,-8.6,4.0,7.1,,,,2.0,,,,,
2016-03-24,-1.7,1.0,-3.7,5.0,2.1,,,,,,,,,
2016-03-25,-3.4,0.3,-8.7,0.0,4.8,,,,1.8,,,,,
2016-03-26,-4.1,0.6,-10.6,0.0,6.0,,,,1.5,,,,,
2016-03-27,1.3,9.6,-9.1,0.0,11.3,,,,2.1,,,,,
2016-03-28,2.7,7.6,-4.4,0.0,8.7,,,,2.5,,,,,
2016-03-29,0.7,7.2,-7.1,0.0,10.6,,,,2.0,,,,,
2016-03-30,3.9,7.7,1.0,1.0,5.0,,,,4.2,,,,,
2016-03-31,3.5,7.9,-1.0,0.5,6.8,,,,1.7,,,,,
2016-04-01,0.6,3.5,-0.9,0.0,0.1,,,,1.9,,,,,
2016-04-02,2.1,6.8,-0.8,0.0,10.8,,,,3.6,,,,,
2016-04-03,5.4,10.4,1.0,0.0,0.0,,,,4.2,,,,,
2016-04-04,4.5,9.8,-0.9,0.0,4.6,,,,1.7,,,,,
2016-04-05,6.8,14.4,-3.0,0.0,11.0,,,,3.7,,,,,
2016-04-06,5.0,11.4,-0.7,0.0,9.2,,,,3.6,,,,,
2016-04-07,7.2,14.8,-1.3,1.0,8.5,,,,2.5,,,,,
2016-04-08,6.6,11.9,2.8,7.5,3.8,,,,2.3,,,,,
2016-04-09,4.3,11.0,-1.7,0.0,5.7,,,,3.9,,,,,
2016-04-10,3.2,8.8,-1.5,0.0,9.2,,,,2.7,,,,,
2016-04-11,0.0,4.0,-2.1,5.0,2.3,,,,3.1,,,,,
2016-04-12,2.0,6.9,-2.1,0.5,7.9,,,,3.1,,,,,
2016-04-13,6.3,10.2,1.7,0.0,1.0,,,,2.7,,,,,
2016-04-14,6.0,11.7,1.3,0.0,7.1,,,,2.3,,,,,
2016-04-15,1.4,3.8,-0.7,1.5,0.0,,,,5.7,,,,,
2016-04-16,4.4,9.9,0.4,0.0,10.1,,,,4.6,,,,,
2016-04-17,4.3,7.3,0.5,12.5,0.0,,,,1.9,,,,,
2016-04-18,1.6,5.3,-1.0,0.0,0.0,,,,3.2,,,,,
2016-04-19,0.3,3.1,-1.0,0.5,0.0,,,,1.8,,,,,
2016-04-20,6.0,14.4,-0.9,0.0,6.0,,,,1.9,,,,,
2016-04-21,11.1,20.5,1.7,0.0,9.1,,,,3.4,,,,,
2016-04-22,4.5,12.7,-0.4,0.0,10.0,,,,2.3,,,,,
2016-04-23,4.0,9.6,0.3,1.0,5.7,,,,4.4,,,,,
2016-04-24,5.2,13.8,-1.0,0.0,6.1,,,,1.9,,,,,
2016-04-25,3.5,11.1,-1.9,0.0,6.3,,,,2.1,,,,,
2016-04-26,3.7,7.7,1.3,1.5,0.2,,,,2.3,,,,,
2016-04-27,4.6,10.4,-1.0,0.0,9.5,,,,2.3,,,,,
2016-04-28,6.2,13.8,-0.6,0.0,8.5,,,,3.4,,,,,
2016-04-29,0.1,2.2,-1.0,16.5,0.0,,,,4.3,,,,,
2016-04-30,1.3,3.4,-1.1,1.5,0.0,,,,6.2,,,,,
2016-05-01,3.0,6.2,-1.2,0.0,5.6,,,,3.1,,,,,
2016-05-02,5.2,11.0,-3.6,0.0,11.3,,,,1.8,,,,,
2016-05-03,14.6,24.5,6.8,0.0,8.6,,,,3.9,,,,,
2016-05-04,14.9,18.7,9.9,0.0,0.2,,,,4.7,,,,,
2016-05-05,13.5,18.5,7.9,0.0,4.3,,,,4.0,,,,,
2016-05-06,8.4,12.6,4.9,0.0,9.3,,,,3.2,,,,,
2016-05-07,10.5,18.4,5.9,2.5,4.0,,,,4.2,,,,,
2016-05-08,10.7,17.4,1.0,0.0,7.6,,,,5.0,,,,,
2016-05-09,11.5,22.5,0.3,0.0,8.4,,,,2.6,,,,,
2016-05-10,10.4,18.4,1.3,0.0,8.2,,,,2.3,,,,,
2016-05-11,7.7,8.8,6.8,18.0,0.0,,,,2.0,,,,,
2016-05-12,7.6,13.9,2.7,0.0,4.5,,,,2.5,,,,,
2016-05-13,14.5,26.1,1.3,0.0,12.6,,,,2.5,,,,,
2016-05-14,12.4,19.4,4.6,0.0,11.8,,,,2.3,,,,,
2016-05-15,12.5,19.4,3.2,0.0,8.0,,,,3.7,,,,,
2016-05-16,9.5,13.5,5.4,0.0,8.1,,,,6.0,,,,,
2016-05-17,15.0,19.9,11.5,2.5,3.5,,,,3.3,,,,,
2016-05-18,12.7,19.8,5.8,0.0,10.9,,,,2.2,,,,,
2016-05-19,16.8,27.9,5.3,0.0,12.7,,,,1.8,,,,,
2016-05-20,19.3,31.0,8.1,0.0,12.8,,,,1.6,,,,,
2016-05-21,20.0,32.3,7.8,0.0,12.9,,,,1.6,,,,,
2016-05-22,17.1,30.7,8.5,0.0,13.5,,,,2.0,,,,,
2016-05-23,15.6,24.7,6.8,0.0,9.3,,,,1.5,,,,,
2016-05-24,12.8,23.1,3.8,0.0,10.8,,,,2.8,,,,,
2016-05-25,14.9,22.8,9.4,2.5,5.8,,,,3.8,,,,,
2016-05-26,20.0,27.1,13.5,0.0,4.1,,,,3.1,,,,,
2016-05-27,15.8,24.7,6.8,1.5,7.5,,,,1.8,,,,,
2016-05-28,13.4,24.0,5.1,1.0,8.7,,,,2.5,,,,,
2016-05-29,9.2,14.8,3.2,0.0,5.0,,,,2.2,,,,,
2016-05-30,10.2,18.3,0.6,0.0,10.8,,,,2.3,,,,,
2016-05-31,11.8,18.6,6.9,4.5,2.7,,,,3.2,,,,,
2016-06-01,10.1,14.8,5.8,32.5,0.1,,,,2.3,,,,,
2016-06-02,4.8,5.8,3.8,20.5,0.0,,,,4.0,,,,,
2016-06-03,5.6,9.0,3.6,0.0,0.4,,,,1.7,,,,,
2016-06-04,5.7,8.5,-0.3,8.5,0.8,,,,1.5,,,,,
2016-06-05,7.7,13.5,3.4,2.0,5.0,,,,1.8,,,,,
2016-06-06,10.7,18.7,0.8,0.0,14.6,,,,1.7,,,,,
2016-06-07,14.7,21.8,7.1,0.0,3.4,,,,1.5,,,,,
2016-06-08,15.3,24.5,7.9,1.5,6.3,,,,1.4,,,,,
2016-06-09,13.9,22.1,9.7,32.0,2.6,,,,1.5,,,,,
2016-06-10,9.4,10.4,8.3,1.5,0.0,,,,1.4,,,,,
2016-06-11,10.5,15.7,7.5,0.0,6.0,,,,2.6,,,,,
2016-06-12,11.3,16.6,7.3,0.0,8.9,,,,2.6,,,,,
2016-06-13,10.8,15.0,7.9,0.5,1.4,,,,4.2,,,,,
2016-06-14,13.0,18.3,9.9,0.5,4.6,,,,3.3,,,,,
2016-06-15,15.0,22.2,9.3,0.0,8.8,,,,3.3,,,,,
2016-06-16,12.5,17.8,8.6,9.5,8.3,,,,3.8,,,,,
2016-06-17,11.5,12.6,10.5,14.0,0.0,,,,3.2,,,,,
2016-06-18,12.7,15.9,10.9,0.0,0.1,,,,3.2,,,,,
2016-06-19,15.3,19.4,10.5,0.0,10.7,,,,3.2,,,,,
2016-06-20,16.1,19.9,13.9,1.0,0.8,,,,3.0,,,,,
2016-06-21,16.6,22.0,12.9,1.5,7.0,,,,2.2,,,,,
2016-06-22,14.5,18.8,9.5,0.0,1.6,,,,1.8,,,,,
2016-06-23,13.1,17.2,8.4,0.0,3.7,,,,2.3,,,,,
2016-06-24,14.1,23.7,6.8,0.0,10.6,,,,2.5,,,,,
2016-06-25,11.0,14.2,8.5,6.5,0.3,,,,1.6,,,,,
2016-06-26,11.1,14.4,8.2,3.5,0.0,,,,1.9,,,,,
2016-06-27,14.2,20.1,8.2,0.0,8.9,,,,1.4,,,,,
2016-06-28,18.4,26.4,8.9,0.0,14.5,,,,1.8,,,,,
2016-06-29,20.8,28.5,12.1,0.0,13.6,,,,1.8,,,,,
2016-06-30,21.0,30.0,12.7,0.0,14.1,,,,2.1,,,,,
2016-07-01,21.9,28.8,15.4,0.0,10.8,,,,1.7,,,,,
2016-07-02,20.2,26.7,14.3,21.0,4.1,,,,2.0,,,,,
2016-07-03,20.3,25.4,14.9,0.0,1.6,,,,2.4,,,,,
2016-07-04,10.8,15.0,9.0,6.5,0.0,,,,2.9,,,,,
2016-07-05,12.4,19.3,9.0,0.0,5.5,,,,1.5,,,,,
2016-07-06,15.7,22.3,10.8,0.0,11.4,,,,2.4,,,,,
2016-07-07,17.5,25.9,8.8,0.0,14.5,,,,2.7,,,,,
2016-07-08,18.1,25.5,11.8,0.0,11.6,,,,2.9,,,,,
2016-07-09,19.3,25.9,12.3,0.0,12.4,,,,1.6,,,,,
2016-07-10,17.6,24.5,14.1,10.0,1.6,,,,1.4,,,,,
2016-07-11,13.7,15.7,12.8,2.5,0.0,,,,1.3,,,,,
2016-07-12,16.2,23.0,12.4,0.0,8.6,,,,1.3,,,,,
2016-07-13,17.1,23.0,12.6,0.0,3.7,,,,1.7,,,,,
2016-07-14,17.2,22.3,13.2,0.0,13.6,,,,2.8,,,,,
2016-07-15,17.2,22.9,13.8,0.0,1.0,,,,1.5,,,,,
2016-07-16,16.1,20.5,14.1,0.0,0.8,,,,1.1,,,,,
2016-07-17,18.0,24.9,13.8,0.0,3.8,,,,1.2,,,,,
2016-07-18,17.8,20.6,15.3,3.0,0.0,,,,1.1,,,,,
2016-07-19,16.4,18.5,14.2,17.5,0.0,,,,1.7,,,,,
2016-07-20,15.5,21.4,13.4,0.0,3.0,,,,1.3,,,,,
2016-07-21,17.1,22.7,13.4,0.0,9.8,,,,1.3,,,,,
2016-07-22,17.8,24.4,13.6,0.0,12.3,,,,2.5,,,,,
2016-07-23,18.4,25.5,13.4,0.0,13.9,,,,2.9,,,,,
2016-07-24,18.1,23.9,13.6,0.0,14.2,,,,3.2,,,,,
2016-07-25,19.6,27.4,13.3,0.0,13.9,,,,2.5,,,,,
2016-07-26,19.0,24.6,15.5,0.0,4.4,,,,2.6,,,,,
2016-07-27,18.9,23.2,16.2,1.0,0.9,,,,3.1,,,,,
2016-07-28,21.3,25.1,18.0,18.5,0.3,,,,3.6,,,,,
2016-07-29,21.5,24.4,19.7,13.5,0.0,,,,3.0,,,,,
2016-07-30,24.2,28.8,20.7,0.5,3.3,,,,3.3,,,,,
