calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.5,-2.6,-13.6,0.0,5.0,,29,2,2.3,,,,,
2016-01-02,-6.7,-0.3,-14.7,0.0,3.0,,29,1,1.4,,,,,
2016-01-03,-6.4,-1.1,-13.9,0.0,3.9,,30,5,1.9,,,,,
2016-01-04,-8.5,-1.9,-14.1,0.0,4.5,,29,0,1.5,,,,,
2016-01-05,-8.0,-4.6,-12.7,0.5,2.1,,32,4,2.0,,,,,
2016-01-06,-8.5,-2.6,-17.2,0.5,5.0,,32,4,2.0,,,,,
2016-01-07,-8.4,-3.6,-13.8,0.0,3.6,,32,4,1.5,,,,,
2016-01-08,-8.6,-3.5,-14.5,0.0,2.7,,32,2,1.2,,,,,
2016-01-09,-9.5,-4.0,-14.4,0.0,7.2,,32,1,1.5,,,,,
2016-01-10,-8.2,-4.2,-11.5,0.0,0.0,,33,3,1.2,,,,,
2016-01-11,-11.3,-7.9,-16.5,0.0,1.8,,34,1,1.4,,,,,
2016-01-12,-12.2,-8.4,-15.5,0.0,1.3,,34,1,1.1,,,,,
2016-01-13,-12.6,-6.7,-18.6,0.0,4.8,,33,0,1.6,,,,,
2016-01-14,-8.4,-3.6,-15.3,3.5,3.4,,45,13,2.2,,,,,
2016-01-15,-13.4,-8.2,-19.1,0.0,2.6,,44,0,1.9,,,,,
2016-01-16,-14.0,-7.9,-19.3,0.0,3.2,,41,0,1.6,,,,,
2016-01-17,-12.4,-6.4,-15.8,0.0,4.8,,40,0,1.8,,,,,
2016-01-18,-11.0,-5.9,-17.3,4.0,0.8,,46,8,2.0,,,,,
2016-01-19,-4.0,-3.0,-8.2,12.5,0.0,,114,68,4.6,,,,,
2016-01-20,-4.0,-2.9,-5.3,4.0,0.0,,113,15,5.0,,,,,
2016-01-21,-6.1,-4.3,-11.5,0.0,0.7,,88,0,2.9,,,,,
2016-01-22,-5.0,-0.3,-10.9,0.0,3.4,,83,0,3.1,,,,,
2016-01-23,-7.0,-3.5,-11.5,0.0,4.7,,79,2,1.8,,,,,
2016-01-24,-10.4,-7.3,-13.2,0.0,4.6,,77,1,1.9,,,,,
2016-01-25,-14.4,-7.0,-20.0,0.0,8.5,,75,0,2.6,,,,,
2016-01-26,-11.8,-2.6,-20.4,0.0,8.5,,73,0,1.8,,,,,
