calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.6,-1.3,-11.4,0.0,1.7,,,,1.4,,,,,
2016-01-02,-2.1,1.8,-6.1,4.5,0.0,,,,1.3,,,,,
2016-01-03,-2.9,-0.9,-8.1,3.0,0.3,,,,1.5,,,,,
2016-01-04,-6.4,-2.2,-15.6,1.0,0.6,,,,1.6,,,,,
2016-01-05,-6.9,-3.1,-15.0,1.0,3.6,,,,1.5,,,,,
2016-01-06,-5.0,-1.9,-9.9,0.0,1.9,,,,2.0,,,,,
2016-01-07,-7.3,-3.5,-14.2,0.0,0.5,,,,1.2,,,,,
2016-01-08,-5.6,-1.5,-13.4,1.0,4.7,,,,1.4,,,,,
2016-01-09,-7.1,-3.0,-15.6,0.0,4.6,,,,1.8,,,,,
2016-01-10,-6.2,-4.1,-9.4,4.0,0.0,,,,1.2,,,,,
2016-01-11,-9.3,-7.1,-14.0,1.5,1.8,,,,1.3,,,,,
2016-01-12,-10.2,-5.4,-15.8,0.0,0.8,,,,1.3,,,,,
2016-01-13,-8.4,-3.5,-12.6,0.0,3.4,,,,1.3,,,,,
2016-01-14,-6.6,-3.2,-10.0,4.5,0.0,,,,2.4,,,,,
2016-01-15,-10.8,-5.4,-16.0,0.0,7.5,,,,1.5,,,,,
2016-01-16,-11.7,-3.4,-17.9,0.0,6.8,,,,1.8,,,,,
2016-01-17,-8.6,-4.2,-12.8,0.0,5.2,,,,1.5,,,,,
2016-01-18,-8.1,-1.9,-17.2,1.0,3.3,,,,3.1,,,,,
2016-01-19,-1.5,-0.9,-3.0,5.5,0.0,,,,8.4,,,,,
2016-01-20,-2.4,-1.3,-3.5,7.5,0.0,,,,4.7,,,,,
2016-01-21,-4.3,-2.3,-8.6,2.0,0.1,,,,2.1,,,,,
2016-01-22,-2.4,-0.2,-5.9,9.5,0.5,,,,3.4,,,,,
2016-01-23,-4.7,-3.1,-7.8,3.0,0.0,,,,1.3,,,,,
2016-01-24,-8.5,-5.2,-14.1,0.5,1.5,,,,1.8,,,,,
2016-01-25,-11.4,-5.4,-16.9,0.0,6.8,,,,1.6,,,,,
2016-01-26,-2.6,1.0,-10.7,0.5,1.0,,,,2.0,,,,,
2016-01-27,-3.1,-1.3,-5.5,1.5,4.0,,,,1.8,,,,,
2016-01-28,-7.7,-3.5,-14.8,0.5,1.3,,,,1.8,,,,,
2016-01-29,-13.0,-5.6,-21.7,0.0,4.5,,,,1.4,,,,,
2016-01-30,-12.5,-6.2,-19.3,0.0,8.5,,,,1.5,,,,,
2016-01-31,-9.8,-5.2,-17.3,0.0,2.7,,,,1.6,,,,,
2016-02-01,-11.8,-7.3,-17.3,0.0,3.2,,,,1.9,,,,,
2016-02-02,-10.4,-4.8,-16.4,0.0,1.0,,,,1.6,,,,,
2016-02-03,-10.1,-4.7,-18.5,0.0,5.2,,,,1.5,,,,,
2016-02-04,-6.0,1.4,-16.9,1.0,4.4,,,,1.5,,,,,
2016-02-05,-3.7,-1.3,-7.8,1.0,5.4,,,,2.1,,,,,
2016-02-06,-8.3,-4.5,-14.9,1.0,2.8,,,,0.9,,,,,
2016-02-07,-8.4,-5.4,-15.9,1.5,3.8,,,,1.7,,,,,
2016-02-08,-10.3,-7.1,-16.7,2.0,3.6,,,,1.8,,,,,
2016-02-09,-7.7,0.4,-15.4,0.0,3.6,,,,1.3,,,,,
2016-02-10,-2.6,0.1,-8.6,3.0,3.4,,,,2.5,,,,,
2016-02-11,-6.6,-2.2,-16.9,1.5,4.2,,,,1.6,,,,,
2016-02-12,-3.0,5.5,-18.0,0.0,0.9,,,,2.2,,,,,
2016-02-13,5.2,8.5,0.0,0.0,1.3,,,,2.4,,,,,
2016-02-14,-3.4,0.0,-6.6,17.5,0.0,,,,3.9,,,,,
2016-02-15,-8.8,-2.1,-15.1,0.0,7.2,,,,3.0,,,,,
2016-02-16,-9.6,-4.7,-15.4,1.0,0.4,,,,,,,,,
2016-02-17,-6.0,-3.1,-8.4,1.5,2.5,,,,,,,,,
2016-02-18,-4.1,-0.6,-10.5,1.5,2.4,,,,1.1,,,,,
2016-02-19,-2.9,-0.4,-11.1,7.0,1.1,,,,1.1,,,,,
2016-02-20,-0.2,2.2,-4.0,0.0,8.3,,,,3.6,,,,,
2016-02-21,-3.1,-2.0,-4.4,9.5,0.0,,,,3.7,,,,,
2016-02-22,-5.7,-1.8,-13.9,0.5,3.7,,,,2.1,,,,,
2016-02-23,-6.4,-1.3,-14.0,4.5,0.0,,,,1.7,,,,,
2016-02-24,-11.8,-8.9,-18.8,0.0,2.6,,,,1.9,,,,,
2016-02-25,-11.3,-4.2,-20.4,0.0,4.4,,,,2.5,,,,,
2016-02-26,-9.4,-6.8,-13.9,0.0,4.7,,,,1.6,,,,,
2016-02-27,-9.3,-2.2,-18.9,0.0,3.6,,,,1.7,,,,,
2016-02-28,-9.4,-4.2,-17.8,1.0,6.5,,,,1.3,,,,,
2016-02-29,-6.6,-1.5,-17.6,0.5,0.0,,,,3.9,,,,,
2016-03-01,-5.6,-1.8,-10.3,4.5,1.2,,,,3.1,,,,,
2016-03-02,-7.6,-4.5,-12.3,0.0,4.7,,,,1.6,,,,,
