calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.7,-2.2,-7.3,0.0,0.4,,9,,2.7,3.5,1016.9,74,1019.2,
2016-01-02,-1.1,2.8,-4.5,2.5,0.4,,14,6,2.5,4.6,1007.6,80,1009.9,
2016-01-03,-2.5,-1.2,-4.7,2.0,0.8,,19,5,2.8,4.2,1007.7,82,1009.9,
2016-01-04,-4.5,-1.4,-9.2,0.5,1.5,,16,,2.4,3.3,1007.5,76,1009.7,
2016-01-05,-5.5,-3.7,-8.8,1.5,2.5,,17,1,3.3,2.8,1008.1,70,1010.3,
2016-01-06,-4.3,-0.4,-7.7,0.5,3.4,,17,3,2.4,3.4,1007.6,77,1009.8,
2016-01-07,-5.4,-3.1,-9.5,1.0,1.7,,21,5,2.5,3.1,1004.1,76,1006.3,
2016-01-08,-4.6,-1.5,-10.6,0.5,2.5,,19,1,2.5,3.2,1004.6,75,1006.8,
2016-01-09,-6.1,-3.1,-10.0,1.5,1.8,,24,8,2.7,2.9,1009.0,75,1011.3,
2016-01-10,-6.0,-4.0,-8.2,1.5,1.0,,25,6,2.5,3.3,1007.4,84,1009.7,
2016-01-11,-8.6,-7.2,-9.9,2.5,1.3,,32,11,2.9,2.5,1010.5,78,1012.8,
2016-01-12,-8.5,-5.4,-11.0,0.0,0.3,,30,,1.9,2.4,1007.7,75,1010.0,
2016-01-13,-7.6,-4.3,-10.8,0.0,4.0,,25,,2.1,2.6,1007.4,75,1009.7,
2016-01-14,-6.0,-3.5,-8.4,5.5,0.0,,30,10,3.5,3.3,1007.7,83,1010.0,
2016-01-15,-8.5,-5.9,-11.4,0.0,6.2,,31,3,2.3,2.5,1013.8,78,1016.1,
2016-01-16,-8.9,-3.9,-12.9,,7.8,,27,,3.0,2.2,1013.8,70,1016.1,
2016-01-17,-7.5,-4.4,-10.3,0.0,3.4,,25,,2.2,2.6,1019.6,76,1021.9,
2016-01-18,-6.7,-2.0,-12.3,3.0,2.9,,24,2,3.7,2.9,1018.0,77,1020.3,
2016-01-19,-1.5,-1.0,-3.0,11.0,0.0,,,,8.7,5.2,1000.2,95,1002.4,
2016-01-20,-2.2,-1.3,-3.3,8.5,0.0,,24,4,8.2,4.7,1003.1,91,1005.3,
2016-01-21,-3.7,-2.5,-4.7,2.5,0.1,,23,2,4.9,3.6,1009.5,76,1011.8,
2016-01-22,-1.9,-0.1,-4.0,5.0,1.0,,30,9,4.5,4.3,1010.1,80,1012.3,
2016-01-23,-4.5,-2.7,-7.2,4.5,0.0,,38,9,2.7,3.8,1012.0,87,1014.3,
2016-01-24,-7.5,-5.4,-9.9,1.5,2.4,,39,3,3.4,2.8,1003.4,80,1005.7,
2016-01-25,-8.6,-6.2,-10.6,0.5,7.2,,37,1,2.8,2.2,1008.0,68,1010.3,
2016-01-26,-2.4,1.2,-8.3,0.0,1.4,,32,,1.9,4.0,1011.0,77,1013.3,
2016-01-27,-3.0,-1.0,-5.5,4.5,4.2,,35,6,2.9,3.8,1012.9,77,1015.1,
2016-01-28,-6.4,-3.3,-11.0,0.5,2.8,,32,4,4.3,2.7,1017.1,70,1019.4,
2016-01-29,-8.8,-6.1,-13.5,0.0,3.0,,31,1,2.7,2.3,1022.1,73,1024.4,
2016-01-30,-9.9,-6.3,-13.8,,7.4,,30,,2.1,1.9,1020.3,66,1022.6,
2016-01-31,-8.3,-5.0,-12.3,3.5,2.4,,40,13,3.0,2.4,1014.5,74,1016.8,
2016-02-01,-9.5,-7.5,-12.5,0.0,2.1,,39,,3.0,2.1,1015.6,70,1017.9,
2016-02-02,-8.9,-4.0,-13.6,1.0,3.0,,36,4,3.2,2.5,1011.6,79,1013.9,
2016-02-03,-8.4,-4.5,-13.1,0.0,4.2,,35,,2.1,2.4,1016.2,73,1018.5,
2016-02-04,-4.0,-0.6,-9.3,0.0,3.9,,32,,2.0,3.4,1011.5,75,1013.7,
2016-02-05,-3.9,-1.1,-7.8,1.5,3.0,,31,1,3.5,3.1,1007.1,68,1009.3,
2016-02-06,-6.4,-2.5,-8.2,0.0,3.5,,32,4,2.2,3.2,1009.0,84,1011.3,
2016-02-07,-7.4,-4.7,-10.9,5.0,4.5,,34,5,3.0,2.7,1008.1,78,1010.4,
2016-02-08,-9.0,-6.9,-11.8,1.0,4.8,,45,12,2.8,2.5,1015.2,81,1017.5,
2016-02-09,-5.4,0.1,-12.7,0.0,4.2,,38,,2.2,3.7,1003.4,85,1005.6,
2016-02-10,-2.6,-0.5,-7.4,3.5,4.7,,36,4,5.3,3.9,1008.2,78,1010.4,
2016-02-11,-4.9,-2.6,-8.2,0.5,5.5,,39,4,4.0,3.5,1026.1,82,1028.4,
2016-02-12,-0.5,6.8,-10.4,,0.7,,34,,2.5,3.8,1022.2,65,1024.5,
2016-02-13,6.0,10.7,-0.1,0.0,1.6,,30,,3.4,6.6,1009.0,71,1011.2,
2016-02-14,-3.2,-0.1,-6.4,18.0,0.0,,39,19,4.4,4.6,996.1,94,998.3,
2016-02-15,-6.6,-2.1,-9.4,0.5,5.2,,39,,3.9,2.5,994.3,65,996.6,
2016-02-16,-7.8,-4.9,-11.9,0.5,1.3,,36,1,1.9,2.6,1002.1,77,1004.4,
2016-02-17,-5.9,-3.5,-8.6,1.0,0.7,,35,,3.3,2.9,1003.5,73,1005.8,
2016-02-18,-5.0,-1.6,-10.8,0.0,1.2,,36,1,1.4,3.7,1013.2,86,1015.5,
2016-02-19,-1.8,0.2,-6.4,5.0,4.7,,41,8,1.5,4.7,1014.4,88,1016.6,
2016-02-20,0.2,2.6,-2.5,1.0,8.1,,41,1,3.1,3.8,1021.5,62,1023.8,
2016-02-21,-3.0,-2.1,-4.2,14.5,0.0,,77,22,4.5,4.6,1009.5,94,1011.7,
2016-02-22,-4.7,-1.5,-9.1,3.0,4.6,,76,,2.9,3.1,1020.8,72,1023.1,
2016-02-23,-5.9,-1.9,-9.4,0.5,0.2,,71,5,3.0,3.3,1017.2,82,1019.5,
2016-02-24,-11.0,-8.1,-15.8,0.5,5.9,,71,2,2.4,1.9,1021.2,73,1023.5,
2016-02-25,-9.6,-4.9,-14.2,1.0,4.0,,66,1,3.2,2.2,1019.4,72,1021.7,
2016-02-26,-8.7,-6.7,-12.0,1.0,4.7,,63,,1.7,2.6,1018.5,83,1020.8,
2016-02-27,-7.9,-2.2,-12.7,1.0,2.8,,62,2,2.5,2.7,1021.2,79,1023.5,
2016-02-28,-7.3,-4.2,-10.4,1.5,6.0,,64,4,2.0,2.8,1025.8,79,1028.1,
2016-02-29,-4.8,-1.3,-11.4,2.0,0.0,,59,1,5.2,3.6,1008.9,82,1011.2,
2016-03-01,-5.0,-1.9,-7.1,5.0,0.2,,56,5,6.2,3.4,1000.5,79,1002.8,
2016-03-02,-6.2,-4.7,-7.8,0.0,3.6,,55,,3.1,2.8,1013.8,74,1016.1,
2016-03-03,-8.0,-4.3,-12.2,,8.4,,54,,2.6,2.3,1020.0,69,1022.3,
2016-03-04,-6.2,-1.9,-12.4,0.0,8.3,,56,5,2.8,2.7,1028.8,70,1031.1,
