calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-9.5,-2.4,-14.6,0.0,6.4,,,,2.8,,,,,
2016-01-02,-6.6,2.1,-15.0,0.0,3.6,,,,2.2,,,,,
2016-01-03,-4.9,0.3,-14.0,0.0,5.7,,,,2.3,,,,,
2016-01-04,-8.9,-1.2,-14.5,0.0,3.7,,,,1.6,,,,,
2016-01-05,-9.2,-2.5,-14.7,0.0,3.3,,,,1.8,,,,,
2016-01-06,-8.6,-1.3,-18.4,0.0,4.3,,,,2.5,,,,,
2016-01-07,-9.0,-2.6,-15.3,0.0,5.6,,,,1.6,,,,,
2016-01-08,-9.0,-1.7,-17.4,0.0,4.6,,,,1.6,,,,,
2016-01-09,-9.6,-2.8,-16.9,0.0,7.2,,,,2.8,,,,,
2016-01-10,-7.6,-3.0,-13.3,0.0,5.2,,,,2.2,,,,,
2016-01-11,-12.0,-6.2,-18.3,0.0,4.1,,,,1.5,,,,,
2016-01-12,-12.5,-6.0,-16.5,0.0,6.4,,,,1.7,,,,,
2016-01-13,-12.3,-5.5,-18.7,0.0,6.6,,,,2.6,,,,,
2016-01-14,-7.8,-2.7,-14.5,5.5,4.5,,,,2.0,,,,,
2016-01-15,-12.2,-7.5,-17.9,0.0,7.0,,,,2.4,,,,,
2016-01-16,-13.2,-6.2,-19.1,0.0,4.6,,,,3.5,,,,,
2016-01-17,-11.2,-5.3,-15.2,0.0,6.9,,,,3.1,,,,,
2016-01-18,-11.1,-5.4,-16.5,3.5,0.7,,,,2.9,,,,,
2016-01-19,-2.8,-1.9,-7.2,20.0,0.0,,,,3.7,,,,,
2016-01-20,-3.2,-2.1,-4.9,21.5,0.0,,,,3.6,,,,,
2016-01-21,-6.3,-3.0,-15.1,0.0,1.4,,,,2.5,,,,,
2016-01-22,-5.3,0.2,-11.8,0.5,3.1,,,,2.6,,,,,
2016-01-23,-6.5,-2.9,-17.8,4.0,1.9,,,,,,,,,
2016-01-24,-9.3,-4.6,-16.3,0.0,3.8,,,,,,,,,
2016-01-25,-14.3,-6.1,-20.8,0.0,8.6,,,,2.7,,,,,
2016-01-26,-12.8,-3.2,-19.8,0.0,8.8,,,,2.1,,,,,
