calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-6.1,-2.1,-13.2,0.0,2.4,,22,0,1.7,,,,,
2016-01-02,-3.5,2.7,-10.8,0.0,2.0,,22,2,2.2,,,,,
2016-01-03,-3.0,0.1,-8.9,0.0,2.0,,26,6,1.9,,,,,
2016-01-04,-6.0,-1.4,-15.7,0.5,0.9,,27,6,1.8,,,,,
2016-01-05,-9.9,-3.0,-17.8,0.0,0.0,,27,4,1.3,,,,,
2016-01-06,-7.2,-0.2,-17.4,0.0,3.9,,25,3,2.7,,,,,
2016-01-07,-6.0,-2.6,-10.2,0.0,1.0,,25,2,1.5,,,,,
2016-01-08,-7.0,-0.5,-13.7,0.5,5.7,,28,5,1.4,,,,,
2016-01-09,-9.6,-2.7,-17.3,0.0,4.2,,27,2,1.8,,,,,
2016-01-10,-8.2,-3.1,-15.2,1.0,2.0,,27,7,1.6,,,,,
2016-01-11,-10.0,-7.6,-15.6,1.0,2.0,,31,8,1.7,,,,,
2016-01-12,-10.7,-5.0,-15.9,0.0,3.4,,31,0,1.1,,,,,
2016-01-13,-12.2,-3.2,-18.4,0.0,5.5,,29,2,0.5,,,,,
2016-01-14,-7.6,-3.0,-15.8,7.5,1.0,,49,23,2.7,,,,,
2016-01-15,-11.2,-5.2,-21.0,0.0,5.7,,51,2,0.9,,,,,
2016-01-16,-16.3,-6.0,-22.9,0.0,5.8,,44,0,0.6,,,,,
2016-01-17,-12.3,-4.9,-18.8,0.0,3.8,,40,1,0.7,,,,,
2016-01-18,-11.5,-3.7,-22.2,3.5,1.8,,43,6,1.3,,,,,
2016-01-19,-1.7,-1.2,-3.8,2.0,0.0,,51,22,8.1,,,,,
2016-01-20,-2.3,-1.2,-4.0,1.0,0.0,,,,9.0,,,,,
2016-01-21,-4.2,-3.1,-7.0,2.5,0.0,,54,5,4.1,,,,,
2016-01-22,-2.5,1.0,-8.4,4.0,3.0,,59,11,3.2,,,,,
2016-01-23,-5.2,-2.5,-11.4,3.5,0.3,,68,13,2.1,,,,,
2016-01-24,-8.2,-5.0,-10.5,1.0,3.2,,72,10,2.1,,,,,
2016-01-25,-13.2,-6.6,-19.6,0.0,6.9,,70,0,1.3,,,,,
2016-01-26,-10.5,1.7,-19.4,0.0,8.0,,65,1,0.6,,,,,
2016-01-27,-4.9,-1.1,-10.8,0.0,2.6,,63,1,2.7,,,,,
2016-01-28,-7.4,-3.2,-16.1,0.5,1.1,,61,5,2.5,,,,,
2016-01-29,-13.5,-7.5,-18.6,0.0,0.8,,58,6,0.7,,,,,
2016-01-30,-13.9,-7.0,-20.7,0.0,6.5,,59,4,0.6,,,,,
2016-01-31,-10.9,-4.9,-20.8,0.5,3.4,,61,5,1.1,,,,,
2016-02-01,-13.7,-8.4,-19.9,0.5,1.8,,63,4,1.1,,,,,
2016-02-02,-13.9,-4.9,-23.7,0.5,4.3,,64,4,1.2,,,,,
2016-02-03,-12.2,-5.6,-19.3,0.0,6.7,,63,0,0.8,,,,,
2016-02-04,-8.4,1.1,-16.4,0.0,5.6,,61,0,1.0,,,,,
2016-02-05,-5.3,-0.9,-12.4,0.0,4.1,,59,0,3.0,,,,,
2016-02-06,-10.3,-1.6,-18.6,0.0,6.5,,55,3,2.0,,,,,
2016-02-07,-10.9,-5.0,-19.4,0.0,6.2,,55,2,1.7,,,,,
2016-02-08,-10.6,-6.4,-18.8,0.0,5.5,,63,8,1.7,,,,,
2016-02-09,-3.7,4.0,-19.3,0.0,2.8,,60,0,2.1,,,,,
2016-02-10,-3.6,-0.3,-10.0,0.5,1.9,,62,8,3.1,,,,,
2016-02-11,-5.4,-3.0,-13.3,0.0,3.4,,62,1,3.1,,,,,
2016-02-12,-6.4,0.6,-17.8,0.0,3.9,,58,0,1.6,,,,,
2016-02-13,2.1,6.9,-1.2,0.0,0.8,,58,1,1.5,,,,,
2016-02-14,-2.7,1.3,-6.4,7.5,0.0,,61,9,3.3,,,,,
2016-02-15,-8.1,-2.5,-15.0,0.0,6.6,,60,1,3.9,,,,,
2016-02-16,-10.7,-3.3,-17.2,0.0,8.3,,58,0,2.0,,,,,
2016-02-17,-9.7,-1.9,-19.1,0.0,4.3,,59,4,2.4,,,,,
2016-02-18,-5.4,0.6,-13.0,0.0,5.5,,59,3,1.1,,,,,
2016-02-19,-2.0,2.7,-8.5,0.0,7.3,,58,2,1.6,,,,,
2016-02-20,0.7,3.4,-2.8,1.5,8.0,,58,2,4.3,,,,,
2016-02-21,-3.2,-2.2,-4.7,10.0,0.0,,85,30,4.1,,,,,
2016-02-22,-5.2,-1.5,-14.7,1.5,5.0,,88,4,3.5,,,,,
2016-02-23,-7.3,1.0,-18.9,0.0,4.3,,84,7,3.2,,,,,
2016-02-24,-12.2,-8.8,-19.4,0.0,6.5,,85,4,2.5,,,,,
2016-02-25,-14.2,-3.5,-24.2,1.0,4.1,,91,12,1.6,,,,,
2016-02-26,-10.5,-6.4,-19.3,1.0,2.3,,90,3,1.0,,,,,
2016-02-27,-11.3,-3.4,-22.1,0.5,1.2,,87,2,1.1,,,,,
2016-02-28,-12.0,-2.8,-19.4,0.0,8.5,,85,1,0.4,,,,,
2016-02-29,-7.3,-1.6,-19.4,2.5,0.0,,87,5,2.1,,,,,
2016-03-01,-5.4,-1.9,-7.2,0.5,0.3,,84,3,5.2,,,,,
2016-03-02,-8.2,-4.8,-12.8,0.0,2.5,,79,2,1.9,,,,,
2016-03-03,-12.3,-2.6,-20.4,0.0,7.3,,78,3,1.4,,,,,
2016-03-04,-11.2,-2.8,-21.8,0.0,8.5,,78,0,1.4,,,,,
2016-03-05,-11.0,-2.3,-19.4,0.0,8.0,,77,5,1.3,,,,,
2016-03-06,-1.1,6.2,-17.6,0.0,0.0,,77,2,5.2,,,,,
2016-03-07,4.5,8.8,-2.0,0.0,8.7,,69,2,4.7,,,,,
2016-03-08,2.3,7.6,-3.7,0.0,3.6,,61,1,3.9,,,,,
2016-03-09,-2.6,0.7,-10.4,0.0,6.9,,57,1,4.5,,,,,
2016-03-10,-6.4,1.4,-14.8,0.0,9.0,,56,1,1.4,,,,,
2016-03-11,-7.3,1.1,-14.4,0.0,6.9,,56,2,1.8,,,,,
2016-03-12,-8.0,-0.6,-16.0,0.0,5.1,,56,3,1.2,,,,,
2016-03-13,-4.2,4.2,-15.0,0.0,9.6,,56,0,1.8,,,,,
2016-03-14,-0.7,9.3,-8.5,0.0,8.4,,55,1,1.2,,,,,
2016-03-15,-2.2,-0.4,-4.1,0.0,7.0,,54,3,3.5,,,,,
2016-03-16,1.7,10.3,-11.0,0.0,9.1,,53,0,3.7,,,,,
2016-03-17,3.7,8.3,-3.7,0.0,7.9,,47,0,3.0,,,,,
2016-03-18,1.9,9.7,-4.6,0.0,5.6,,44,0,1.1,,,,,
2016-03-19,1.3,4.4,-1.6,4.5,0.0,,41,4,1.6,,,,,
2016-03-20,-2.0,-0.4,-3.9,0.0,3.4,,44,6,4.9,,,,,
2016-03-21,-1.2,2.4,-4.6,0.0,7.6,,43,0,3.6,,,,,
2016-03-22,-0.3,4.7,-7.0,0.0,10.3,,41,0,3.7,,,,,
2016-03-23,-2.0,1.1,-6.6,0.5,2.2,,41,8,1.6,,,,,
2016-03-24,-2.6,0.5,-6.0,0.0,4.1,,40,4,2.1,,,,,
2016-03-25,-3.4,-0.5,-7.6,0.0,4.1,,41,5,1.8,,,,,
2016-03-26,-3.5,0.3,-8.2,0.0,6.4,,39,0,1.8,,,,,
2016-03-27,0.9,10.9,-9.3,0.0,11.5,,37,0,1.1,,,,,
2016-03-28,0.4,6.9,-5.6,1.0,8.5,,33,1,1.9,,,,,
2016-03-29,1.1,8.3,-8.3,0.0,11.4,,28,0,1.4,,,,,
2016-03-30,5.9,9.0,2.3,0.5,7.0,,26,0,4.6,,,,,
2016-03-31,2.5,7.3,-2.1,1.5,4.8,,20,1,1.7,,,,,
2016-04-01,0.2,2.2,-1.3,0.0,1.5,,18,1,2.3,,,,,
2016-04-02,2.8,7.7,-3.1,0.0,10.4,,16,0,4.0,,,,,
2016-04-03,5.5,10.8,0.2,0.0,1.5,,8,0,5.1,,,,,
2016-04-04,3.8,11.0,-2.5,0.0,8.7,,0,0,1.3,,,,,
2016-04-05,5.8,13.0,-5.1,0.0,10.6,,0,0,3.4,,,,,
2016-04-06,6.2,10.0,-0.4,0.0,9.4,,0,0,4.6,,,,,
2016-04-07,9.1,14.5,3.8,0.5,8.6,,0,0,3.6,,,,,
2016-04-08,8.0,12.7,3.7,2.0,3.2,,0,0,2.6,,,,,
2016-04-09,3.9,9.4,-1.9,0.0,5.4,,0,0,5.1,,,,,
2016-04-10,3.7,8.2,-2.7,0.0,8.7,,0,0,4.0,,,,,
2016-04-11,-0.2,4.2,-3.5,2.0,3.2,,11,11,4.0,,,,,
2016-04-12,1.7,6.8,-3.3,0.5,6.8,,15,4,2.7,,,,,
