calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.8,-2.0,-11.4,0.0,2.0,,,,3.5,,,,,
2016-01-02,-2.4,1.8,-7.0,0.0,2.0,,,,3.6,,,,,
2016-01-03,-3.1,-1.0,-8.5,2.0,0.6,,,,2.6,,,,,
2016-01-04,-5.2,-1.4,-14.6,0.0,2.1,,,,3.6,,,,,
2016-01-05,-7.6,-4.0,-13.2,0.0,2.6,,,,3.8,,,,,
2016-01-06,-5.7,-0.5,-13.6,0.5,1.7,,,,2.7,,,,,
2016-01-07,-6.4,-3.1,-15.9,0.5,0.8,,,,2.9,,,,,
2016-01-08,-6.4,-1.8,-13.7,0.0,3.3,,,,3.1,,,,,
2016-01-09,-8.7,-3.5,-14.7,0.0,0.7,,,,3.0,,,,,
2016-01-10,-6.6,-3.6,-12.2,0.5,2.2,,,,3.0,,,,,
2016-01-11,-9.0,-6.9,-12.0,1.0,1.2,,,,3.0,,,,,
2016-01-12,-9.6,-5.4,-13.8,0.0,0.8,,,,2.2,,,,,
2016-01-13,-9.9,-4.0,-14.0,0.0,2.6,,,,3.0,,,,,
2016-01-14,-6.5,-2.8,-11.7,2.5,0.9,,,,5.0,,,,,
2016-01-15,-10.4,-5.6,-16.6,0.5,6.1,,,,2.9,,,,,
2016-01-16,-11.9,-5.2,-15.9,0.0,7.2,,,,4.9,,,,,
2016-01-17,-9.2,-4.3,-12.9,0.0,3.5,,,,3.5,,,,,
2016-01-18,-8.3,-2.2,-14.6,1.0,2.9,,,,4.8,,,,,
2016-01-19,-1.3,-0.9,-2.7,7.0,0.0,,,,10.5,,,,,
2016-01-20,-2.1,-0.9,-3.5,9.0,0.0,,,,11.4,,,,,
2016-01-21,-3.7,-2.6,-5.0,0.5,0.4,,,,6.5,,,,,
2016-01-22,-1.9,0.6,-4.4,2.5,2.1,,,,4.8,,,,,
2016-01-23,-4.5,-2.2,-8.0,3.0,0.0,,,,3.3,,,,,
2016-01-24,-8.0,-4.8,-10.7,0.5,2.8,,,,4.5,,,,,
2016-01-25,-10.9,-6.9,-17.2,0.0,5.5,,,,3.4,,,,,
2016-01-26,-4.8,2.4,-12.5,0.0,5.1,,,,2.8,,,,,
2016-01-27,-4.0,-0.9,-9.4,1.0,5.0,,,,3.2,,,,,
2016-01-28,-7.6,-4.1,-17.6,0.0,3.2,,,,4.4,,,,,
2016-01-29,-10.9,-7.3,-17.3,0.0,0.4,,,,2.5,,,,,
2016-01-30,-12.6,-6.9,-18.2,0.0,8.2,,,,3.0,,,,,
