calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.3,2.1,-4.7,0.0,3.4,6.79,11,,2.9,4.1,1016.7,69,1022.3,9.5
2016-01-02,3.7,5.7,0.4,2.0,0.6,3.01,9,,4.0,6.0,1008.4,75,1013.9,10.0
2016-01-03,1.3,4.5,-1.5,0.0,2.7,5.26,2,,4.6,4.3,1009.1,63,1014.7,8.8
2016-01-04,-0.9,1.0,-3.9,0.0,0.6,3.90,2,,2.9,3.9,1007.9,68,1013.4,9.0
2016-01-05,-3.0,-0.7,-4.4,7.0,2.8,6.20,14,15,3.9,3.8,1010.0,79,1015.6,9.3
2016-01-06,-1.5,0.6,-3.7,7.0,0.5,3.84,27,17,3.5,4.8,1009.4,87,1014.9,10.0
2016-01-07,-2.4,-1.1,-3.3,1.0,1.0,4.83,26,,4.3,3.7,1005.3,73,1010.9,9.5
2016-01-08,-2.3,0.1,-5.0,6.5,1.2,4.47,31,14,2.6,4.6,1005.4,89,1011.0,10.0
2016-01-09,-2.9,-1.0,-4.7,0.0,2.6,6.90,28,1,3.5,3.8,1010.1,77,1015.7,9.0
2016-01-10,-3.2,0.4,-7.0,6.5,2.1,6.52,34,13,4.0,4.0,1008.0,83,1013.6,9.3
2016-01-11,-6.6,-4.6,-7.9,1.5,1.5,6.45,32,2,3.5,2.8,1011.4,76,1017.1,9.5
2016-01-12,-5.2,-2.2,-7.3,2.0,3.0,6.65,29,4,3.2,3.3,1008.0,80,1013.6,9.8
2016-01-13,-3.4,0.2,-7.0,1.5,5.5,8.58,27,3,2.0,3.8,1005.1,79,1010.7,7.5
2016-01-14,-3.4,0.7,-7.7,2.5,7.2,8.67,29,3,5.0,3.5,1005.4,73,1011.0,5.8
2016-01-15,-4.5,-1.1,-8.5,2.0,3.5,7.65,31,6,2.8,3.5,1010.6,81,1016.3,5.8
2016-01-16,-5.8,-2.4,-9.3,0.5,4.0,6.87,27,,2.9,3.0,1012.6,76,1018.3,6.8
2016-01-17,-5.3,-0.6,-10.6,0.0,4.2,8.32,25,,2.2,3.0,1016.9,74,1022.6,4.3
2016-01-18,-1.1,1.7,-6.8,19.5,0.0,1.53,44,21,6.2,4.8,1005.5,84,1011.1,10.0
2016-01-19,-0.7,0.3,-2.4,3.5,0.0,2.89,47,3,2.4,5.4,991.8,92,997.2,10.0
2016-01-20,-0.2,2.5,-2.7,0.0,6.1,8.61,43,,4.8,4.2,1000.6,70,1006.1,5.8
2016-01-21,-1.9,1.2,-6.3,0.5,6.1,8.95,39,,3.9,3.7,1009.0,70,1014.5,4.3
2016-01-22,-2.9,1.6,-7.4,0.0,7.3,9.99,37,1,3.2,3.7,1010.9,74,1016.5,7.3
2016-01-23,-4.0,-1.0,-8.5,0.0,4.4,8.55,36,1,2.5,3.5,1010.2,78,1015.8,10.0
2016-01-24,-2.4,2.1,-5.1,0.0,4.8,8.02,35,1,2.5,3.7,996.7,72,1002.2,8.8
