calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.1,1.6,-3.5,0.0,0.3,,,,1.4,,,,,
2016-01-02,3.2,6.0,-0.5,2.5,0.0,,,,1.8,,,,,
2016-01-03,1.9,4.7,-1.5,0.0,2.5,,,,2.3,,,,,
2016-01-04,-0.5,1.0,-2.9,1.0,0.2,,,,1.1,,,,,
2016-01-05,-2.2,-0.4,-3.2,,0.3,,,,2.1,,,,,
2016-01-06,-1.0,0.2,-2.6,,0.1,,,,1.9,,,,,
2016-01-07,-2.2,-0.9,-3.2,,0.7,,,,1.9,,,,,
2016-01-08,-1.6,0.6,-3.0,15.5,0.9,,,,1.7,,,,,
2016-01-09,-2.5,-1.0,-3.6,3.0,2.4,,,,1.7,,,,,
2016-01-10,-2.8,0.8,-6.6,11.0,1.7,,,,,,,,,
2016-01-11,-6.4,-5.2,-7.2,6.0,0.5,,,,1.8,,,,,
2016-01-12,-4.8,-2.5,-6.6,5.5,0.0,,,,1.8,,,,,
2016-01-13,-3.4,-0.2,-6.5,2.5,4.3,,,,1.2,,,,,
2016-01-14,-3.6,-1.2,-6.8,4.0,0.9,,,,2.0,,,,,
2016-01-15,-4.9,-0.8,-9.4,1.0,4.0,,,,1.5,,,,,
2016-01-16,-4.8,-2.7,-8.3,3.0,0.0,,,,1.5,,,,,
2016-01-17,-4.6,-0.9,-7.2,4.5,2.8,,,,1.0,,,,,
2016-01-18,0.0,4.2,-7.2,18.0,0.0,,,,7.2,,,,,
2016-01-19,-0.1,1.9,-2.8,12.5,0.0,,,,2.9,,,,,
2016-01-20,-1.3,2.2,-5.5,0.0,7.0,,,,1.6,,,,,
2016-01-21,-2.8,1.6,-6.5,4.5,6.1,,,,1.3,,,,,
2016-01-22,-2.8,0.6,-5.8,8.5,4.9,,,,,,,,,
