calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,3.7,-1.2,0.0,0.0,,3,0,2.4,,,,,
2016-01-02,4.5,5.5,2.2,9.5,0.0,,2,0,4.4,,,,,
2016-01-03,1.0,2.9,-0.4,0.0,1.2,,0,0,3.2,,,,,
2016-01-04,-0.9,0.3,-2.3,0.0,0.0,,0,0,2.2,,,,,
2016-01-05,-3.0,-1.5,-4.4,3.5,0.6,,3,4,3.9,,,,,
2016-01-06,-0.6,1.4,-2.8,0.0,0.6,,2,1,4.6,,,,,
2016-01-07,-2.4,-1.0,-3.4,0.0,0.0,,2,0,4.0,,,,,
2016-01-08,-1.3,0.4,-2.9,0.5,0.5,,2,1,3.5,,,,,
2016-01-09,-2.2,0.2,-4.4,0.0,0.2,,2,0,3.8,,,,,
2016-01-10,-3.1,0.1,-7.5,1.5,1.1,,5,5,3.9,,,,,
2016-01-11,-7.2,-6.2,-8.1,4.0,0.0,,15,13,3.3,,,,,
2016-01-12,-5.5,-3.6,-7.0,3.0,0.0,,20,8,3.1,,,,,
2016-01-13,-3.1,-0.9,-5.9,6.5,2.3,,27,11,2.4,,,,,
2016-01-14,-3.4,-1.8,-4.7,5.0,0.3,,33,7,3.0,,,,,
2016-01-15,-3.3,-1.6,-4.4,5.0,0.2,,34,7,3.1,,,,,
2016-01-16,-4.0,-2.5,-4.8,1.5,0.4,,29,1,2.9,,,,,
2016-01-17,-4.2,-2.2,-7.0,10.5,0.2,,41,15,1.6,,,,,
2016-01-18,-0.4,1.7,-5.5,0.5,0.0,,37,0,6.0,,,,,
2016-01-19,0.3,1.5,-1.1,0.0,0.0,,25,1,5.2,,,,,
2016-01-20,0.5,3.3,-2.8,0.0,5.1,,23,0,2.5,,,,,
2016-01-21,-1.3,0.8,-3.1,3.5,4.0,,31,12,2.0,,,,,
2016-01-22,-2.4,1.0,-4.0,7.0,3.4,,41,14,2.4,,,,,
2016-01-23,-3.0,-1.0,-6.1,1.5,0.2,,38,5,2.9,,,,,
2016-01-24,-2.0,1.8,-5.3,2.5,1.1,,39,4,2.9,,,,,
2016-01-25,-3.3,-0.3,-6.5,1.5,3.5,,40,7,3.1,,,,,
2016-01-26,1.7,3.6,-0.6,0.5,0.2,,37,0,5.9,,,,,
2016-01-27,0.3,3.5,-1.4,1.0,2.9,,27,1,4.8,,,,,
2016-01-28,-2.0,1.0,-4.0,1.0,1.7,,30,6,3.9,,,,,
2016-01-29,-4.2,-3.2,-6.4,0.0,0.2,,26,0,2.4,,,,,
2016-01-30,-4.1,-1.7,-6.1,2.5,0.6,,31,7,2.2,,,,,
