calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.2,0.0,-6.0,1.0,1.1,,10,5,1.6,,,,,
2016-01-02,0.6,3.7,-4.2,8.0,0.1,,14,8,1.9,,,,,
2016-01-03,-2.9,1.3,-8.6,0.0,3.7,,8,0,1.9,,,,,
2016-01-04,-5.1,-0.5,-9.7,0.0,0.4,,9,3,1.7,,,,,
2016-01-05,-5.5,-3.2,-8.4,0.0,0.4,,9,0,1.7,,,,,
2016-01-06,-3.3,0.7,-6.4,1.5,1.6,,16,11,1.5,,,,,
2016-01-07,-3.9,-1.8,-6.0,0.0,2.3,,15,2,1.6,,,,,
2016-01-08,-3.3,0.0,-6.1,0.0,1.8,,12,4,1.4,,,,,
2016-01-09,-4.7,-2.0,-7.4,0.0,3.4,,15,3,1.6,,,,,
2016-01-10,-5.3,-0.8,-8.6,1.0,2.2,,17,9,1.8,,,,,
2016-01-11,-8.6,-6.3,-11.9,1.0,0.8,,18,3,1.2,,,,,
2016-01-12,-8.3,-4.4,-11.9,0.0,1.0,,17,1,1.4,,,,,
2016-01-13,-5.6,-0.9,-11.5,3.5,4.3,,23,8,1.6,,,,,
2016-01-14,-4.7,-2.2,-7.2,7.0,6.3,,41,20,3.0,,,,,
2016-01-15,-6.0,-2.5,-11.7,2.5,2.9,,41,5,1.6,,,,,
2016-01-16,-7.2,-2.5,-12.5,2.0,2.9,,38,6,1.7,,,,,
2016-01-17,-8.1,-1.2,-14.0,1.0,6.3,,37,4,1.6,,,,,
2016-01-18,-2.2,1.5,-12.1,0.5,0.0,,34,1,5.0,,,,,
2016-01-19,-2.0,-0.2,-3.6,3.0,0.0,,35,5,2.2,,,,,
2016-01-20,-0.5,1.7,-2.6,2.5,6.4,,38,7,3.6,,,,,
2016-01-21,-2.5,0.0,-7.3,4.0,4.7,,45,9,2.9,,,,,
2016-01-22,-4.2,0.1,-9.4,2.0,5.6,,47,6,1.6,,,,,
2016-01-23,-8.3,-1.7,-14.7,0.0,6.9,,44,0,1.8,,,,,
2016-01-24,-5.2,-0.3,-10.9,0.0,4.0,,43,7,1.7,,,,,
2016-01-25,-6.9,-3.0,-13.4,1.5,1.0,,46,9,1.6,,,,,
2016-01-26,-1.9,1.9,-6.9,1.0,1.2,,44,2,1.6,,,,,
2016-01-27,-1.9,0.9,-4.5,1.5,5.5,,47,8,2.1,,,,,
2016-01-28,-4.3,-1.1,-7.6,0.0,3.8,,42,3,2.5,,,,,
2016-01-29,-5.7,-3.3,-9.3,0.0,1.8,,41,0,2.4,,,,,
2016-01-30,-6.6,-1.8,-10.4,0.0,4.0,,41,3,1.3,,,,,
2016-01-31,-7.3,-3.8,-10.4,0.0,4.6,,42,5,2.0,,,,,
2016-02-01,-7.4,-4.4,-10.6,0.5,3.7,,44,6,1.8,,,,,
2016-02-02,-6.7,-2.9,-12.0,0.5,3.9,,45,6,1.8,,,,,
2016-02-03,-4.8,-0.7,-9.1,0.5,2.0,,47,6,1.4,,,,,
2016-02-04,-2.1,2.3,-5.6,2.0,3.1,,43,3,1.4,,,,,
2016-02-05,-3.7,-0.6,-8.3,0.0,2.1,,44,7,2.0,,,,,
2016-02-06,-7.3,-2.4,-12.7,0.0,7.0,,41,0,2.0,,,,,
2016-02-07,-5.6,-3.0,-11.8,4.0,3.4,,52,15,1.7,,,,,
2016-02-08,-3.7,2.1,-12.8,0.0,8.4,,50,0,2.1,,,,,
2016-02-09,1.0,3.1,-1.7,5.0,3.9,,50,11,3.5,,,,,
2016-02-10,-2.6,-0.8,-4.8,9.0,2.7,,60,17,3.8,,,,,
2016-02-11,-3.7,2.2,-9.0,0.0,7.3,,54,2,1.5,,,,,
2016-02-12,-2.0,4.2,-9.7,0.0,2.1,,51,0,1.6,,,,,
2016-02-13,2.6,6.6,0.5,7.0,0.2,,48,2,1.3,,,,,
2016-02-14,2.2,5.9,-2.2,15.5,0.0,,43,4,3.0,,,,,
2016-02-15,-7.7,-2.2,-12.4,2.5,1.1,,42,6,2.1,,,,,
2016-02-16,-6.6,-2.6,-12.9,2.0,1.8,,45,7,1.5,,,,,
2016-02-17,-5.6,-3.5,-13.4,3.5,1.4,,49,7,1.8,,,,,
2016-02-18,-1.0,4.0,-6.7,4.5,2.6,,52,7,1.5,,,,,
2016-02-19,1.1,4.6,-3.9,1.0,0.3,,42,2,2.5,,,,,
2016-02-20,0.6,3.2,-5.3,5.0,2.5,,43,4,1.9,,,,,
2016-02-21,-0.5,2.2,-5.9,6.5,1.1,,47,16,3.3,,,,,
2016-02-22,-3.9,-0.8,-6.5,0.5,3.1,,48,2,2.5,,,,,
2016-02-23,-1.9,2.6,-6.2,6.0,2.5,,52,14,2.3,,,,,
2016-02-24,-6.9,-4.2,-10.7,3.5,2.4,,55,13,2.9,,,,,
2016-02-25,-8.1,-3.2,-12.7,0.0,2.8,,53,3,1.3,,,,,
2016-02-26,-7.3,-1.8,-13.5,0.5,5.4,,52,2,2.0,,,,,
2016-02-27,-5.8,-1.4,-11.0,2.5,6.3,,57,8,2.2,,,,,
2016-02-28,-4.6,0.5,-14.2,0.0,9.9,,52,1,2.6,,,,,
2016-02-29,1.3,6.7,-3.3,8.0,2.0,,59,10,8.5,,,,,
2016-03-01,-2.9,0.4,-8.1,10.0,3.2,,68,21,5.4,,,,,
2016-03-02,-5.3,-0.7,-10.5,0.0,4.3,,67,2,1.5,,,,,
2016-03-03,-1.3,3.3,-6.6,3.0,3.1,,65,5,1.9,,,,,
2016-03-04,-2.8,2.1,-7.7,0.0,7.7,,59,1,1.7,,,,,
2016-03-05,-1.7,3.1,-9.2,0.0,10.3,,57,1,2.9,,,,,
2016-03-06,4.1,5.4,2.0,37.0,0.0,,55,1,4.7,,,,,
2016-03-07,3.0,6.8,-1.0,0.0,5.2,,48,0,2.1,,,,,
2016-03-08,1.6,5.9,-2.2,0.0,3.7,,42,0,2.6,,,,,
2016-03-09,-1.5,1.8,-8.0,0.0,6.1,,39,0,3.1,,,,,
2016-03-10,-4.0,1.4,-8.6,0.5,5.1,,40,2,1.4,,,,,
2016-03-11,-4.3,0.8,-9.0,0.5,6.9,,40,9,1.9,,,,,
2016-03-12,-3.5,2.6,-9.8,0.0,5.7,,39,2,1.6,,,,,
2016-03-13,-2.5,2.1,-7.7,0.0,0.0,,37,2,2.5,,,,,
2016-03-14,-0.3,5.6,-6.4,0.0,5.4,,36,1,1.6,,,,,
2016-03-15,-0.3,3.1,-4.8,0.0,5.7,,32,0,2.7,,,,,
2016-03-16,3.3,8.4,-6.3,0.0,6.2,,30,0,4.7,,,,,
2016-03-17,5.6,12.8,-1.8,0.0,10.9,,21,0,2.0,,,,,
2016-03-18,4.6,10.4,-0.4,0.0,7.4,,16,0,1.6,,,,,
2016-03-19,3.7,7.1,-0.2,2.5,0.1,,11,1,2.5,,,,,
2016-03-20,1.3,5.0,-4.1,0.0,4.6,,6,1,3.3,,,,,
2016-03-21,0.1,5.1,-4.6,0.0,9.0,,0,0,2.6,,,,,
2016-03-22,0.4,7.6,-6.6,0.0,10.1,,0,0,2.5,,,,,
2016-03-23,1.6,5.6,-2.9,0.0,2.5,,0,0,2.6,,,,,
2016-03-24,-0.6,4.3,-4.6,6.0,3.5,,4,4,2.1,,,,,
2016-03-25,0.0,5.5,-6.5,1.5,5.3,,3,3,2.3,,,,,
2016-03-26,1.8,7.9,-4.2,0.0,6.6,,0,0,1.7,,,,,
2016-03-27,4.4,11.0,-2.9,0.0,9.9,,0,0,2.6,,,,,
2016-03-28,5.0,10.1,-2.4,0.0,9.3,,0,0,2.9,,,,,
2016-03-29,3.1,7.1,-3.3,0.0,4.6,,0,0,1.8,,,,,
2016-03-30,5.2,8.6,-0.9,7.5,2.8,,0,0,3.9,,,,,
2016-03-31,4.1,11.0,-1.3,0.0,8.8,,0,0,2.0,,,,,
2016-04-01,4.4,8.8,-1.8,0.0,11.7,,0,0,3.6,,,,,
2016-04-02,4.4,5.1,3.5,0.0,0.0,,0,0,7.4,,,,,
2016-04-03,6.7,10.5,4.6,11.0,1.2,,0,0,3.5,,,,,
2016-04-04,3.9,10.0,-1.5,0.0,6.9,,0,0,1.9,,,,,
2016-04-05,4.9,13.6,-4.0,1.0,9.9,,0,0,3.9,,,,,
2016-04-06,6.6,13.1,-1.2,0.0,12.1,,0,0,3.4,,,,,
2016-04-07,5.0,9.2,-1.7,6.0,0.2,,0,0,2.1,,,,,
2016-04-08,5.7,11.4,-2.1,2.0,2.1,,0,0,2.2,,,,,
2016-04-09,4.2,11.9,-2.9,0.0,9.7,,0,0,3.7,,,,,
2016-04-10,2.6,8.3,-3.0,0.0,11.2,,0,0,2.3,,,,,
2016-04-11,2.2,6.9,-2.9,0.0,7.3,,0,0,3.2,,,,,
2016-04-12,5.9,11.2,-1.6,0.0,8.4,,0,0,2.6,,,,,
2016-04-13,5.5,9.3,0.7,13.5,0.5,,0,0,1.5,,,,,
2016-04-14,7.4,9.2,5.6,9.0,0.0,,0,0,1.3,,,,,
2016-04-15,4.5,6.7,3.3,2.5,4.2,,0,0,5.5,,,,,
2016-04-16,5.2,9.8,-1.1,0.0,7.1,,0,0,1.7,,,,,
2016-04-17,6.7,8.7,3.8,24.5,0.0,,0,0,3.3,,,,,
2016-04-18,6.3,10.0,3.8,4.0,2.2,,0,0,4.8,,,,,
2016-04-19,4.1,7.3,-0.7,0.5,1.4,,0,0,1.8,,,,,
2016-04-20,7.1,14.3,-1.5,0.0,10.1,,0,0,3.8,,,,,
2016-04-21,12.1,19.2,3.8,0.0,10.6,,0,0,3.5,,,,,
2016-04-22,9.4,13.9,6.2,0.0,6.0,,0,0,1.9,,,,,
2016-04-23,6.9,8.6,3.7,13.0,0.0,,0,0,3.1,,,,,
2016-04-24,7.1,15.4,0.2,0.0,9.1,,0,0,2.0,,,,,
2016-04-25,8.0,15.4,1.2,0.0,11.8,,0,0,2.0,,,,,
2016-04-26,7.3,14.1,3.1,0.0,5.3,,0,0,2.4,,,,,
2016-04-27,6.2,10.9,0.8,0.0,13.4,,0,0,2.2,,,,,
2016-04-28,6.2,8.4,3.6,7.0,0.0,,0,0,4.2,,,,,
2016-04-29,5.8,9.7,2.6,4.0,0.6,,0,0,4.5,,,,,
2016-04-30,4.5,8.9,0.5,2.0,6.1,,0,0,3.6,,,,,
2016-05-01,4.3,8.8,-1.0,0.0,5.3,,0,0,1.7,,,,,
2016-05-02,6.1,9.7,-0.6,0.0,6.3,,0,0,1.7,,,,,
2016-05-03,9.5,11.6,7.9,0.0,2.6,,0,0,3.3,,,,,
2016-05-04,10.3,14.6,7.8,14.0,0.0,,0,0,3.2,,,,,
2016-05-05,11.6,16.2,8.7,2.0,7.3,,0,0,4.1,,,,,
2016-05-06,9.5,14.4,4.4,0.5,3.5,,0,0,1.8,,,,,
2016-05-07,10.2,16.6,8.4,11.5,5.7,,0,0,4.1,,,,,
2016-05-08,13.6,19.3,4.0,0.0,11.2,,0,0,4.4,,,,,
2016-05-09,10.2,16.8,2.0,0.0,9.4,,0,0,1.7,,,,,
2016-05-10,9.5,14.2,4.2,9.5,0.9,,0,0,1.5,,,,,
2016-05-11,8.5,9.8,7.7,44.0,0.0,,0,0,3.1,,,,,
2016-05-12,9.4,14.5,4.5,2.5,5.1,,0,0,2.3,,,,,
2016-05-13,10.0,16.5,2.7,0.0,11.6,,0,0,2.0,,,,,
2016-05-14,11.6,19.6,4.0,0.0,13.0,,0,0,2.2,,,,,
2016-05-15,9.7,13.6,3.1,0.0,6.0,,0,0,4.4,,,,,
2016-05-16,9.9,11.2,8.7,2.5,0.0,,0,0,5.6,,,,,
2016-05-17,13.4,19.4,9.1,0.5,10.4,,0,0,3.2,,,,,
2016-05-18,14.2,23.7,5.8,0.0,13.1,,0,0,2.0,,,,,
2016-05-19,10.9,15.9,5.2,0.0,12.5,,0,0,2.0,,,,,
2016-05-20,9.7,15.9,4.4,0.0,7.7,,0,0,1.4,,,,,
2016-05-21,12.3,20.2,4.0,0.0,13.7,,0,0,1.6,,,,,
2016-05-22,13.9,21.0,5.0,0.0,13.9,,0,0,2.1,,,,,
2016-05-23,15.9,25.1,9.0,0.0,9.7,,0,0,2.5,,,,,
2016-05-24,13.1,17.1,11.5,0.0,2.5,,0,0,3.0,,,,,
2016-05-25,13.9,18.4,11.4,0.0,0.2,,0,0,2.6,,,,,
2016-05-26,15.1,20.7,10.7,0.0,3.8,,0,0,1.9,,,,,
2016-05-27,14.5,20.9,5.0,0.0,10.6,,0,0,2.7,,,,,
2016-05-28,15.3,22.7,4.1,0.0,10.5,,0,0,4.5,,,,,
2016-05-29,13.3,22.7,4.9,0.0,12.8,,0,0,1.9,,,,,
2016-05-30,12.4,15.3,10.4,0.0,1.7,,0,0,3.2,,,,,
2016-05-31,12.1,14.7,10.6,4.5,0.0,,0,0,2.3,,,,,
2016-06-01,11.9,17.8,9.4,0.0,5.5,,0,0,3.4,,,,,
2016-06-02,10.4,14.8,4.1,0.0,4.2,,0,0,3.6,,,,,
2016-06-03,11.4,18.3,3.7,0.0,4.5,,0,0,1.8,,,,,
2016-06-04,12.9,18.1,10.0,5.0,0.3,,0,0,2.6,,,,,
2016-06-05,12.9,18.9,6.8,0.0,13.6,,0,0,3.5,,,,,
2016-06-06,12.6,21.2,4.4,0.0,12.1,,0,0,1.8,,,,,
2016-06-07,13.7,19.6,7.3,0.0,11.5,,0,0,1.6,,,,,
2016-06-08,13.7,14.8,10.9,7.5,0.0,,0,0,1.7,,,,,
2016-06-09,14.5,16.6,13.0,4.0,0.0,,0,0,1.5,,,,,
2016-06-10,14.4,18.1,10.3,0.0,5.6,,0,0,2.4,,,,,
2016-06-11,14.6,19.7,10.3,0.0,7.3,,0,0,1.9,,,,,
2016-06-12,12.8,15.7,9.3,0.0,0.4,,0,0,3.9,,,,,
2016-06-13,13.5,14.3,12.1,42.0,0.0,,0,0,3.4,,,,,
2016-06-14,13.4,13.7,12.9,10.5,0.0,,0,0,4.7,,,,,
2016-06-15,13.6,15.6,12.8,0.0,0.0,,0,0,3.9,,,,,
2016-06-16,13.0,13.6,12.4,10.5,0.0,,0,0,4.2,,,,,
2016-06-17,14.1,15.9,13.3,60.0,0.0,,0,0,1.7,,,,,
2016-06-18,15.1,19.4,11.1,0.0,13.2,,0,0,3.0,,,,,
2016-06-19,13.1,15.5,10.2,0.5,0.0,,0,0,2.1,,,,,
2016-06-20,14.4,15.8,13.6,45.0,0.0,,0,0,1.4,,,,,
2016-06-21,14.2,15.3,13.7,5.5,0.0,,0,0,1.3,,,,,
2016-06-22,16.0,19.6,12.1,0.0,12.0,,0,0,1.6,,,,,
2016-06-23,14.3,18.0,12.7,0.0,0.5,,0,0,2.2,,,,,
2016-06-24,13.0,13.6,12.5,2.5,0.0,,0,0,4.2,,,,,
2016-06-25,14.2,17.1,13.0,41.0,0.0,,0,0,7.0,,,,,
2016-06-26,15.1,19.4,13.3,1.5,1.7,,0,0,3.3,,,,,
2016-06-27,15.9,22.3,11.5,0.0,8.0,,0,0,2.2,,,,,
2016-06-28,15.0,19.9,9.7,0.0,13.4,,0,0,1.5,,,,,
2016-06-29,15.2,18.8,9.7,0.0,11.8,,0,0,1.5,,,,,
2016-06-30,15.7,17.9,14.2,0.0,0.0,,0,0,1.7,,,,,
2016-07-01,17.8,21.5,15.6,0.0,7.6,,0,0,1.5,,,,,
2016-07-02,17.6,19.5,15.8,78.0,0.0,,0,0,2.8,,,,,
2016-07-03,18.3,22.6,15.8,0.0,4.2,,0,0,2.8,,,,,
2016-07-04,16.2,20.3,11.8,0.0,10.7,,0,0,3.8,,,,,
2016-07-05,15.1,19.3,10.4,0.0,9.7,,0,0,2.6,,,,,
2016-07-06,14.6,16.9,13.6,2.5,0.1,,0,0,3.9,,,,,
2016-07-07,16.0,19.3,13.4,0.0,7.0,,0,0,1.9,,,,,
2016-07-08,16.9,23.0,12.0,0.0,8.3,,0,0,3.0,,,,,
2016-07-09,17.1,20.9,11.8,0.5,0.5,,0,0,1.3,,,,,
2016-07-10,18.5,22.9,16.2,0.0,3.2,,0,0,2.2,,,,,
2016-07-11,18.2,24.6,14.0,0.0,10.9,,0,0,3.1,,,,,
2016-07-12,19.1,26.8,11.6,0.0,14.0,,0,0,2.2,,,,,
2016-07-13,18.2,21.5,15.7,0.0,7.5,,0,0,2.6,,,,,
2016-07-14,17.0,17.7,16.1,0.5,0.0,,0,0,4.2,,,,,
2016-07-15,18.4,22.7,16.0,0.0,3.2,,0,0,1.3,,,,,
2016-07-16,19.2,22.6,16.7,0.0,8.9,,0,0,1.5,,,,,
2016-07-17,17.3,17.9,17.0,5.0,0.0,,0,0,2.7,,,,,
2016-07-18,17.8,19.0,17.1,1.0,0.0,,0,0,1.8,,,,,
2016-07-19,19.2,24.4,17.3,1.5,1.2,,0,0,2.0,,,,,
2016-07-20,19.3,23.5,15.0,0.0,5.6,,0,0,1.9,,,,,
2016-07-21,18.4,21.7,13.7,0.0,7.8,,0,0,1.8,,,,,
2016-07-22,18.9,22.0,17.3,0.0,3.7,,0,0,2.8,,,,,
2016-07-23,17.8,21.4,16.7,0.0,1.3,,0,0,3.4,,,,,
2016-07-24,17.4,19.8,16.3,0.0,0.8,,0,0,4.2,,,,,
2016-07-25,18.4,22.1,16.6,1.0,1.3,,0,0,3.6,,,,,
2016-07-26,18.5,19.6,17.3,1.0,0.0,,0,0,3.0,,,,,
2016-07-27,18.8,19.2,18.5,39.0,0.0,,0,0,4.9,,,,,
2016-07-28,20.3,21.4,18.9,30.5,0.0,,0,0,0.8,,,,,
2016-07-29,20.7,23.3,19.9,21.0,0.5,,0,0,1.5,,,,,
2016-07-30,20.4,23.3,19.4,0.0,0.8,,0,0,2.6,,,,,
2016-07-31,20.5,23.1,19.5,0.5,0.4,,0,0,2.1,,,,,
2016-08-01,21.5,23.7,20.3,0.5,0.0,,0,0,1.6,,,,,
2016-08-02,23.6,28.5,20.1,0.0,10.2,,0,0,1.8,,,,,
2016-08-03,23.0,26.9,20.4,0.0,4.7,,0,0,1.9,,,,,
2016-08-04,23.1,29.1,18.2,0.0,11.4,,0,0,2.8,,,,,
2016-08-05,21.4,28.4,15.3,0.5,8.2,,0,0,2.1,,,,,
2016-08-06,21.5,28.4,14.0,0.0,13.2,,0,0,1.7,,,,,
2016-08-07,21.8,25.4,17.2,0.0,6.5,,0,0,2.0,,,,,
2016-08-08,23.0,25.4,21.9,0.0,0.4,,0,0,2.3,,,,,
2016-08-09,22.9,27.4,18.0,0.5,9.2,,0,0,4.0,,,,,
2016-08-10,21.7,27.1,16.0,0.0,10.2,,0,0,2.6,,,,,
2016-08-11,20.1,25.6,15.3,0.0,12.1,,0,0,1.5,,,,,
2016-08-12,21.0,25.0,16.8,0.0,7.4,,0,0,1.6,,,,,
2016-08-13,21.7,25.1,17.4,0.0,6.9,,0,0,3.1,,,,,
