calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.9,1.7,-4.1,0.5,0.1,,,,4.0,,,,,
2016-01-02,0.7,2.2,-0.8,10.5,0.0,,,,4.9,,,,,
2016-01-03,-1.5,-0.5,-3.0,0.0,0.2,,,,6.4,,,,,
2016-01-04,-3.0,-1.2,-4.8,0.5,0.0,,,,6.5,,,,,
2016-01-05,-4.7,-2.8,-6.1,2.0,0.2,,,,7.5,,,,,
2016-01-06,-3.7,-2.0,-5.3,0.5,0.0,,,,7.9,,,,,
2016-01-07,-4.1,-2.2,-5.2,1.0,0.0,,,,6.2,,,,,
2016-01-08,-3.9,-1.9,-5.7,5.5,0.0,,,,5.6,,,,,
2016-01-09,-4.7,-3.0,-5.9,3.5,0.0,,,,6.1,,,,,
2016-01-10,-5.5,-2.3,-7.6,2.5,0.2,,,,4.4,,,,,
2016-01-11,-8.4,-5.9,-10.4,3.0,0.0,,,,3.2,,,,,
2016-01-12,-7.0,-5.6,-8.4,3.0,0.0,,,,5.5,,,,,
2016-01-13,-7.1,-3.7,-9.4,8.5,0.1,,,,3.1,,,,,
2016-01-14,-8.0,-6.1,-12.1,0.5,0.0,,,,3.6,,,,,
2016-01-15,-12.5,-5.6,-19.0,0.0,7.4,,,,3.3,,,,,
2016-01-16,-8.8,-4.8,-11.9,2.5,3.1,,,,2.3,,,,,
2016-01-17,-9.4,-4.9,-16.6,0.0,4.1,,,,2.7,,,,,
2016-01-18,-6.9,-1.6,-13.8,0.0,3.4,,,,5.9,,,,,
2016-01-19,-2.0,-0.9,-3.2,1.5,0.0,,,,8.5,,,,,
2016-01-20,-3.7,-2.2,-6.8,1.5,0.0,,,,4.0,,,,,
2016-01-21,-7.5,-3.3,-12.7,2.0,2.7,,,,2.4,,,,,
2016-01-22,-3.0,-0.4,-7.4,6.5,0.0,,,,2.9,,,,,
2016-01-23,-5.8,-3.3,-12.4,0.5,2.0,,,,2.5,,,,,
2016-01-24,-9.9,-6.2,-17.7,0.0,5.8,,,,3.6,,,,,
2016-01-25,-10.4,-2.7,-18.9,0.0,0.8,,,,4.3,,,,,
2016-01-26,-0.4,1.5,-3.1,0.0,0.3,,,,8.0,,,,,
2016-01-27,-2.9,-0.3,-4.6,0.0,0.6,,,,7.7,,,,,
2016-01-28,-6.2,-2.8,-8.4,0.0,0.5,,,,9.0,,,,,
2016-01-29,-7.1,-5.6,-9.2,0.0,1.4,,,,5.1,,,,,
2016-01-30,-10.5,-6.4,-15.9,1.0,7.3,,,,2.6,,,,,
2016-01-31,-7.6,-5.1,-9.7,1.0,0.0,,,,4.0,,,,,
2016-02-01,-9.2,-7.4,-11.1,1.5,0.6,,,,3.5,,,,,
2016-02-02,-7.8,-4.9,-10.2,2.5,0.2,,,,3.6,,,,,
2016-02-03,-6.3,-2.6,-11.9,1.0,0.6,,,,3.7,,,,,
2016-02-04,-1.1,1.1,-6.7,0.5,0.0,,,,4.1,,,,,
2016-02-05,-3.4,0.0,-5.3,0.0,0.1,,,,7.3,,,,,
2016-02-06,-5.9,-3.5,-8.1,1.5,0.9,,,,4.1,,,,,
2016-02-07,-6.1,-3.4,-8.2,0.5,1.2,,,,6.6,,,,,
2016-02-08,-8.2,-4.4,-11.1,0.5,4.1,,,,2.7,,,,,
2016-02-09,-3.9,0.8,-10.7,2.0,0.1,,,,3.7,,,,,
