calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.5,0.6,-1.9,1.0,0.0,,15,4,3.6,3.6,1017.4,61,1021.9,
2016-01-02,2.5,4.6,-0.4,8.0,0.0,,14,1,3.7,5.0,1008.7,69,1013.1,
2016-01-03,0.0,1.3,-0.8,0.0,0.6,,7,,4.1,3.3,1010.0,54,1014.4,
2016-01-04,-1.3,-0.4,-2.7,0.0,0.1,,8,2,3.8,2.9,1008.9,53,1013.3,
2016-01-05,-3.7,-1.5,-5.3,1.5,0.0,,9,2,5.3,2.9,1010.9,62,1015.4,
2016-01-06,-1.4,0.1,-3.1,1.5,0.1,,9,1,4.6,3.2,1009.9,58,1014.3,
2016-01-07,-2.7,-1.5,-4.0,0.5,0.0,,10,4,4.6,3.0,1006.1,60,1010.6,
2016-01-08,-1.7,-0.8,-2.3,1.5,0.0,,9,1,4.7,2.9,1006.1,53,1010.5,
2016-01-09,-2.7,0.1,-4.1,0.0,0.1,,9,1,4.6,2.7,1010.5,55,1015.0,
2016-01-10,-3.9,-0.6,-8.1,4.5,0.1,,13,4,5.2,3.0,1009.1,64,1013.6,
2016-01-11,-7.2,-6.3,-8.4,1.0,0.1,,14,5,5.3,2.1,1012.1,59,1016.7,
2016-01-12,-6.1,-5.1,-7.1,4.5,0.0,,19,6,4.6,2.6,1008.8,68,1013.3,
2016-01-13,-3.8,-2.4,-5.3,1.0,0.0,,19,3,2.7,2.9,1005.9,62,1010.4,
2016-01-14,-3.5,-2.3,-4.8,18.0,0.1,,42,28,5.6,3.5,1006.1,73,1010.6,
2016-01-15,-4.0,-2.6,-5.4,13.0,0.9,,50,13,2.9,3.3,1011.1,72,1015.6,
2016-01-16,-3.9,-2.3,-5.0,13.0,0.7,,57,14,3.7,3.0,1013.1,66,1017.6,
2016-01-17,-3.8,-1.7,-6.5,8.5,0.1,,57,6,2.4,3.3,1017.6,71,1022.2,
2016-01-18,-2.1,0.6,-6.2,5.0,0.0,,54,4,5.0,3.9,1007.3,74,1011.8,
2016-01-19,-1.2,1.3,-3.3,3.5,0.0,,55,1,2.1,4.4,994.4,79,998.8,
2016-01-20,0.1,1.3,-1.4,5.5,0.5,,51,2,7.2,4.5,1004.0,73,1008.4,
2016-01-21,-1.1,0.8,-2.8,0.5,1.5,,49,,6.4,3.7,1010.6,65,1015.0,
2016-01-22,-2.4,-0.1,-4.7,11.0,0.8,,60,14,3.3,4.0,1012.0,78,1016.4,
2016-01-23,-4.1,-2.3,-7.0,4.0,1.8,,62,5,2.1,3.2,1010.7,70,1015.2,
2016-01-24,-3.1,-0.1,-7.5,4.0,4.7,,64,5,3.0,3.2,998.1,66,1002.6,
2016-01-25,-3.4,-2.1,-5.2,5.0,0.2,,60,5,4.2,3.1,1007.4,65,1011.9,
2016-01-26,-0.4,2.6,-4.2,2.5,0.5,,59,1,2.6,4.4,1012.0,74,1016.5,
2016-01-27,-1.0,1.2,-2.2,8.5,0.5,,62,5,4.7,3.3,1014.8,57,1019.3,
2016-01-28,-2.7,-0.7,-4.8,1.5,0.1,,57,,6.1,2.5,1019.8,51,1024.4,
2016-01-29,-4.7,-3.8,-5.8,0.0,0.5,,51,,5.3,2.2,1022.7,52,1027.3,
2016-01-30,-4.8,-3.5,-6.6,1.0,0.7,,53,7,2.4,3.0,1018.2,71,1022.7,
2016-01-31,-5.8,-4.4,-7.0,3.0,0.5,,55,5,4.6,2.4,1015.4,61,1020.0,
2016-02-01,-5.9,-4.9,-7.1,2.0,0.4,,55,5,4.2,2.5,1015.6,65,1020.2,
2016-02-02,-4.6,-3.4,-5.9,4.0,0.1,,56,1,4.6,2.8,1011.9,65,1016.4,
2016-02-03,-2.3,0.0,-4.3,0.0,0.0,,54,,3.8,3.0,1015.7,58,1020.2,
2016-02-04,-0.8,1.1,-2.3,6.0,0.4,,61,12,2.4,4.4,1010.5,76,1014.9,
2016-02-05,-2.3,0.3,-4.7,2.5,0.4,,58,1,4.5,2.9,1009.1,57,1013.6,
2016-02-06,-4.7,-2.9,-6.7,1.5,0.3,,56,1,4.0,2.7,1009.6,61,1014.1,
2016-02-07,-3.4,-1.1,-6.4,3.5,1.0,,56,3,5.1,2.7,1009.5,57,1014.0,
