calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.6,2.8,-2.7,0.0,0.0,,16,2,3.9,,,,,
2016-01-02,2.2,4.3,-0.4,3.5,0.0,,15,1,5.3,,,,,
2016-01-03,0.2,1.4,-0.6,0.0,0.7,,8,0,5.9,,,,,
2016-01-04,-1.4,-0.1,-3.8,0.0,0.0,,8,0,6.0,,,,,
2016-01-05,-3.9,-1.5,-5.7,0.0,0.2,,15,7,8.4,,,,,
2016-01-06,-1.4,0.2,-3.3,0.0,0.0,,13,0,7.3,,,,,
2016-01-07,-3.1,-1.5,-4.2,0.5,0.2,,13,4,6.4,,,,,
2016-01-08,-2.0,-1.2,-3.1,0.0,0.0,,12,0,6.2,,,,,
2016-01-09,-3.0,-0.2,-5.1,0.0,0.0,,13,1,6.3,,,,,
2016-01-10,-4.0,-0.3,-8.2,0.5,0.0,,14,4,8.2,,,,,
2016-01-11,-7.1,-5.9,-8.4,0.5,0.0,,21,8,6.5,,,,,
2016-01-12,-5.9,-4.5,-7.3,1.0,0.0,,25,7,6.3,,,,,
2016-01-13,-4.3,-2.7,-6.0,0.5,0.1,,24,2,3.7,,,,,
2016-01-14,-4.1,-1.7,-9.1,7.0,1.0,,30,11,3.4,,,,,
2016-01-15,-5.4,-1.9,-12.1,2.5,3.1,,35,8,3.1,,,,,
2016-01-16,-5.1,-3.0,-8.9,6.0,0.1,,44,14,3.3,,,,,
2016-01-17,-5.9,-3.2,-8.1,5.0,0.5,,50,11,2.5,,,,,
2016-01-18,-4.2,0.2,-9.0,0.0,0.0,,48,0,4.5,,,,,
2016-01-19,-1.0,0.8,-3.2,0.5,0.0,,40,0,2.2,,,,,
2016-01-20,-1.6,0.6,-4.4,4.0,0.1,,47,9,3.0,,,,,
2016-01-21,-3.1,-0.4,-5.6,1.0,1.4,,50,3,2.4,,,,,
2016-01-22,-4.3,0.6,-10.4,6.0,3.6,,49,7,2.6,,,,,
2016-01-23,-4.9,-1.8,-11.0,1.5,2.7,,50,1,2.2,,,,,
2016-01-24,-4.7,-0.2,-10.1,0.0,6.6,,47,5,2.6,,,,,
2016-01-25,-5.9,-1.7,-13.3,0.0,0.5,,46,1,3.6,,,,,
2016-01-26,0.6,2.8,-2.4,1.5,0.0,,43,2,4.0,,,,,
2016-01-27,-1.2,1.1,-2.6,1.5,0.0,,47,4,6.8,,,,,
2016-01-28,-3.3,-1.0,-5.9,0.0,0.0,,43,0,9.8,,,,,
2016-01-29,-5.3,-4.2,-7.6,0.0,0.2,,41,1,7.0,,,,,
2016-01-30,-6.7,-3.2,-11.1,3.0,5.9,,47,10,2.6,,,,,
2016-01-31,-6.0,-4.6,-7.2,0.5,0.1,,50,6,6.3,,,,,
2016-02-01,-6.5,-5.2,-7.2,0.5,0.2,,50,6,4.9,,,,,
2016-02-02,-5.3,-3.2,-7.4,0.5,0.5,,53,7,4.8,,,,,
2016-02-03,-3.2,-0.4,-7.0,0.0,0.1,,51,0,4.0,,,,,
2016-02-04,-1.1,1.0,-3.1,4.5,0.4,,54,10,2.5,,,,,
2016-02-05,-2.3,0.3,-4.8,0.0,0.5,,53,0,6.7,,,,,
2016-02-06,-4.8,-2.8,-7.1,0.5,0.2,,51,2,5.6,,,,,
2016-02-07,-3.8,-0.7,-7.5,1.5,0.3,,51,3,7.1,,,,,
2016-02-08,-3.9,-1.0,-7.8,0.0,8.2,,49,0,3.0,,,,,
2016-02-09,1.6,3.8,-1.3,1.0,1.5,,46,2,5.5,,,,,
2016-02-10,-2.8,0.3,-6.2,0.0,0.9,,46,1,3.8,,,,,
2016-02-11,-4.0,0.2,-8.7,0.0,6.8,,44,0,1.9,,,,,
2016-02-12,1.0,6.3,-5.3,0.0,2.1,,43,0,3.1,,,,,
2016-02-13,4.9,7.9,2.0,1.0,0.0,,39,0,2.5,,,,,
2016-02-14,3.1,8.4,-1.8,8.0,0.0,,31,0,4.5,,,,,
2016-02-15,-6.3,-1.1,-9.3,0.5,0.0,,27,2,8.2,,,,,
2016-02-16,-5.0,-2.4,-7.2,3.0,0.0,,37,13,5.4,,,,,
2016-02-17,-4.1,-1.1,-6.0,7.0,0.0,,48,13,8.0,,,,,
2016-02-18,0.8,2.9,-2.1,2.5,0.0,,39,1,4.8,,,,,
2016-02-19,2.1,5.4,-1.5,3.0,1.7,,36,0,3.8,,,,,
2016-02-20,1.2,3.7,-1.7,2.0,4.7,,32,6,2.8,,,,,
2016-02-21,-0.1,2.5,-3.6,3.0,0.7,,40,11,5.0,,,,,
2016-02-22,-2.8,-1.0,-3.9,0.0,0.1,,40,0,7.3,,,,,
2016-02-23,-1.9,1.1,-5.2,0.5,0.2,,37,3,2.1,,,,,
2016-02-24,-6.8,-4.8,-8.8,0.5,1.4,,39,3,3.1,,,,,
2016-02-25,-6.7,-3.4,-9.2,5.5,0.2,,53,15,4.8,,,,,
2016-02-26,-4.8,-2.9,-6.8,0.5,0.1,,49,3,4.6,,,,,
2016-02-27,-4.8,-2.4,-7.7,6.5,1.5,,60,13,4.5,,,,,
2016-02-28,-5.1,-1.0,-12.6,0.0,10.2,,52,0,2.4,,,,,
2016-02-29,1.5,7.4,-3.2,2.5,6.4,,47,1,9.8,,,,,
2016-03-01,-2.5,-0.2,-5.0,1.0,1.0,,41,6,7.7,,,,,
2016-03-02,-4.1,-1.5,-6.2,3.5,0.0,,50,10,3.5,,,,,
2016-03-03,-2.6,2.6,-8.7,1.0,0.9,,46,0,2.9,,,,,
2016-03-04,-5.0,0.9,-11.6,0.0,7.7,,43,1,3.1,,,,,
