calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.1,3.6,-2.3,0.0,0.6,,,,4.3,,,,,
2016-01-02,3.7,5.4,0.8,1.0,0.0,,,,7.5,,,,,
2016-01-03,0.1,1.5,-0.7,0.0,0.1,,,,6.8,,,,,
2016-01-04,-1.3,0.2,-4.0,0.0,0.0,,,,6.4,,,,,
2016-01-05,-3.5,-1.3,-5.7,0.0,0.0,,,,8.5,,,,,
2016-01-06,-1.3,0.2,-3.2,0.0,0.0,,,,8.9,,,,,
2016-01-07,-3.0,-0.8,-4.5,0.5,0.0,,,,7.0,,,,,
2016-01-08,-1.7,-0.4,-3.4,0.0,0.1,,,,8.2,,,,,
2016-01-09,-2.5,0.3,-4.9,0.0,0.0,,,,8.1,,,,,
2016-01-10,-4.0,0.5,-8.3,0.5,0.1,,,,7.7,,,,,
2016-01-11,-6.8,-5.7,-8.1,0.0,0.0,,,,6.9,,,,,
2016-01-12,-5.9,-4.5,-7.3,1.0,0.0,,,,7.9,,,,,
2016-01-13,-3.9,-2.3,-5.8,8.5,0.0,,,,4.7,,,,,
2016-01-14,-4.0,-1.5,-5.7,3.5,0.7,,,,3.6,,,,,
2016-01-15,-4.0,-2.2,-6.4,3.0,0.4,,,,3.5,,,,,
2016-01-16,-4.0,-2.5,-5.4,3.0,0.5,,,,3.9,,,,,
2016-01-17,-4.0,-2.1,-5.6,7.0,0.7,,,,2.4,,,,,
2016-01-18,-2.8,0.6,-6.2,1.5,0.0,,,,3.0,,,,,
2016-01-19,-0.9,0.7,-2.7,7.5,0.0,,,,2.3,,,,,
2016-01-20,-1.3,0.1,-2.9,21.0,0.2,,,,1.6,,,,,
2016-01-21,-2.1,-0.3,-4.0,8.0,1.1,,,,2.0,,,,,
2016-01-22,-2.0,1.1,-4.5,4.0,3.3,,,,2.8,,,,,
2016-01-23,-3.2,-1.2,-6.0,1.5,1.3,,,,4.2,,,,,
2016-01-24,-3.4,0.1,-6.1,1.5,5.9,,,,2.5,,,,,
2016-01-25,-4.1,-0.9,-7.3,0.5,1.4,,,,3.9,,,,,
2016-01-26,1.5,3.0,-1.1,0.5,0.0,,,,7.7,,,,,
2016-01-27,-1.2,1.9,-2.6,0.0,0.5,,,,8.3,,,,,
2016-01-28,-3.4,-0.6,-5.8,0.0,0.1,,,,7.9,,,,,
