calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.5,-2.2,-6.6,0.0,0.2,,26,3,1.2,,,,,
2016-01-02,-1.1,3.2,-4.6,4.5,0.1,,25,8,1.5,,,,,
2016-01-03,-1.8,0.9,-3.6,0.5,0.7,,24,5,2.2,,,,,
2016-01-04,-5.4,-2.1,-10.4,0.0,0.5,,24,5,1.2,,,,,
2016-01-05,-6.0,-3.5,-9.7,1.0,0.2,,32,12,1.1,,,,,
2016-01-06,-4.5,-1.8,-7.1,1.0,0.0,,38,13,1.5,,,,,
2016-01-07,-5.0,-3.3,-7.1,0.0,0.8,,38,4,1.2,,,,,
2016-01-08,-4.6,-2.7,-8.2,2.5,0.0,,51,18,1.1,,,,,
2016-01-09,-6.2,-3.7,-10.9,0.5,0.1,,48,5,1.0,,,,,
2016-01-10,-6.7,-3.6,-11.0,1.0,0.0,,52,9,1.8,,,,,
2016-01-11,-9.8,-6.1,-12.5,0.0,1.3,,49,0,0.9,,,,,
2016-01-12,-8.8,-5.5,-13.1,0.0,0.3,,45,4,0.9,,,,,
2016-01-13,-7.8,-3.0,-10.9,0.0,1.2,,44,0,1.1,,,,,
2016-01-14,-5.8,-1.7,-8.4,5.5,3.2,,50,15,1.3,,,,,
2016-01-15,-9.5,-5.3,-12.7,0.0,6.9,,51,4,0.7,,,,,
2016-01-16,-9.9,-4.8,-12.5,0.0,0.6,,48,3,1.1,,,,,
2016-01-17,-10.3,-3.1,-15.6,0.0,5.4,,45,0,1.3,,,,,
2016-01-18,-8.1,-2.3,-17.3,0.0,0.0,,41,0,3.6,,,,,
2016-01-19,-1.7,-0.1,-4.4,0.0,0.0,,38,0,3.2,,,,,
2016-01-20,-2.2,-0.6,-4.8,0.0,0.0,,36,0,4.1,,,,,
2016-01-21,-5.6,-1.8,-10.6,0.0,3.9,,34,0,1.3,,,,,
2016-01-22,-5.2,-1.6,-10.9,2.0,1.0,,46,14,1.1,,,,,
2016-01-23,-5.3,-1.0,-12.6,0.0,0.9,,45,1,1.3,,,,,
2016-01-24,-9.9,-2.5,-15.0,0.0,5.4,,39,2,1.5,,,,,
2016-01-25,-11.3,-4.6,-19.8,0.0,7.5,,37,0,1.4,,,,,
2016-01-26,-3.0,0.3,-7.7,0.0,0.0,,37,3,1.4,,,,,
2016-01-27,-3.0,-0.8,-4.8,2.0,2.6,,40,7,2.1,,,,,
2016-01-28,-5.8,-3.5,-9.7,2.0,0.9,,46,7,2.4,,,,,
2016-01-29,-11.2,-5.3,-16.5,0.0,0.7,,44,0,1.2,,,,,
2016-01-30,-11.6,-4.2,-18.2,0.0,8.1,,40,1,1.2,,,,,
2016-01-31,-9.0,-4.2,-13.0,1.0,4.4,,44,7,1.5,,,,,
2016-02-01,-11.0,-6.2,-15.5,0.0,0.1,,43,1,1.0,,,,,
2016-02-02,-8.6,-3.5,-14.6,2.5,0.0,,51,11,1.1,,,,,
2016-02-03,-8.0,-3.7,-12.9,0.5,1.8,,52,2,1.0,,,,,
2016-02-04,-3.0,2.1,-7.9,0.0,4.8,,50,4,1.4,,,,,
2016-02-05,-3.6,-0.6,-5.8,1.0,1.3,,49,10,2.0,,,,,
2016-02-06,-7.1,-3.6,-12.3,2.0,0.0,,51,3,1.2,,,,,
2016-02-07,-8.7,-4.1,-16.0,5.5,1.8,,58,12,1.4,,,,,
2016-02-08,-7.8,-2.5,-12.3,0.0,5.6,,58,0,1.1,,,,,
2016-02-09,-1.7,3.0,-11.5,1.0,0.6,,51,4,3.5,,,,,
2016-02-10,-2.7,0.6,-5.2,5.0,0.0,,61,12,3.0,,,,,
2016-02-11,-4.1,-0.4,-9.5,0.5,3.6,,63,4,1.4,,,,,
2016-02-12,-3.5,2.0,-10.4,0.0,1.1,,51,1,1.3,,,,,
2016-02-13,1.7,5.9,-1.2,0.0,0.0,,48,0,1.3,,,,,
2016-02-14,1.6,5.7,-3.6,15.5,0.0,,41,3,3.3,,,,,
2016-02-15,-6.9,-3.5,-9.5,2.5,0.7,,44,11,2.5,,,,,
2016-02-16,-8.3,-4.0,-11.7,2.5,0.5,,45,2,1.4,,,,,
2016-02-17,-6.4,-4.0,-10.0,6.0,0.0,,54,11,1.8,,,,,
