calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.0,-2.7,-5.3,1.0,1.8,,31,8,2.4,,,,,
2016-01-02,-1.5,0.6,-3.6,5.5,0.0,,32,8,2.8,,,,,
2016-01-03,-2.2,-0.3,-5.2,0.0,0.0,,32,3,4.6,,,,,
2016-01-04,-4.5,-2.2,-10.0,0.0,3.1,,28,8,3.4,,,,,
2016-01-05,-5.8,-3.9,-7.8,0.5,0.6,,30,5,4.1,,,,,
2016-01-06,-4.3,-3.2,-5.6,0.0,0.0,,34,9,5.4,,,,,
2016-01-07,-4.9,-3.6,-6.4,0.0,3.4,,34,5,4.0,,,,,
2016-01-08,-4.5,-2.9,-8.4,3.0,0.3,,46,16,4.4,,,,,
2016-01-09,-5.7,-4.4,-9.7,0.0,2.4,,45,6,4.2,,,,,
2016-01-10,-6.0,-3.8,-9.6,2.5,1.1,,49,12,4.0,,,,,
2016-01-11,-8.3,-6.8,-9.7,1.0,2.5,,52,5,4.1,,,,,
2016-01-12,-8.2,-6.6,-12.4,0.0,0.5,,47,3,4.0,,,,,
2016-01-13,-6.7,-4.4,-10.9,0.0,0.3,,45,3,2.9,,,,,
2016-01-14,-6.3,-2.5,-10.0,1.5,4.9,,47,6,3.6,,,,,
2016-01-15,-13.6,-8.3,-20.1,0.0,8.5,,44,2,1.5,,,,,
2016-01-16,-11.9,-7.2,-18.2,0.0,0.5,,44,6,1.5,,,,,
2016-01-17,-11.5,-6.1,-17.4,0.0,2.8,,45,5,1.6,,,,,
2016-01-18,-9.5,-2.5,-18.4,0.0,0.0,,,,5.2,,,,,
2016-01-19,-1.1,-0.1,-2.6,0.0,0.0,,44,12,6.3,,,,,
2016-01-20,-2.5,-0.7,-5.9,0.0,0.7,,42,3,5.3,,,,,
2016-01-21,-7.3,-2.5,-13.9,0.0,4.2,,42,7,1.8,,,,,
2016-01-22,-6.3,-2.3,-11.7,1.0,0.6,,45,6,1.8,,,,,
2016-01-23,-6.5,-1.8,-14.5,0.5,1.1,,44,1,2.3,,,,,
2016-01-24,-9.6,-5.3,-19.0,0.0,6.9,,44,6,4.0,,,,,
2016-01-25,-13.3,-5.2,-22.7,0.0,6.0,,43,6,1.5,,,,,
2016-01-26,-1.6,1.0,-5.7,0.0,1.0,,43,3,5.8,,,,,
2016-01-27,-3.3,-0.1,-5.4,2.0,3.4,,51,17,4.9,,,,,
2016-01-28,-6.1,-4.1,-8.5,1.5,0.6,,52,10,5.5,,,,,
2016-01-29,-8.8,-5.9,-14.8,0.0,3.5,,51,1,3.3,,,,,
2016-01-30,-12.5,-8.2,-18.6,0.0,8.8,,48,3,1.5,,,,,
2016-01-31,-8.9,-5.2,-17.0,0.0,3.5,,46,3,3.6,,,,,
2016-02-01,-9.9,-7.2,-16.4,3.5,0.2,,56,11,2.2,,,,,
2016-02-02,-8.5,-4.9,-14.1,3.5,1.4,,62,10,1.9,,,,,
2016-02-03,-7.6,-5.2,-10.2,0.5,2.1,,63,2,1.5,,,,,
2016-02-04,-3.0,0.7,-9.1,0.0,3.9,,58,8,3.4,,,,,
2016-02-05,-4.4,-0.5,-8.9,0.0,2.4,,55,4,4.3,,,,,
