calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.4,-2.5,-6.6,3.0,0.0,,,,1.5,,,,,
2016-01-02,-1.6,0.5,-4.2,7.0,0.0,,,,2.5,,,,,
2016-01-03,-2.6,-0.3,-4.9,0.0,0.0,,,,3.7,,,,,
2016-01-04,-4.4,-2.3,-7.0,1.5,1.6,,,,2.9,,,,,
2016-01-05,-5.9,-3.6,-8.1,5.0,0.7,,,,4.0,,,,,
2016-01-06,-4.9,-3.0,-7.1,3.5,0.0,,,,3.8,,,,,
2016-01-07,-5.3,-3.9,-6.7,3.0,0.7,,,,2.9,,,,,
2016-01-08,-4.8,-3.7,-6.6,5.5,0.0,,,,3.2,,,,,
2016-01-09,-6.1,-4.8,-8.0,3.5,1.2,,,,2.7,,,,,
2016-01-10,-6.3,-3.7,-8.5,9.5,1.3,,,,3.6,,,,,
2016-01-11,-9.0,-7.5,-12.2,9.0,0.0,,,,2.1,,,,,
2016-01-12,-9.2,-7.3,-12.3,4.5,0.1,,,,2.3,,,,,
2016-01-13,-7.2,-5.6,-9.7,2.5,1.2,,,,2.0,,,,,
2016-01-14,-7.0,-3.7,-11.1,3.5,3.9,,,,1.7,,,,,
2016-01-15,-14.5,-6.7,-22.3,0.0,8.5,,,,0.3,,,,,
2016-01-16,-12.7,-7.3,-19.5,2.0,1.1,,,,0.5,,,,,
2016-01-17,-10.7,-4.7,-15.1,2.0,1.9,,,,,,,,,
2016-01-18,-10.7,-2.7,-21.8,0.0,0.0,,,,,,,,,
2016-01-19,-1.1,-0.2,-2.8,0.0,0.0,,,,2.3,,,,,
2016-01-20,-2.7,-0.3,-6.0,0.0,0.8,,,,3.1,,,,,
2016-01-21,-7.5,-2.8,-14.3,3.5,4.0,,,,1.1,,,,,
2016-01-22,-6.1,-1.7,-11.5,2.5,0.3,,,,1.6,,,,,
2016-01-23,-6.3,-3.4,-14.6,2.0,0.0,,,,1.4,,,,,
2016-01-24,-13.1,-4.0,-20.5,0.0,4.7,,,,0.6,,,,,
2016-01-25,-14.3,-6.9,-26.1,1.5,4.7,,,,0.7,,,,,
2016-01-26,-2.9,-0.7,-7.0,3.5,0.0,,,,2.5,,,,,
2016-01-27,-3.6,-1.2,-5.3,8.0,2.1,,,,3.0,,,,,
2016-01-28,-6.0,-3.3,-8.8,0.5,0.0,,,,5.2,,,,,
2016-01-29,-8.3,-6.1,-12.2,2.0,0.2,,,,3.7,,,,,
2016-01-30,-11.8,-7.6,-21.3,1.5,8.0,,,,,,,,,
2016-01-31,-8.8,-5.5,-12.5,9.5,0.0,,,,2.2,,,,,
2016-02-01,-9.2,-7.0,-11.3,7.0,0.0,,,,1.6,,,,,
2016-02-02,-8.2,-5.8,-10.9,8.0,0.6,,,,1.5,,,,,
2016-02-03,-7.4,-4.9,-9.7,6.0,0.0,,,,,,,,,
2016-02-04,-3.5,-0.5,-6.9,1.0,2.0,,,,2.3,,,,,
2016-02-05,-4.8,-2.0,-10.1,0.5,0.6,,,,3.6,,,,,
2016-02-06,-8.4,-3.6,-14.0,1.0,3.2,,,,2.5,,,,,
2016-02-07,-7.6,-3.8,-13.7,10.0,0.6,,,,3.2,,,,,
2016-02-08,-8.6,-3.7,-16.3,0.0,7.9,,,,1.2,,,,,
2016-02-09,-2.8,1.4,-13.9,3.0,0.6,,,,3.1,,,,,
2016-02-10,-2.9,0.0,-5.2,4.5,0.0,,,,3.4,,,,,
2016-02-11,-5.0,-1.4,-11.5,0.5,2.0,,,,1.5,,,,,
2016-02-12,-3.2,1.8,-12.4,0.0,0.0,,,,2.2,,,,,
2016-02-13,2.3,5.0,0.5,0.0,0.0,,,,1.9,,,,,
2016-02-14,-0.8,1.7,-6.0,13.5,0.0,,,,,,,,,
2016-02-15,-7.7,-4.9,-10.3,4.0,0.1,,,,,,,,,
2016-02-16,-8.3,-5.2,-12.1,3.0,2.6,,,,,,,,,
2016-02-17,-6.2,-4.6,-7.4,3.5,0.1,,,,4.7,,,,,
2016-02-18,-3.0,-1.1,-6.4,3.0,1.0,,,,3.3,,,,,
2016-02-19,-0.5,2.9,-7.0,7.0,2.1,,,,,,,,,
2016-02-20,-0.8,2.4,-5.0,2.0,5.6,,,,2.3,,,,,
2016-02-21,-2.3,0.7,-6.9,8.0,0.7,,,,1.8,,,,,
2016-02-22,-4.9,-2.8,-7.1,2.5,2.1,,,,4.0,,,,,
2016-02-23,-5.1,-1.3,-11.1,3.0,0.3,,,,2.5,,,,,
2016-02-24,-12.0,-7.3,-20.2,3.0,3.9,,,,1.4,,,,,
2016-02-25,-9.0,-5.6,-12.7,10.0,0.2,,,,2.0,,,,,
2016-02-26,-7.7,-4.8,-11.4,10.5,1.1,,,,2.3,,,,,
2016-02-27,-7.5,-3.3,-11.1,2.5,3.3,,,,2.3,,,,,
2016-02-28,-9.8,-3.0,-16.9,2.5,7.4,,,,0.7,,,,,
2016-02-29,-4.2,1.0,-17.4,3.0,0.1,,,,4.9,,,,,
2016-03-01,-4.1,-1.2,-9.3,0.5,3.3,,,,3.9,,,,,
2016-03-02,-7.9,-3.0,-12.1,3.0,0.5,,,,1.4,,,,,
2016-03-03,-10.4,-2.9,-18.7,1.0,2.3,,,,0.5,,,,,
2016-03-04,-12.4,-4.4,-20.2,0.5,5.7,,,,0.5,,,,,
2016-03-05,-9.6,-0.7,-19.3,0.0,8.9,,,,0.5,,,,,
2016-03-06,0.9,5.0,-7.8,8.0,0.0,,,,3.4,,,,,
2016-03-07,1.7,5.7,-5.0,0.5,4.4,,,,2.4,,,,,
2016-03-08,-0.2,4.9,-6.1,1.0,3.8,,,,3.6,,,,,
2016-03-09,-2.6,0.2,-7.0,0.0,3.0,,,,6.2,,,,,
2016-03-10,-4.9,-1.0,-8.4,1.0,4.6,,,,1.5,,,,,
2016-03-11,-4.9,-1.1,-9.2,5.0,3.4,,,,2.4,,,,,
2016-03-12,-5.6,-1.3,-13.2,5.0,1.2,,,,1.8,,,,,
2016-03-13,-4.6,2.5,-16.0,0.0,8.9,,,,2.2,,,,,
2016-03-14,-1.1,3.6,-9.7,2.5,4.4,,,,1.8,,,,,
2016-03-15,-3.0,1.0,-8.8,0.0,5.3,,,,,,,,,
2016-03-16,0.0,6.1,-11.1,0.0,8.5,,,,3.4,,,,,
2016-03-17,1.7,9.3,-5.0,0.0,10.9,,,,1.8,,,,,
2016-03-18,4.5,9.0,-3.2,0.0,6.7,,,,2.2,,,,,
2016-03-19,3.3,6.1,1.0,0.0,0.0,,,,2.6,,,,,
2016-03-20,-1.7,1.1,-7.9,0.0,6.5,,,,3.2,,,,,
2016-03-21,-3.5,0.9,-7.6,1.5,3.9,,,,2.0,,,,,
2016-03-22,-1.9,3.0,-7.8,0.0,2.4,,,,2.8,,,,,
2016-03-23,-1.1,2.2,-4.1,3.0,3.9,,,,2.0,,,,,
2016-03-24,-2.1,2.8,-6.7,1.5,8.5,,,,1.5,,,,,
2016-03-25,-2.6,2.8,-9.7,2.0,6.2,,,,1.7,,,,,
2016-03-26,-0.4,3.6,-5.3,0.0,6.3,,,,1.5,,,,,
2016-03-27,2.6,7.8,-4.1,0.0,9.1,,,,3.4,,,,,
2016-03-28,1.9,5.2,-5.1,1.5,11.1,,,,2.5,,,,,
2016-03-29,1.0,8.3,-7.8,0.0,9.7,,,,1.5,,,,,
2016-03-30,3.6,8.8,0.5,3.0,4.4,,,,2.6,,,,,
2016-03-31,2.0,6.4,-0.5,0.5,1.4,,,,1.5,,,,,
2016-04-01,3.0,9.1,-2.5,0.0,11.7,,,,1.8,,,,,
2016-04-02,3.0,5.3,1.7,0.0,3.6,,,,4.4,,,,,
2016-04-03,4.3,8.4,1.1,4.0,2.1,,,,2.8,,,,,
2016-04-04,2.1,9.4,-3.4,0.0,11.7,,,,1.6,,,,,
2016-04-05,3.0,9.2,-5.0,0.0,4.6,,,,3.4,,,,,
2016-04-06,4.6,8.3,0.7,0.0,11.9,,,,3.5,,,,,
2016-04-07,4.8,9.8,-0.4,0.5,5.1,,,,2.5,,,,,
2016-04-08,3.8,9.0,-2.9,4.5,1.4,,,,2.5,,,,,
2016-04-09,2.4,7.8,-3.9,0.0,4.2,,,,5.0,,,,,
2016-04-10,1.1,3.7,-3.1,0.0,5.4,,,,3.0,,,,,
2016-04-11,-0.7,3.6,-6.2,1.0,6.8,,,,2.3,,,,,
2016-04-12,1.6,7.2,-6.9,0.0,10.5,,,,1.8,,,,,
2016-04-13,4.7,8.5,1.0,0.5,0.0,,,,2.2,,,,,
2016-04-14,6.0,12.0,1.9,5.5,1.2,,,,1.3,,,,,
2016-04-15,2.4,4.9,1.0,0.0,0.3,,,,4.6,,,,,
2016-04-16,4.0,9.3,-1.6,0.0,6.8,,,,1.3,,,,,
2016-04-17,4.5,6.7,1.7,10.0,0.0,,,,2.7,,,,,
2016-04-18,3.8,7.4,0.1,2.0,1.7,,,,4.0,,,,,
2016-04-19,2.4,6.1,-0.5,1.0,2.8,,,,1.7,,,,,
2016-04-20,7.1,12.9,0.2,1.5,6.3,,,,4.0,,,,,
2016-04-21,10.1,17.8,2.4,0.0,12.3,,,,4.0,,,,,
2016-04-22,10.3,19.2,1.6,0.0,11.4,,,,2.3,,,,,
2016-04-23,7.5,10.8,4.1,5.0,1.4,,,,3.4,,,,,
2016-04-24,6.8,12.7,0.8,0.0,8.3,,,,2.3,,,,,
2016-04-25,6.9,14.7,-0.3,0.0,11.9,,,,2.0,,,,,
2016-04-26,6.1,11.7,1.8,0.0,3.5,,,,2.5,,,,,
2016-04-27,4.9,12.0,-1.7,0.0,11.7,,,,2.0,,,,,
2016-04-28,7.0,14.8,-1.4,0.0,9.4,,,,2.4,,,,,
2016-04-29,3.2,5.1,1.1,1.5,0.0,,,,2.1,,,,,
2016-04-30,2.2,5.0,-0.1,1.0,1.9,,,,4.5,,,,,
2016-05-01,4.3,9.7,-1.5,0.0,7.5,,,,2.2,,,,,
2016-05-02,7.5,17.2,-3.4,0.0,9.7,,,,2.0,,,,,
2016-05-03,16.0,25.8,8.0,0.0,10.8,,,,3.9,,,,,
2016-05-04,13.1,16.7,10.6,5.0,0.1,,,,3.5,,,,,
2016-05-05,9.7,12.3,6.4,1.5,0.1,,,,4.0,,,,,
2016-05-06,10.3,14.6,5.4,0.5,4.4,,,,1.7,,,,,
2016-05-07,10.3,15.0,7.9,4.0,1.1,,,,4.0,,,,,
2016-05-08,9.9,15.4,1.9,0.0,10.1,,,,5.1,,,,,
2016-05-09,10.4,20.4,-0.2,0.0,10.8,,,,1.8,,,,,
2016-05-10,13.1,20.8,4.5,0.0,5.3,,,,2.2,,,,,
2016-05-11,10.1,12.4,8.0,5.5,0.0,,,,0.9,,,,,
2016-05-12,8.0,9.2,5.7,3.0,0.1,,,,2.8,,,,,
2016-05-13,12.3,22.5,3.9,0.0,12.1,,,,4.1,,,,,
2016-05-14,11.8,21.2,2.8,0.0,13.1,,,,2.0,,,,,
2016-05-15,12.7,18.7,6.6,0.0,5.3,,,,4.9,,,,,
2016-05-16,12.7,20.0,6.9,1.5,2.5,,,,5.4,,,,,
2016-05-17,14.7,19.6,8.7,6.0,9.0,,,,4.0,,,,,
2016-05-18,14.1,20.9,7.5,0.0,11.9,,,,2.1,,,,,
2016-05-19,15.5,25.0,6.0,0.0,12.6,,,,2.8,,,,,
2016-05-20,17.0,27.1,7.6,0.0,12.9,,,,1.7,,,,,
2016-05-21,17.2,29.2,6.8,0.0,13.2,,,,1.3,,,,,
2016-05-22,17.1,27.7,10.0,0.0,13.5,,,,2.6,,,,,
2016-05-23,15.2,23.9,8.0,0.0,11.6,,,,2.1,,,,,
2016-05-24,16.0,23.5,8.1,0.0,7.7,,,,4.0,,,,,
2016-05-25,15.7,20.2,10.7,1.5,2.5,,,,4.9,,,,,
2016-05-26,17.6,23.7,13.3,0.0,3.1,,,,3.5,,,,,
2016-05-27,15.1,19.7,8.0,0.5,11.9,,,,3.3,,,,,
2016-05-28,12.9,19.9,7.2,1.0,9.7,,,,2.7,,,,,
2016-05-29,12.7,20.2,6.9,0.5,10.2,,,,2.1,,,,,
2016-05-30,14.9,23.1,7.8,0.0,9.3,,,,3.5,,,,,
2016-05-31,14.1,22.6,10.5,18.5,0.8,,,,2.8,,,,,
2016-06-01,9.3,13.3,6.6,3.0,0.1,,,,1.7,,,,,
2016-06-02,8.9,12.9,5.3,0.0,0.8,,,,2.5,,,,,
2016-06-03,9.3,15.8,4.7,0.0,1.1,,,,1.3,,,,,
2016-06-04,9.8,12.9,7.2,15.5,0.0,,,,2.1,,,,,
2016-06-05,11.0,18.5,6.5,0.5,12.2,,,,2.8,,,,,
2016-06-06,12.6,20.8,4.8,0.0,8.7,,,,1.7,,,,,
2016-06-07,15.6,24.7,7.4,0.0,11.0,,,,1.5,,,,,
2016-06-08,15.4,19.8,9.6,1.5,0.1,,,,1.5,,,,,
2016-06-09,16.7,19.7,14.5,3.0,0.6,,,,2.0,,,,,
2016-06-10,13.6,17.3,11.9,0.5,1.4,,,,3.3,,,,,
2016-06-11,14.1,21.9,9.7,0.0,7.1,,,,2.0,,,,,
2016-06-12,16.1,24.3,9.5,0.0,10.9,,,,4.1,,,,,
2016-06-13,15.0,18.3,12.5,1.5,0.0,,,,2.6,,,,,
2016-06-14,14.6,16.0,13.2,4.5,0.0,,,,3.4,,,,,
2016-06-15,16.4,21.8,12.1,0.0,5.8,,,,4.1,,,,,
2016-06-16,15.4,21.6,12.2,5.0,3.3,,,,3.1,,,,,
2016-06-17,14.8,17.9,13.1,18.5,0.0,,,,2.7,,,,,
2016-06-18,13.4,16.2,11.7,1.5,0.5,,,,3.1,,,,,
2016-06-19,16.1,22.9,11.3,0.0,4.0,,,,2.8,,,,,
2016-06-20,17.7,22.7,14.7,1.5,1.0,,,,2.5,,,,,
2016-06-21,20.1,26.1,15.0,0.5,5.7,,,,2.0,,,,,
2016-06-22,19.6,26.4,13.6,0.0,8.9,,,,1.7,,,,,
2016-06-23,19.1,25.9,13.4,0.0,10.0,,,,2.6,,,,,
2016-06-24,17.3,23.8,13.5,0.0,1.4,,,,2.6,,,,,
2016-06-25,13.9,15.3,12.1,16.5,0.0,,,,3.2,,,,,
2016-06-26,13.5,15.9,11.4,9.0,0.1,,,,2.5,,,,,
2016-06-27,14.5,22.1,10.2,0.5,6.4,,,,1.5,,,,,
2016-06-28,17.8,26.4,10.8,0.0,10.7,,,,1.9,,,,,
2016-06-29,18.6,27.8,11.1,0.0,13.4,,,,1.7,,,,,
2016-06-30,20.4,28.7,11.6,0.0,11.3,,,,2.7,,,,,
2016-07-01,20.5,28.4,14.5,3.0,12.6,,,,2.2,,,,,
2016-07-02,18.8,23.1,13.8,36.0,0.0,,,,2.4,,,,,
2016-07-03,18.2,22.5,14.4,0.0,1.4,,,,3.6,,,,,
2016-07-04,14.3,19.4,9.4,0.5,5.8,,,,1.5,,,,,
2016-07-05,15.8,24.6,7.4,0.0,11.7,,,,2.0,,,,,
2016-07-06,17.0,23.3,12.4,0.0,10.8,,,,3.1,,,,,
2016-07-07,17.2,25.2,9.4,0.0,10.9,,,,1.9,,,,,
2016-07-08,18.2,26.5,12.3,0.0,11.5,,,,3.1,,,,,
2016-07-09,19.4,26.1,14.1,9.0,3.2,,,,2.0,,,,,
2016-07-10,17.4,20.9,15.5,4.5,0.0,,,,2.1,,,,,
2016-07-11,17.5,23.5,14.3,0.0,4.0,,,,3.0,,,,,
2016-07-12,19.2,26.3,14.5,0.0,10.8,,,,2.2,,,,,
2016-07-13,21.0,28.9,14.8,0.0,9.3,,,,2.2,,,,,
2016-07-14,21.2,28.7,16.9,0.0,7.9,,,,2.0,,,,,
2016-07-15,20.5,27.8,15.1,0.0,9.9,,,,2.2,,,,,
2016-07-16,20.8,27.9,14.9,0.0,8.5,,,,1.8,,,,,
2016-07-17,19.3,25.3,16.3,0.0,1.5,,,,1.9,,,,,
2016-07-18,19.9,24.4,17.7,5.0,0.0,,,,1.7,,,,,
2016-07-19,18.8,22.0,15.1,15.5,0.0,,,,1.6,,,,,
2016-07-20,19.8,27.2,13.9,0.0,8.9,,,,1.8,,,,,
2016-07-21,20.4,27.5,16.6,0.0,6.9,,,,2.0,,,,,
2016-07-22,20.2,26.2,16.1,0.0,8.2,,,,2.3,,,,,
2016-07-23,20.2,27.5,16.2,0.0,9.2,,,,2.5,,,,,
2016-07-24,19.8,26.9,15.8,0.0,9.5,,,,3.0,,,,,
2016-07-25,20.6,28.5,15.6,0.0,8.0,,,,2.7,,,,,
2016-07-26,21.6,28.7,16.8,0.0,8.8,,,,3.1,,,,,
2016-07-27,19.9,24.3,18.1,18.5,0.0,,,,2.7,,,,,
2016-07-28,21.3,23.4,18.2,39.0,0.0,,,,3.0,,,,,
2016-07-29,22.3,24.1,21.1,24.5,0.0,,,,1.9,,,,,
2016-07-30,23.1,27.8,20.1,8.5,1.2,,,,2.2,,,,,
2016-07-31,24.6,31.0,20.3,0.0,5.7,,,,2.4,,,,,
2016-08-01,24.3,29.9,20.6,0.0,3.4,,,,2.5,,,,,
2016-08-02,23.8,30.9,19.5,0.0,9.6,,,,1.8,,,,,
2016-08-03,23.7,30.1,20.4,0.0,5.0,,,,2.1,,,,,
2016-08-04,22.8,28.8,18.6,0.0,5.0,,,,1.7,,,,,
2016-08-05,21.0,26.2,14.6,4.5,10.4,,,,2.6,,,,,
2016-08-06,19.7,27.1,13.9,0.0,12.6,,,,1.5,,,,,
2016-08-07,23.1,31.7,13.6,0.0,11.5,,,,2.6,,,,,
2016-08-08,25.3,31.8,20.3,0.0,5.8,,,,3.5,,,,,
2016-08-09,20.7,26.1,13.9,3.0,6.3,,,,1.6,,,,,
2016-08-10,19.0,25.6,12.5,0.0,11.6,,,,1.9,,,,,
2016-08-11,20.3,28.3,13.2,0.0,12.5,,,,1.5,,,,,
2016-08-12,21.6,29.9,14.9,0.0,9.4,,,,1.6,,,,,
2016-08-13,22.3,29.9,15.8,0.0,12.9,,,,2.9,,,,,
2016-08-14,23.1,30.3,17.7,0.0,11.3,,,,2.4,,,,,
2016-08-15,22.7,28.6,19.6,0.0,3.1,,,,1.8,,,,,
2016-08-16,23.0,28.1,19.5,21.0,4.0,,,,1.8,,,,,
2016-08-17,20.9,22.1,20.1,57.0,0.0,,,,2.6,,,,,
2016-08-18,22.7,27.9,19.7,2.0,4.2,,,,1.8,,,,,
2016-08-19,22.8,26.3,19.5,0.0,0.2,,,,1.5,,,,,
2016-08-20,21.6,24.0,19.9,65.5,0.0,,,,1.5,,,,,
2016-08-21,22.9,28.5,19.6,7.0,3.3,,,,1.7,,,,,
2016-08-22,22.1,24.1,20.1,18.5,0.0,,,,1.5,,,,,
2016-08-23,21.2,26.5,16.6,38.0,4.0,,,,1.9,,,,,
2016-08-24,20.2,27.9,15.0,0.0,8.1,,,,1.2,,,,,
2016-08-25,21.8,28.6,14.2,0.0,8.6,,,,3.0,,,,,
2016-08-26,17.7,22.7,13.1,8.5,0.1,,,,1.6,,,,,
2016-08-27,16.4,24.4,10.6,0.0,10.8,,,,1.1,,,,,
2016-08-28,17.2,25.2,8.0,0.0,10.6,,,,1.7,,,,,
2016-08-29,23.2,31.6,15.0,0.0,10.1,,,,1.9,,,,,
2016-08-30,25.1,31.7,18.3,0.0,5.1,,,,3.9,,,,,
2016-08-31,23.6,29.3,20.0,2.0,2.0,,,,2.2,,,,,
2016-09-01,23.4,30.9,17.7,0.0,9.9,,,,1.5,,,,,
2016-09-02,22.7,29.4,18.1,0.5,3.4,,,,1.5,,,,,
2016-09-03,22.7,28.2,20.0,0.0,5.0,,,,2.5,,,,,
2016-09-04,21.5,25.1,19.5,0.0,0.7,,,,2.3,,,,,
2016-09-05,22.0,27.1,17.9,0.0,0.8,,,,1.6,,,,,
2016-09-06,21.1,22.5,19.7,25.0,0.0,,,,1.5,,,,,
2016-09-07,19.5,24.6,15.7,10.5,3.8,,,,1.8,,,,,
2016-09-08,16.0,19.4,13.4,1.0,0.3,,,,2.2,,,,,
2016-09-09,16.5,20.9,13.3,12.5,0.0,,,,1.0,,,,,
2016-09-10,16.5,21.1,14.1,1.5,2.5,,,,1.9,,,,,
2016-09-11,15.3,21.0,10.8,0.5,5.6,,,,1.3,,,,,
2016-09-12,14.2,22.4,7.4,0.0,10.1,,,,1.0,,,,,
2016-09-13,16.8,22.9,11.6,0.0,5.0,,,,2.0,,,,,
2016-09-14,17.5,23.9,12.2,0.0,6.5,,,,2.5,,,,,
2016-09-15,18.2,24.1,14.1,1.5,5.8,,,,1.6,,,,,
2016-09-16,18.3,25.8,12.5,5.5,7.3,,,,2.5,,,,,
2016-09-17,15.1,20.3,11.1,10.0,3.1,,,,1.7,,,,,
2016-09-18,12.9,19.8,7.1,0.0,7.0,,,,1.6,,,,,
2016-09-19,11.8,19.4,6.2,0.0,9.9,,,,1.5,,,,,
2016-09-20,11.5,20.1,4.3,0.0,7.5,,,,1.2,,,,,
2016-09-21,12.4,21.3,5.4,0.0,10.5,,,,1.0,,,,,
2016-09-22,13.9,22.1,4.6,0.0,8.2,,,,1.7,,,,,
2016-09-23,14.8,17.7,11.9,0.5,0.3,,,,1.6,,,,,
2016-09-24,16.8,24.4,11.7,0.0,7.6,,,,1.1,,,,,
2016-09-25,18.2,25.2,11.6,0.0,6.3,,,,2.3,,,,,
2016-09-26,16.6,23.0,8.1,0.0,8.3,,,,1.8,,,,,
2016-09-27,16.1,25.5,7.3,0.0,8.5,,,,2.0,,,,,
2016-09-28,16.1,20.9,9.2,12.5,2.4,,,,2.3,,,,,
2016-09-29,12.4,19.3,6.2,0.0,5.8,,,,1.6,,,,,
2016-09-30,12.3,20.7,5.0,0.0,8.3,,,,1.6,,,,,
2016-10-01,13.6,22.2,7.1,0.0,10.4,,,,1.3,,,,,
2016-10-02,14.0,23.9,4.4,0.0,9.6,,,,2.0,,,,,
2016-10-03,14.3,19.2,9.1,6.5,0.0,,,,2.2,,,,,
2016-10-04,11.8,17.7,6.8,4.0,4.1,,,,4.7,,,,,
2016-10-05,8.9,15.0,2.2,0.5,5.4,,,,1.1,,,,,
2016-10-06,9.0,13.9,4.0,7.5,0.8,,,,2.6,,,,,
2016-10-07,7.8,12.3,4.0,1.0,1.6,,,,3.2,,,,,
2016-10-08,10.8,15.5,6.3,2.0,0.5,,,,2.2,,,,,
2016-10-09,10.0,14.1,6.3,19.5,1.0,,,,3.3,,,,,
2016-10-10,5.9,9.1,4.3,8.0,0.8,,,,2.4,,,,,
2016-10-11,7.8,12.7,3.3,8.5,3.0,,,,2.2,,,,,
2016-10-12,6.0,9.0,4.6,11.0,2.4,,,,1.7,,,,,
2016-10-13,6.3,12.2,2.9,2.0,3.9,,,,1.5,,,,,
2016-10-14,5.8,12.8,0.8,2.0,3.0,,,,1.6,,,,,
2016-10-15,7.9,16.5,-0.9,0.0,9.0,,,,2.6,,,,,
2016-10-16,13.6,20.6,8.7,0.0,8.0,,,,2.2,,,,,
2016-10-17,12.8,17.5,8.2,0.0,0.0,,,,1.6,,,,,
2016-10-18,9.9,14.8,2.7,0.0,8.9,,,,2.8,,,,,
2016-10-19,7.7,17.0,0.7,0.0,9.7,,,,1.0,,,,,
2016-10-20,5.9,11.1,0.4,19.5,0.9,,,,4.3,,,,,
2016-10-21,3.5,7.3,0.6,0.5,0.9,,,,3.7,,,,,
2016-10-22,3.6,7.3,0.2,7.5,0.0,,,,0.7,,,,,
2016-10-23,3.7,5.4,1.3,5.5,1.0,,,,2.3,,,,,
2016-10-24,2.8,5.3,0.1,4.5,0.1,,,,3.5,,,,,
2016-10-25,5.6,11.3,-0.2,0.0,6.6,,,,2.4,,,,,
2016-10-26,6.4,11.8,2.9,12.0,1.8,,,,3.5,,,,,
2016-10-27,4.3,5.8,1.7,0.0,0.3,,,,3.8,,,,,
2016-10-28,5.6,8.5,2.7,4.5,2.6,,,,3.8,,,,,
2016-10-29,2.5,4.1,0.6,3.5,1.7,,,,4.8,,,,,
2016-10-30,1.4,3.5,-1.9,0.0,0.5,,,,4.4,,,,,
2016-10-31,1.1,3.8,-0.9,14.0,0.0,,,,2.8,,,,,
2016-11-01,-0.1,1.5,-1.0,4.0,0.1,,,,1.7,,,,,
2016-11-02,0.5,3.2,-1.4,0.0,0.7,,,,1.9,,,,,
2016-11-03,0.7,2.4,-0.6,2.0,0.0,,,,1.2,,,,,
2016-11-04,0.0,1.3,-1.9,4.0,0.0,,,,2.4,,,,,
2016-11-05,0.1,0.9,-0.6,17.0,0.0,,,,,,,,,
2016-11-06,-2.1,0.4,-5.6,12.0,0.0,,,,,,,,,
2016-11-07,-1.9,1.0,-4.1,0.5,3.3,,,,,,,,,
2016-11-08,1.4,6.6,-2.6,14.0,0.0,,,,,,,,,
2016-11-09,-1.3,1.5,-2.8,9.5,2.6,,,,4.5,,,,,
2016-11-10,-1.6,0.2,-4.6,6.0,0.0,,,,3.4,,,,,
2016-11-11,-2.2,2.1,-8.5,2.0,8.5,,,,1.6,,,,,
2016-11-12,0.3,2.5,-2.2,6.0,1.0,,,,1.2,,,,,
2016-11-13,1.5,4.7,-1.8,11.0,0.0,,,,1.1,,,,,
2016-11-14,1.5,9.2,-5.6,0.0,4.4,,,,,,,,,
2016-11-15,3.1,10.5,-0.6,15.0,0.2,,,,3.0,,,,,
2016-11-16,-2.0,0.5,-5.4,11.5,1.5,,,,3.0,,,,,
2016-11-17,-2.7,-0.3,-5.9,4.0,1.2,,,,2.2,,,,,
2016-11-18,0.6,4.3,-4.0,5.0,0.0,,,,2.2,,,,,
2016-11-19,2.7,7.7,0.4,0.0,4.5,,,,1.0,,,,,
2016-11-20,2.7,6.8,-2.4,5.5,0.7,,,,4.4,,,,,
2016-11-21,-1.5,0.5,-3.4,0.0,4.7,,,,4.2,,,,,
2016-11-22,-2.3,-0.1,-4.4,8.0,0.0,,,,1.2,,,,,
2016-11-23,-7.7,-3.6,-10.7,3.0,0.3,,,,5.4,,,,,
2016-11-24,-7.7,-4.8,-11.0,4.5,2.0,,,,2.3,,,,,
2016-11-25,-5.3,-2.5,-7.3,7.0,2.9,,,,2.3,,,,,
2016-11-26,-3.6,-1.5,-5.5,2.0,0.9,,,,1.8,,,,,
2016-11-27,-1.2,1.7,-7.0,2.0,0.2,,,,1.4,,,,,
2016-11-28,-1.9,1.1,-5.4,19.0,0.4,,,,2.7,,,,,
2016-11-29,-2.7,-0.3,-6.0,8.0,4.9,,,,2.1,,,,,
2016-11-30,-5.5,-2.5,-9.1,4.0,1.9,,,,1.3,,,,,
2016-12-01,-0.1,7.0,-7.2,5.0,0.2,,,,2.0,,,,,
2016-12-02,-0.5,2.3,-2.8,1.5,0.0,,,,7.4,,,,,
2016-12-03,1.1,4.7,-2.5,0.0,7.7,,,,5.0,,,,,
2016-12-04,2.4,7.3,-4.7,0.0,0.7,,,,2.0,,,,,
2016-12-05,1.8,4.6,-1.0,0.0,0.0,,,,1.2,,,,,
2016-12-06,-3.6,-0.3,-7.1,3.5,0.0,,,,4.1,,,,,
2016-12-07,-7.0,-4.9,-10.0,3.0,1.8,,,,2.9,,,,,
2016-12-08,-5.3,-3.0,-8.2,3.5,1.1,,,,2.3,,,,,
2016-12-09,-2.6,-0.6,-5.6,3.5,0.0,,,,1.0,,,,,
2016-12-10,-5.3,-2.6,-10.3,4.5,4.0,,,,1.9,,,,,
