calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.5,-0.9,-5.4,1.5,1.6,,,,0.9,,,,,
2016-01-02,-0.6,2.0,-5.3,13.0,0.0,,,,2.1,,,,,
2016-01-03,-0.7,1.0,-1.8,1.5,0.2,,,,3.3,,,,,
2016-01-04,-2.8,-0.9,-5.2,3.5,0.0,,,,2.3,,,,,
2016-01-05,-5.0,-3.2,-7.8,10.0,0.0,,,,3.6,,,,,
2016-01-06,-3.7,-1.5,-6.6,4.5,0.4,,,,3.2,,,,,
2016-01-07,-4.0,-3.0,-5.6,4.0,0.6,,,,2.6,,,,,
2016-01-08,-3.3,-1.0,-7.4,4.5,1.6,,,,3.1,,,,,
2016-01-09,-6.0,-2.9,-13.6,7.0,0.4,,,,2.3,,,,,
2016-01-10,-6.1,-3.0,-13.0,8.5,0.5,,,,2.6,,,,,
2016-01-11,-7.8,-6.6,-10.5,7.5,0.3,,,,2.0,,,,,
2016-01-12,-8.1,-5.9,-11.9,10.5,0.0,,,,2.1,,,,,
2016-01-13,-7.9,-3.7,-11.3,9.0,0.3,,,,0.9,,,,,
2016-01-14,-6.1,-2.4,-10.8,4.0,3.3,,,,2.0,,,,,
2016-01-15,-10.2,-5.1,-16.9,1.0,8.4,,,,0.8,,,,,
2016-01-16,-9.2,-6.0,-11.7,20.0,0.0,,,,,,,,,
2016-01-17,-8.8,-4.5,-13.7,2.5,1.6,,,,,,,,,
2016-01-18,-8.6,-1.3,-18.1,0.0,0.0,,,,,,,,,
2016-01-19,-0.5,0.8,-2.4,0.0,0.0,,,,4.1,,,,,
2016-01-20,-1.8,0.3,-4.9,0.0,3.6,,,,3.8,,,,,
2016-01-21,-5.6,-1.9,-11.9,1.5,0.8,,,,1.2,,,,,
2016-01-22,-5.8,-1.5,-13.4,2.0,2.3,,,,,,,,,
2016-01-23,-5.9,-1.1,-14.3,5.0,3.3,,,,1.3,,,,,
2016-01-24,-9.3,-2.2,-15.8,0.0,6.9,,,,1.0,,,,,
2016-01-25,-11.2,-6.8,-20.2,1.0,3.0,,,,0.8,,,,,
2016-01-26,-2.3,0.7,-7.0,0.5,0.1,,,,1.7,,,,,
2016-01-27,-2.2,0.2,-4.1,1.5,1.0,,,,3.3,,,,,
2016-01-28,-4.7,-2.4,-7.1,1.0,0.0,,,,4.0,,,,,
2016-01-29,-6.9,-4.9,-12.1,2.0,0.2,,,,2.2,,,,,
2016-01-30,-10.7,-5.4,-16.9,3.0,7.4,,,,0.3,,,,,
2016-01-31,-6.5,-5.2,-11.0,9.0,0.0,,,,2.3,,,,,
2016-02-01,-7.6,-6.2,-9.0,15.0,0.0,,,,0.7,,,,,
2016-02-02,-7.8,-4.6,-10.8,15.5,0.0,,,,,,,,,
2016-02-03,-7.4,-3.5,-14.0,10.0,0.0,,,,,,,,,
2016-02-04,-3.4,0.9,-8.3,2.0,1.6,,,,,,,,,
2016-02-05,-3.4,-1.0,-5.7,4.5,0.2,,,,3.3,,,,,
2016-02-06,-6.8,-3.8,-10.6,12.0,0.9,,,,1.8,,,,,
2016-02-07,-6.5,-2.9,-12.5,3.5,0.8,,,,2.5,,,,,
2016-02-08,-6.7,-3.0,-13.3,0.0,7.2,,,,1.4,,,,,
2016-02-09,-1.1,3.5,-8.7,4.5,1.8,,,,2.4,,,,,
2016-02-10,-2.4,0.9,-6.6,0.5,3.5,,,,3.3,,,,,
2016-02-11,-5.4,0.1,-10.8,0.0,4.9,,,,1.3,,,,,
2016-02-12,-2.0,2.2,-11.3,0.0,1.4,,,,1.1,,,,,
2016-02-13,3.1,5.1,1.1,1.0,0.0,,,,1.2,,,,,
2016-02-14,0.6,2.4,-2.6,6.0,0.0,,,,1.7,,,,,
2016-02-15,-6.1,-2.0,-9.5,3.5,0.9,,,,4.8,,,,,
2016-02-16,-7.5,-3.7,-11.9,8.0,1.8,,,,2.3,,,,,
2016-02-17,-5.1,-3.2,-11.3,5.0,0.8,,,,3.9,,,,,
2016-02-18,-2.1,0.2,-6.1,4.0,2.2,,,,,,,,,
2016-02-19,0.8,4.0,-4.2,1.0,0.8,,,,,,,,,
2016-02-20,0.9,3.0,-1.7,1.0,5.2,,,,2.4,,,,,
2016-02-21,-0.7,1.6,-2.3,2.0,1.2,,,,3.2,,,,,
2016-02-22,-4.4,-1.5,-8.5,1.5,0.1,,,,2.8,,,,,
2016-02-23,-3.9,-0.3,-9.6,1.0,0.0,,,,1.4,,,,,
2016-02-24,-9.6,-6.7,-15.8,3.0,0.6,,,,0.9,,,,,
2016-02-25,-8.5,-4.7,-11.5,8.5,0.1,,,,,,,,,
2016-02-26,-7.5,-3.6,-11.4,8.0,0.2,,,,1.2,,,,,
2016-02-27,-7.2,-3.0,-13.4,4.5,0.9,,,,1.3,,,,,
2016-02-28,-8.3,-1.7,-14.5,0.5,10.1,,,,0.8,,,,,
2016-02-29,-2.0,4.6,-13.7,4.0,0.7,,,,3.4,,,,,
2016-03-01,-3.3,-1.3,-8.1,1.5,3.5,,,,3.7,,,,,
2016-03-02,-6.2,-1.6,-10.2,4.0,0.6,,,,0.9,,,,,
2016-03-03,-6.5,-2.4,-12.2,3.5,0.0,,,,,,,,,
2016-03-04,-8.6,-0.7,-17.8,0.0,7.1,,,,,,,,,
2016-03-05,-6.4,1.1,-16.7,0.0,10.2,,,,1.1,,,,,
2016-03-06,2.2,5.9,-5.0,14.5,0.0,,,,3.1,,,,,
2016-03-07,2.8,6.0,-2.8,0.5,3.4,,,,2.1,,,,,
2016-03-08,0.9,5.1,-3.3,0.5,2.7,,,,3.6,,,,,
2016-03-09,-1.9,0.3,-8.6,1.5,3.4,,,,4.1,,,,,
2016-03-10,-3.7,-0.5,-7.6,6.0,2.6,,,,0.9,,,,,
2016-03-11,-4.6,-0.9,-8.8,9.5,2.7,,,,1.7,,,,,
2016-03-12,-5.3,-0.7,-12.7,12.0,2.3,,,,1.0,,,,,
2016-03-13,-3.7,3.0,-15.2,0.0,8.9,,,,2.4,,,,,
2016-03-14,0.9,5.2,-1.5,1.5,7.4,,,,1.3,,,,,
2016-03-15,-1.3,1.9,-6.9,0.0,7.4,,,,1.9,,,,,
2016-03-16,0.2,8.4,-9.0,0.0,9.9,,,,1.8,,,,,
2016-03-17,3.2,10.9,-3.1,0.0,10.2,,,,1.6,,,,,
2016-03-18,5.7,10.7,-1.7,0.0,2.2,,,,1.2,,,,,
2016-03-19,3.8,5.9,1.1,1.5,0.0,,,,0.9,,,,,
2016-03-20,-0.7,1.8,-6.5,0.0,4.4,,,,2.3,,,,,
2016-03-21,-2.4,2.3,-6.9,0.5,5.2,,,,1.4,,,,,
2016-03-22,-1.3,4.1,-9.3,0.0,4.7,,,,1.7,,,,,
2016-03-23,-0.1,3.7,-5.0,0.5,7.7,,,,1.9,,,,,
2016-03-24,-1.1,3.3,-5.8,3.0,4.9,,,,1.2,,,,,
2016-03-25,-1.6,3.0,-6.4,0.0,5.2,,,,1.3,,,,,
2016-03-26,0.2,4.7,-4.5,0.0,9.3,,,,1.5,,,,,
2016-03-27,3.0,9.4,-4.7,0.0,8.4,,,,1.3,,,,,
2016-03-28,3.0,6.8,-3.5,0.0,10.6,,,,2.2,,,,,
2016-03-29,2.2,10.8,-5.0,0.0,9.3,,,,1.8,,,,,
2016-03-30,4.1,9.8,0.1,1.5,2.1,,,,2.2,,,,,
2016-03-31,3.1,7.2,-1.8,0.0,7.3,,,,1.6,,,,,
2016-04-01,4.1,11.0,-2.4,0.0,12.0,,,,1.2,,,,,
2016-04-02,3.4,5.9,1.5,0.0,2.0,,,,4.3,,,,,
2016-04-03,5.2,9.6,1.1,2.0,0.7,,,,3.0,,,,,
2016-04-04,3.9,9.3,-2.0,0.0,10.2,,,,1.9,,,,,
2016-04-05,4.6,12.0,-4.1,0.5,7.9,,,,2.8,,,,,
2016-04-06,5.4,9.3,-0.5,0.0,11.8,,,,2.8,,,,,
2016-04-07,5.6,11.2,-2.4,4.5,4.0,,,,2.1,,,,,
2016-04-08,4.3,10.3,-2.0,2.0,2.0,,,,1.6,,,,,
2016-04-09,3.8,10.4,-2.4,0.0,6.8,,,,4.2,,,,,
2016-04-10,2.5,4.9,-2.3,0.0,9.6,,,,3.3,,,,,
2016-04-11,0.7,4.3,-3.0,0.0,5.8,,,,2.3,,,,,
2016-04-12,3.5,8.4,-4.3,0.0,11.3,,,,1.9,,,,,
2016-04-13,6.0,9.2,1.8,2.5,0.0,,,,2.4,,,,,
2016-04-14,8.4,14.0,3.9,7.0,1.2,,,,1.7,,,,,
2016-04-15,4.0,6.5,2.5,0.5,4.5,,,,4.8,,,,,
2016-04-16,4.6,10.1,-1.4,0.0,5.4,,,,1.1,,,,,
2016-04-17,6.2,10.7,2.7,15.0,0.0,,,,2.0,,,,,
2016-04-18,4.6,7.9,1.8,3.5,1.1,,,,2.7,,,,,
2016-04-19,3.4,7.5,1.0,1.5,0.6,,,,1.3,,,,,
2016-04-20,7.5,14.2,0.3,5.5,6.1,,,,2.5,,,,,
2016-04-21,11.9,19.8,5.2,0.0,11.0,,,,2.8,,,,,
2016-04-22,11.4,20.4,3.8,0.0,10.4,,,,2.4,,,,,
2016-04-23,7.2,9.0,5.0,7.5,0.0,,,,3.9,,,,,
2016-04-24,6.9,12.6,1.6,0.0,9.5,,,,2.0,,,,,
2016-04-25,8.0,15.0,0.7,0.0,12.1,,,,2.2,,,,,
2016-04-26,6.7,12.6,0.8,0.0,1.4,,,,1.9,,,,,
2016-04-27,6.0,11.9,-1.7,0.0,13.2,,,,2.2,,,,,
2016-04-28,7.1,12.7,2.8,0.5,4.1,,,,3.1,,,,,
2016-04-29,3.7,5.5,1.4,4.0,0.0,,,,3.2,,,,,
2016-04-30,2.9,6.9,-1.5,0.0,5.5,,,,3.6,,,,,
2016-05-01,4.7,11.3,-1.7,0.0,9.5,,,,1.9,,,,,
2016-05-02,7.5,16.0,-2.3,0.0,9.7,,,,2.9,,,,,
2016-05-03,15.1,22.6,9.2,0.0,10.9,,,,4.7,,,,,
2016-05-04,13.4,16.1,10.8,7.5,1.1,,,,3.7,,,,,
2016-05-05,10.2,12.7,8.4,1.0,0.0,,,,2.9,,,,,
2016-05-06,10.5,14.4,6.6,1.5,0.7,,,,1.4,,,,,
2016-05-07,10.7,13.8,8.7,4.0,2.0,,,,3.6,,,,,
2016-05-08,11.1,15.3,4.3,0.0,10.4,,,,4.0,,,,,
2016-05-09,11.7,19.5,1.6,0.0,7.7,,,,1.9,,,,,
