calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.7,-2.7,-8.5,1.0,1.9,,22,2,2.6,3.5,1018.2,81,1019.3,
2016-01-02,-2.1,-0.1,-5.3,7.0,0.0,,32,14,1.9,4.9,1008.6,94,1009.7,
2016-01-03,-3.3,-1.3,-4.9,3.5,0.3,,35,8,2.5,3.9,1008.7,81,1009.8,
2016-01-04,-5.2,-3.2,-6.8,1.5,1.6,,35,2,2.3,3.3,1008.6,79,1009.7,
2016-01-05,-6.6,-5.5,-7.7,5.5,0.0,,38,7,2.5,3.0,1009.2,81,1010.3,
2016-01-06,-5.3,-3.0,-7.2,4.5,0.0,,41,8,2.9,3.4,1008.4,83,1009.5,
2016-01-07,-6.1,-4.5,-7.5,0.5,1.2,,39,2,3.1,3.0,1005.3,76,1006.4,
2016-01-08,-5.3,-3.8,-7.1,3.0,1.4,,42,9,2.2,3.4,1005.6,83,1006.7,
2016-01-09,-6.5,-4.7,-8.2,3.5,4.8,,42,7,2.3,3.0,1010.1,81,1011.2,
2016-01-10,-6.7,-5.7,-9.9,4.0,0.0,,43,4,2.2,3.1,1008.8,83,1009.9,
2016-01-11,-9.1,-7.6,-11.1,3.0,2.3,,46,6,2.9,2.4,1011.9,78,1013.0,
2016-01-12,-9.8,-7.9,-12.0,2.5,0.0,,42,2,1.7,2.5,1008.8,86,1009.9,
2016-01-13,-8.0,-6.4,-10.2,2.0,0.5,,43,4,2.3,2.9,1008.4,87,1009.5,
2016-01-14,-6.7,-4.0,-9.3,4.5,0.0,,43,7,6.8,3.1,1009.9,84,1011.0,
2016-01-15,-8.5,-5.2,-10.7,0.0,6.6,,41,,2.8,2.3,1015.0,72,1016.1,
2016-01-16,-8.1,-3.7,-11.6,0.0,6.3,,38,,3.3,2.7,1015.1,80,1016.2,
2016-01-17,-8.1,-4.0,-12.2,0.0,5.8,,37,,2.7,2.6,1020.8,78,1021.9,
2016-01-18,-5.2,-0.9,-12.2,5.0,4.1,,35,1,6.8,3.2,1019.4,75,1020.5,
2016-01-19,-1.5,-1.0,-2.2,5.0,0.0,,20,5,14.2,5.1,1003.9,93,1005.0,
2016-01-20,-2.5,-1.7,-3.4,0.5,0.0,,26,13,12.7,4.4,1007.0,87,1008.1,
2016-01-21,-3.9,-1.8,-5.7,0.0,1.9,,27,2,3.9,3.5,1011.5,76,1012.6,
2016-01-22,-2.8,-0.4,-5.1,4.5,0.0,,33,13,6.0,4.6,1012.2,92,1013.3,
2016-01-23,-5.1,-3.3,-7.9,0.5,2.8,,33,1,3.3,3.2,1013.6,77,1014.7,
2016-01-24,-7.7,-5.3,-10.6,1.0,1.1,,32,1,4.5,2.5,1005.3,72,1006.4,
2016-01-25,-9.2,-6.5,-13.6,0.0,4.1,,32,4,2.7,2.4,1009.1,79,1010.2,
2016-01-26,-2.1,0.2,-6.6,1.0,0.2,,36,4,2.7,4.1,1011.5,78,1012.6,
2016-01-27,-4.0,-1.1,-5.8,2.5,1.4,,38,7,2.8,3.7,1013.9,80,1015.0,
2016-01-28,-7.5,-4.1,-11.1,4.0,3.0,,40,4,4.6,2.5,1018.4,71,1019.5,
2016-01-29,-9.2,-6.1,-11.9,0.0,6.2,,37,,3.5,2.1,1023.3,68,1024.4,
2016-01-30,-10.1,-5.9,-14.3,0.0,6.0,,34,,2.5,2.1,1021.4,74,1022.5,
2016-01-31,-9.8,-6.7,-13.1,0.0,2.5,,33,,2.7,2.3,1015.9,78,1017.0,
2016-02-01,-10.7,-7.8,-13.4,0.0,2.2,,33,,3.2,1.9,1016.9,71,1018.0,
2016-02-02,-9.0,-5.2,-12.3,0.5,3.0,,34,2,3.3,2.5,1012.8,79,1013.9,
2016-02-03,-8.4,-4.2,-13.2,0.0,5.1,,34,,3.0,2.6,1017.2,79,1018.3,
2016-02-04,-4.3,-0.1,-9.9,1.0,3.5,,36,4,2.7,4.0,1011.8,88,1012.9,
2016-02-05,-4.5,-2.3,-8.6,4.0,5.2,,47,11,4.0,3.2,1007.9,72,1009.0,
2016-02-06,-7.2,-4.3,-9.8,2.5,6.3,,53,15,3.2,2.7,1010.0,77,1011.1,
2016-02-07,-8.4,-5.7,-12.2,5.5,5.9,,55,11,3.4,2.5,1009.2,78,1010.3,
2016-02-08,-9.5,-6.1,-12.4,1.5,6.2,,60,6,2.6,2.4,1016.3,80,1017.4,
2016-02-09,-5.2,-1.5,-11.5,1.5,0.0,,50,2,1.5,3.9,1004.7,90,1005.8,
2016-02-10,-2.9,-1.1,-5.4,3.0,4.3,,53,7,5.4,4.0,1010.3,81,1011.4,
2016-02-11,-5.3,-2.8,-9.0,0.5,4.0,,54,2,3.1,3.5,1027.5,83,1028.6,
2016-02-12,0.1,4.4,-7.2,1.5,0.2,,49,,4.6,4.8,1021.7,77,1022.8,
2016-02-13,4.1,6.1,-0.3,0.5,0.0,,41,,5.3,7.2,1009.7,87,1010.7,
2016-02-14,-4.7,-0.2,-7.2,11.5,0.0,,45,24,8.8,4.0,998.8,92,999.9,
2016-02-15,-8.2,-4.5,-11.6,2.0,4.2,,47,6,4.0,2.7,995.4,81,996.5,
2016-02-16,-8.0,-6.0,-11.4,4.0,2.3,,51,6,2.2,2.9,1002.9,86,1004.0,
2016-02-17,-6.9,-5.1,-8.5,6.0,0.4,,56,5,3.4,2.9,1004.3,79,1005.4,
2016-02-18,-3.9,-0.8,-8.1,1.0,1.7,,55,2,3.0,3.6,1013.7,78,1014.8,
2016-02-19,-2.5,-0.9,-5.9,8.0,0.2,,61,13,1.6,4.8,1015.6,95,1016.7,
2016-02-20,-0.9,0.9,-2.7,3.0,4.7,,63,3,4.1,3.9,1022.2,68,1023.3,
2016-02-21,-3.4,-2.3,-4.8,8.5,0.0,,70,18,7.5,4.5,1011.9,95,1013.0,
2016-02-22,-5.0,-2.9,-6.4,4.5,1.6,,76,7,2.7,3.6,1021.8,85,1022.9,
2016-02-23,-5.9,-2.4,-9.2,11.0,0.0,,88,13,4.0,3.4,1018.4,85,1019.5,
2016-02-24,-10.7,-8.9,-13.5,0.0,3.8,,81,1,3.5,2.0,1022.4,72,1023.5,
2016-02-25,-9.8,-6.0,-15.6,0.5,4.0,,76,,3.6,2.1,1020.4,74,1021.5,
2016-02-26,-8.6,-6.3,-12.9,2.5,4.2,,79,10,2.5,2.6,1019.7,81,1020.8,
2016-02-27,-8.6,-3.6,-15.1,1.0,3.5,,77,2,3.2,2.6,1022.1,81,1023.2,
2016-02-28,-7.4,-3.3,-12.8,2.5,5.9,,76,6,2.3,3.0,1026.8,85,1027.9,
2016-02-29,-4.0,-1.4,-8.2,13.5,0.0,,74,2,7.8,4.1,1010.4,89,1011.5,
2016-03-01,-5.1,-1.5,-8.0,2.5,1.5,,69,6,7.9,3.4,1003.7,79,1004.8,
2016-03-02,-7.3,-4.4,-10.0,0.0,2.2,,73,7,3.0,2.9,1015.2,81,1016.3,
2016-03-03,-8.1,-4.9,-12.3,0.0,10.5,,69,,2.9,2.4,1021.4,74,1022.5,
2016-03-04,-6.8,-2.5,-11.4,0.0,5.0,,68,3,3.4,3.0,1030.0,80,1031.1,
2016-03-05,-4.9,-2.0,-10.2,0.0,8.2,,67,1,2.0,3.0,1034.4,72,1035.5,
2016-03-06,-2.3,3.0,-6.5,9.0,0.0,,64,1,2.0,4.6,1019.5,86,1020.6,
2016-03-07,3.4,6.5,0.2,2.5,6.2,,60,,6.3,5.7,1012.8,73,1013.9,
2016-03-08,-0.2,3.3,-3.4,2.5,5.3,,51,2,2.9,4.9,1007.8,81,1008.9,
2016-03-09,-1.5,1.7,-4.7,1.0,6.1,,51,1,5.4,3.1,1011.1,58,1012.2,
2016-03-10,-2.4,1.5,-5.5,0.0,6.4,,49,1,3.5,3.5,1016.2,70,1017.3,
2016-03-11,-3.9,-0.8,-6.5,1.0,3.4,,52,6,3.0,3.8,1014.2,84,1015.3,
2016-03-12,-3.4,0.6,-7.4,0.5,9.7,,52,,3.7,3.0,1020.5,65,1021.6,
2016-03-13,-0.3,4.0,-6.7,0.5,8.4,,49,,3.6,3.7,1021.3,64,1022.4,
2016-03-14,1.1,5.4,-3.7,0.0,6.7,,47,,3.0,5.2,1014.8,79,1015.9,
2016-03-15,-1.5,2.3,-4.8,0.0,8.2,,44,1,3.7,2.9,1012.2,53,1013.3,
2016-03-16,3.0,9.1,-5.2,0.5,7.2,,43,,6.1,4.9,1007.5,63,1008.5,
2016-03-17,2.8,8.4,-0.4,0.5,5.9,,36,,3.3,6.1,1013.1,83,1014.2,
2016-03-18,3.0,8.1,-1.0,,8.0,,33,,2.5,5.6,1011.4,74,1012.5,
2016-03-19,3.4,6.8,-0.1,0.0,2.5,,29,,4.0,6.5,1005.2,83,1006.2,
2016-03-20,-1.7,0.6,-3.7,0.5,3.7,,29,5,4.5,3.7,1013.2,68,1014.3,
2016-03-21,-1.2,1.7,-4.4,0.0,1.2,,28,,4.4,3.5,1011.9,62,1013.0,
2016-03-22,1.4,4.9,-2.8,1.0,10.0,,28,4,4.6,3.9,1004.8,60,1005.8,
2016-03-23,-0.3,2.1,-3.1,1.0,3.7,,27,1,2.3,5.1,1009.2,86,1010.3,
2016-03-24,-2.2,0.3,-4.3,0.5,0.1,,26,1,2.2,4.7,1015.7,90,1016.8,
2016-03-25,-1.4,0.6,-4.7,0.0,7.9,,25,,2.5,4.5,1014.4,82,1015.5,
2016-03-26,-1.0,1.8,-4.2,0.0,7.2,,23,,2.1,4.3,1016.3,76,1017.4,
2016-03-27,5.8,10.8,1.5,1.0,10.2,,21,,5.8,5.0,1011.9,57,1012.9,
2016-03-28,3.1,6.6,-0.9,5.5,11.3,,12,,3.5,4.8,1015.6,65,1016.6,
2016-03-29,0.9,3.3,-3.2,,9.7,,9,,3.0,5.0,1020.9,76,1022.0,
2016-03-30,4.8,8.4,-0.3,0.0,4.6,,5,,2.3,6.5,1012.7,76,1013.7,
2016-03-31,4.2,8.0,1.5,0.0,4.6,,,,3.6,6.5,1013.3,79,1014.3,
2016-04-01,0.7,1.7,0.0,0.0,0.0,,,,4.3,5.8,1028.1,90,1029.2,
