calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.2,-0.2,-4.8,,,,,,4.7,,,,,
2016-01-02,-0.4,1.0,-3.0,,,,,,5.4,,,,,
2016-01-03,-3.2,-2.2,-4.1,,,,,,7.1,,,,,
2016-01-04,-4.4,-3.3,-5.0,,,,,,7.3,,,,,
2016-01-05,-6.2,-4.1,-7.3,,,,,,7.8,,,,,
2016-01-06,-5.0,-3.7,-6.3,,,,,,7.8,,,,,
2016-01-07,-5.5,-3.8,-6.6,,,,,,6.3,,,,,
2016-01-08,-4.6,-3.8,-5.9,,,,,,6.5,,,,,
2016-01-09,-6.0,-4.5,-7.3,,,,,,6.7,,,,,
2016-01-10,-6.7,-4.3,-8.5,,,,,,5.2,,,,,
2016-01-11,-8.9,-6.7,-10.5,,,,,,6.2,,,,,
2016-01-12,-8.9,-7.8,-10.1,,,,,,6.7,,,,,
2016-01-13,-6.9,-5.6,-8.2,,,,,,3.4,,,,,
2016-01-14,-6.8,-5.2,-7.8,,,,,,7.2,,,,,
2016-01-15,-6.6,-6.0,-7.5,,,,,,3.8,,,,,
2016-01-16,-6.0,-4.4,-8.5,,,,,,3.6,,,,,
2016-01-17,-5.3,-4.5,-6.4,,,,,,3.7,,,,,
2016-01-18,-4.2,-1.1,-8.6,,,,,,8.7,,,,,
2016-01-19,-1.6,-0.3,-2.8,,,,,,17.3,,,,,
2016-01-20,-2.3,-1.5,-3.6,,,,,,9.2,,,,,
2016-01-21,-2.9,-1.9,-4.0,,,,,,5.8,,,,,
2016-01-22,-2.0,-0.5,-3.8,,,,,,7.1,,,,,
2016-01-23,-4.7,-3.1,-6.2,,,,,,5.3,,,,,
2016-01-24,-7.4,-5.8,-9.2,,,,,,5.9,,,,,
2016-01-25,-6.8,-3.6,-9.1,,,,,,5.4,,,,,
2016-01-26,-2.5,-1.7,-3.9,,,,,,9.8,,,,,
2016-01-27,-4.5,-1.8,-5.8,,,,,,8.8,,,,,
2016-01-28,-7.6,-4.6,-9.7,,,,,,9.4,,,,,
2016-01-29,-8.5,-7.5,-9.4,,,,,,5.8,,,,,
2016-01-30,-8.3,-6.9,-10.4,,,,,,2.9,,,,,
2016-01-31,-9.0,-7.2,-10.3,,,,,,5.5,,,,,
2016-02-01,-9.6,-8.0,-11.1,,,,,,4.7,,,,,
2016-02-02,-7.5,-6.1,-9.4,,,,,,5.5,,,,,
2016-02-03,-5.8,-4.0,-7.9,,,,,,4.6,,,,,
2016-02-04,-1.8,0.4,-5.2,,,,,,5.7,,,,,
2016-02-05,-4.7,-1.4,-6.4,,,,,,7.9,,,,,
2016-02-06,-6.8,-5.1,-8.8,,,,,,6.0,,,,,
2016-02-07,-7.5,-4.6,-9.4,,,,,,6.8,,,,,
2016-02-08,-7.5,-4.5,-9.8,,,,,,2.9,,,,,
2016-02-09,-2.4,0.1,-8.1,,,,,,6.1,,,,,
2016-02-10,-3.1,-1.1,-4.5,,,,,,7.8,,,,,
2016-02-11,-3.5,-2.0,-6.3,,,,,,4.5,,,,,
2016-02-12,3.4,5.1,-2.6,,,,,,12.8,,,,,
2016-02-13,3.8,6.0,0.2,,,,,,8.3,,,,,
2016-02-14,-4.5,0.3,-6.3,,,,,,11.6,,,,,
2016-02-15,-6.6,-4.4,-9.0,,,,,,6.2,,,,,
2016-02-16,-7.5,-5.8,-9.0,,,,,,7.3,,,,,
2016-02-17,-7.0,-5.7,-8.6,,,,,,9.9,,,,,
2016-02-18,-2.8,-0.8,-6.7,,,,,,8.5,,,,,
2016-02-19,-1.2,0.2,-5.2,,,,,,3.1,,,,,
2016-02-20,-1.9,-0.2,-4.3,,,,,,7.6,,,,,
2016-02-21,-3.2,-1.2,-4.2,,,,,,8.6,,,,,
2016-02-22,-4.8,-2.5,-6.3,,,,,,6.9,,,,,
2016-02-23,-6.4,-1.8,-9.6,,,,,,5.2,,,,,
2016-02-24,-9.6,-8.5,-10.9,,,,,,4.9,,,,,
2016-02-25,-7.7,-5.8,-10.7,,,,,,5.8,,,,,
2016-02-26,-7.3,-6.0,-10.9,,,,,,4.7,,,,,
2016-02-27,-6.8,-5.5,-11.4,,,,,,3.9,,,,,
2016-02-28,-5.7,-2.8,-12.6,,,,,,3.6,,,,,
2016-02-29,,,,,,,,,,,,,,
2016-03-01,-4.5,-1.5,-5.9,,,,,,9.6,,,,,
2016-03-02,-5.4,-3.6,-10.2,,,,,,3.1,,,,,
2016-03-03,-5.5,-3.5,-10.5,,,,,,3.7,,,,,
2016-03-04,-3.7,-0.8,-8.3,,,,,,2.9,,,,,
2016-03-05,-1.8,-0.1,-5.8,,,,,,3.8,,,,,
2016-03-06,2.2,6.9,-5.2,,,,,,6.8,,,,,
2016-03-07,2.0,5.6,0.0,,,,,,7.5,,,,,
2016-03-08,1.0,4.5,-2.0,,,,,,5.8,,,,,
2016-03-09,-1.5,0.2,-3.2,,,,,,8.0,,,,,
2016-03-10,-1.9,0.0,-4.1,,,,,,5.7,,,,,
2016-03-11,-3.0,-1.5,-4.6,,,,,,5.3,,,,,
2016-03-12,-1.8,-0.2,-4.3,,,,,,5.5,,,,,
2016-03-13,0.6,2.5,-2.1,,,,,,8.0,,,,,
2016-03-14,0.6,2.7,-5.0,,,,,,5.2,,,,,
2016-03-15,-1.9,0.1,-6.8,,,,,,4.3,,,,,
2016-03-16,2.8,5.0,-2.2,,,,,,8.8,,,,,
2016-03-17,3.4,7.4,-0.4,,,,,,3.7,,,,,
2016-03-18,7.2,9.0,5.7,,,,,,10.1,,,,,
