calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-6.4,-3.4,-10.1,0.5,0.8,,56,4,1.2,,,,,
2016-01-02,-3.2,0.0,-7.5,14.0,0.0,,69,16,0.8,,,,,
2016-01-03,-3.7,-2.4,-4.4,5.0,0.0,,76,13,1.8,,,,,
2016-01-04,-5.6,-3.9,-7.2,6.5,0.0,,83,12,1.3,,,,,
2016-01-05,-7.0,-5.7,-9.5,10.0,0.0,,94,18,,,,,,
2016-01-06,-5.7,-3.5,-7.6,7.5,0.0,,101,17,2.4,,,,,
2016-01-07,-6.6,-5.5,-8.3,2.0,0.0,,99,5,1.6,,,,,
2016-01-08,-6.2,-4.4,-9.8,5.5,0.0,,99,12,1.1,,,,,
2016-01-09,-7.2,-5.9,-8.6,9.0,0.0,,103,14,1.2,,,,,
2016-01-10,-7.3,-5.6,-13.1,7.0,0.0,,107,5,,,,,,
2016-01-11,-10.9,-7.0,-14.9,0.5,2.2,,101,0,,,,,,
2016-01-12,-10.5,-8.3,-13.1,7.5,0.0,,104,12,,,,,,
2016-01-13,-9.5,-6.3,-13.1,3.0,0.0,,102,3,,,,,,
2016-01-14,-9.2,-6.3,-12.8,9.5,0.0,,118,19,,,,,,
2016-01-15,-16.7,-5.5,-25.4,0.0,7.3,,114,0,0.3,,,,,
2016-01-16,-13.5,-4.6,-22.7,0.0,3.5,,103,0,0.6,,,,,
2016-01-17,-15.2,-4.4,-27.4,0.0,6.4,,97,0,0.4,,,,,
2016-01-18,-10.5,-1.8,-23.9,1.0,3.7,,92,0,3.2,,,,,
2016-01-19,-2.2,-1.6,-3.2,25.5,0.0,,90,7,8.3,,,,,
2016-01-20,-3.4,-2.5,-4.4,11.5,0.0,,96,14,4.2,,,,,
2016-01-21,-6.2,-2.0,-11.4,0.0,2.2,,96,0,1.3,,,,,
2016-01-22,-3.7,-1.6,-10.2,18.5,0.0,,112,22,2.0,,,,,
2016-01-23,-6.4,-2.9,-11.0,0.5,1.3,,113,1,0.7,,,,,
2016-01-24,-11.9,-5.5,-18.3,0.0,1.3,,110,3,0.7,,,,,
2016-01-25,-14.0,-6.3,-25.8,0.0,3.2,,106,3,0.7,,,,,
2016-01-26,-2.2,0.4,-6.6,0.5,0.2,,108,2,2.7,,,,,
2016-01-27,-4.3,-1.0,-5.7,1.5,0.6,,109,7,2.3,,,,,
2016-01-28,-8.6,-4.3,-19.1,4.5,2.1,,117,12,2.9,,,,,
2016-01-29,-13.8,-6.7,-21.9,0.0,1.8,,112,0,1.1,,,,,
2016-01-30,-16.7,-5.7,-27.4,0.0,7.5,,107,0,0.5,,,,,
2016-01-31,-12.9,-7.4,-18.3,0.5,0.1,,107,4,0.8,,,,,
2016-02-01,-14.7,-8.8,-21.2,0.0,2.2,,104,0,0.9,,,,,
2016-02-02,-13.8,-6.3,-21.0,0.0,0.0,,102,1,0.8,,,,,
2016-02-03,-13.8,-5.9,-25.8,0.0,1.6,,102,2,0.6,,,,,
2016-02-04,-8.2,-0.2,-19.7,0.0,1.2,,103,4,0.7,,,,,
2016-02-05,-5.1,-2.8,-11.5,2.0,1.4,,111,9,2.6,,,,,
2016-02-06,-11.1,-5.6,-17.1,0.0,0.5,,107,1,1.0,,,,,
2016-02-07,-11.5,-6.3,-24.1,5.0,2.7,,114,11,1.0,,,,,
2016-02-08,-12.2,-5.2,-20.2,0.0,6.3,,112,0,,,,,,
2016-02-09,-10.1,-2.5,-20.7,1.0,0.3,,106,1,,,,,,
2016-02-10,-4.4,-1.2,-10.2,1.0,1.4,,107,5,2.2,,,,,
2016-02-11,-7.7,-2.1,-15.9,0.0,5.5,,107,0,0.9,,,,,
2016-02-12,-2.2,3.7,-16.5,0.0,0.0,,103,0,2.8,,,,,
2016-02-13,3.5,5.6,-0.1,2.0,0.0,,97,0,1.7,,,,,
2016-02-14,-5.2,0.0,-7.7,33.5,0.0,,114,30,5.1,,,,,
2016-02-15,-10.2,-5.6,-16.7,5.0,2.2,,129,20,2.0,,,,,
2016-02-16,-9.4,-6.0,-16.7,8.0,0.1,,135,12,,,,,,
2016-02-17,-7.3,-5.6,-8.9,8.0,0.0,,145,12,,,,,,
2016-02-18,-5.3,-1.6,-9.5,2.5,0.0,,143,2,1.6,,,,,
2016-02-19,-3.7,0.5,-10.3,9.0,1.2,,143,12,1.0,,,,,
2016-02-20,-1.8,0.7,-5.7,2.0,2.2,,146,4,2.9,,,,,
2016-02-21,-3.9,-2.7,-5.9,23.5,0.0,,159,22,3.5,,,,,
2016-02-22,-6.2,-3.8,-9.4,6.5,1.2,,172,17,1.7,,,,,
2016-02-23,-6.4,-2.8,-12.7,10.5,0.0,,183,12,,,,,,
2016-02-24,-15.3,-8.5,-23.6,0.0,4.3,,174,0,,,,,,
2016-02-25,-15.3,-7.2,-23.9,0.5,2.3,,165,0,1.0,,,,,
2016-02-26,-10.9,-5.1,-20.3,0.5,5.2,,163,2,1.0,,,,,
2016-02-27,-13.7,-4.7,-24.0,0.0,1.0,,157,0,0.7,,,,,
2016-02-28,-12.4,-3.4,-26.5,3.5,6.6,,158,8,0.6,,,,,
2016-02-29,-5.5,-2.0,-13.2,7.5,0.0,,166,11,,,,,,
