calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.8,-1.0,-15.8,0.0,8.6,,,,1.9,,,,,
2016-01-02,-5.8,2.2,-14.2,0.5,1.7,,,,1.7,,,,,
2016-01-03,-3.3,1.1,-8.6,0.0,8.0,,,,1.3,,,,,
2016-01-04,-6.7,-0.7,-15.3,0.0,4.5,,,,1.2,,,,,
2016-01-05,-9.1,-2.0,-17.0,0.0,6.5,,,,1.8,,,,,
2016-01-06,-7.7,-1.0,-17.9,0.0,6.8,,,,1.7,,,,,
2016-01-07,-7.7,-2.4,-14.4,0.0,8.4,,,,1.9,,,,,
2016-01-08,-7.1,-1.0,-16.1,0.0,6.3,,,,1.4,,,,,
2016-01-09,-9.2,-1.8,-15.8,0.0,8.6,,,,1.5,,,,,
2016-01-10,-6.9,-2.8,-14.0,0.0,3.3,,,,1.7,,,,,
2016-01-11,-11.1,-6.0,-19.2,0.0,8.5,,,,1.8,,,,,
2016-01-12,-12.4,-6.3,-20.6,0.0,8.0,,,,1.7,,,,,
2016-01-13,-11.1,-3.5,-21.3,0.0,8.1,,,,1.6,,,,,
2016-01-14,-8.4,-3.1,-16.6,3.5,8.3,,,,1.9,,,,,
2016-01-15,-10.2,-6.9,-15.4,0.0,2.8,,,,1.2,,,,,
2016-01-16,-12.4,-6.1,-18.6,0.0,8.4,,,,1.3,,,,,
2016-01-17,-13.3,-5.4,-19.5,0.0,8.7,,,,1.6,,,,,
2016-01-18,-9.7,-5.6,-17.4,12.5,0.0,,,,2.3,,,,,
2016-01-19,-2.7,-0.4,-5.7,11.0,0.0,,,,5.0,,,,,
2016-01-20,-1.7,-0.4,-4.2,0.0,0.1,,,,4.7,,,,,
2016-01-21,-5.1,-1.1,-13.0,0.0,8.9,,,,4.0,,,,,
2016-01-22,-6.4,0.0,-15.7,0.0,7.7,,,,2.1,,,,,
2016-01-23,-6.3,-1.3,-14.3,0.0,3.0,,,,1.4,,,,,
2016-01-24,-10.3,-6.4,-15.6,0.0,3.5,,,,1.6,,,,,
2016-01-25,-12.5,-5.9,-17.7,0.0,8.7,,,,1.7,,,,,
2016-01-26,-8.1,0.5,-20.6,0.0,9.0,,,,1.8,,,,,
2016-01-27,-6.3,0.9,-14.9,0.0,8.0,,,,2.1,,,,,
2016-01-28,-7.5,-0.2,-14.6,0.0,6.8,,,,2.3,,,,,
