calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.9,-0.6,-16.6,,,,31,0,1.6,,,,,
2016-01-02,-6.3,1.8,-14.9,,,,33,2,1.4,,,,,
2016-01-03,-2.8,0.7,-10.2,,,,33,0,1.7,,,,,
2016-01-04,-6.2,-0.4,-14.2,,,,32,0,1.1,,,,,
2016-01-05,-8.2,-2.2,-16.8,,,,32,2,2.0,,,,,
2016-01-06,-8.0,-1.6,-18.4,,,,32,0,1.3,,,,,
2016-01-07,-5.7,-1.9,-14.1,,,,31,0,1.8,,,,,
2016-01-08,-7.2,-0.3,-16.1,,,,31,0,1.1,,,,,
2016-01-09,-9.0,-2.1,-16.6,,,,31,0,1.2,,,,,
2016-01-10,-7.2,-2.1,-14.4,,,,31,0,1.9,,,,,
2016-01-11,-10.7,-5.7,-18.2,,,,31,0,1.6,,,,,
2016-01-12,-12.6,-4.8,-20.5,,,,31,0,0.8,,,,,
2016-01-13,-11.5,-3.0,-20.4,,,,31,0,0.8,,,,,
2016-01-14,-8.6,-3.2,-17.5,,,,44,13,2.0,,,,,
2016-01-15,-11.4,-7.2,-19.1,,,,40,0,1.0,,,,,
2016-01-16,-14.0,-6.3,-21.3,,,,38,1,0.7,,,,,
2016-01-17,-14.6,-5.2,-22.7,,,,37,0,0.5,,,,,
2016-01-18,-10.5,-5.1,-19.6,,,,56,22,1.9,,,,,
2016-01-19,-2.2,0.0,-5.1,,,,82,36,5.2,,,,,
2016-01-20,-1.7,-0.3,-4.5,,,,66,0,4.8,,,,,
2016-01-21,-4.2,-1.2,-8.3,,,,59,0,3.8,,,,,
2016-01-22,-7.7,0.4,-19.2,,,,57,0,1.9,,,,,
2016-01-23,-6.1,-0.9,-16.4,,,,55,0,1.5,,,,,
2016-01-24,-11.1,-6.1,-18.2,,,,54,0,1.3,,,,,
2016-01-25,-13.3,-5.5,-20.0,,,,53,0,1.4,,,,,
2016-01-26,-11.1,-0.1,-22.0,,,,53,0,1.1,,,,,
2016-01-27,-8.1,-0.7,-17.3,,,,53,1,2.3,,,,,
2016-01-28,-7.4,-0.4,-17.6,,,,52,0,3.6,,,,,
2016-01-29,-10.6,-4.4,-18.8,,,,52,0,1.3,,,,,
2016-01-30,-12.0,-6.7,-17.8,,,,52,0,0.9,,,,,
2016-01-31,-12.4,-3.9,-19.7,,,,51,0,0.7,,,,,
2016-02-01,-14.2,-5.2,-21.6,,,,51,0,1.1,,,,,
2016-02-02,-14.7,-6.5,-24.3,,,,51,0,1.1,,,,,
2016-02-03,-12.1,-4.6,-20.6,,,,51,0,0.7,,,,,
2016-02-04,-12.9,-4.0,-21.0,,,,51,0,0.9,,,,,
2016-02-05,-8.0,-0.9,-16.8,,,,51,0,1.5,,,,,
2016-02-06,-11.0,-2.6,-19.3,,,,51,0,1.1,,,,,
2016-02-07,-10.3,-3.6,-23.2,,,,51,0,1.4,,,,,
2016-02-08,-6.6,-3.0,-13.5,,,,51,0,1.7,,,,,
2016-02-09,-6.4,-2.4,-12.1,,,,62,11,1.1,,,,,
2016-02-10,-4.0,0.0,-13.4,,,,60,0,5.4,,,,,
2016-02-11,-4.8,0.0,-15.3,,,,52,2,4.0,,,,,
2016-02-12,-9.1,-1.9,-17.2,,,,51,0,0.9,,,,,
2016-02-13,-2.3,1.3,-7.9,,,,51,0,1.1,,,,,
2016-02-14,-0.1,2.2,-2.5,,,,50,1,2.0,,,,,
2016-02-15,-5.1,0.4,-11.1,,,,49,0,2.9,,,,,
2016-02-16,-8.5,-3.1,-16.5,,,,49,0,1.2,,,,,
2016-02-17,-7.0,-1.0,-13.8,,,,50,1,2.3,,,,,
2016-02-18,-2.8,2.9,-10.3,,,,50,1,1.3,,,,,
2016-02-19,-1.3,5.4,-9.8,,,,50,2,1.3,,,,,
2016-02-20,-0.4,3.2,-6.1,,,,74,29,1.5,,,,,
