calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.7,-0.9,-15.0,0.0,8.4,,24,2,2.6,,,,,
2016-01-02,-4.9,3.7,-16.1,0.0,1.8,,28,5,3.2,,,,,
2016-01-03,-1.4,3.9,-11.3,0.0,7.6,,27,0,3.2,,,,,
2016-01-04,-8.0,1.2,-15.4,0.0,4.9,,26,0,2.3,,,,,
2016-01-05,-8.7,-0.5,-17.7,0.0,7.9,,26,0,2.6,,,,,
2016-01-06,-7.1,1.1,-20.3,0.0,6.7,,26,0,2.4,,,,,
2016-01-07,-9.1,-1.7,-18.5,0.0,8.0,,26,0,2.0,,,,,
2016-01-08,-7.4,0.6,-18.2,0.0,5.1,,26,0,2.0,,,,,
2016-01-09,-9.1,-1.6,-17.4,0.0,8.5,,26,0,2.1,,,,,
2016-01-10,-6.4,-0.4,-13.7,0.0,3.1,,27,1,2.2,,,,,
2016-01-11,-11.9,-5.4,-18.9,0.0,8.6,,26,0,2.1,,,,,
2016-01-12,-12.4,-3.1,-20.8,0.0,8.2,,26,0,2.3,,,,,
2016-01-13,-11.1,-3.0,-20.1,0.0,7.5,,27,1,2.1,,,,,
2016-01-14,-7.7,-1.5,-17.4,2.0,8.8,,34,8,3.5,,,,,
2016-01-15,-9.1,-6.9,-14.5,0.0,2.6,,32,3,2.9,,,,,
2016-01-16,-12.2,-4.9,-18.2,0.0,7.6,,30,0,2.7,,,,,
2016-01-17,-11.9,-2.6,-19.3,0.0,8.0,,30,2,2.7,,,,,
2016-01-18,-8.8,-5.0,-15.6,4.5,0.0,,63,33,4.9,,,,,
2016-01-19,-2.1,0.5,-5.1,1.5,0.0,,73,20,8.1,,,,,
2016-01-20,-0.6,1.0,-3.6,0.0,1.1,,58,0,6.6,,,,,
2016-01-21,-5.2,-0.6,-13.9,0.0,8.5,,58,0,4.5,,,,,
2016-01-22,-6.8,0.9,-17.5,0.0,8.5,,55,1,2.3,,,,,
2016-01-23,-5.6,-0.4,-15.7,0.0,2.8,,54,1,1.9,,,,,
2016-01-24,-9.0,-5.9,-15.9,0.0,1.5,,54,1,3.6,,,,,
