calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.2,10.7,1.3,0.0,9.1,,,,2.8,,,,,
2016-01-02,7.9,12.3,1.8,0.0,7.4,,,,2.2,,,,,
2016-01-03,9.3,14.6,4.9,0.0,8.2,,,,2.3,,,,,
2016-01-04,10.3,14.6,6.0,0.0,7.5,,,,3.0,,,,,
2016-01-05,8.2,11.4,4.1,0.0,1.0,,,,3.1,,,,,
2016-01-06,8.1,10.9,4.8,0.0,2.3,,,,1.9,,,,,
2016-01-07,8.2,11.8,4.8,0.0,8.0,,,,4.1,,,,,
2016-01-08,6.9,10.9,3.1,0.0,2.6,,,,4.4,,,,,
2016-01-09,6.9,10.0,2.4,0.0,9.3,,,,5.3,,,,,
2016-01-10,6.6,11.4,2.2,0.0,7.2,,,,3.5,,,,,
2016-01-11,7.1,10.9,2.0,0.0,4.4,,,,3.4,,,,,
2016-01-12,5.8,9.1,2.7,0.0,3.3,,,,3.7,,,,,
2016-01-13,5.2,8.8,1.7,0.0,2.1,,,,4.8,,,,,
2016-01-14,5.1,9.3,0.3,0.0,6.7,,,,5.6,,,,,
2016-01-15,5.2,8.8,0.8,0.0,9.0,,,,4.7,,,,,
2016-01-16,4.3,9.5,-0.9,0.0,9.6,,,,2.7,,,,,
2016-01-17,5.2,9.4,0.6,1.0,2.8,,,,4.2,,,,,
2016-01-18,8.0,12.1,2.9,3.5,1.8,,,,8.4,,,,,
2016-01-19,2.8,5.6,0.5,0.0,7.5,,,,12.1,,,,,
2016-01-20,4.0,8.6,0.8,0.0,6.4,,,,8.2,,,,,
2016-01-21,3.3,6.9,-0.1,0.0,2.9,,,,2.9,,,,,
2016-01-22,4.2,8.7,1.2,0.0,7.5,,,,4.8,,,,,
2016-01-23,3.5,6.9,0.9,0.0,1.9,,,,3.9,,,,,
2016-01-24,-1.1,1.9,-2.8,0.0,4.0,,,,7.4,,,,,
2016-01-25,0.9,5.8,-3.7,0.0,7.1,,,,5.0,,,,,
2016-01-26,3.9,8.0,-2.1,0.0,6.5,,,,4.4,,,,,
2016-01-27,6.5,10.6,1.8,0.0,5.2,,,,2.7,,,,,
2016-01-28,6.4,10.3,1.0,0.5,2.6,,,,2.2,,,,,
2016-01-29,7.8,8.8,6.5,28.5,0.0,,,,4.9,,,,,
2016-01-30,7.4,10.0,4.1,3.0,2.1,,,,4.7,,,,,
2016-01-31,7.0,9.8,3.4,0.0,8.1,,,,3.1,,,,,
2016-02-01,6.4,8.9,4.5,0.0,0.8,,,,3.6,,,,,
2016-02-02,5.4,9.7,2.1,0.0,7.2,,,,5.0,,,,,
2016-02-03,4.0,8.6,-0.3,0.0,7.2,,,,2.4,,,,,
2016-02-04,5.8,9.7,0.9,0.0,7.3,,,,3.7,,,,,
2016-02-05,6.0,9.7,1.2,0.0,9.4,,,,3.4,,,,,
2016-02-06,5.2,9.1,1.5,0.0,4.4,,,,4.5,,,,,
2016-02-07,3.6,7.4,0.0,1.5,6.7,,,,3.9,,,,,
2016-02-08,4.2,8.4,-2.1,0.0,10.1,,,,4.9,,,,,
2016-02-09,7.8,10.9,3.7,0.0,6.8,,,,7.6,,,,,
2016-02-10,5.1,9.1,2.0,0.0,6.3,,,,2.9,,,,,
2016-02-11,4.9,10.2,-0.5,0.0,10.3,,,,2.7,,,,,
2016-02-12,8.7,13.9,2.0,0.0,7.7,,,,5.1,,,,,
2016-02-13,13.1,16.4,10.8,44.5,0.1,,,,5.5,,,,,
2016-02-14,13.5,18.1,9.9,11.0,4.8,,,,8.6,,,,,
2016-02-15,5.9,10.3,2.8,1.5,1.1,,,,6.6,,,,,
2016-02-16,4.5,7.1,1.4,0.0,7.6,,,,7.3,,,,,
2016-02-17,5.9,10.0,1.8,0.0,8.3,,,,5.0,,,,,
2016-02-18,4.4,8.7,-0.9,0.0,10.3,,,,2.1,,,,,
2016-02-19,7.9,12.8,2.6,0.0,8.2,,,,2.2,,,,,
2016-02-20,8.4,9.4,7.2,17.0,0.0,,,,4.8,,,,,
2016-02-21,7.4,11.1,3.2,0.0,8.0,,,,5.4,,,,,
2016-02-22,5.3,7.9,1.3,0.0,2.6,,,,2.0,,,,,
2016-02-23,7.6,9.4,5.4,0.0,1.5,,,,3.6,,,,,
2016-02-24,4.8,7.5,1.6,0.0,4.1,,,,6.0,,,,,
2016-02-25,4.0,7.3,-0.3,0.0,10.1,,,,3.3,,,,,
2016-02-26,4.6,8.7,-0.3,0.0,7.2,,,,4.2,,,,,
2016-02-27,7.4,12.7,1.1,0.0,5.9,,,,4.2,,,,,
2016-02-28,9.0,13.5,3.4,0.0,9.2,,,,2.8,,,,,
2016-02-29,8.5,12.8,0.8,0.0,4.1,,,,7.3,,,,,
2016-03-01,3.2,7.6,-0.1,0.0,7.0,,,,4.0,,,,,
2016-03-02,6.0,10.1,0.5,0.0,10.6,,,,3.6,,,,,
2016-03-03,8.1,12.6,2.6,0.0,10.9,,,,2.1,,,,,
2016-03-04,9.1,13.6,4.2,0.0,2.9,,,,2.7,,,,,
2016-03-05,12.8,16.7,8.7,0.0,9.5,,,,4.7,,,,,
2016-03-06,13.9,16.3,11.3,0.0,1.0,,,,6.0,,,,,
2016-03-07,15.5,21.3,12.3,0.5,5.7,,,,3.3,,,,,
2016-03-08,13.2,17.8,9.8,0.0,5.4,,,,3.0,,,,,
2016-03-09,7.9,12.3,6.1,29.5,0.0,,,,6.1,,,,,
2016-03-10,6.7,9.3,3.9,0.0,0.7,,,,5.1,,,,,
2016-03-11,6.2,10.6,3.7,0.0,4.6,,,,4.3,,,,,
2016-03-12,5.9,10.4,1.2,0.0,11.4,,,,3.4,,,,,
2016-03-13,7.0,10.9,2.9,10.0,4.3,,,,2.8,,,,,
2016-03-14,6.5,8.9,5.2,14.5,0.7,,,,4.0,,,,,
