calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.0,11.3,-0.3,0.0,7.8,,,,0.8,,,,,
2016-01-02,5.4,12.9,-0.5,0.0,5.0,,,,0.7,,,,,
2016-01-03,7.6,14.8,2.4,0.0,6.2,,,,0.6,,,,,
2016-01-04,8.3,15.4,3.7,0.0,7.9,,,,0.9,,,,,
2016-01-05,5.9,11.0,1.6,0.0,1.7,,,,0.7,,,,,
2016-01-06,6.5,11.5,2.9,0.0,2.6,,,,0.6,,,,,
2016-01-07,5.8,11.2,2.1,0.0,4.7,,,,1.0,,,,,
2016-01-08,3.6,9.5,-0.8,0.0,1.6,,,,0.9,,,,,
2016-01-09,3.4,9.8,-1.3,0.0,8.4,,,,1.4,,,,,
2016-01-10,3.8,11.2,-1.5,0.0,8.1,,,,0.9,,,,,
2016-01-11,5.1,10.8,0.0,0.0,4.5,,,,1.0,,,,,
2016-01-12,4.6,8.5,1.0,0.0,4.8,,,,1.0,,,,,
2016-01-13,3.5,8.5,-0.4,0.0,2.2,,,,0.8,,,,,
2016-01-14,2.2,8.3,-2.3,0.0,6.1,,,,1.2,,,,,
2016-01-15,2.6,9.8,-1.7,0.0,7.2,,,,0.9,,,,,
2016-01-16,2.6,10.8,-2.7,0.0,6.7,,,,0.6,,,,,
2016-01-17,3.7,8.5,-1.6,3.5,1.7,,,,0.9,,,,,
2016-01-18,6.4,10.9,1.0,11.5,1.6,,,,1.8,,,,,
2016-01-19,-0.2,3.6,-2.0,0.5,6.7,,,,2.3,,,,,
2016-01-20,1.6,7.9,-2.3,2.5,7.1,,,,1.5,,,,,
2016-01-21,2.1,7.1,-1.8,0.0,2.4,,,,0.6,,,,,
2016-01-22,2.9,7.0,-0.1,0.0,6.8,,,,1.1,,,,,
2016-01-23,2.1,6.5,-1.1,0.0,2.3,,,,1.1,,,,,
2016-01-24,-2.5,0.5,-5.1,0.0,6.4,,,,2.0,,,,,
2016-01-25,-1.1,4.6,-5.5,0.0,8.8,,,,1.4,,,,,
2016-01-26,0.8,7.3,-5.4,0.0,4.0,,,,0.7,,,,,
2016-01-27,3.0,8.9,-1.9,0.0,3.8,,,,0.8,,,,,
2016-01-28,5.2,10.1,-0.3,1.0,2.6,,,,0.5,,,,,
2016-01-29,7.0,8.2,5.2,36.0,0.0,,,,1.3,,,,,
2016-01-30,7.0,9.1,5.0,1.5,1.5,,,,1.7,,,,,
2016-01-31,5.8,9.5,2.4,0.0,4.6,,,,1.0,,,,,
2016-02-01,4.5,7.9,2.1,0.0,0.0,,,,0.5,,,,,
2016-02-02,4.6,8.4,1.3,0.0,6.2,,,,0.9,,,,,
2016-02-03,2.8,8.3,-2.1,0.0,5.6,,,,0.6,,,,,
2016-02-04,4.2,10.9,-0.8,0.0,6.1,,,,0.9,,,,,
2016-02-05,3.9,10.4,-1.0,0.0,7.4,,,,0.7,,,,,
2016-02-06,3.3,9.7,-1.0,0.0,7.2,,,,1.1,,,,,
2016-02-07,2.5,6.8,-1.6,0.0,4.5,,,,1.1,,,,,
2016-02-08,2.2,9.5,-3.4,0.0,10.0,,,,1.0,,,,,
2016-02-09,4.0,9.6,-0.8,0.5,6.5,,,,2.0,,,,,
2016-02-10,4.0,9.8,-0.6,0.0,6.3,,,,0.8,,,,,
2016-02-11,4.5,13.0,-2.0,0.0,10.1,,,,0.7,,,,,
2016-02-12,8.9,15.9,0.7,0.0,3.8,,,,1.0,,,,,
2016-02-13,12.5,15.3,10.1,39.0,0.0,,,,0.7,,,,,
2016-02-14,14.1,18.8,9.2,12.0,1.8,,,,1.9,,,,,
2016-02-15,4.7,9.3,0.7,0.5,1.1,,,,1.7,,,,,
2016-02-16,2.5,7.2,-2.2,0.0,5.9,,,,1.0,,,,,
2016-02-17,3.6,8.5,-0.9,0.0,8.2,,,,1.6,,,,,
