calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,11.8,0.2,,7.2,,,,2.0,6.6,1025.0,79,1030.0,
2016-01-02,6.3,13.8,0.5,,5.9,,,,2.0,7.6,1020.7,81,1025.7,
2016-01-03,8.6,16.4,3.4,,7.6,,,,2.0,9.5,1014.9,85,1019.7,
2016-01-04,9.4,16.7,4.6,,6.7,,,,1.8,9.5,1013.9,82,1018.8,
2016-01-05,6.7,11.2,2.5,0.0,1.6,,,,1.8,7.8,1017.3,81,1022.2,
2016-01-06,7.3,12.5,3.5,,2.5,,,,1.5,8.2,1015.0,80,1019.9,
2016-01-07,7.5,13.4,3.3,0.0,7.3,,,,2.9,6.5,1013.1,65,1018.0,
2016-01-08,5.2,11.3,1.1,0.0,2.6,,,,2.3,5.9,1013.1,67,1018.0,
2016-01-09,5.2,12.1,0.1,,7.7,,,,2.8,5.2,1017.1,61,1022.0,
2016-01-10,5.0,12.3,-0.2,,7.5,,,,2.2,5.6,1018.0,67,1022.9,
2016-01-11,6.4,12.6,1.2,,5.6,,,,2.3,6.0,1015.7,64,1020.6,
2016-01-12,5.4,9.9,1.8,0.0,3.7,,,,2.7,6.2,1011.8,70,1016.7,
2016-01-13,4.7,11.4,1.1,0.0,3.8,,,,2.8,5.6,1011.3,66,1016.2,
2016-01-14,3.4,10.3,-1.4,0.0,5.9,,,,3.1,5.0,1013.5,66,1018.5,
2016-01-15,3.8,10.5,-1.2,,7.7,,,,2.6,4.9,1015.5,63,1020.4,
2016-01-16,4.0,11.6,-1.7,,8.2,,,,1.8,5.4,1017.4,69,1022.3,
2016-01-17,4.6,9.2,-0.4,2.5,1.8,,,,2.8,5.9,1013.7,71,1018.6,
2016-01-18,7.1,12.4,0.8,10.0,1.1,,,,4.9,7.9,996.3,79,1001.1,
2016-01-19,0.4,5.1,-1.5,0.5,5.3,,,,5.5,4.3,1005.7,69,1010.6,
2016-01-20,2.3,8.1,-1.8,0.5,7.7,,,,4.5,5.3,1014.3,74,1019.3,
2016-01-21,3.0,7.9,-0.9,0.0,2.4,,,,1.9,6.1,1017.4,82,1022.4,
2016-01-22,3.8,8.8,0.6,0.0,5.7,,,,2.9,5.8,1018.4,74,1023.4,
2016-01-23,2.8,8.2,-0.4,0.0,2.9,,,,2.4,5.4,1015.1,72,1020.1,
2016-01-24,-2.2,0.9,-5.1,,5.9,,,,4.5,2.5,1010.8,48,1015.9,
2016-01-25,-0.3,6.5,-5.6,0.0,9.4,,,,2.9,3.8,1018.6,66,1023.6,
2016-01-26,2.4,9.0,-4.1,0.0,5.1,,,,2.2,4.9,1020.9,69,1025.9,
2016-01-27,4.2,9.9,-0.9,,2.8,,,,2.0,5.6,1024.0,70,1029.0,
