calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.4,11.6,-0.8,0.0,5.5,,,,2.1,,,,,
2016-01-02,5.1,13.4,-1.2,0.0,4.0,,,,1.5,,,,,
2016-01-03,6.6,15.0,2.6,0.0,3.0,,,,1.3,,,,,
2016-01-04,8.3,16.7,3.9,0.0,4.9,,,,2.3,,,,,
2016-01-05,5.1,11.2,0.7,0.5,0.5,,,,1.8,,,,,
2016-01-06,6.3,11.8,2.5,0.0,2.6,,,,2.1,,,,,
2016-01-07,5.7,11.7,1.2,0.0,5.9,,,,2.7,,,,,
2016-01-08,4.0,9.9,-1.2,0.0,0.2,,,,2.2,,,,,
2016-01-09,2.6,10.6,-2.9,0.0,7.2,,,,1.8,,,,,
2016-01-10,2.9,11.5,-3.0,0.0,6.3,,,,2.3,,,,,
2016-01-11,4.8,11.7,-1.3,0.0,3.8,,,,2.3,,,,,
2016-01-12,4.3,9.6,0.2,0.0,3.3,,,,2.3,,,,,
2016-01-13,3.4,10.2,-1.9,0.0,3.9,,,,2.4,,,,,
2016-01-14,2.0,8.2,-3.5,0.0,3.3,,,,2.7,,,,,
2016-01-15,1.7,9.7,-4.3,0.0,6.5,,,,2.3,,,,,
2016-01-16,1.8,11.1,-4.1,0.0,6.1,,,,1.9,,,,,
2016-01-17,3.0,8.2,-3.0,6.0,1.5,,,,1.5,,,,,
2016-01-18,6.4,12.7,0.3,11.5,1.5,,,,4.2,,,,,
2016-01-19,-0.3,2.2,-2.6,1.5,1.8,,,,4.5,,,,,
2016-01-20,1.2,7.1,-3.6,1.0,6.6,,,,4.2,,,,,
2016-01-21,2.8,7.1,-1.7,0.0,2.9,,,,1.6,,,,,
2016-01-22,3.2,9.0,-0.5,0.0,4.1,,,,1.6,,,,,
2016-01-23,2.0,7.2,-1.3,0.0,2.3,,,,2.9,,,,,
2016-01-24,-3.1,0.0,-6.5,0.0,5.4,,,,4.6,,,,,
2016-01-25,-1.6,5.9,-7.7,0.0,7.6,,,,2.3,,,,,
2016-01-26,1.3,7.9,-5.3,0.0,2.2,,,,2.3,,,,,
2016-01-27,2.9,9.5,-2.8,0.0,2.5,,,,2.5,,,,,
2016-01-28,4.6,10.5,-2.1,2.5,1.8,,,,1.5,,,,,
2016-01-29,6.8,8.4,5.4,29.0,0.0,,,,2.0,,,,,
2016-01-30,6.9,10.5,2.9,2.5,0.6,,,,1.9,,,,,
2016-01-31,4.5,10.4,0.7,0.0,1.8,,,,1.8,,,,,
2016-02-01,4.7,8.2,0.9,0.0,0.9,,,,1.3,,,,,
2016-02-02,4.6,9.8,0.0,0.0,2.6,,,,1.8,,,,,
2016-02-03,2.1,9.2,-2.3,0.0,4.3,,,,1.4,,,,,
2016-02-04,3.3,10.7,-2.5,0.0,5.5,,,,1.8,,,,,
2016-02-05,3.3,10.7,-2.2,0.0,6.7,,,,1.9,,,,,
2016-02-06,2.9,10.7,-2.1,0.0,5.3,,,,2.8,,,,,
2016-02-07,1.9,7.0,-3.0,0.0,4.0,,,,1.7,,,,,
2016-02-08,1.7,9.5,-5.2,0.0,6.8,,,,1.4,,,,,
2016-02-09,4.0,10.5,-1.0,0.0,5.8,,,,3.9,,,,,
2016-02-10,3.4,10.2,-2.0,0.0,5.7,,,,1.5,,,,,
2016-02-11,3.2,13.1,-3.3,0.0,9.3,,,,1.7,,,,,
2016-02-12,7.4,15.6,-1.6,0.0,2.6,,,,1.9,,,,,
2016-02-13,13.2,16.5,9.4,24.0,0.0,,,,1.6,,,,,
2016-02-14,13.8,18.4,8.8,15.0,0.9,,,,2.7,,,,,
2016-02-15,4.6,9.0,0.0,0.0,3.5,,,,4.3,,,,,
2016-02-16,2.0,6.5,-2.5,0.0,4.8,,,,2.7,,,,,
2016-02-17,2.5,8.6,-1.7,0.0,5.0,,,,2.8,,,,,
2016-02-18,2.3,10.2,-4.0,0.0,9.5,,,,2.0,,,,,
2016-02-19,6.2,14.1,-1.5,0.0,6.5,,,,1.7,,,,,
2016-02-20,6.9,8.5,4.8,20.5,0.0,,,,2.0,,,,,
2016-02-21,5.8,10.4,0.3,0.0,7.9,,,,4.2,,,,,
2016-02-22,4.0,9.3,-1.6,0.0,4.9,,,,1.8,,,,,
2016-02-23,6.0,12.0,2.1,0.0,0.5,,,,1.8,,,,,
2016-02-24,3.9,7.6,-0.3,0.0,1.5,,,,2.0,,,,,
2016-02-25,2.2,8.1,-3.0,0.0,4.1,,,,2.3,,,,,
2016-02-26,2.3,9.6,-3.8,0.0,7.1,,,,2.9,,,,,
2016-02-27,5.5,12.9,-1.7,0.0,4.7,,,,2.2,,,,,
2016-02-28,6.4,14.8,0.1,0.0,6.2,,,,1.6,,,,,
2016-02-29,4.7,11.1,0.2,0.5,3.4,,,,4.9,,,,,
2016-03-01,1.9,7.3,-1.5,0.0,5.3,,,,2.9,,,,,
2016-03-02,3.7,13.2,-3.4,0.0,8.5,,,,1.9,,,,,
2016-03-03,6.3,16.9,-2.0,0.0,9.2,,,,1.9,,,,,
2016-03-04,8.5,16.1,0.5,0.0,1.0,,,,1.4,,,,,
2016-03-05,13.3,19.1,5.5,0.0,9.1,,,,2.9,,,,,
2016-03-06,15.3,18.4,12.0,1.0,0.0,,,,2.9,,,,,
2016-03-07,15.7,23.0,11.2,0.0,4.2,,,,1.7,,,,,
2016-03-08,13.9,21.1,10.3,0.0,2.7,,,,2.5,,,,,
2016-03-09,7.4,11.9,3.1,25.5,0.0,,,,1.4,,,,,
2016-03-10,6.1,9.8,1.9,0.5,0.9,,,,1.2,,,,,
2016-03-11,5.9,10.8,1.6,0.0,4.4,,,,2.1,,,,,
2016-03-12,4.8,12.4,-1.0,0.0,8.4,,,,1.7,,,,,
2016-03-13,5.9,13.0,-0.5,3.5,2.7,,,,1.9,,,,,
2016-03-14,6.7,10.1,4.0,4.5,1.5,,,,2.3,,,,,
2016-03-15,6.9,12.9,0.6,0.0,10.9,,,,3.5,,,,,
2016-03-16,5.7,14.1,-1.3,0.0,2.8,,,,1.7,,,,,
2016-03-17,9.1,19.7,-0.2,0.0,10.9,,,,1.8,,,,,
2016-03-18,11.6,17.7,3.8,7.0,1.8,,,,2.4,,,,,
2016-03-19,14.4,20.4,8.4,8.5,4.0,,,,3.6,,,,,
2016-03-20,9.3,14.8,4.1,0.0,10.7,,,,3.3,,,,,
2016-03-21,7.2,14.2,0.5,0.0,11.3,,,,3.1,,,,,
2016-03-22,7.2,17.5,-1.1,0.0,8.7,,,,2.1,,,,,
2016-03-23,9.9,18.4,1.7,0.0,8.5,,,,2.5,,,,,
2016-03-24,7.9,12.2,3.6,0.0,7.0,,,,4.0,,,,,
2016-03-25,5.6,11.5,-0.1,0.0,7.7,,,,2.8,,,,,
2016-03-26,5.5,13.6,-1.9,0.0,11.0,,,,2.1,,,,,
2016-03-27,7.9,15.2,-0.4,0.0,7.1,,,,2.3,,,,,
2016-03-28,7.9,15.4,2.1,0.5,7.5,,,,2.4,,,,,
2016-03-29,8.9,17.4,0.0,0.0,7.0,,,,2.0,,,,,
2016-03-30,11.4,19.8,3.8,0.0,6.0,,,,2.0,,,,,
2016-03-31,13.3,20.7,7.2,0.0,4.1,,,,1.3,,,,,
2016-04-01,14.0,18.0,10.1,2.0,0.1,,,,1.3,,,,,
